,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:54.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by B. Simmons),0,3
1,1,11:35.0,K. Middleton misses 2-pt jump shot from 18 ft,,0,3
2,1,11:32.0,,Defensive rebound by M. Belinelli,0,3
3,1,11:29.0,,R. Covington misses 3-pt jump shot from 28 ft,0,3
4,1,11:27.0,Defensive rebound by Team,,0,3
5,1,11:22.0,Personal foul by B. Simmons (drawn by E. Bledsoe),,0,3
6,1,11:17.0,G. Antetokounmpo misses 2-pt jump shot from 16 ft,,0,3
7,1,11:13.0,,Defensive rebound by M. Belinelli,0,3
8,1,11:10.0,,Turnover by B. Simmons (out of bounds lost ball),0,3
9,1,10:47.0,K. Middleton misses 3-pt jump shot from 25 ft,,0,3
10,1,10:45.0,,Defensive rebound by R. Covington,0,3
11,1,10:34.0,,D. Šarić misses 2-pt jump shot from 22 ft,0,3
12,1,10:32.0,Defensive rebound by J. Henson,,0,3
13,1,10:24.0,E. Bledsoe makes 2-pt jump shot from 20 ft,,2,3
14,1,10:13.0,,B. Simmons misses 2-pt layup from 1 ft,2,3
15,1,10:08.0,,Offensive rebound by B. Simmons,2,3
16,1,10:08.0,,B. Simmons misses 2-pt layup at rim,2,3
17,1,10:06.0,,Offensive rebound by A. Johnson,2,3
18,1,10:06.0,,A. Johnson misses 2-pt layup at rim,2,3
19,1,10:04.0,,Offensive rebound by A. Johnson,2,3
20,1,10:04.0,,A. Johnson makes 2-pt layup at rim,2,5
21,1,10:04.0,Turnover by E. Bledsoe (out of bounds lost ball),,2,5
22,1,9:51.0,,Personal foul by E. Bledsoe (drawn by M. Belinelli),2,5
23,1,9:44.0,,M. Belinelli misses 2-pt jump shot from 19 ft,2,5
24,1,9:41.0,Defensive rebound by G. Antetokounmpo,,2,5
25,1,9:35.0,G. Antetokounmpo misses 2-pt jump shot from 2 ft,,2,5
26,1,9:34.0,,Defensive rebound by A. Johnson,2,5
27,1,9:28.0,,M. Belinelli misses 3-pt jump shot from 25 ft,2,5
28,1,9:24.0,,Offensive rebound by D. Šarić,2,5
29,1,9:20.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),2,8
30,1,8:56.0,K. Middleton misses 2-pt jump shot from 12 ft,,2,8
31,1,8:53.0,Offensive rebound by K. Middleton,,2,8
32,1,8:52.0,T. Snell misses 3-pt jump shot from 25 ft,,2,8
33,1,8:49.0,,Defensive rebound by A. Johnson,2,8
34,1,8:41.0,Violation by K. Middleton (kicked ball),,2,8
35,1,8:31.0,,D. Šarić makes 2-pt layup at rim (assist by A. Johnson),2,10
36,1,8:31.0,,Shooting foul by G. Antetokounmpo (drawn by D. Šarić),2,10
37,1,8:31.0,,D. Šarić misses free throw 1 of 1,2,10
38,1,8:31.0,Defensive rebound by G. Antetokounmpo,,2,10
39,1,8:21.0,Shooting foul by A. Johnson (drawn by E. Bledsoe),,2,10
40,1,8:21.0,E. Bledsoe makes free throw 1 of 2,,3,10
41,1,8:21.0,E. Bledsoe makes free throw 2 of 2,,4,10
42,1,8:12.0,,Personal foul by J. Henson (drawn by B. Simmons),4,10
43,1,8:05.0,,Personal foul by E. Bledsoe (drawn by M. Belinelli),4,10
44,1,8:05.0,M. Brogdon enters the game for E. Bledsoe,,4,10
45,1,7:56.0,,M. Belinelli makes 3-pt jump shot from 25 ft,4,13
46,1,7:41.0,M. Brogdon makes 2-pt jump shot from 15 ft,,6,13
47,1,7:32.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by M. Belinelli),6,16
48,1,7:31.0,Milwaukee full timeout,,6,16
49,1,7:24.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Johnson),,6,16
50,1,7:16.0,,A. Johnson makes 2-pt jump shot from 8 ft (assist by M. Belinelli),6,18
51,1,7:16.0,Violation by J. Henson (def goaltending),,6,18
