,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
0,1,11:49.0,Turnover by K. Walker (lost ball; steal by R. Rubio),,0,0
1,1,11:45.0,,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),0,2
2,1,11:30.0,N. Batum makes 2-pt jump shot from 17 ft (assist by K. Walker),,2,2
3,1,11:08.0,,D. Mitchell misses 2-pt jump shot from 18 ft,2,2
4,1,11:04.0,Defensive rebound by D. Howard,,2,2
5,1,10:55.0,K. Walker makes 2-pt layup from 2 ft,,4,2
6,1,10:38.0,,J. Ingles misses 3-pt jump shot from 25 ft,4,2
7,1,10:30.0,,D. Favors misses 2-pt layup from 2 ft,4,2
8,1,10:30.0,Defensive rebound by K. Walker,,4,2
9,1,10:30.0,,Defensive rebound by D. Favors,4,2
10,1,10:27.0,M. Williams misses 3-pt jump shot from 22 ft,,4,2
11,1,10:24.0,,Defensive rebound by R. Gobert,4,2
12,1,10:16.0,,R. Rubio makes 2-pt jump shot from 18 ft,4,4
13,1,9:57.0,D. Howard misses 2-pt layup from 3 ft,,4,4
14,1,9:55.0,,Defensive rebound by R. Rubio,4,4
15,1,9:41.0,,Turnover by R. Rubio (bad pass; steal by M. Williams),4,4
16,1,9:33.0,K. Walker misses 2-pt layup from 2 ft (block by D. Favors),,4,4
17,1,9:30.0,,Defensive rebound by R. Rubio,4,4
18,1,9:28.0,,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),4,6
19,1,9:07.0,Shooting foul by J. Ingles (drawn by D. Howard),,4,6
20,1,9:07.0,D. Howard makes free throw 1 of 2,,5,6
21,1,9:07.0,D. Howard misses free throw 2 of 2,,5,6
22,1,9:05.0,,Defensive rebound by D. Favors,5,6
23,1,8:49.0,,D. Mitchell misses 2-pt jump shot from 18 ft,5,6
24,1,8:46.0,,Offensive rebound by D. Favors,5,6
25,1,8:45.0,,D. Favors makes 2-pt dunk from 1 ft,5,8
26,1,8:29.0,N. Batum makes 2-pt jump shot from 12 ft,,7,8
27,1,8:14.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Favors),7,10
28,1,8:01.0,D. Howard misses 2-pt hook shot from 5 ft,,7,10
29,1,7:58.0,Offensive rebound by D. Howard,,7,10
30,1,7:56.0,K. Walker misses 3-pt jump shot from 25 ft,,7,10
31,1,7:55.0,,Defensive rebound by Team,7,10
32,1,7:41.0,,D. Mitchell makes 2-pt jump shot from 3 ft,7,12
33,1,7:29.0,Shooting foul by D. Mitchell (drawn by M. Kidd-Gilchrist),,7,12
34,1,7:29.0,M. Kidd-Gilchrist misses free throw 1 of 2,,7,12
35,1,7:29.0,Offensive rebound by Team,,7,12
36,1,7:29.0,M. Kidd-Gilchrist makes free throw 2 of 2,,8,12
37,1,7:16.0,,J. Ingles misses 3-pt jump shot from 23 ft,8,12
38,1,7:12.0,Defensive rebound by M. Williams,,8,12
39,1,6:58.0,M. Williams misses 2-pt jump shot from 22 ft,,8,12
40,1,6:57.0,,Defensive rebound by D. Mitchell,8,12
41,1,6:48.0,,D. Favors misses 2-pt jump shot from 10 ft,8,12
42,1,6:46.0,,Offensive rebound by R. Gobert,8,12
43,1,6:36.0,,J. Ingles makes 2-pt jump shot from 11 ft,8,14
44,1,6:20.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,8,14
45,1,6:17.0,,Defensive rebound by J. Ingles,8,14
46,1,6:04.0,,R. Rubio misses 2-pt jump shot from 16 ft,8,14
47,1,6:03.0,Defensive rebound by Team,,8,14
48,1,6:03.0,,Utah full timeout,8,14
49,1,6:03.0,,J. Jerebko enters the game for D. Favors,8,14
50,1,6:03.0,T. Graham enters the game for M. Kidd-Gilchrist,,8,14
51,1,5:50.0,N. Batum misses 2-pt jump shot from 15 ft,,8,14
52,1,5:47.0,,Defensive rebound by J. Jerebko,8,14
