,QUARTER,TIME_REMAINING,HOUSTON_ACTION,WASHINGTON_ACTION,HOUSTON_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,Turnover by O. Porter (bad pass; steal by T. Ariza),0,0
1,1,11:40.0,T. Ariza makes 2-pt layup from 1 ft,,2,0
2,1,11:22.0,,B. Beal misses 2-pt jump shot from 16 ft (block by J. Harden),2,0
3,1,11:19.0,Defensive rebound by R. Anderson,,2,0
4,1,11:14.0,P. Tucker misses 3-pt jump shot from 23 ft,,2,0
5,1,11:11.0,,Defensive rebound by M. Morris,2,0
6,1,11:00.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by O. Porter),2,2
7,1,10:35.0,C. Paul misses 3-pt jump shot from 27 ft,,2,2
8,1,10:33.0,,Defensive rebound by M. Gortat,2,2
9,1,10:28.0,,B. Beal misses 3-pt jump shot from 25 ft,2,2
10,1,10:24.0,Defensive rebound by T. Ariza,,2,2
11,1,10:14.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by P. Tucker),,5,2
12,1,10:01.0,,O. Porter makes 3-pt jump shot from 26 ft,5,5
13,1,9:40.0,P. Tucker makes 2-pt hook shot from 5 ft,,7,5
14,1,9:27.0,,O. Porter misses 3-pt jump shot from 23 ft,7,5
15,1,9:23.0,Defensive rebound by R. Anderson,,7,5
16,1,9:07.0,P. Tucker misses 3-pt jump shot from 27 ft,,7,5
17,1,9:04.0,Offensive rebound by R. Anderson,,7,5
18,1,9:00.0,C. Paul makes 3-pt jump shot from 22 ft (assist by T. Ariza),,10,5
19,1,8:48.0,,O. Porter makes 2-pt layup at rim (assist by B. Beal),10,7
20,1,8:34.0,R. Anderson misses 3-pt jump shot from 30 ft,,10,7
21,1,8:31.0,,Defensive rebound by J. Wall,10,7
22,1,8:27.0,,J. Wall misses 2-pt jump shot from 20 ft,10,7
23,1,8:23.0,Defensive rebound by T. Ariza,,10,7
24,1,8:16.0,Turnover by J. Harden (lost ball; steal by J. Wall),,10,7
25,1,8:13.0,,J. Wall makes 2-pt layup at rim,10,9
26,1,7:50.0,P. Tucker misses 3-pt jump shot from 23 ft,,10,9
27,1,7:47.0,,Defensive rebound by B. Beal,10,9
28,1,7:38.0,,M. Morris misses 2-pt jump shot from 15 ft,10,9
29,1,7:34.0,Defensive rebound by C. Paul,,10,9
30,1,7:27.0,T. Ariza misses 3-pt jump shot from 26 ft,,10,9
31,1,7:24.0,Offensive rebound by R. Anderson,,10,9
32,1,7:23.0,R. Anderson misses 2-pt jump shot from 15 ft,,10,9
33,1,7:20.0,,Defensive rebound by M. Gortat,10,9
34,1,7:10.0,E. Gordon enters the game for C. Paul,,10,9
35,1,7:02.0,,O. Porter misses 2-pt jump shot from 9 ft,10,9
36,1,6:59.0,Defensive rebound by P. Tucker,,10,9
37,1,6:44.0,R. Anderson misses 3-pt jump shot from 25 ft,,10,9
38,1,6:40.0,,Defensive rebound by M. Gortat,10,9
39,1,6:36.0,,Shooting foul by P. Tucker (drawn by M. Morris),10,9
40,1,6:36.0,,Washington full timeout,10,9
41,1,6:36.0,T. Black enters the game for P. Tucker,,10,9
42,1,6:36.0,,M. Morris makes free throw 1 of 2,10,10
43,1,6:36.0,,M. Morris makes free throw 2 of 2,10,11
44,1,6:22.0,E. Gordon misses 2-pt jump shot from 14 ft,,10,11
45,1,6:17.0,,Defensive rebound by M. Morris,10,11
