,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
0,1,11:34.0,A. Davis misses 2-pt jump shot from 15 ft,,0,0
1,1,11:30.0,,Defensive rebound by L. Nance,0,0
2,1,11:20.0,,K. Love misses 3-pt jump shot from 26 ft,0,0
3,1,11:16.0,Defensive rebound by J. Holiday,,0,0
4,1,11:16.0,Turnover by J. Holiday (bad pass),,0,0
5,1,11:02.0,,K. Love misses 2-pt jump shot from 17 ft,0,0
6,1,10:59.0,,Offensive rebound by Team,0,0
7,1,10:44.0,,L. James makes 2-pt dunk at rim,0,2
8,1,10:32.0,R. Rondo makes 2-pt jump shot from 14 ft (assist by E. Moore),,2,2
9,1,10:24.0,,R. Hood makes 2-pt layup at rim,2,4
10,1,10:15.0,R. Rondo misses 2-pt jump shot at rim,,2,4
11,1,10:12.0,,Defensive rebound by K. Love,2,4
12,1,10:09.0,,L. James makes 2-pt layup at rim (assist by K. Love),2,6
13,1,10:00.0,J. Holiday makes 2-pt jump shot from 14 ft,,4,6
14,1,9:55.0,,Personal foul by J. Holiday (drawn by L. Nance),4,6
15,1,9:43.0,,Def 3 sec tech foul by E. Moore,4,6
16,1,9:43.0,,K. Love makes technical free throw,4,7
17,1,9:43.0,S. Hill enters the game for E. Moore,,4,7
18,1,9:39.0,,Turnover by L. Nance (bad pass; steal by A. Davis),4,7
19,1,9:34.0,Turnover by R. Rondo (bad pass; steal by L. James),,4,7
20,1,9:27.0,,R. Hood makes 2-pt dunk from 1 ft (assist by L. James),4,9
21,1,9:19.0,New Orleans full timeout,,4,9
22,1,9:08.0,J. Holiday misses 2-pt jump shot from 12 ft,,4,9
23,1,9:03.0,Offensive rebound by E. Okafor,,4,9
24,1,9:03.0,E. Okafor misses 2-pt layup at rim,,4,9
25,1,9:03.0,Offensive rebound by E. Okafor,,4,9
26,1,8:59.0,E. Okafor makes 2-pt layup at rim,,6,9
27,1,8:51.0,,Turnover by K. Love (bad pass; steal by J. Holiday),6,9
28,1,8:41.0,Turnover by R. Rondo (bad pass; steal by L. Nance),,6,9
29,1,8:38.0,,Personal foul by E. Okafor (drawn by K. Love),6,9
30,1,8:38.0,N. Mirotić enters the game for E. Okafor,,6,9
31,1,8:35.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by L. Nance),6,12
32,1,8:16.0,A. Davis misses 2-pt jump shot from 11 ft,,6,12
33,1,8:16.0,,Defensive rebound by Team,6,12
34,1,8:16.0,Loose ball foul by J. Holiday (drawn by K. Love),,6,12
35,1,8:16.0,E. Moore enters the game for J. Holiday,,6,12
36,1,8:02.0,,R. Hood makes 2-pt jump shot from 10 ft,6,14
37,1,8:00.0,Personal foul by K. Love (drawn by R. Rondo),,6,14
38,1,7:48.0,E. Moore makes 3-pt jump shot from 23 ft (assist by S. Hill),,9,14
39,1,7:33.0,,K. Love misses 3-pt jump shot from 23 ft,9,14
40,1,7:31.0,Defensive rebound by A. Davis,,9,14
41,1,7:16.0,A. Davis misses 2-pt jump shot from 1 ft,,9,14
42,1,7:11.0,Offensive rebound by N. Mirotić,,9,14
43,1,7:11.0,N. Mirotić misses 2-pt layup at rim,,9,14
44,1,7:10.0,,Defensive rebound by K. Love,9,14
45,1,7:07.0,,L. James makes 2-pt layup at rim,9,16
46,1,7:07.0,,Shooting foul by S. Hill (drawn by L. James),9,16
47,1,7:07.0,,L. James makes free throw 1 of 1,9,17
48,1,6:53.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by S. Hill),,12,17
49,1,6:48.0,,L. James makes 2-pt dunk from 1 ft (assist by K. Love),12,19
50,1,6:41.0,New Orleans full timeout,,12,19
51,1,6:26.0,S. Hill makes 3-pt jump shot from 25 ft (assist by R. Rondo),,15,19
52,1,5:59.0,,L. James makes 2-pt dunk from 1 ft,15,21
53,1,5:43.0,A. Davis misses 2-pt jump shot from 15 ft,,15,21
54,1,5:40.0,,Defensive rebound by K. Love,15,21
55,1,5:28.0,,K. Love misses 3-pt jump shot from 23 ft,15,21
56,1,5:25.0,Defensive rebound by S. Hill,,15,21
57,1,5:22.0,E. Moore misses 3-pt jump shot from 26 ft,,15,21
58,1,5:19.0,,Defensive rebound by L. Nance,15,21
59,1,4:55.0,,L. Nance misses 2-pt layup from 2 ft,15,21
60,1,4:53.0,Defensive rebound by S. Hill,,15,21
61,1,4:49.0,Personal foul by L. Nance (drawn by A. Davis),,15,21
62,1,4:49.0,,J. Green enters the game for K. Love,15,21
63,1,4:49.0,,J. Clarkson enters the game for G. Hill,15,21
64,1,4:38.0,N. Mirotić makes 2-pt jump shot from 16 ft (assist by R. Rondo),,17,21
65,1,4:24.0,,R. Hood misses 2-pt jump shot from 9 ft,17,21
66,1,4:22.0,Defensive rebound by Team,,17,21
67,1,4:22.0,,Loose ball foul by L. Nance (drawn by E. Moore),17,21
68,1,4:22.0,,J. Smith enters the game for R. Hood,17,21
69,1,4:22.0,,T. Thompson enters the game for L. Nance,17,21
70,1,4:10.0,A. Davis misses 2-pt jump shot from 14 ft,,17,21
71,1,4:08.0,,Defensive rebound by J. Clarkson,17,21
72,1,3:59.0,,J. Clarkson misses 2-pt jump shot from 14 ft,17,21
73,1,3:57.0,Defensive rebound by R. Rondo,,17,21
74,1,3:54.0,R. Rondo makes 2-pt layup from 2 ft,,19,21
75,1,3:38.0,,Personal foul by R. Rondo (drawn by J. Smith),19,21
76,1,3:38.0,,J. Smith misses free throw 1 of 2,19,21
77,1,3:38.0,,Offensive rebound by Team,19,21
78,1,3:38.0,,J. Smith makes free throw 2 of 2,19,22
79,1,3:28.0,Shooting foul by J. Clarkson (drawn by R. Rondo),,19,22
80,1,3:28.0,R. Rondo makes free throw 1 of 2,,20,22
81,1,3:28.0,D. Miller enters the game for S. Hill,,20,22
82,1,3:28.0,R. Rondo misses free throw 2 of 2,,20,22
83,1,3:25.0,,Defensive rebound by T. Thompson,20,22
84,1,3:14.0,I. Clark enters the game for R. Rondo,,20,22
85,1,3:05.0,,J. Smith misses 2-pt jump shot from 11 ft,20,22
86,1,3:03.0,,Offensive rebound by T. Thompson,20,22
87,1,2:55.0,,L. James misses 2-pt jump shot from 6 ft,20,22
88,1,2:51.0,Defensive rebound by N. Mirotić,,20,22
89,1,2:39.0,Personal foul by J. Green (drawn by A. Davis),,20,22
90,1,2:39.0,A. Davis makes free throw 1 of 2,,21,22
91,1,2:39.0,A. Davis makes free throw 2 of 2,,22,22
92,1,2:23.0,,T. Thompson misses 2-pt jump shot from 9 ft,22,22
93,1,2:21.0,Defensive rebound by A. Davis,,22,22
94,1,2:16.0,I. Clark makes 3-pt jump shot from 24 ft,,25,22
95,1,1:57.0,,J. Clarkson makes 2-pt jump shot from 13 ft,25,24
96,1,1:45.0,E. Moore misses 2-pt jump shot from 11 ft,,25,24
97,1,1:42.0,,Defensive rebound by T. Thompson,25,24
98,1,1:41.0,,Turnover by L. James (bad pass),25,24
99,1,1:21.0,N. Mirotić makes 2-pt jump shot from 4 ft (assist by I. Clark),,27,24
100,1,1:05.0,,J. Clarkson makes 2-pt jump shot from 6 ft,27,26
101,1,0:48.0,A. Davis misses 2-pt jump shot from 16 ft,,27,26
102,1,0:44.0,,Defensive rebound by T. Thompson,27,26
103,1,0:35.0,,L. James misses 2-pt layup from 4 ft,27,26
104,1,0:31.0,Defensive rebound by A. Davis,,27,26
105,1,0:26.0,A. Davis makes 2-pt dunk at rim (assist by I. Clark),,29,26
106,1,0:07.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),29,29
107,1,0:01.0,I. Clark misses 2-pt jump shot from 14 ft,,29,29
108,1,0:01.0,,Defensive rebound by L. James,29,29
109,2,11:49.0,,J. Clarkson misses 2-pt jump shot from 21 ft,29,29
110,2,11:45.0,,Offensive rebound by T. Thompson,29,29
111,2,11:38.0,,Turnover by J. Clarkson (bad pass; steal by D. Miller),29,29
112,2,11:26.0,D. Miller makes 3-pt jump shot from 26 ft (assist by N. Mirotić),,32,29
113,2,11:05.0,,J. Smith misses 2-pt jump shot from 21 ft,32,29
114,2,11:02.0,Defensive rebound by N. Mirotić,,32,29
115,2,10:54.0,N. Mirotić misses 2-pt layup at rim,,32,29
116,2,10:52.0,,Defensive rebound by K. Love,32,29
117,2,10:30.0,,K. Love misses 3-pt jump shot from 25 ft,32,29
118,2,10:26.0,Defensive rebound by I. Clark,,32,29
119,2,10:21.0,N. Mirotić misses 3-pt jump shot from 28 ft,,32,29
120,2,10:18.0,,Defensive rebound by K. Love,32,29
121,2,10:10.0,,J. Clarkson makes 2-pt layup from 1 ft,32,31
122,2,9:58.0,N. Mirotić makes 2-pt dunk at rim (assist by C. Diallo),,34,31
123,2,9:34.0,,J. Green misses 2-pt jump shot from 14 ft,34,31
124,2,9:34.0,,Offensive rebound by Team,34,31
125,2,9:34.0,Loose ball foul by D. Miller (drawn by K. Love),,34,31
126,2,9:34.0,,G. Hill enters the game for T. Thompson,34,31
127,2,9:28.0,,K. Love misses 3-pt jump shot from 23 ft,34,31
128,2,9:26.0,Defensive rebound by N. Mirotić,,34,31
129,2,9:12.0,Personal foul by J. Green (drawn by N. Mirotić),,34,31
130,2,8:59.0,D. Miller makes 2-pt jump shot from 23 ft (assist by J. Holiday),,36,31
131,2,8:41.0,,Turnover by J. Clarkson (out of bounds lost ball),36,31
132,2,8:20.0,N. Mirotić misses 3-pt jump shot from 26 ft,,36,31
133,2,8:15.0,Offensive rebound by D. Miller,,36,31
134,2,8:12.0,D. Miller misses 3-pt jump shot from 21 ft,,36,31
135,2,8:08.0,Offensive rebound by C. Diallo,,36,31
136,2,8:07.0,C. Diallo makes 2-pt dunk from 2 ft,,38,31
137,2,8:07.0,,Cleveland full timeout,38,31
138,2,8:07.0,,R. Hood enters the game for J. Smith,38,31
139,2,8:07.0,,L. James enters the game for J. Clarkson,38,31
140,2,7:44.0,,L. James makes 2-pt layup from 1 ft,38,33
141,2,7:30.0,J. Holiday misses 2-pt layup from 2 ft (block by J. Green),,38,33
142,2,7:30.0,Offensive rebound by Team,,38,33
143,2,7:30.0,,Loose ball foul by G. Hill (drawn by N. Mirotić),38,33
144,2,7:30.0,S. Hill enters the game for N. Mirotić,,38,33
145,2,7:20.0,I. Clark misses 2-pt jump shot from 17 ft,,38,33
146,2,7:17.0,,Defensive rebound by L. James,38,33
147,2,7:11.0,,K. Love misses 3-pt jump shot from 25 ft,38,33
148,2,7:09.0,Defensive rebound by J. Holiday,,38,33
149,2,6:55.0,J. Holiday makes 2-pt jump shot from 6 ft,,40,33
150,2,6:38.0,,K. Love misses 2-pt hook shot from 11 ft,40,33
151,2,6:35.0,Defensive rebound by C. Diallo,,40,33
152,2,6:35.0,Personal foul by K. Love (drawn by J. Holiday),,40,33
153,2,6:29.0,Turnover by J. Holiday (bad pass; steal by J. Green),,40,33
154,2,6:20.0,,G. Hill misses 2-pt jump shot from 14 ft,40,33
155,2,6:18.0,Defensive rebound by D. Miller,,40,33
156,2,6:12.0,S. Hill makes 2-pt layup from 2 ft,,42,33
157,2,5:56.0,,K. Love makes 2-pt jump shot from 9 ft (assist by L. James),42,35
158,2,5:44.0,J. Holiday makes 2-pt layup at rim,,44,35
159,2,5:31.0,,Turnover by G. Hill (bad pass),44,35
160,2,5:31.0,,J. Clarkson enters the game for K. Love,44,35
161,2,5:12.0,C. Diallo makes 2-pt jump shot from 12 ft (assist by S. Hill),,46,35
162,2,4:56.0,,R. Hood misses 2-pt jump shot from 8 ft,46,35
163,2,4:54.0,Defensive rebound by C. Diallo,,46,35
