,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
0,1,11:37.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by R. Covington),,3,0
1,1,11:16.0,,D. Brooks misses 2-pt jump shot from 12 ft,3,0
2,1,11:13.0,Defensive rebound by D. Šarić,,3,0
3,1,11:03.0,B. Simmons makes 2-pt layup at rim,,5,0
4,1,10:51.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by T. Evans),5,3
5,1,10:37.0,J. Embiid misses 2-pt hook shot from 5 ft,,5,3
6,1,10:36.0,,Defensive rebound by Team,5,3
7,1,10:36.0,Loose ball foul by J. Embiid (drawn by M. Gasol),,5,3
8,1,10:19.0,,M. Gasol misses 2-pt jump shot from 19 ft,5,3
9,1,10:16.0,Defensive rebound by J. Embiid,,5,3
10,1,10:09.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 22 ft (assist by B. Simmons),,8,3
11,1,9:42.0,,T. Evans misses 3-pt jump shot from 27 ft,8,3
12,1,9:39.0,Defensive rebound by B. Simmons,,8,3
13,1,9:22.0,R. Covington misses 2-pt jump shot from 9 ft,,8,3
14,1,9:20.0,,Defensive rebound by T. Evans,8,3
15,1,9:06.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by M. Gasol),8,3
16,1,9:06.0,,M. Gasol makes free throw 1 of 2,8,4
17,1,9:06.0,,M. Gasol makes free throw 2 of 2,8,5
18,1,8:57.0,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),,11,5
19,1,8:31.0,,T. Evans makes 2-pt jump shot from 20 ft,11,7
20,1,8:03.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Martin),,11,7
21,1,8:03.0,,Personal take foul by T. Luwawu-Cabarrot (drawn by T. Evans),11,7
22,1,8:03.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,11,7
23,1,7:54.0,,A. Harrison misses 2-pt jump shot from 19 ft,11,7
24,1,7:52.0,Defensive rebound by J. Embiid,,11,7
25,1,7:37.0,D. Šarić makes 2-pt layup at rim (assist by B. Simmons),,13,7
26,1,7:23.0,,M. Gasol misses 3-pt jump shot from 25 ft,13,7
27,1,7:19.0,Defensive rebound by T. McConnell,,13,7
28,1,7:12.0,Turnover by T. McConnell (bad pass),,13,7
29,1,7:12.0,J. Anderson enters the game for R. Covington,,13,7
30,1,7:00.0,,A. Harrison makes 2-pt jump shot from 20 ft,13,9
31,1,6:38.0,J. Embiid misses 2-pt jump shot from 20 ft,,13,9
32,1,6:35.0,,Defensive rebound by T. Evans,13,9
33,1,6:27.0,,T. Evans misses 3-pt jump shot from 25 ft,13,9
34,1,6:22.0,Defensive rebound by T. McConnell,,13,9
35,1,6:13.0,J. Anderson misses 3-pt jump shot from 23 ft,,13,9
36,1,6:11.0,,Defensive rebound by M. Gasol,13,9
37,1,6:08.0,,Memphis full timeout,13,9
38,1,6:08.0,A. Johnson enters the game for J. Embiid,,13,9
39,1,6:02.0,,Personal foul by A. Johnson (drawn by M. Gasol),13,9
40,1,6:02.0,,W. Selden enters the game for T. Evans,13,9
41,1,5:53.0,,M. Gasol misses 2-pt hook shot from 7 ft,13,9
42,1,5:48.0,Defensive rebound by A. Johnson,,13,9
43,1,5:36.0,T. McConnell misses 2-pt jump shot from 13 ft,,13,9
44,1,5:33.0,,Defensive rebound by J. Martin,13,9
45,1,5:27.0,,Turnover by D. Brooks (bad pass),13,9
46,1,5:04.0,B. Simmons makes 2-pt dunk from 1 ft,,15,9
47,1,4:42.0,,D. Brooks misses 3-pt jump shot from 23 ft,15,9
48,1,4:36.0,Defensive rebound by J. Anderson,,15,9
49,1,4:31.0,J. Anderson misses 3-pt jump shot from 23 ft,,15,9
50,1,4:28.0,Offensive rebound by D. Šarić,,15,9
51,1,4:27.0,J. Anderson makes 2-pt layup from 1 ft (assist by D. Šarić),,17,9
52,1,4:10.0,,Turnover by J. Martin (bad pass),17,9
53,1,4:10.0,,Loose ball foul by D. Brooks (drawn by B. Simmons),17,9
54,1,4:10.0,,D. Davis enters the game for J. Martin,17,9
55,1,4:10.0,,B. McLemore enters the game for D. Brooks,17,9
56,1,4:10.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,17,9
57,1,4:00.0,T. McConnell misses 2-pt jump shot from 12 ft,,17,9
58,1,3:58.0,,Defensive rebound by D. Davis,17,9
59,1,3:53.0,,Personal foul by D. Šarić (drawn by M. Gasol),17,9
60,1,3:53.0,,M. Gasol makes free throw 1 of 2,17,10
61,1,3:53.0,,M. Chalmers enters the game for A. Harrison,17,10
62,1,3:53.0,R. Covington enters the game for J. Anderson,,17,10
63,1,3:53.0,T. Booker enters the game for D. Šarić,,17,10
64,1,3:53.0,,M. Gasol makes free throw 2 of 2,17,11
65,1,3:29.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by R. Covington),,20,11
66,1,3:08.0,,Turnover by B. McLemore (out of bounds lost ball),20,11
67,1,3:08.0,Philadelphia full timeout,,20,11
68,1,3:08.0,,J. Martin enters the game for M. Gasol,20,11
69,1,3:08.0,J. Embiid enters the game for A. Johnson,,20,11
70,1,2:58.0,Personal foul by D. Davis (drawn by J. Embiid),,20,11
71,1,2:44.0,Shooting foul by M. Chalmers (drawn by R. Covington),,20,11
72,1,2:44.0,R. Covington makes free throw 1 of 2,,21,11
73,1,2:44.0,R. Covington makes free throw 2 of 2,,22,11
74,1,2:31.0,,Turnover by D. Davis (bad pass),22,11
75,1,2:18.0,J. Embiid misses 2-pt layup from 1 ft,,22,11
76,1,2:16.0,Offensive rebound by T. Booker,,22,11
77,1,2:16.0,Shooting foul by M. Chalmers (drawn by T. Booker),,22,11
78,1,2:16.0,,Technical foul by W. Selden,22,11
79,1,2:16.0,R. Covington misses technical free throw,,22,11
80,1,2:16.0,Offensive rebound by Team,,22,11
81,1,2:16.0,T. Booker makes free throw 1 of 2,,23,11
82,1,2:16.0,T. Booker makes free throw 2 of 2,,24,11
83,1,2:07.0,,W. Selden makes 2-pt jump shot from 12 ft,24,13
