,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,Personal foul by D. Bender (drawn by A. Davis),0,0
1,1,11:38.0,,R. Rondo makes 2-pt layup from 1 ft (assist by A. Davis),0,2
2,1,11:19.0,T. Warren misses 2-pt hook shot from 12 ft,,0,2
3,1,11:16.0,,Defensive rebound by A. Davis,0,2
4,1,11:12.0,,A. Davis makes 2-pt jump shot from 18 ft,0,4
5,1,10:55.0,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Bender),,3,4
6,1,10:38.0,,R. Rondo misses 2-pt layup from 3 ft,3,4
7,1,10:35.0,,Offensive rebound by A. Davis,3,4
8,1,10:34.0,,A. Davis misses 2-pt layup from 1 ft (block by T. Warren),3,4
9,1,10:34.0,Defensive rebound by D. Booker,,3,4
10,1,10:29.0,T. Warren makes 2-pt dunk at rim (assist by E. Payton),,5,4
11,1,10:25.0,,E. Okafor makes 2-pt dunk at rim (assist by R. Rondo),5,6
12,1,10:10.0,E. Payton misses 2-pt layup from 1 ft (block by A. Davis),,5,6
13,1,10:10.0,Offensive rebound by Team,,5,6
14,1,10:05.0,T. Warren makes 2-pt jump shot from 15 ft (assist by D. Bender),,7,6
15,1,9:53.0,,E. Okafor makes 2-pt jump shot from 8 ft (assist by E. Moore),7,8
16,1,9:39.0,E. Payton makes 2-pt layup from 1 ft,,9,8
17,1,9:28.0,,E. Moore misses 3-pt jump shot from 23 ft,9,8
18,1,9:25.0,Defensive rebound by D. Bender,,9,8
19,1,9:23.0,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Bender),,12,8
20,1,8:59.0,,A. Davis misses 2-pt jump shot from 17 ft,12,8
21,1,8:56.0,Defensive rebound by D. Booker,,12,8
22,1,8:52.0,Turnover by D. Booker (bad pass; steal by J. Holiday),,12,8
23,1,8:47.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Rondo),12,11
24,1,8:28.0,,Violation by E. Okafor (kicked ball),12,11
25,1,8:22.0,D. Booker makes 2-pt jump shot from 18 ft (assist by A. Len),,14,11
26,1,8:12.0,,Turnover by R. Rondo (step out of bounds),14,11
