,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:36.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Gasol),0,3
1,1,11:16.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,3,3
2,1,10:59.0,,M. Conley misses 3-pt jump shot from 24 ft,3,3
3,1,10:56.0,Defensive rebound by K. Durant,,3,3
4,1,10:35.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,6,3
5,1,10:18.0,,M. Gasol misses 2-pt jump shot from 12 ft,6,3
6,1,10:16.0,Defensive rebound by Z. Pachulia,,6,3
7,1,10:12.0,K. Durant misses 2-pt jump shot from 20 ft,,6,3
8,1,10:08.0,,Defensive rebound by M. Gasol,6,3
9,1,10:06.0,,Shooting foul by K. Thompson (drawn by J. Ennis),6,3
10,1,10:06.0,,J. Ennis misses free throw 1 of 2,6,3
11,1,10:06.0,,Offensive rebound by Team,6,3
12,1,10:06.0,,J. Ennis makes free throw 2 of 2,6,4
13,1,9:52.0,K. Thompson misses 2-pt jump shot from 10 ft,,6,4
14,1,9:48.0,,Defensive rebound by M. Gasol,6,4
15,1,9:41.0,,M. Conley misses 2-pt layup from 4 ft,6,4
16,1,9:39.0,Defensive rebound by D. Green,,6,4
17,1,9:36.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,6,4
18,1,9:36.0,Offensive rebound by Team,,6,4
19,1,9:36.0,,Loose ball foul by A. Harrison (drawn by K. Durant),6,4
20,1,9:33.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by K. Durant),,8,4
21,1,9:14.0,,J. Martin misses 2-pt layup from 2 ft (block by D. Green),8,4
22,1,9:14.0,,Offensive rebound by Team,8,4
23,1,9:10.0,,Shooting foul by S. Curry (drawn by M. Gasol),8,4
24,1,9:10.0,,M. Gasol misses free throw 1 of 2,8,4
25,1,9:10.0,,Offensive rebound by Team,8,4
26,1,9:10.0,,M. Gasol makes free throw 2 of 2,8,5
27,1,8:52.0,K. Thompson misses 2-pt jump shot from 15 ft,,8,5
28,1,8:49.0,,Defensive rebound by J. Martin,8,5
29,1,8:39.0,,M. Conley misses 3-pt jump shot from 25 ft,8,5
30,1,8:33.0,Defensive rebound by S. Curry,,8,5
31,1,8:25.0,Turnover by Z. Pachulia (lost ball; steal by J. Ennis),,8,5
32,1,8:15.0,,Shooting foul by K. Durant (drawn by M. Conley),8,5
33,1,8:15.0,,M. Conley makes free throw 1 of 2,8,6
