,QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,N. Jokić misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,0,0
1,1,11:39.0,Offensive rebound by N. Jokić,,0,0
2,1,11:39.0,N. Jokić makes 2-pt layup from 1 ft,,2,0
3,1,11:23.0,,Turnover by G. Antetokounmpo (lost ball; steal by N. Jokić),2,0
4,1,11:17.0,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),,5,0
5,1,11:00.0,,Personal foul by N. Jokić (drawn by K. Middleton),5,0
6,1,10:55.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by T. Maker),5,3
7,1,10:33.0,W. Barton misses 2-pt layup from 2 ft,,5,3
8,1,10:31.0,,Defensive rebound by G. Antetokounmpo,5,3
9,1,10:27.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,5,3
10,1,10:23.0,Defensive rebound by N. Jokić,,5,3
11,1,10:22.0,Personal foul by T. Maker (drawn by N. Jokić),,5,3
12,1,10:17.0,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),,8,3
13,1,10:02.0,,K. Middleton misses 2-pt layup from 3 ft (block by N. Jokić),8,3
14,1,9:59.0,Defensive rebound by N. Jokić,,8,3
15,1,9:54.0,W. Barton makes 3-pt jump shot from 26 ft (assist by J. Murray),,11,3
16,1,9:29.0,,E. Bledsoe makes 2-pt jump shot from 10 ft,11,5
17,1,9:18.0,Turnover by N. Jokić (bad pass; steal by E. Bledsoe),,11,5
18,1,9:14.0,,Turnover by G. Antetokounmpo (bad pass),11,5
19,1,8:59.0,G. Harris makes 2-pt layup at rim (assist by N. Jokić),,13,5
20,1,8:52.0,,E. Bledsoe makes 2-pt layup at rim,13,7
21,1,8:39.0,W. Barton makes 3-pt jump shot from 27 ft,,16,7
22,1,8:26.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),16,10
23,1,8:18.0,Turnover by W. Barton (out of bounds lost ball),,16,10
24,1,8:07.0,,Turnover by G. Antetokounmpo (bad pass; steal by W. Barton),16,10
25,1,8:04.0,Shooting foul by T. Snell (drawn by W. Barton),,16,10
26,1,8:04.0,W. Barton makes free throw 1 of 2,,17,10
27,1,8:04.0,W. Barton makes free throw 2 of 2,,18,10
28,1,7:53.0,,T. Snell makes 2-pt layup from 1 ft (assist by E. Bledsoe),18,12
29,1,7:43.0,G. Harris makes 2-pt layup from 2 ft,,20,12
30,1,7:27.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),20,15
31,1,7:27.0,,Shooting foul by J. Murray (drawn by K. Middleton),20,15
32,1,7:27.0,,K. Middleton misses free throw 1 of 1,20,15
33,1,7:23.0,,Offensive rebound by G. Antetokounmpo,20,15
34,1,7:20.0,,T. Snell misses 3-pt jump shot from 26 ft,20,15
35,1,7:17.0,Defensive rebound by G. Harris,,20,15
36,1,7:04.0,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),,22,15
37,1,7:04.0,,Milwaukee full timeout,22,15
38,1,6:48.0,,T. Maker misses 3-pt jump shot from 26 ft,22,15
39,1,6:48.0,,Offensive rebound by Team,22,15
40,1,6:48.0,Loose ball foul by W. Chandler (drawn by G. Antetokounmpo),,22,15
41,1,6:38.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,22,15
42,1,6:33.0,Defensive rebound by N. Jokić,,22,15
43,1,6:26.0,Turnover by N. Jokić (lost ball; steal by T. Snell),,22,15
44,1,6:22.0,,T. Snell misses 2-pt layup from 2 ft,22,15
45,1,6:22.0,,Offensive rebound by Team,22,15
46,1,6:22.0,,J. Parker enters the game for G. Antetokounmpo,22,15
47,1,6:10.0,,K. Middleton makes 2-pt jump shot from 9 ft,22,17
48,1,5:51.0,W. Barton misses 3-pt jump shot from 23 ft,,22,17
49,1,5:49.0,Offensive rebound by N. Jokić,,22,17
50,1,5:48.0,N. Jokić makes 2-pt layup from 1 ft,,24,17
51,1,5:36.0,,J. Parker misses 2-pt hook shot from 5 ft,24,17
52,1,5:33.0,Defensive rebound by W. Chandler,,24,17
53,1,5:21.0,Turnover by W. Chandler (bad pass; steal by J. Parker),,24,17
54,1,5:09.0,,J. Parker makes 2-pt jump shot from 15 ft (assist by T. Maker),24,19
55,1,5:00.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),,26,19
56,1,4:42.0,,K. Middleton makes 2-pt jump shot from 18 ft,26,21
57,1,4:41.0,Denver full timeout,,26,21
58,1,4:41.0,,S. Brown enters the game for T. Maker,26,21
59,1,4:41.0,,T. Zeller enters the game for T. Snell,26,21
60,1,4:41.0,T. Lyles enters the game for W. Chandler,,26,21
61,1,4:27.0,J. Murray makes 2-pt jump shot from 9 ft (assist by N. Jokić),,28,21
62,1,4:10.0,,K. Middleton misses 2-pt jump shot from 4 ft,28,21
63,1,4:07.0,Defensive rebound by N. Jokić,,28,21
64,1,4:02.0,Personal foul by K. Middleton (drawn by J. Murray),,28,21
65,1,3:55.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,31,21
66,1,3:39.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by S. Brown),31,24
67,1,3:24.0,Personal foul by E. Bledsoe (drawn by N. Jokić),,31,24
68,1,3:24.0,D. Harris enters the game for J. Murray,,31,24
69,1,3:18.0,Turnover by N. Jokić (traveling),,31,24
70,1,2:57.0,,E. Bledsoe makes 2-pt jump shot from 21 ft,31,26
71,1,2:50.0,Shooting foul by T. Zeller (drawn by G. Harris),,31,26
72,1,2:50.0,G. Harris makes free throw 1 of 2,,32,26
73,1,2:50.0,D. Arthur enters the game for N. Jokić,,32,26
74,1,2:50.0,G. Harris makes free throw 2 of 2,,33,26
75,1,2:33.0,,Turnover by E. Bledsoe (bad pass; steal by T. Lyles),33,26
76,1,2:20.0,T. Lyles misses 2-pt jump shot from 10 ft,,33,26
77,1,2:17.0,,Defensive rebound by S. Brown,33,26
78,1,2:05.0,,K. Middleton misses 2-pt jump shot from 16 ft,33,26
79,1,2:02.0,Defensive rebound by W. Barton,,33,26
80,1,1:54.0,G. Harris misses 3-pt jump shot from 27 ft,,33,26
81,1,1:50.0,,Defensive rebound by T. Zeller,33,26
82,1,1:43.0,,K. Middleton makes 2-pt jump shot from 8 ft,33,28
83,1,1:30.0,G. Harris misses 2-pt layup from 3 ft (block by T. Zeller),,33,28
84,1,1:26.0,,Defensive rebound by T. Zeller,33,28
85,1,1:21.0,,Turnover by K. Middleton (bad pass; steal by G. Harris),33,28
86,1,1:17.0,G. Harris makes 2-pt dunk from 1 ft,,35,28
87,1,1:06.0,,S. Brown misses 3-pt jump shot from 27 ft,35,28
88,1,1:02.0,Defensive rebound by W. Barton,,35,28
89,1,0:58.0,W. Barton misses 2-pt layup from 3 ft,,35,28
90,1,0:56.0,,Defensive rebound by J. Parker,35,28
91,1,0:52.0,,S. Brown misses 2-pt layup from 3 ft (block by D. Arthur),35,28
92,1,0:48.0,,Offensive rebound by J. Parker,35,28
93,1,0:32.0,,E. Bledsoe misses 2-pt jump shot from 17 ft,35,28
94,1,0:29.0,,Offensive rebound by T. Zeller,35,28
95,1,0:29.0,,T. Zeller misses 2-pt hook shot from 4 ft,35,28
96,1,0:29.0,,Offensive rebound by J. Parker,35,28
97,1,0:08.0,M. Beasley enters the game for W. Barton,,35,28
98,1,0:08.0,W. Chandler enters the game for G. Harris,,35,28
99,1,0:03.0,,J. Parker misses 3-pt jump shot from 27 ft,35,28
100,1,0:03.0,,Offensive rebound by E. Bledsoe,35,28
101,2,11:45.0,,J. Parker misses 2-pt jump shot from 13 ft,35,28
102,2,11:25.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by D. Harris),,38,30
