,QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
0,1,11:38.0,W. Chandler makes 2-pt jump shot from 9 ft (assist by N. Jokić),,2,0
1,1,11:16.0,,T. Thompson misses 2-pt hook shot from 9 ft,2,0
2,1,11:14.0,Defensive rebound by P. Millsap,,2,0
3,1,11:10.0,G. Harris makes 2-pt layup from 1 ft (assist by P. Millsap),,4,0
4,1,10:53.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by L. James),4,3
5,1,10:40.0,G. Harris misses 3-pt jump shot from 25 ft,,4,3
6,1,10:33.0,,Defensive rebound by T. Thompson,4,3
7,1,10:30.0,,Turnover by T. Thompson (lost ball; steal by P. Millsap),4,3
8,1,10:16.0,J. Murray misses 3-pt jump shot from 30 ft,,4,3
9,1,10:13.0,,Defensive rebound by L. James,4,3
10,1,10:08.0,,C. Osman makes 2-pt layup at rim (assist by L. James),4,5
11,1,9:53.0,W. Chandler makes 2-pt jump shot from 13 ft (assist by N. Jokić),,6,5
12,1,9:38.0,,G. Hill misses 2-pt jump shot from 16 ft (block by N. Jokić),6,5
13,1,9:35.0,,Offensive rebound by G. Hill,6,5
14,1,9:34.0,,G. Hill misses 2-pt jump shot from 18 ft,6,5
15,1,9:30.0,Defensive rebound by N. Jokić,,6,5
16,1,9:22.0,P. Millsap misses 2-pt layup from 2 ft,,6,5
17,1,9:20.0,,Defensive rebound by L. James,6,5
18,1,9:17.0,,C. Osman makes 2-pt dunk from 1 ft (assist by L. James),6,7
19,1,8:57.0,Personal foul by C. Osman (drawn by N. Jokić),,6,7
20,1,8:50.0,G. Harris makes 2-pt jump shot from 16 ft,,8,7
21,1,8:26.0,,G. Hill makes 2-pt jump shot from 14 ft,8,9
22,1,8:17.0,Turnover by P. Millsap (traveling),,8,9
23,1,8:06.0,,L. James makes 2-pt layup from 1 ft (assist by G. Hill),8,11
24,1,7:54.0,N. Jokić makes 2-pt layup at rim,,10,11
25,1,7:54.0,Shooting foul by G. Hill (drawn by N. Jokić),,10,11
26,1,7:54.0,N. Jokić makes free throw 1 of 1,,11,11
27,1,7:36.0,,Turnover by C. Osman (traveling),11,11
28,1,7:20.0,Shooting foul by C. Osman (drawn by G. Harris),,11,11
29,1,7:20.0,G. Harris makes free throw 1 of 2,,12,11
30,1,7:20.0,G. Harris makes free throw 2 of 2,,13,11
31,1,7:12.0,,Personal foul by W. Chandler (drawn by G. Hill),13,11
32,1,7:03.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),13,13
33,1,6:46.0,,Cleveland full timeout,13,13
34,1,6:33.0,J. Murray misses 2-pt layup from 1 ft,,13,13
35,1,6:31.0,Offensive rebound by P. Millsap,,13,13
36,1,6:31.0,P. Millsap misses 2-pt layup at rim,,13,13
37,1,6:29.0,,Defensive rebound by T. Thompson,13,13
38,1,6:23.0,,C. Osman misses 3-pt jump shot from 26 ft,13,13
39,1,6:18.0,Defensive rebound by P. Millsap,,13,13
40,1,6:11.0,W. Chandler misses 2-pt jump shot from 5 ft,,13,13
41,1,6:11.0,,Defensive rebound by T. Thompson,13,13
42,1,5:58.0,,L. James misses 2-pt layup at rim,13,13
43,1,5:58.0,,Offensive rebound by L. James,13,13
44,1,5:53.0,,L. James misses 2-pt layup at rim,13,13
45,1,5:52.0,,Offensive rebound by T. Thompson,13,13
46,1,5:52.0,,T. Thompson misses 2-pt layup at rim,13,13
47,1,5:50.0,Defensive rebound by N. Jokić,,13,13
48,1,5:47.0,P. Millsap makes 2-pt dunk from 2 ft (assist by N. Jokić),,15,13
49,1,5:31.0,,Personal foul by W. Chandler (drawn by L. James),15,13
50,1,5:31.0,W. Barton enters the game for P. Millsap,,15,13
51,1,5:27.0,Violation by N. Jokić (kicked ball),,15,13
52,1,5:19.0,,C. Osman makes 2-pt jump shot from 8 ft (assist by G. Hill),15,15
53,1,5:04.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,18,15
54,1,4:46.0,,C. Osman makes 2-pt jump shot from 18 ft (assist by G. Hill),18,17
55,1,4:32.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),,21,17
56,1,4:14.0,,Turnover by L. James (lost ball; steal by G. Harris),21,17
57,1,4:10.0,W. Chandler makes 2-pt layup from 1 ft (assist by G. Harris),,23,17
58,1,4:10.0,,Cleveland full timeout,23,17
59,1,4:10.0,,R. Hood enters the game for J. Smith,23,17
60,1,4:10.0,R. Jefferson enters the game for W. Chandler,,23,17
61,1,3:56.0,,T. Thompson makes 2-pt jump shot from 8 ft (assist by L. James),23,19
62,1,3:41.0,J. Murray makes 2-pt jump shot from 18 ft,,25,19
63,1,3:29.0,,G. Hill makes 2-pt jump shot from 20 ft,25,21
64,1,3:10.0,J. Murray makes 3-pt jump shot from 25 ft (assist by G. Harris),,28,21
65,1,2:55.0,,L. James misses 2-pt layup from 1 ft,28,21
66,1,2:52.0,Defensive rebound by N. Jokić,,28,21
67,1,2:49.0,W. Barton makes 3-pt jump shot from 22 ft (assist by G. Harris),,31,21
68,1,2:26.0,,L. James makes 2-pt layup at rim,31,23
69,1,2:12.0,J. Murray makes 2-pt layup at rim (assist by N. Jokić),,33,23
70,1,2:00.0,,Turnover by R. Hood (bad pass),33,23
71,1,2:00.0,,J. Clarkson enters the game for G. Hill,33,23
72,1,2:00.0,,L. Nance enters the game for C. Osman,33,23
73,1,2:00.0,M. Plumlee enters the game for N. Jokić,,33,23
74,1,2:00.0,,K. Korver enters the game for T. Thompson,33,23
75,1,1:46.0,J. Murray misses 2-pt jump shot from 16 ft,,33,23
76,1,1:43.0,,Defensive rebound by L. Nance,33,23
77,1,1:40.0,,L. Nance makes 2-pt dunk at rim,33,25
78,1,1:25.0,M. Plumlee misses 2-pt layup from 1 ft,,33,25
79,1,1:23.0,Offensive rebound by M. Plumlee,,33,25
80,1,1:19.0,W. Barton misses 3-pt jump shot from 27 ft,,33,25
81,1,1:15.0,Offensive rebound by J. Murray,,33,25
82,1,1:13.0,R. Jefferson makes 2-pt layup at rim (assist by W. Barton),,35,25
83,1,1:03.0,,R. Hood makes 2-pt jump shot from 14 ft,35,27
