,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
0,1,11:40.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,2,0
1,1,11:25.0,,Shooting foul by M. Williams (drawn by J. Nurkić),2,0
2,1,11:25.0,,J. Nurkić makes free throw 1 of 2,2,1
3,1,11:25.0,,J. Nurkić makes free throw 2 of 2,2,2
4,1,11:11.0,M. Kidd-Gilchrist misses 2-pt jump shot from 12 ft,,2,2
5,1,11:09.0,,Defensive rebound by J. Nurkić,2,2
6,1,11:02.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),2,4
7,1,10:40.0,Turnover by D. Howard (lost ball; steal by A. Aminu),,2,4
8,1,10:37.0,,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),2,6
9,1,10:21.0,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),,5,6
10,1,10:06.0,,C. McCollum misses 3-pt jump shot from 24 ft,5,6
11,1,10:03.0,Defensive rebound by D. Howard,,5,6
12,1,9:50.0,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft,,5,6
13,1,9:46.0,Offensive rebound by N. Batum,,5,6
14,1,9:46.0,N. Batum misses 2-pt layup at rim,,5,6
15,1,9:45.0,,Defensive rebound by J. Nurkić,5,6
16,1,9:40.0,,M. Harkless misses 3-pt jump shot from 22 ft,5,6
17,1,9:36.0,Defensive rebound by D. Howard,,5,6
18,1,9:31.0,M. Williams misses 3-pt jump shot from 23 ft,,5,6
19,1,9:30.0,,Defensive rebound by D. Lillard,5,6
20,1,9:20.0,,A. Aminu misses 3-pt jump shot from 24 ft,5,6
21,1,9:20.0,Defensive rebound by M. Kidd-Gilchrist,,5,6
22,1,9:03.0,N. Batum misses 2-pt jump shot from 16 ft,,5,6
23,1,9:00.0,,Defensive rebound by A. Aminu,5,6
24,1,8:53.0,,C. McCollum makes 2-pt hook shot from 5 ft,5,8
25,1,8:31.0,D. Howard misses 2-pt hook shot from 3 ft,,5,8
26,1,8:30.0,,Defensive rebound by A. Aminu,5,8
27,1,8:23.0,,D. Lillard misses 2-pt jump shot from 11 ft,5,8
28,1,8:20.0,,Offensive rebound by J. Nurkić,5,8
29,1,8:20.0,,J. Nurkić makes 2-pt hook shot from 4 ft,5,10
30,1,8:20.0,Violation by D. Howard (def goaltending),,5,10
31,1,8:00.0,K. Walker misses 2-pt layup from 1 ft (block by J. Nurkić),,5,10
32,1,8:00.0,Offensive rebound by Team,,5,10
33,1,7:56.0,K. Walker misses 2-pt jump shot from 11 ft,,5,10
34,1,7:51.0,,Defensive rebound by J. Nurkić,5,10
35,1,7:41.0,,A. Aminu misses 2-pt layup at rim,5,10
36,1,7:39.0,Defensive rebound by D. Howard,,5,10
37,1,7:35.0,,Violation by J. Nurkić (kicked ball),5,10
38,1,7:30.0,N. Batum misses 3-pt jump shot from 25 ft,,5,10
39,1,7:28.0,,Defensive rebound by A. Aminu,5,10
40,1,7:18.0,,Portland full timeout,5,10
41,1,7:12.0,,J. Nurkić makes 2-pt layup at rim (assist by C. McCollum),5,12
42,1,6:47.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,5,12
43,1,6:44.0,,Defensive rebound by M. Harkless,5,12
44,1,6:29.0,,J. Nurkić makes 2-pt layup at rim,5,14
45,1,6:17.0,Personal foul by J. Nurkić (drawn by K. Walker),,5,14
46,1,6:11.0,K. Walker misses 2-pt jump shot from 17 ft,,5,14
47,1,6:08.0,,Defensive rebound by A. Aminu,5,14
48,1,6:05.0,,Shooting foul by D. Howard (drawn by A. Aminu),5,14
49,1,6:05.0,,A. Aminu makes free throw 1 of 2,5,15
50,1,6:05.0,,A. Aminu misses free throw 2 of 2,5,15
51,1,6:01.0,Defensive rebound by D. Howard,,5,15
52,1,5:48.0,K. Walker misses 3-pt jump shot from 26 ft,,5,15
53,1,5:47.0,,Defensive rebound by D. Lillard,5,15
54,1,5:39.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),5,18
55,1,5:17.0,Turnover by M. Williams (lost ball; steal by J. Nurkić),,5,18
56,1,5:13.0,,J. Nurkić misses 2-pt layup at rim (block by M. Williams),5,18
57,1,5:13.0,,Offensive rebound by Team,5,18
58,1,5:13.0,,P. Connaughton enters the game for M. Harkless,5,18
59,1,5:13.0,,E. Turner enters the game for C. McCollum,5,18
60,1,4:58.0,,E. Turner makes 2-pt jump shot from 6 ft,5,20
61,1,4:46.0,Charlotte full timeout,,5,20
62,1,4:38.0,N. Batum misses 3-pt jump shot from 25 ft,,5,20
63,1,4:35.0,,Defensive rebound by J. Nurkić,5,20
64,1,4:20.0,,D. Lillard misses 3-pt jump shot from 26 ft,5,20
65,1,4:18.0,Defensive rebound by M. Kidd-Gilchrist,,5,20
66,1,4:04.0,Personal foul by J. Nurkić (drawn by D. Howard),,5,20
67,1,4:04.0,,E. Davis enters the game for A. Aminu,5,20
68,1,4:04.0,,Z. Collins enters the game for J. Nurkić,5,20
69,1,3:54.0,D. Howard misses 2-pt hook shot from 4 ft,,5,20
70,1,3:51.0,,Defensive rebound by E. Davis,5,20
71,1,3:43.0,,D. Lillard makes 2-pt jump shot from 3 ft,5,22
72,1,3:27.0,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),,8,22
73,1,3:10.0,,Z. Collins misses 3-pt jump shot from 24 ft,8,22
74,1,3:09.0,Defensive rebound by D. Howard,,8,22
75,1,2:54.0,K. Walker makes 3-pt jump shot from 24 ft (assist by D. Howard),,11,22
76,1,2:28.0,,Z. Collins makes 2-pt jump shot from 12 ft,11,24
77,1,2:12.0,D. Howard makes 2-pt layup from 1 ft,,13,24
78,1,2:12.0,Shooting foul by E. Davis (drawn by D. Howard),,13,24
79,1,2:12.0,F. Kaminsky enters the game for M. Williams,,13,24
80,1,2:12.0,M. Carter-Williams enters the game for M. Kidd-Gilchrist,,13,24
81,1,2:12.0,J. Lamb enters the game for K. Walker,,13,24
82,1,2:12.0,D. Howard makes free throw 1 of 1,,16,27
83,1,1:53.0,,D. Lillard misses 3-pt jump shot from 26 ft,16,27
84,1,1:50.0,Defensive rebound by Team,,16,27
85,1,1:46.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,16,27
86,1,1:43.0,,Defensive rebound by D. Lillard,16,27
87,1,1:36.0,,D. Lillard misses 2-pt layup from 1 ft (block by D. Howard),16,27
88,1,1:33.0,,Offensive rebound by Z. Collins,16,27
89,1,1:31.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by Z. Collins),13,27
90,1,1:15.0,N. Batum makes 2-pt jump shot from 23 ft (assist by M. Carter-Williams),,15,27
91,1,1:01.0,,P. Connaughton makes 2-pt jump shot from 15 ft,16,29
92,1,0:47.0,N. Batum misses 2-pt jump shot from 18 ft,,16,29
93,1,0:45.0,,Defensive rebound by E. Davis,16,29
94,1,0:33.0,,Z. Collins misses 3-pt jump shot from 25 ft,16,29
95,1,0:29.0,Defensive rebound by F. Kaminsky,,16,29
96,1,0:12.0,D. Howard makes 2-pt dunk at rim (assist by F. Kaminsky),,18,29
97,1,0:00.0,,Z. Collins misses 2-pt jump shot from 16 ft,18,29
98,1,0:00.0,,Offensive rebound by Team,18,29
99,2,11:45.0,,E. Turner makes 2-pt jump shot from 9 ft,18,31
100,2,11:33.0,Turnover by C. Zeller (traveling),,18,31
101,2,11:18.0,,Turnover by C. McCollum (bad pass; steal by F. Kaminsky),18,31
102,2,11:07.0,J. Lamb misses 2-pt layup at rim,,18,31
103,2,11:05.0,,Defensive rebound by E. Turner,18,31
104,2,11:02.0,,S. Napier misses 3-pt jump shot from 24 ft,18,31
105,2,11:00.0,Defensive rebound by M. Carter-Williams,,18,31
106,2,10:48.0,F. Kaminsky misses 2-pt jump shot from 11 ft,,18,31
107,2,10:44.0,,Defensive rebound by E. Davis,18,31
108,2,10:39.0,,Personal foul by F. Kaminsky (drawn by Z. Collins),18,31
109,2,10:35.0,,C. McCollum misses 2-pt jump shot from 3 ft,18,31
110,2,10:33.0,Defensive rebound by T. Graham,,18,31
111,2,10:20.0,F. Kaminsky makes 2-pt layup from 2 ft,,20,31
112,2,10:00.0,,E. Turner makes 2-pt layup from 1 ft,20,33
113,2,9:45.0,J. Lamb misses 2-pt jump shot from 21 ft,,20,33
114,2,9:43.0,,Defensive rebound by E. Davis,20,33
115,2,9:35.0,,E. Turner misses 2-pt jump shot from 10 ft,20,33
116,2,9:32.0,Defensive rebound by C. Zeller,,20,33
117,2,9:28.0,Personal foul by C. McCollum (drawn by M. Carter-Williams),,20,33
118,2,9:19.0,C. Zeller misses 2-pt layup at rim,,20,33
119,2,9:16.0,,Defensive rebound by E. Davis,20,33
120,2,9:10.0,,C. McCollum misses 2-pt jump shot from 14 ft,20,33
121,2,9:07.0,Defensive rebound by J. Lamb,,20,33
122,2,9:02.0,J. Lamb makes 2-pt jump shot from 14 ft (assist by M. Carter-Williams),,22,33
123,2,8:44.0,,Personal foul by M. Carter-Williams (drawn by C. McCollum),22,33
124,2,8:31.0,,E. Davis makes 2-pt hook shot from 3 ft (assist by S. Napier),22,35
125,2,8:11.0,F. Kaminsky misses 2-pt hook shot from 2 ft (block by E. Davis),,22,35
126,2,8:06.0,Offensive rebound by C. Zeller,,22,35
127,2,8:06.0,C. Zeller makes 2-pt layup at rim,,24,35
128,2,7:49.0,,Shooting foul by M. Carter-Williams (drawn by E. Turner),24,35
129,2,7:49.0,,E. Turner makes free throw 1 of 2,24,36
130,2,7:49.0,,E. Turner makes free throw 2 of 2,24,37
131,2,7:38.0,M. Carter-Williams misses 2-pt jump shot from 9 ft,,24,37
132,2,7:36.0,,Defensive rebound by E. Davis,24,37
133,2,7:27.0,,C. McCollum misses 3-pt jump shot from 24 ft,24,37
134,2,7:25.0,Defensive rebound by F. Kaminsky,,24,37
135,2,7:16.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by C. Zeller),,27,37
136,2,6:55.0,,Portland full timeout,27,37
137,2,6:55.0,,M. Harkless enters the game for E. Turner,27,37
138,2,6:55.0,K. Walker enters the game for M. Carter-Williams,,27,37
139,2,6:47.0,,C. McCollum makes 2-pt layup from 1 ft,27,39
140,2,6:30.0,Turnover by J. Lamb (bad pass),,27,39
141,2,6:06.0,,S. Napier misses 3-pt jump shot from 25 ft,27,39
142,2,6:04.0,Defensive rebound by C. Zeller,,27,39
143,2,5:58.0,K. Walker makes 2-pt jump shot from 18 ft,,29,39
144,2,5:39.0,,Z. Collins misses 3-pt jump shot from 24 ft,29,39
145,2,5:36.0,Defensive rebound by J. Lamb,,29,39
146,2,5:31.0,,Loose ball foul by M. Harkless (drawn by C. Zeller),29,39
147,2,5:30.0,D. Howard enters the game for C. Zeller,,29,39
148,2,5:30.0,J. Lamb misses 2-pt jump shot from 10 ft,,29,39
149,2,5:30.0,Offensive rebound by Team,,29,39
150,2,5:30.0,,A. Aminu enters the game for C. McCollum,29,39
151,2,5:30.0,,D. Lillard enters the game for E. Davis,29,39
152,2,5:30.0,,J. Nurkić enters the game for Z. Collins,29,39
153,2,5:30.0,N. Batum enters the game for J. Lamb,,29,39
154,2,5:20.0,K. Walker misses 2-pt layup from 1 ft,,29,39
155,2,5:15.0,Offensive rebound by D. Howard,,29,39
156,2,5:15.0,D. Howard misses 2-pt layup at rim,,29,39
157,2,5:14.0,Offensive rebound by D. Howard,,29,39
158,2,5:13.0,D. Howard misses 2-pt layup from 1 ft (block by S. Napier),,29,39
159,2,5:12.0,,Defensive rebound by A. Aminu,29,39
160,2,5:10.0,,Personal foul by T. Graham (drawn by D. Lillard),29,39
161,2,5:10.0,M. Williams enters the game for F. Kaminsky,,29,39
162,2,5:01.0,,Turnover by J. Nurkić (traveling),29,39
163,2,4:46.0,N. Batum makes 2-pt jump shot from 16 ft,,31,39
164,2,4:30.0,,Turnover by D. Lillard (bad pass),31,39
165,2,4:30.0,,Loose ball foul by M. Harkless (drawn by T. Graham),31,39
166,2,4:16.0,K. Walker misses 2-pt layup from 1 ft,,31,39
167,2,4:12.0,,Defensive rebound by M. Harkless,31,39
168,2,4:02.0,,A. Aminu misses 2-pt jump shot from 18 ft,31,39
169,2,4:00.0,Defensive rebound by M. Williams,,31,39
170,2,3:53.0,N. Batum makes 2-pt jump shot from 6 ft,,33,39
171,2,3:36.0,,J. Nurkić misses 2-pt layup from 1 ft,33,39
172,2,3:36.0,Defensive rebound by D. Howard,,33,39
173,2,3:24.0,N. Batum misses 3-pt jump shot from 24 ft,,33,39
174,2,3:21.0,,Defensive rebound by J. Nurkić,33,39
175,2,3:15.0,,D. Lillard makes 3-pt jump shot from 26 ft,33,42
176,2,3:00.0,K. Walker makes 2-pt jump shot from 16 ft,,35,42
177,2,2:46.0,,D. Lillard misses 2-pt layup from 1 ft,35,42
178,2,2:43.0,,Offensive rebound by A. Aminu,35,42
179,2,2:41.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Aminu),35,44
180,2,2:24.0,K. Walker makes 2-pt layup from 1 ft,,37,44
181,2,2:08.0,,Turnover by J. Nurkić (bad pass; steal by K. Walker),37,44
182,2,2:06.0,Shooting foul by M. Harkless (drawn by K. Walker),,37,44
183,2,2:06.0,Charlotte full timeout,,37,44
184,2,2:06.0,,M. Leonard enters the game for S. Napier,37,44
185,2,2:06.0,,C. McCollum enters the game for J. Nurkić,37,44
186,2,2:06.0,M. Kidd-Gilchrist enters the game for T. Graham,,37,44
187,2,2:06.0,K. Walker makes free throw 1 of 2,,38,44
188,2,2:06.0,K. Walker makes free throw 2 of 2,,39,44
189,2,1:51.0,,M. Leonard misses 2-pt jump shot from 17 ft,39,44
190,2,1:47.0,Defensive rebound by D. Howard,,39,44
191,2,1:36.0,K. Walker makes 3-pt jump shot from 25 ft,,42,44
192,2,1:21.0,,D. Lillard misses 3-pt jump shot from 24 ft,42,44
193,2,1:19.0,Defensive rebound by D. Howard,,42,44
194,2,1:03.0,M. Kidd-Gilchrist misses 2-pt jump shot from 9 ft,,42,44
195,2,1:00.0,,Defensive rebound by M. Leonard,42,44
196,2,0:55.0,,Shooting foul by M. Kidd-Gilchrist (drawn by C. McCollum),42,44
197,2,0:55.0,,C. McCollum makes free throw 1 of 2,42,45
198,2,0:55.0,,C. McCollum makes free throw 2 of 2,42,46
199,2,0:47.0,K. Walker makes 3-pt jump shot from 24 ft,,45,46
200,2,0:33.0,,D. Lillard misses 2-pt layup from 2 ft (block by M. Williams),45,46
201,2,0:28.0,Defensive rebound by M. Kidd-Gilchrist,,45,46
202,2,0:19.0,N. Batum misses 3-pt jump shot from 24 ft,,45,46
203,2,0:16.0,,Defensive rebound by A. Aminu,45,46
204,2,0:00.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),45,49
205,3,11:43.0,,A. Aminu misses 2-pt jump shot from 19 ft,45,49
206,3,11:40.0,Defensive rebound by M. Williams,,45,49
207,3,11:26.0,Turnover by N. Batum (bad pass; steal by J. Nurkić),,45,49
208,3,11:18.0,,J. Nurkić misses 2-pt layup from 3 ft,45,49
209,3,11:15.0,Defensive rebound by M. Williams,,45,49
210,3,11:05.0,D. Howard misses 2-pt jump shot from 8 ft,,45,49
211,3,11:03.0,,Defensive rebound by A. Aminu,45,49
212,3,10:45.0,,J. Nurkić makes 2-pt jump shot from 5 ft (assist by D. Lillard),45,51
213,3,10:19.0,D. Howard makes 2-pt jump shot from 23 ft (assist by M. Williams),,47,51
214,3,9:57.0,,M. Harkless misses 3-pt jump shot from 24 ft,47,51
215,3,9:56.0,,Offensive rebound by J. Nurkić,47,51
216,3,9:53.0,,C. McCollum misses 2-pt layup from 1 ft,47,51
217,3,9:52.0,,Offensive rebound by J. Nurkić,47,51
218,3,9:52.0,,J. Nurkić makes 2-pt layup from 1 ft,47,53
219,3,9:52.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Nurkić),47,53
220,3,9:52.0,,J. Nurkić makes free throw 1 of 1,47,54
221,3,9:36.0,M. Williams makes 2-pt jump shot from 3 ft,,49,54
222,3,9:21.0,,A. Aminu misses 2-pt layup from 2 ft,49,54
223,3,9:20.0,,Offensive rebound by M. Harkless,49,54
224,3,9:19.0,,M. Harkless makes 2-pt layup from 1 ft,49,56
225,3,9:02.0,Turnover by N. Batum (lost ball; steal by D. Lillard),,49,56
226,3,9:00.0,,Turnover by D. Lillard (bad pass; steal by K. Walker),49,56
227,3,8:48.0,M. Williams makes 2-pt layup from 4 ft,,51,56
228,3,8:28.0,,A. Aminu makes 2-pt layup from 1 ft,51,58
229,3,8:16.0,N. Batum makes 2-pt jump shot from 18 ft,,53,58
230,3,8:04.0,,C. McCollum misses 2-pt jump shot from 9 ft,53,58
231,3,8:00.0,Defensive rebound by D. Howard,,53,58
232,3,7:53.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,56,58
233,3,7:25.0,,C. McCollum misses 2-pt jump shot from 14 ft,56,58
234,3,7:22.0,Defensive rebound by M. Williams,,56,58
235,3,7:05.0,Turnover by K. Walker (bad pass; steal by A. Aminu),,56,58
236,3,6:59.0,,D. Lillard misses 3-pt jump shot from 26 ft,56,58
