,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:41.0,M. Gasol makes 2-pt dunk at rim (assist by J. Martin),,2,0
1,1,11:19.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),2,2
2,1,11:06.0,Shooting foul by R. Anderson (drawn by J. Ennis),,2,2
3,1,11:06.0,J. Ennis makes free throw 1 of 2,,3,2
4,1,11:06.0,J. Ennis makes free throw 2 of 2,,4,2
5,1,10:46.0,,R. Anderson makes 2-pt jump shot from 16 ft (assist by T. Ariza),4,4
6,1,10:30.0,M. Gasol misses 3-pt jump shot from 25 ft,,4,4
7,1,10:25.0,,Defensive rebound by E. Gordon,4,4
8,1,10:22.0,,E. Gordon misses 3-pt jump shot from 29 ft,4,4
9,1,10:18.0,Defensive rebound by J. Martin,,4,4
10,1,10:03.0,M. Gasol makes 2-pt dunk at rim,,6,4
11,1,9:45.0,,J. Harden misses 2-pt layup from 6 ft,6,4
12,1,9:41.0,Defensive rebound by A. Harrison,,6,4
13,1,9:37.0,A. Harrison makes 2-pt layup at rim,,8,4
14,1,9:23.0,,E. Gordon makes 2-pt layup from 3 ft (assist by J. Harden),8,6
15,1,8:57.0,M. Gasol misses 2-pt jump shot from 10 ft,,8,6
16,1,8:54.0,,Defensive rebound by C. Capela,8,6
17,1,8:47.0,,Shooting foul by M. Gasol (drawn by J. Harden),8,6
18,1,8:47.0,,J. Harden makes free throw 1 of 2,8,7
19,1,8:47.0,,J. Harden makes free throw 2 of 2,8,8
20,1,8:37.0,M. Conley misses 2-pt layup from 2 ft (block by C. Capela),,8,8
21,1,8:31.0,,Defensive rebound by E. Gordon,8,8
22,1,8:28.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by E. Gordon),8,11
23,1,8:16.0,J. Martin misses 2-pt jump shot from 22 ft,,8,11
24,1,8:12.0,,Defensive rebound by E. Gordon,8,11
25,1,8:08.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),8,13
26,1,7:41.0,Shooting foul by J. Harden (drawn by M. Gasol),,8,13
27,1,7:41.0,M. Gasol makes free throw 1 of 2,,9,13
28,1,7:41.0,M. Gasol makes free throw 2 of 2,,10,13
29,1,7:19.0,,T. Ariza misses 3-pt jump shot from 23 ft,10,13
30,1,7:16.0,,Offensive rebound by C. Capela,10,13
31,1,7:11.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by R. Anderson),10,16
32,1,6:52.0,M. Gasol misses 2-pt hook shot from 10 ft,,10,16
33,1,6:49.0,,Defensive rebound by T. Ariza,10,16
34,1,6:48.0,,Houston full timeout,10,16
35,1,6:39.0,,Shooting foul by A. Harrison (drawn by J. Harden),10,16
36,1,6:39.0,,J. Harden misses free throw 1 of 2,10,16
37,1,6:39.0,,Offensive rebound by Team,10,16
38,1,6:39.0,,J. Harden misses free throw 2 of 2,10,16
39,1,6:36.0,Defensive rebound by M. Gasol,,10,16
40,1,6:16.0,M. Gasol makes 2-pt dunk from 1 ft (assist by M. Conley),,12,16
41,1,6:04.0,,C. Capela makes 2-pt dunk at rim (assist by E. Gordon),12,18
42,1,5:36.0,J. Ennis misses 2-pt jump shot from 19 ft,,12,18
43,1,5:34.0,,Defensive rebound by C. Capela,12,18
44,1,5:27.0,Offensive charge foul by J. Harden (drawn by J. Martin),,12,18
45,1,5:27.0,,Turnover by J. Harden (offensive foul),12,18
46,1,5:27.0,,N. Hilário enters the game for R. Anderson,12,18
47,1,5:27.0,,P. Tucker enters the game for C. Capela,12,18
48,1,5:27.0,,L. Mbah a Moute enters the game for E. Gordon,12,18
49,1,5:27.0,T. Evans enters the game for J. Ennis,,12,18
50,1,5:27.0,M. Chalmers enters the game for A. Harrison,,12,18
51,1,5:27.0,D. Brooks enters the game for M. Conley,,12,18
52,1,5:01.0,J. Martin makes 2-pt jump shot from 4 ft (assist by M. Chalmers),,14,18
53,1,4:49.0,,Offensive foul by P. Tucker (drawn by M. Chalmers),14,18
54,1,4:49.0,,Turnover by P. Tucker (offensive foul),14,18
55,1,4:41.0,M. Chalmers makes 2-pt layup from 1 ft,,16,18
56,1,4:26.0,,Turnover by J. Harden (bad pass; steal by T. Evans),16,18
57,1,4:17.0,M. Gasol makes 2-pt dunk from 2 ft (assist by M. Chalmers),,18,18
58,1,4:03.0,,Personal foul by J. Martin (drawn by N. Hilário),18,18
59,1,3:58.0,,N. Hilário makes 2-pt layup at rim (assist by T. Ariza),18,20
60,1,3:51.0,Turnover by M. Gasol (bad pass),,18,20
61,1,3:48.0,,Personal foul by J. Martin (drawn by N. Hilário),18,20
62,1,3:48.0,C. Parsons enters the game for J. Martin,,18,20
63,1,3:40.0,,J. Harden misses 2-pt jump shot from 15 ft,18,20
64,1,3:36.0,Defensive rebound by C. Parsons,,18,20
