,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BOSTON_ACTION,PHOENIX_SCORE,BOSTON_SCORE
0,1,11:34.0,,A. Baynes misses 2-pt hook shot from 5 ft,0,0
1,1,11:31.0,Defensive rebound by D. Booker,,0,0
2,1,11:19.0,T. Ulis makes 2-pt jump shot from 18 ft (assist by T. Chandler),,2,0
3,1,11:00.0,,K. Irving misses 2-pt jump shot from 13 ft,2,0
4,1,10:57.0,Defensive rebound by T. Chandler,,2,0
5,1,10:47.0,D. Booker makes 3-pt jump shot from 24 ft (assist by T. Ulis),,5,0
6,1,10:30.0,,Turnover by A. Horford (bad pass; steal by T. Ulis),5,0
7,1,10:27.0,Turnover by T. Ulis (bad pass; steal by J. Tatum),,5,0
8,1,10:21.0,,J. Brown misses 3-pt jump shot from 25 ft,5,0
9,1,10:19.0,,Offensive rebound by J. Tatum,5,0
10,1,10:18.0,,A. Horford makes 2-pt layup from 3 ft (assist by J. Tatum),5,2
11,1,9:54.0,T. Ulis misses 3-pt jump shot from 32 ft,,5,2
12,1,9:52.0,Offensive rebound by Team,,5,2
13,1,9:52.0,Turnover by Team (shot clock),,5,2
14,1,9:43.0,,K. Irving makes 2-pt jump shot from 19 ft,5,4
15,1,9:32.0,Personal foul by K. Irving (drawn by T. Ulis),,5,4
16,1,9:27.0,D. Booker makes 3-pt jump shot from 24 ft (assist by M. Chriss),,8,4
17,1,9:10.0,,J. Brown makes 3-pt jump shot from 22 ft (assist by A. Baynes),8,7
18,1,8:54.0,T. Chandler makes 2-pt dunk from 1 ft (assist by D. Booker),,10,7
19,1,8:38.0,,K. Irving makes 2-pt jump shot from 8 ft (assist by A. Baynes),10,9
20,1,8:20.0,Turnover by D. Booker (out of bounds lost ball),,10,9
21,1,8:08.0,,J. Brown misses 3-pt jump shot from 28 ft,10,9
22,1,8:05.0,Defensive rebound by T. Warren,,10,9
23,1,7:57.0,Offensive foul by T. Warren (drawn by J. Tatum),,10,9
