,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
0,1,11:41.0,S. Labissière misses 2-pt jump shot from 6 ft,,0,0
1,1,11:38.0,,Defensive rebound by K. Towns,0,0
2,1,11:23.0,,K. Towns misses 2-pt hook shot from 7 ft,0,0
3,1,11:20.0,Defensive rebound by Z. Randolph,,0,0
4,1,11:04.0,Z. Randolph makes 2-pt hook shot from 4 ft,,2,0
5,1,10:46.0,,K. Towns makes 2-pt layup from 2 ft (assist by J. Butler),2,2
6,1,10:41.0,Shooting foul by J. Teague (drawn by D. Fox),,2,2
7,1,10:41.0,D. Fox makes free throw 1 of 2,,3,2
8,1,10:41.0,D. Fox makes free throw 2 of 2,,4,2
9,1,10:27.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Butler),4,4
10,1,10:05.0,Z. Randolph misses 3-pt jump shot from 26 ft,,4,4
11,1,10:03.0,Offensive rebound by S. Labissière,,4,4
12,1,9:48.0,G. Hill makes 2-pt jump shot from 20 ft (assist by S. Labissière),,6,4
13,1,9:33.0,,A. Wiggins makes 2-pt jump shot from 19 ft,6,6
14,1,9:16.0,Turnover by D. Fox (bad pass; steal by J. Butler),,6,6
15,1,9:13.0,,J. Butler makes 2-pt dunk at rim,6,8
16,1,8:58.0,S. Labissière misses 2-pt jump shot from 19 ft,,6,8
17,1,8:55.0,,Defensive rebound by J. Teague,6,8
18,1,8:53.0,,Personal foul by G. Temple (drawn by K. Towns),6,8
19,1,8:44.0,,Personal foul by S. Labissière (drawn by K. Towns),6,8
20,1,8:34.0,,A. Wiggins misses 2-pt jump shot from 13 ft,6,8
21,1,8:31.0,Defensive rebound by Z. Randolph,,6,8
22,1,8:14.0,D. Fox misses 3-pt jump shot from 23 ft,,6,8
23,1,8:11.0,,Defensive rebound by T. Gibson,6,8
24,1,8:00.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by J. Teague),6,10
25,1,7:43.0,G. Hill makes 3-pt jump shot from 22 ft (assist by Z. Randolph),,9,10
26,1,7:25.0,,K. Towns makes 3-pt jump shot from 23 ft (assist by J. Teague),9,13
27,1,7:18.0,G. Hill makes 3-pt jump shot from 26 ft (assist by D. Fox),,12,13
28,1,7:06.0,,J. Teague misses 3-pt jump shot from 24 ft,12,13
29,1,7:04.0,Defensive rebound by Z. Randolph,,12,13
30,1,6:56.0,G. Temple misses 2-pt layup from 2 ft (block by K. Towns),,12,13
31,1,6:55.0,Offensive rebound by G. Temple,,12,13
32,1,6:49.0,,Minnesota full timeout,12,13
33,1,6:43.0,G. Hill misses 2-pt jump shot from 11 ft,,12,13
34,1,6:40.0,,Defensive rebound by J. Teague,12,13
35,1,6:21.0,,T. Gibson misses 2-pt layup from 2 ft,12,13
36,1,6:19.0,,Offensive rebound by K. Towns,12,13
37,1,6:19.0,,K. Towns makes 2-pt layup from 1 ft,12,15
38,1,6:02.0,G. Temple makes 3-pt jump shot from 22 ft (assist by D. Fox),,15,15
39,1,5:54.0,,Turnover by J. Teague (out of bounds lost ball),15,15
40,1,5:38.0,Turnover by Z. Randolph (bad pass; steal by K. Towns),,15,15
41,1,5:29.0,,T. Gibson makes 2-pt hook shot from 2 ft (assist by K. Towns),15,17
42,1,5:07.0,Z. Randolph makes 2-pt jump shot from 6 ft,,17,17
43,1,4:51.0,,Shooting foul by G. Hill (drawn by J. Butler),17,17
44,1,4:51.0,,J. Butler makes free throw 1 of 2,17,18
45,1,4:51.0,,G. Dieng enters the game for K. Towns,17,18
46,1,4:51.0,W. Cauley-Stein enters the game for S. Labissière,,17,18
47,1,4:51.0,,J. Butler makes free throw 2 of 2,17,19
48,1,4:35.0,Turnover by D. Fox (lost ball; steal by T. Gibson),,17,19
49,1,4:32.0,,J. Teague makes 2-pt layup from 1 ft (assist by T. Gibson),17,21
50,1,4:32.0,Sacramento full timeout,,17,21
51,1,4:32.0,F. Mason enters the game for D. Fox,,17,21
52,1,4:15.0,W. Cauley-Stein misses 2-pt hook shot from 4 ft,,17,21
53,1,4:12.0,,Defensive rebound by G. Dieng,17,21
54,1,3:51.0,,Turnover by Team (shot clock),17,21
55,1,3:51.0,B. Bogdanović enters the game for G. Temple,,17,21
