,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:48.0,S. Johnson misses 2-pt jump shot from 17 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:35.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by D. DeRozan),0,3
3,1,11:05.0,A. Drummond makes 2-pt jump shot from 11 ft (assist by R. Bullock),,2,3
4,1,10:49.0,,D. DeRozan makes 2-pt layup from 2 ft,2,5
5,1,10:36.0,I. Smith makes 2-pt jump shot from 6 ft,,4,5
6,1,10:22.0,,Turnover by D. DeRozan (step out of bounds),4,5
7,1,10:16.0,I. Smith makes 2-pt jump shot from 16 ft,,6,5
8,1,9:53.0,,S. Ibaka misses 2-pt jump shot from 9 ft,6,5
9,1,9:51.0,Defensive rebound by A. Drummond,,6,5
10,1,9:46.0,I. Smith misses 3-pt jump shot from 22 ft,,6,5
11,1,9:43.0,,Defensive rebound by S. Ibaka,6,5
12,1,9:27.0,,S. Ibaka misses 2-pt dunk from 2 ft (block by A. Drummond),6,5
13,1,9:27.0,,Offensive rebound by Team,6,5
14,1,9:24.0,,O. Anunoby misses 2-pt layup from 6 ft (block by A. Drummond),6,5
15,1,9:21.0,Defensive rebound by R. Bullock,,6,5
16,1,9:20.0,S. Johnson misses 2-pt layup from 3 ft (block by D. DeRozan),,6,5
17,1,9:20.0,Offensive rebound by Team,,6,5
18,1,9:18.0,R. Bullock makes 2-pt jump shot from 14 ft (assist by I. Smith),,8,5
19,1,9:06.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),8,8
20,1,8:58.0,Personal foul by S. Ibaka (drawn by B. Griffin),,8,8
21,1,8:50.0,I. Smith makes 2-pt hook shot from 4 ft,,10,8
22,1,8:35.0,,Turnover by K. Lowry (bad pass; steal by R. Bullock),10,8
23,1,8:28.0,Personal foul by K. Lowry (drawn by A. Drummond),,10,8
24,1,8:13.0,B. Griffin makes 2-pt jump shot from 5 ft,,12,8
25,1,7:51.0,,J. Valančiūnas misses 2-pt jump shot from 21 ft,12,8
26,1,7:49.0,Defensive rebound by A. Drummond,,12,8
27,1,7:42.0,I. Smith misses 2-pt jump shot from 11 ft,,12,8
28,1,7:39.0,,Defensive rebound by S. Ibaka,12,8
29,1,7:33.0,,J. Valančiūnas misses 2-pt hook shot from 10 ft,12,8
30,1,7:29.0,Defensive rebound by A. Drummond,,12,8
31,1,7:18.0,B. Griffin misses 3-pt jump shot from 25 ft,,12,8
32,1,7:16.0,,Defensive rebound by S. Ibaka,12,8
33,1,7:13.0,,K. Lowry makes 3-pt jump shot from 25 ft,12,11
34,1,6:45.0,S. Johnson misses 2-pt jump shot from 10 ft,,12,11
35,1,6:42.0,,Defensive rebound by J. Valančiūnas,12,11
36,1,6:34.0,,Turnover by D. DeRozan (lost ball; steal by A. Drummond),12,11
37,1,6:31.0,S. Johnson makes 2-pt layup from 2 ft (assist by A. Drummond),,14,11
38,1,6:31.0,,Toronto full timeout,14,11
39,1,6:15.0,,Personal foul by A. Drummond (drawn by K. Lowry),14,11
40,1,6:09.0,,D. DeRozan makes 2-pt jump shot from 11 ft (assist by K. Lowry),14,13
41,1,5:51.0,R. Bullock misses 2-pt jump shot from 13 ft,,14,13
42,1,5:49.0,,Defensive rebound by O. Anunoby,14,13
43,1,5:40.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by D. DeRozan),14,16
44,1,5:28.0,R. Bullock makes 2-pt layup at rim (assist by I. Smith),,16,16
45,1,5:02.0,,Turnover by J. Valančiūnas (bad pass; steal by I. Smith),16,16
46,1,4:59.0,I. Smith misses 2-pt layup from 1 ft,,16,16
47,1,4:55.0,,Defensive rebound by S. Ibaka,16,16
48,1,4:47.0,,D. DeRozan misses 3-pt jump shot from 22 ft,16,16
49,1,4:45.0,Defensive rebound by A. Drummond,,16,16
50,1,4:30.0,I. Smith misses 2-pt jump shot from 14 ft,,16,16
51,1,4:29.0,Offensive rebound by A. Drummond,,16,16
52,1,4:29.0,A. Drummond misses 2-pt layup at rim,,16,16
53,1,4:28.0,Offensive rebound by A. Drummond,,16,16
54,1,4:27.0,A. Drummond misses 2-pt layup at rim,,16,16
55,1,4:26.0,Offensive rebound by A. Drummond,,16,16
56,1,4:25.0,A. Drummond makes 2-pt layup at rim,,18,16
57,1,4:10.0,,Turnover by K. Lowry (bad pass; steal by A. Drummond),18,16
58,1,4:08.0,A. Drummond misses 2-pt layup from 2 ft (block by S. Ibaka),,18,16
59,1,4:05.0,,Defensive rebound by K. Lowry,18,16
60,1,3:58.0,,D. DeRozan makes 2-pt jump shot from 19 ft (assist by O. Anunoby),18,18
61,1,3:30.0,B. Griffin misses 2-pt jump shot from 18 ft,,18,18
62,1,3:25.0,,Defensive rebound by J. Valančiūnas,18,18
63,1,3:19.0,,K. Lowry misses 3-pt jump shot from 25 ft,18,18
64,1,3:16.0,,Offensive rebound by K. Lowry,18,18
65,1,3:16.0,Violation by B. Griffin (kicked ball),,18,18
66,1,3:16.0,,C. Miles enters the game for O. Anunoby,18,18
67,1,3:16.0,A. Tolliver enters the game for B. Griffin,,18,18
68,1,3:06.0,,S. Ibaka makes 2-pt jump shot from 4 ft (assist by D. DeRozan),18,20
69,1,2:50.0,Turnover by A. Drummond (lost ball; steal by D. DeRozan),,18,20
70,1,2:47.0,,Shooting foul by I. Smith (drawn by D. DeRozan),18,20
71,1,2:47.0,Detroit full timeout,,18,20
72,1,2:47.0,,J. Poeltl enters the game for K. Lowry,18,20
73,1,2:47.0,,P. Siakam enters the game for S. Ibaka,18,20
74,1,2:47.0,,F. VanVleet enters the game for J. Valančiūnas,18,20
75,1,2:47.0,,D. DeRozan makes free throw 1 of 2,18,21
76,1,2:47.0,,D. DeRozan makes free throw 2 of 2,18,22
77,1,2:34.0,R. Bullock misses 3-pt jump shot from 24 ft,,18,22
78,1,2:31.0,Offensive rebound by I. Smith,,18,22
79,1,2:22.0,I. Smith misses 2-pt layup from 5 ft (block by P. Siakam),,18,22
80,1,2:20.0,,Defensive rebound by J. Poeltl,18,22
81,1,2:11.0,,P. Siakam misses 2-pt jump shot from 11 ft,18,22
82,1,2:09.0,Defensive rebound by A. Drummond,,18,22
83,1,1:59.0,Turnover by R. Bullock (lost ball; steal by J. Poeltl),,18,22
84,1,1:57.0,,P. Siakam makes 2-pt layup from 2 ft (assist by C. Miles),18,24
85,1,1:57.0,,Shooting foul by S. Johnson (drawn by P. Siakam),18,24
86,1,1:57.0,D. Buycks enters the game for I. Smith,,18,24
87,1,1:57.0,,P. Siakam makes free throw 1 of 1,18,25
88,1,1:42.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by S. Johnson),,21,25
89,1,1:26.0,,Turnover by F. VanVleet (bad pass; steal by A. Drummond),21,25
90,1,1:17.0,D. Buycks misses 2-pt jump shot from 16 ft,,21,25
91,1,1:14.0,,Defensive rebound by J. Poeltl,21,25
92,1,1:07.0,,C. Miles misses 3-pt jump shot from 25 ft,21,25
93,1,1:04.0,Defensive rebound by A. Drummond,,21,25
94,1,0:51.0,R. Bullock misses 2-pt jump shot from 15 ft,,21,25
95,1,0:50.0,,Defensive rebound by F. VanVleet,21,25
96,1,0:41.0,,P. Siakam makes 2-pt jump shot from 4 ft (assist by J. Poeltl),21,27
97,1,0:30.0,A. Drummond makes 2-pt hook shot from 8 ft (assist by D. Buycks),,23,27
98,1,0:10.0,,D. DeRozan makes 2-pt layup from 2 ft,23,29
99,1,0:10.0,,Shooting foul by A. Tolliver (drawn by D. DeRozan),23,29
100,1,0:10.0,L. Kennard enters the game for R. Bullock,,23,29
101,1,0:10.0,,D. DeRozan makes free throw 1 of 1,23,30
102,1,0:01.0,D. Buycks makes 3-pt jump shot from 25 ft,,26,30
103,2,11:47.0,,C. Miles misses 3-pt jump shot from 25 ft,26,30
104,2,11:43.0,Defensive rebound by S. Johnson,,26,30
105,2,11:35.0,D. Buycks makes 2-pt layup from 1 ft (assist by B. Griffin),,28,30
106,2,11:24.0,Offensive charge foul by P. Siakam (drawn by D. Buycks),,28,30
107,2,11:24.0,,Turnover by P. Siakam (offensive foul),28,30
108,2,11:07.0,D. Buycks misses 3-pt jump shot from 24 ft,,28,30
109,2,11:04.0,,Defensive rebound by P. Siakam,28,30
110,2,10:54.0,,D. Wright misses 2-pt layup from 3 ft,28,30
111,2,10:48.0,,Offensive rebound by J. Poeltl,28,30
112,2,10:48.0,,J. Poeltl makes 2-pt dunk at rim,28,32
113,2,10:34.0,B. Griffin misses 2-pt jump shot from 17 ft,,28,32
114,2,10:31.0,,Defensive rebound by D. Wright,28,32
115,2,10:27.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by D. Wright),28,35
116,2,10:14.0,Detroit full timeout,,28,35
117,2,10:14.0,J. Ennis enters the game for S. Johnson,,28,35
118,2,9:57.0,B. Griffin misses 2-pt jump shot from 19 ft,,28,35
119,2,9:54.0,,Defensive rebound by C. Miles,28,35
120,2,9:49.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by P. Siakam),28,37
121,2,9:44.0,Turnover by B. Griffin (bad pass; steal by F. VanVleet),,28,37
122,2,9:35.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by P. Siakam),28,40
123,2,9:30.0,Detroit full timeout,,28,40
124,2,9:17.0,L. Kennard misses 2-pt layup from 2 ft (block by D. Wright),,28,40
125,2,9:17.0,Offensive rebound by Team,,28,40
126,2,9:14.0,D. Buycks misses 2-pt layup from 2 ft,,28,40
127,2,9:11.0,Offensive rebound by D. Buycks,,28,40
128,2,9:06.0,Shooting foul by C. Miles (drawn by D. Buycks),,28,40
129,2,9:06.0,D. Buycks makes free throw 1 of 2,,29,40
130,2,9:06.0,D. Buycks makes free throw 2 of 2,,30,40
131,2,8:47.0,,Turnover by D. Wright (step out of bounds),30,40
132,2,8:30.0,D. Buycks misses 3-pt jump shot from 24 ft,,30,40
133,2,8:29.0,Offensive rebound by Team,,30,40
134,2,8:29.0,,Loose ball foul by F. VanVleet (drawn by D. Buycks),30,40
135,2,8:20.0,B. Griffin makes 2-pt layup from 1 ft (assist by J. Ennis),,32,40
136,2,8:07.0,,P. Siakam misses 3-pt jump shot from 25 ft,32,40
137,2,8:05.0,Defensive rebound by J. Ennis,,32,40
138,2,7:44.0,B. Griffin misses 2-pt jump shot from 18 ft,,32,40
139,2,7:40.0,,Defensive rebound by C. Miles,32,40
