,QUARTER,TIME_REMAINING,DETROIT_ACTION,SACRAMENTO_ACTION,DETROIT_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,S. Johnson misses 2-pt layup from 4 ft,,0,0
1,1,11:40.0,,Defensive rebound by B. Hield,0,0
2,1,11:22.0,,D. Fox misses 2-pt jump shot from 18 ft,0,0
3,1,11:19.0,,Offensive rebound by Team,0,0
4,1,11:07.0,,D. Fox makes 2-pt jump shot from 7 ft (assist by Z. Randolph),0,2
5,1,10:53.0,R. Bullock makes 2-pt jump shot from 8 ft (assist by A. Drummond),,2,2
6,1,10:31.0,,Z. Randolph misses 3-pt jump shot from 26 ft,2,2
7,1,10:29.0,Defensive rebound by A. Drummond,,2,2
8,1,10:25.0,B. Griffin makes 2-pt layup from 2 ft (assist by A. Drummond),,4,2
9,1,10:03.0,,J. Jackson misses 2-pt jump shot from 12 ft,4,2
10,1,10:01.0,Defensive rebound by I. Smith,,4,2
11,1,9:56.0,I. Smith misses 2-pt jump shot from 4 ft,,4,2
12,1,9:54.0,,Defensive rebound by D. Fox,4,2
13,1,9:48.0,,B. Hield misses 2-pt layup from 5 ft,4,2
14,1,9:45.0,Defensive rebound by I. Smith,,4,2
15,1,9:38.0,B. Griffin misses 3-pt jump shot from 24 ft,,4,2
16,1,9:35.0,,Defensive rebound by J. Jackson,4,2
17,1,9:27.0,,J. Jackson misses 3-pt jump shot from 24 ft,4,2
18,1,9:25.0,,Offensive rebound by Team,4,2
19,1,9:13.0,,Turnover by B. Hield (bad pass; steal by S. Johnson),4,2
20,1,8:54.0,Personal foul by W. Cauley-Stein (drawn by A. Drummond),,4,2
21,1,8:47.0,I. Smith makes 2-pt layup at rim,,6,2
22,1,8:39.0,,Sacramento full timeout,6,2
23,1,8:26.0,,Z. Randolph misses 2-pt layup from 4 ft (block by A. Drummond),6,2
24,1,8:26.0,,Offensive rebound by Team,6,2
25,1,8:21.0,,B. Hield misses 3-pt jump shot from 23 ft,6,2
26,1,8:18.0,Defensive rebound by A. Drummond,,6,2
27,1,8:11.0,B. Griffin makes 3-pt jump shot from 25 ft,,9,2
28,1,7:56.0,,Z. Randolph misses 2-pt jump shot from 20 ft,9,2
29,1,7:53.0,Defensive rebound by A. Drummond,,9,2
30,1,7:36.0,S. Johnson misses 3-pt jump shot from 22 ft,,9,2
31,1,7:32.0,,Defensive rebound by W. Cauley-Stein,9,2
32,1,7:26.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),9,4
33,1,7:11.0,Shooting foul by W. Cauley-Stein (drawn by B. Griffin),,9,4
34,1,7:11.0,B. Griffin makes free throw 1 of 2,,10,4
35,1,7:11.0,B. Griffin makes free throw 2 of 2,,11,4
36,1,6:58.0,,J. Jackson makes 2-pt jump shot from 8 ft,11,6
37,1,6:47.0,R. Bullock makes 3-pt jump shot from 22 ft (assist by S. Johnson),,14,6
38,1,6:29.0,,Z. Randolph misses 2-pt hook shot from 5 ft (block by B. Griffin),14,6
39,1,6:29.0,,Offensive rebound by Z. Randolph,14,6
40,1,6:25.0,,B. Hield makes 2-pt layup from 1 ft (assist by Z. Randolph),14,8
41,1,6:18.0,S. Johnson misses 3-pt jump shot from 23 ft,,14,8
42,1,6:15.0,,Defensive rebound by W. Cauley-Stein,14,8
43,1,6:08.0,,B. Hield misses 2-pt jump shot from 15 ft,14,8
44,1,6:05.0,Defensive rebound by A. Drummond,,14,8
45,1,5:58.0,I. Smith makes 2-pt jump shot from 18 ft,,16,8
46,1,5:51.0,,Turnover by D. Fox (bad pass; steal by I. Smith),16,8
47,1,5:47.0,R. Bullock misses 3-pt jump shot from 24 ft,,16,8
48,1,5:43.0,,Defensive rebound by W. Cauley-Stein,16,8
49,1,5:31.0,,Z. Randolph misses 2-pt jump shot from 7 ft,16,8
50,1,5:28.0,Defensive rebound by B. Griffin,,16,8
51,1,5:23.0,Turnover by I. Smith (bad pass; steal by B. Hield),,16,8
52,1,5:18.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by J. Jackson),16,11
53,1,4:57.0,R. Bullock makes 2-pt jump shot from 20 ft,,18,11
54,1,4:41.0,,W. Cauley-Stein makes 2-pt jump shot from 20 ft (assist by D. Fox),18,13
55,1,4:31.0,Detroit full timeout,,18,13
56,1,4:31.0,,S. Labissière enters the game for Z. Randolph,18,13
57,1,4:31.0,,K. Koufos enters the game for W. Cauley-Stein,18,13
58,1,4:31.0,L. Kennard enters the game for S. Johnson,,18,13
59,1,4:31.0,A. Tolliver enters the game for A. Drummond,,18,13
60,1,4:20.0,B. Griffin makes 2-pt layup from 3 ft,,20,13
61,1,4:06.0,,Turnover by B. Hield (bad pass),20,13
62,1,3:58.0,I. Smith misses 2-pt jump shot from 19 ft,,20,13
63,1,3:55.0,,Defensive rebound by K. Koufos,20,13
64,1,3:44.0,,S. Labissière misses 2-pt layup from 1 ft,20,13
65,1,3:42.0,Defensive rebound by B. Griffin,,20,13
66,1,3:37.0,Turnover by B. Griffin (bad pass; steal by J. Jackson),,20,13
67,1,3:25.0,,Turnover by B. Hield (step out of bounds),20,13
68,1,3:25.0,,G. Temple enters the game for D. Fox,20,13
69,1,3:25.0,,F. Mason enters the game for B. Hield,20,13
70,1,3:25.0,D. Buycks enters the game for I. Smith,,20,13
71,1,3:12.0,B. Griffin misses 2-pt jump shot from 18 ft,,20,13
72,1,3:08.0,,Defensive rebound by F. Mason,20,13
73,1,2:50.0,,J. Jackson makes 2-pt jump shot from 20 ft (assist by K. Koufos),20,15
74,1,2:31.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by B. Griffin),,23,15
75,1,2:22.0,,S. Labissière makes 2-pt jump shot from 15 ft (assist by F. Mason),23,17
76,1,2:08.0,R. Bullock misses 2-pt jump shot from 18 ft,,23,17
77,1,2:05.0,,Defensive rebound by K. Koufos,23,17
78,1,1:57.0,,S. Labissière misses 3-pt jump shot from 25 ft,23,17
79,1,1:53.0,Defensive rebound by L. Kennard,,23,17
80,1,1:47.0,L. Kennard misses 2-pt jump shot from 9 ft,,23,17
81,1,1:43.0,,Defensive rebound by S. Labissière,23,17
82,1,1:35.0,,J. Jackson makes 2-pt jump shot from 9 ft (assist by F. Mason),23,19
83,1,1:17.0,A. Tolliver misses 3-pt jump shot from 25 ft,,23,19
84,1,1:13.0,,Defensive rebound by J. Jackson,23,19
85,1,1:06.0,,G. Temple misses 3-pt jump shot from 24 ft,23,19
86,1,1:03.0,Defensive rebound by B. Griffin,,23,19
87,1,0:54.0,R. Bullock misses 3-pt jump shot from 24 ft,,23,19
88,1,0:51.0,Offensive rebound by D. Buycks,,23,19
89,1,0:47.0,Shooting foul by K. Koufos (drawn by A. Tolliver),,23,19
90,1,0:47.0,A. Tolliver makes free throw 1 of 2,,24,19
91,1,0:47.0,,V. Carter enters the game for J. Jackson,24,19
92,1,0:47.0,A. Drummond enters the game for B. Griffin,,24,19
93,1,0:47.0,J. Ennis enters the game for R. Bullock,,24,19
94,1,0:47.0,A. Tolliver makes free throw 2 of 2,,25,19
95,1,0:29.0,,F. Mason misses 2-pt layup from 6 ft,25,19
96,1,0:26.0,,Offensive rebound by F. Mason,25,19
97,1,0:25.0,,F. Mason makes 2-pt layup from 2 ft,25,21
98,1,0:02.0,A. Drummond misses 2-pt jump shot from 13 ft,,25,21
99,1,0:01.0,Offensive rebound by Team,,25,21
100,1,0:01.0,Turnover by Team (shot clock),,25,21
101,2,11:36.0,,K. Koufos misses 2-pt hook shot from 8 ft,25,21
102,2,11:34.0,Defensive rebound by A. Drummond,,25,21
