,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:40.0,,A. Drummond misses 2-pt hook shot from 5 ft,0,0
1,1,11:38.0,Defensive rebound by Z. LaVine,,0,0
2,1,11:20.0,Turnover by J. Holiday (bad pass; steal by J. Ennis),,0,0
3,1,11:07.0,,A. Drummond misses 2-pt layup from 2 ft,0,0
4,1,11:04.0,,Offensive rebound by J. Ennis,0,0
5,1,11:03.0,,J. Ennis misses 2-pt layup at rim,0,0
6,1,11:03.0,Defensive rebound by J. Holiday,,0,0
7,1,10:55.0,J. Holiday misses 2-pt layup from 2 ft,,0,0
8,1,10:51.0,Offensive rebound by L. Markkanen,,0,0
9,1,10:51.0,L. Markkanen makes 2-pt dunk at rim,,2,0
10,1,10:38.0,,R. Bullock makes 2-pt jump shot from 19 ft (assist by B. Griffin),2,2
11,1,10:20.0,R. Lopez makes 2-pt dunk at rim (assist by L. Markkanen),,4,2
12,1,10:04.0,,Turnover by R. Bullock (bad pass; steal by Z. LaVine),4,2
13,1,9:56.0,Z. LaVine makes 2-pt layup at rim (assist by K. Dunn),,6,2
14,1,9:43.0,,I. Smith misses 2-pt jump shot from 18 ft,6,2
15,1,9:40.0,Defensive rebound by R. Lopez,,6,2
16,1,9:34.0,Z. LaVine misses 3-pt jump shot from 26 ft,,6,2
17,1,9:31.0,,Defensive rebound by B. Griffin,6,2
18,1,9:27.0,,Turnover by B. Griffin (bad pass; steal by K. Dunn),6,2
19,1,9:22.0,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Dunn),,8,2
20,1,9:16.0,,Detroit full timeout,8,2
21,1,9:02.0,,J. Ennis makes 2-pt dunk from 2 ft (assist by B. Griffin),8,4
22,1,8:46.0,L. Markkanen misses 3-pt jump shot from 28 ft,,8,4
23,1,8:43.0,,Defensive rebound by Team,8,4
24,1,8:29.0,,B. Griffin misses 2-pt jump shot from 21 ft,8,4
25,1,8:25.0,Defensive rebound by Z. LaVine,,8,4
26,1,8:16.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by L. Markkanen),,11,4
27,1,7:51.0,,Shooting foul by K. Dunn (drawn by B. Griffin),11,4
28,1,7:51.0,,B. Griffin makes free throw 1 of 2,11,5
29,1,7:51.0,,B. Griffin makes free throw 2 of 2,11,6
30,1,7:33.0,Z. LaVine misses 3-pt jump shot from 25 ft,,11,6
31,1,7:29.0,,Defensive rebound by I. Smith,11,6
32,1,7:16.0,,A. Drummond misses 2-pt dunk from 2 ft,11,6
33,1,7:14.0,Defensive rebound by R. Lopez,,11,6
34,1,7:14.0,K. Dunn makes 2-pt layup from 1 ft,,13,6
35,1,6:59.0,,Shooting foul by R. Lopez (drawn by A. Drummond),13,6
36,1,6:59.0,,A. Drummond misses free throw 1 of 2,13,6
37,1,6:59.0,,Offensive rebound by Team,13,6
38,1,6:59.0,,A. Drummond makes free throw 2 of 2,13,7
39,1,6:48.0,Shooting foul by B. Griffin (drawn by Z. LaVine),,13,7
40,1,6:48.0,Z. LaVine misses free throw 1 of 2,,13,7
41,1,6:48.0,Offensive rebound by Team,,13,7
42,1,6:48.0,Z. LaVine makes free throw 2 of 2,,14,7
43,1,6:31.0,,B. Griffin makes 3-pt jump shot from 26 ft,14,10
44,1,6:17.0,J. Holiday misses 3-pt jump shot from 22 ft,,14,10
45,1,6:14.0,Offensive rebound by Team,,14,10
46,1,6:08.0,Z. LaVine misses 2-pt layup from 1 ft,,14,10
47,1,6:05.0,,Defensive rebound by R. Bullock,14,10
48,1,5:55.0,,B. Griffin misses 3-pt jump shot from 29 ft,14,10
49,1,5:50.0,Defensive rebound by K. Dunn,,14,10
50,1,5:45.0,L. Markkanen misses 2-pt jump shot from 11 ft,,14,10
51,1,5:41.0,,Defensive rebound by B. Griffin,14,10
52,1,5:34.0,,Turnover by I. Smith (bad pass; steal by Z. LaVine),14,10
53,1,5:23.0,Z. LaVine misses 2-pt jump shot from 9 ft,,14,10
54,1,5:19.0,,Defensive rebound by A. Drummond,14,10
55,1,5:19.0,D. Valentine enters the game for Z. LaVine,,14,10
56,1,5:01.0,,A. Drummond makes 2-pt hook shot from 4 ft,14,12
57,1,4:48.0,R. Lopez makes 3-pt jump shot from 26 ft (assist by K. Dunn),,17,12
58,1,4:24.0,,B. Griffin makes 2-pt layup from 2 ft,17,14
59,1,4:17.0,J. Holiday misses 3-pt jump shot from 24 ft,,17,14
60,1,4:15.0,,Defensive rebound by A. Drummond,17,14
61,1,4:11.0,,I. Smith misses 2-pt jump shot from 17 ft,17,14
62,1,4:07.0,Defensive rebound by L. Markkanen,,17,14
63,1,4:01.0,K. Dunn makes 2-pt jump shot from 12 ft,,19,14
64,1,3:37.0,,Personal foul by D. Valentine (drawn by R. Bullock),19,14
65,1,3:37.0,,E. Moreland enters the game for A. Drummond,19,14
66,1,3:30.0,,I. Smith misses 2-pt jump shot from 15 ft,19,14
67,1,3:27.0,,Offensive rebound by J. Ennis,19,14
68,1,3:26.0,,J. Ennis misses 2-pt layup from 3 ft,19,14
69,1,3:26.0,Defensive rebound by J. Holiday,,19,14
70,1,3:08.0,L. Markkanen misses 2-pt jump shot from 13 ft (block by E. Moreland),,19,14
71,1,3:02.0,,Defensive rebound by R. Bullock,19,14
72,1,2:50.0,,B. Griffin makes 2-pt hook shot from 5 ft,19,16
73,1,2:42.0,Chicago full timeout,,19,16
74,1,2:42.0,,L. Kennard enters the game for I. Smith,19,16
75,1,2:42.0,,J. Nelson enters the game for J. Ennis,19,16
76,1,2:42.0,B. Portis enters the game for L. Markkanen,,19,16
77,1,2:36.0,R. Lopez makes 2-pt hook shot from 12 ft (assist by D. Valentine),,21,16
78,1,2:20.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by E. Moreland),21,19
79,1,2:06.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Valentine),,24,19
80,1,1:42.0,,Turnover by E. Moreland (bad pass),24,19
81,1,1:42.0,C. Payne enters the game for K. Dunn,,24,19
82,1,1:36.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by D. Valentine),,26,19
83,1,1:18.0,,Turnover by J. Nelson (lost ball; steal by B. Portis),26,19
84,1,1:16.0,B. Portis misses 2-pt layup from 2 ft (block by J. Nelson),,26,19
85,1,1:16.0,Offensive rebound by Team,,26,19
86,1,1:09.0,B. Portis misses 3-pt jump shot from 26 ft,,26,19
87,1,1:06.0,,Defensive rebound by E. Moreland,26,19
88,1,1:02.0,,Personal foul by B. Portis (drawn by B. Griffin),26,19
89,1,0:48.0,,B. Griffin makes 2-pt jump shot from 19 ft,26,21
90,1,0:26.0,J. Holiday misses 3-pt jump shot from 24 ft,,26,21
91,1,0:22.0,,Defensive rebound by L. Kennard,26,21
92,1,0:02.0,,B. Griffin misses 3-pt jump shot from 25 ft,26,21
93,1,0:02.0,Defensive rebound by D. Valentine,,26,21
94,2,11:51.0,D. Nwaba misses 3-pt jump shot from 25 ft,,26,21
95,2,11:47.0,,Defensive rebound by A. Tolliver,26,21
96,2,11:32.0,,J. Nelson misses 3-pt jump shot from 27 ft,26,21
97,2,11:28.0,Defensive rebound by D. Valentine,,26,21
98,2,11:22.0,C. Payne misses 2-pt jump shot from 16 ft,,26,21
99,2,11:18.0,,Defensive rebound by A. Tolliver,26,21
100,2,11:14.0,,Turnover by J. Nelson (out of bounds lost ball),26,21
101,2,10:58.0,Turnover by D. Nwaba (traveling),,26,21
102,2,10:43.0,,A. Tolliver misses 2-pt jump shot from 18 ft,26,21
103,2,10:39.0,Defensive rebound by N. Vonleh,,26,21
104,2,10:31.0,B. Portis misses 2-pt hook shot from 5 ft,,26,21
105,2,10:29.0,,Defensive rebound by E. Moreland,26,21
106,2,10:07.0,,E. Moreland makes 2-pt layup from 1 ft,26,23
107,2,9:54.0,N. Vonleh makes 3-pt jump shot from 25 ft (assist by B. Portis),,29,23
108,2,9:35.0,,A. Tolliver misses 3-pt jump shot from 27 ft,29,23
109,2,9:33.0,Defensive rebound by Team,,29,23
110,2,9:23.0,B. Portis misses 3-pt jump shot from 25 ft,,29,23
111,2,9:18.0,Offensive rebound by N. Vonleh,,29,23
112,2,9:17.0,C. Payne makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,32,23
113,2,9:09.0,,Detroit full timeout,32,23
