,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BROOKLYN_ACTION,NEW ORLEANS_SCORE,BROOKLYN_SCORE
0,1,11:48.0,A. Davis makes 2-pt layup from 1 ft (assist by R. Rondo),,2,0
1,1,11:32.0,,S. Dinwiddie makes 2-pt layup from 1 ft (assist by D. Carroll),2,2
2,1,11:20.0,R. Rondo makes 2-pt layup from 1 ft,,4,2
3,1,11:08.0,,A. Crabbe misses 3-pt jump shot from 25 ft,4,2
4,1,11:05.0,Defensive rebound by R. Rondo,,4,2
5,1,10:59.0,A. Davis misses 3-pt jump shot from 24 ft,,4,2
6,1,10:56.0,Offensive rebound by R. Rondo,,4,2
7,1,10:52.0,N. Mirotić makes 2-pt jump shot from 20 ft (assist by R. Rondo),,6,2
8,1,10:26.0,,A. Crabbe makes 2-pt jump shot from 21 ft (assist by S. Dinwiddie),6,4
9,1,10:06.0,R. Rondo makes 2-pt layup at rim,,8,4
10,1,9:50.0,,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),8,6
11,1,9:33.0,A. Davis misses 2-pt jump shot from 20 ft,,8,6
12,1,9:31.0,,Defensive rebound by J. Harris,8,6
13,1,9:23.0,,D. Carroll misses 3-pt jump shot from 25 ft,8,6
14,1,9:21.0,,Offensive rebound by J. Allen,8,6
15,1,9:18.0,,J. Harris misses 3-pt jump shot from 25 ft,8,6
16,1,9:18.0,Defensive rebound by Team,,8,6
17,1,9:18.0,,Loose ball foul by D. Carroll (drawn by R. Rondo),8,6
18,1,9:06.0,A. Davis misses 2-pt layup from 1 ft,,8,6
19,1,9:01.0,Offensive rebound by N. Mirotić,,8,6
20,1,9:01.0,N. Mirotić makes 2-pt layup at rim,,10,6
21,1,8:57.0,,D. Carroll makes 2-pt layup from 1 ft,10,8
22,1,8:46.0,E. Moore misses 2-pt jump shot from 9 ft,,10,8
23,1,8:44.0,Offensive rebound by J. Holiday,,10,8
24,1,8:44.0,Personal foul by D. Carroll (drawn by J. Holiday),,10,8
25,1,8:39.0,J. Holiday misses 2-pt jump shot from 8 ft,,10,8
26,1,8:36.0,Offensive rebound by R. Rondo,,10,8
27,1,8:34.0,N. Mirotić makes 3-pt jump shot from 24 ft (assist by R. Rondo),,13,8
28,1,8:12.0,,Turnover by J. Harris (traveling),13,8
29,1,7:58.0,N. Mirotić misses 2-pt jump shot from 21 ft,,13,8
30,1,7:55.0,,Defensive rebound by J. Allen,13,8
31,1,7:41.0,,S. Dinwiddie misses 3-pt jump shot from 22 ft,13,8
32,1,7:37.0,Defensive rebound by N. Mirotić,,13,8
33,1,7:33.0,J. Holiday misses 2-pt layup from 1 ft,,13,8
34,1,7:31.0,,Defensive rebound by S. Dinwiddie,13,8
35,1,7:20.0,,Turnover by S. Dinwiddie (bad pass; steal by N. Mirotić),13,8
36,1,7:14.0,N. Mirotić misses 3-pt jump shot from 24 ft,,13,8
37,1,7:10.0,,Defensive rebound by J. Allen,13,8
38,1,6:54.0,,A. Crabbe misses 3-pt jump shot from 26 ft,13,8
39,1,6:51.0,,Offensive rebound by J. Harris,13,8
40,1,6:49.0,,J. Harris misses 3-pt jump shot from 23 ft,13,8
41,1,6:45.0,Defensive rebound by A. Davis,,13,8
42,1,6:32.0,A. Davis misses 2-pt jump shot from 20 ft,,13,8
43,1,6:30.0,Offensive rebound by N. Mirotić,,13,8
44,1,6:29.0,N. Mirotić misses 2-pt layup from 5 ft,,13,8
45,1,6:28.0,Offensive rebound by A. Davis,,13,8
46,1,6:27.0,A. Davis makes 2-pt dunk at rim,,15,8
47,1,6:27.0,,Brooklyn full timeout,15,8
48,1,6:27.0,,Q. Acy enters the game for J. Allen,15,8
49,1,6:04.0,,D. Carroll misses 2-pt jump shot from 6 ft (block by N. Mirotić),15,8
50,1,6:01.0,Defensive rebound by N. Mirotić,,15,8
51,1,5:54.0,J. Holiday misses 2-pt jump shot from 6 ft,,15,8
52,1,5:50.0,Offensive rebound by A. Davis,,15,8
53,1,5:50.0,A. Davis misses 2-pt layup at rim,,15,8
54,1,5:49.0,Offensive rebound by A. Davis,,15,8
55,1,5:48.0,A. Davis makes 2-pt layup from 1 ft,,17,8
56,1,5:35.0,,J. Harris makes 3-pt jump shot from 25 ft,17,11
57,1,5:21.0,R. Rondo misses 2-pt jump shot from 23 ft,,17,11
58,1,5:18.0,,Defensive rebound by D. Carroll,17,11
59,1,5:13.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Carroll),17,14
60,1,4:59.0,Turnover by A. Davis (bad pass),,17,14
61,1,4:59.0,,D. Russell enters the game for S. Dinwiddie,17,14
62,1,4:59.0,D. Miller enters the game for R. Rondo,,17,14
63,1,4:35.0,,Turnover by D. Russell (lost ball; steal by J. Holiday),17,14
64,1,4:30.0,N. Mirotić makes 2-pt layup from 5 ft,,19,14
65,1,4:17.0,,D. Carroll misses 2-pt layup from 1 ft,19,14
66,1,4:14.0,Defensive rebound by A. Davis,,19,14
67,1,4:12.0,E. Moore makes 3-pt jump shot from 23 ft (assist by A. Davis),,22,14
68,1,4:10.0,,Brooklyn full timeout,22,14
69,1,4:10.0,,N. Stauskas enters the game for J. Harris,22,14
70,1,4:10.0,C. Diallo enters the game for N. Mirotić,,22,14
71,1,3:57.0,,A. Crabbe misses 3-pt jump shot from 27 ft,22,14
72,1,3:55.0,,Offensive rebound by D. Carroll,22,14
73,1,3:54.0,,D. Carroll makes 2-pt layup from 1 ft,22,16
74,1,3:32.0,C. Diallo makes 2-pt jump shot from 11 ft (assist by A. Davis),,24,16
75,1,3:13.0,,A. Crabbe misses 2-pt jump shot from 14 ft,24,16
76,1,3:13.0,Defensive rebound by C. Diallo,,24,16
77,1,3:02.0,A. Davis misses 2-pt jump shot from 20 ft,,24,16
78,1,3:01.0,,Defensive rebound by N. Stauskas,24,16
79,1,2:55.0,,N. Stauskas misses 3-pt jump shot from 24 ft,24,16
80,1,2:51.0,Defensive rebound by C. Diallo,,24,16
81,1,2:35.0,A. Davis misses 2-pt jump shot from 10 ft,,24,16
82,1,2:31.0,,Defensive rebound by Q. Acy,24,16
83,1,2:23.0,,D. Russell misses 3-pt jump shot from 23 ft,24,16
84,1,2:23.0,Defensive rebound by C. Diallo,,24,16
85,1,2:08.0,E. Moore makes 2-pt jump shot from 5 ft,,26,16
86,1,1:50.0,,D. Carroll misses 3-pt jump shot from 25 ft,26,16
87,1,1:50.0,Defensive rebound by Team,,26,16
88,1,1:50.0,,S. Dinwiddie enters the game for D. Carroll,26,16
89,1,1:50.0,,J. Webb enters the game for A. Crabbe,26,16
90,1,1:50.0,R. Rondo enters the game for J. Holiday,,26,16
91,1,1:50.0,I. Clark enters the game for E. Moore,,26,16
92,1,1:35.0,Turnover by R. Rondo (bad pass; steal by S. Dinwiddie),,26,16
93,1,1:28.0,,N. Stauskas makes 3-pt jump shot from 23 ft (assist by J. Webb),26,19
94,1,1:13.0,D. Miller misses 2-pt jump shot from 11 ft,,26,19
95,1,1:12.0,Offensive rebound by D. Miller,,26,19
96,1,1:12.0,Shooting foul by J. Webb (drawn by C. Diallo),,26,19
97,1,1:12.0,C. Diallo makes free throw 1 of 2,,27,19
98,1,1:12.0,C. Diallo makes free throw 2 of 2,,28,19
99,1,0:55.0,,Q. Acy misses 2-pt layup from 2 ft (block by A. Davis),28,19
100,1,0:51.0,Defensive rebound by D. Miller,,28,19
101,1,0:43.0,Turnover by I. Clark (bad pass; steal by S. Dinwiddie),,28,19
102,1,0:39.0,,Personal foul by D. Miller (drawn by D. Russell),28,19
103,1,0:35.0,,D. Russell misses 2-pt jump shot from 18 ft,28,19
104,1,0:32.0,Defensive rebound by A. Davis,,28,19
105,1,0:12.0,A. Davis makes 3-pt jump shot from 25 ft (assist by R. Rondo),,31,19
106,1,0:02.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft,31,22
107,1,0:00.0,A. Davis makes 3-pt jump shot from 40 ft,,34,22
108,2,11:49.0,,J. Okafor misses 2-pt layup from 1 ft,34,22
109,2,11:47.0,Defensive rebound by C. Diallo,,34,22
110,2,11:42.0,D. Miller makes 3-pt jump shot from 22 ft (assist by N. Mirotić),,37,22
111,2,11:18.0,,Shooting foul by D. Miller (drawn by S. Dinwiddie),37,22
112,2,11:18.0,,S. Dinwiddie makes free throw 1 of 3,37,23
113,2,11:18.0,,S. Dinwiddie makes free throw 2 of 3,37,24
114,2,11:18.0,,S. Dinwiddie makes free throw 3 of 3,37,25
115,2,10:57.0,I. Clark makes 2-pt jump shot from 8 ft,,39,25
116,2,10:42.0,,J. Okafor makes 2-pt jump shot from 5 ft (assist by S. Dinwiddie),39,27
117,2,10:31.0,R. Rondo makes 2-pt layup from 1 ft,,41,27
118,2,10:05.0,,J. Okafor makes 2-pt jump shot from 8 ft (assist by N. Stauskas),41,29
119,2,9:53.0,C. Diallo makes 2-pt jump shot from 5 ft (assist by R. Rondo),,43,29
120,2,9:43.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,43,29
121,2,9:41.0,Defensive rebound by C. Diallo,,43,29
122,2,9:29.0,R. Rondo makes 2-pt jump shot from 5 ft,,45,29
123,2,9:13.0,,D. Russell misses 3-pt jump shot from 24 ft,45,29
124,2,9:12.0,Defensive rebound by R. Rondo,,45,29
125,2,9:00.0,N. Mirotić misses 2-pt jump shot from 14 ft,,45,29
126,2,8:57.0,,Defensive rebound by J. Okafor,45,29
127,2,8:49.0,,N. Stauskas makes 2-pt layup from 1 ft,45,31
128,2,8:31.0,C. Diallo makes 2-pt jump shot from 8 ft,,47,31
129,2,8:17.0,,D. Russell misses 2-pt jump shot from 15 ft,47,31
130,2,8:15.0,Defensive rebound by C. Diallo,,47,31
131,2,8:04.0,R. Rondo makes 2-pt layup from 1 ft,,49,31
132,2,8:04.0,,Brooklyn full timeout,49,31
133,2,8:04.0,,J. Harris enters the game for D. Russell,49,31
134,2,8:04.0,E. Moore enters the game for D. Miller,,49,31
135,2,7:48.0,,Turnover by S. Dinwiddie (bad pass; steal by I. Clark),49,31
136,2,7:41.0,R. Rondo makes 2-pt layup from 1 ft,,51,31
137,2,7:26.0,,J. Webb misses 3-pt jump shot from 24 ft,51,31
138,2,7:25.0,Defensive rebound by C. Diallo,,51,31
139,2,7:18.0,R. Rondo misses 3-pt jump shot from 24 ft,,51,31
140,2,7:14.0,,Defensive rebound by J. Harris,51,31
141,2,7:06.0,,J. Okafor makes 2-pt layup from 4 ft (assist by S. Dinwiddie),51,33
142,2,6:52.0,Def 3 sec tech foul by J. Okafor,,51,33
143,2,6:52.0,,Q. Acy enters the game for J. Webb,51,33
