,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,TORONTO_ACTION,NEW ORLEANS_SCORE,TORONTO_SCORE
0,1,11:44.0,,J. Valančiūnas makes 2-pt dunk from 2 ft,0,2
1,1,11:35.0,D. Cousins misses 2-pt layup at rim,,0,2
2,1,11:30.0,Offensive rebound by D. Cousins,,0,2
3,1,11:30.0,D. Cousins misses 2-pt layup at rim,,0,2
4,1,11:30.0,,Defensive rebound by J. Valančiūnas,0,2
5,1,11:24.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,0,2
6,1,11:24.0,Defensive rebound by A. Davis,,0,2
7,1,11:14.0,Shooting foul by N. Powell (drawn by E. Moore),,0,2
8,1,11:14.0,E. Moore makes free throw 1 of 2,,1,2
9,1,11:14.0,E. Moore makes free throw 2 of 2,,2,2
10,1,10:56.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by S. Ibaka),2,5
11,1,10:38.0,Turnover by D. Cousins (bad pass; steal by J. Valančiūnas),,2,5
12,1,10:23.0,,J. Valančiūnas misses 2-pt layup from 5 ft (block by A. Davis),2,5
13,1,10:23.0,,Offensive rebound by Team,2,5
14,1,10:19.0,,S. Ibaka misses 3-pt jump shot from 27 ft,2,5
15,1,10:16.0,Defensive rebound by D. Cousins,,2,5
16,1,10:05.0,Shooting foul by S. Ibaka (drawn by A. Davis),,2,5
17,1,10:05.0,A. Davis makes free throw 1 of 2,,3,5
18,1,10:05.0,A. Davis makes free throw 2 of 2,,4,5
19,1,9:56.0,,S. Ibaka makes 2-pt jump shot from 5 ft,4,7
20,1,9:47.0,Personal foul by D. DeRozan (drawn by J. Holiday),,4,7
21,1,9:39.0,A. Davis misses 2-pt layup from 3 ft,,4,7
22,1,9:38.0,,Defensive rebound by J. Valančiūnas,4,7
23,1,9:33.0,,D. DeRozan makes 3-pt jump shot from 24 ft (assist by K. Lowry),4,10
24,1,9:10.0,D. Cousins misses 2-pt layup from 5 ft,,4,10
25,1,9:09.0,Offensive rebound by D. Cunningham,,4,10
26,1,9:07.0,E. Moore makes 3-pt jump shot from 25 ft (assist by D. Cunningham),,7,10
27,1,8:47.0,,S. Ibaka makes 2-pt jump shot from 18 ft,7,12
28,1,8:34.0,J. Holiday misses 2-pt jump shot from 6 ft,,7,12
29,1,8:30.0,,Defensive rebound by J. Valančiūnas,7,12
30,1,8:20.0,,S. Ibaka misses 3-pt jump shot from 25 ft,7,12
31,1,8:18.0,Defensive rebound by D. Cousins,,7,12
32,1,8:03.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Holiday),,10,12
33,1,7:42.0,,S. Ibaka misses 3-pt jump shot from 25 ft,10,12
34,1,7:39.0,Defensive rebound by D. Cousins,,10,12
35,1,7:34.0,D. Cousins makes 2-pt layup from 2 ft,,12,12
36,1,7:28.0,,Toronto full timeout,12,12
37,1,7:13.0,,D. DeRozan makes 3-pt jump shot from 22 ft (assist by S. Ibaka),12,15
38,1,6:57.0,J. Holiday makes 2-pt jump shot from 4 ft (assist by D. Cousins),,14,15
39,1,6:43.0,,K. Lowry makes 2-pt jump shot from 7 ft (assist by J. Valančiūnas),14,17
40,1,6:33.0,A. Davis makes 2-pt layup at rim (assist by J. Holiday),,16,17
41,1,6:12.0,,D. DeRozan makes 2-pt jump shot from 4 ft,16,19
42,1,6:01.0,D. Cousins misses 2-pt layup from 2 ft,,16,19
43,1,5:59.0,,Defensive rebound by J. Valančiūnas,16,19
44,1,5:54.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),16,22
