,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
0,1,11:45.0,Personal foul by J. Tatum (drawn by H. Barnes),,0,0
1,1,11:34.0,D. Smith makes 2-pt layup from 2 ft (assist by H. Barnes),,2,0
2,1,11:17.0,,A. Baynes misses 2-pt hook shot from 3 ft,2,0
3,1,11:13.0,Defensive rebound by M. Kleber,,2,0
4,1,11:08.0,M. Kleber misses 3-pt jump shot from 27 ft,,2,0
5,1,11:05.0,,Defensive rebound by A. Horford,2,0
6,1,11:01.0,,K. Irving makes 2-pt jump shot from 6 ft,2,2
7,1,10:38.0,M. Kleber makes 2-pt layup from 5 ft,,4,2
8,1,10:14.0,,A. Horford misses 2-pt layup from 5 ft,4,2
9,1,10:13.0,Defensive rebound by D. Smith,,4,2
10,1,10:07.0,D. Smith makes 2-pt layup from 7 ft,,6,2
11,1,10:05.0,,Boston full timeout,6,2
12,1,9:55.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),6,5
13,1,9:37.0,H. Barnes misses 2-pt jump shot from 20 ft,,6,5
14,1,9:34.0,,Defensive rebound by J. Tatum,6,5
15,1,9:28.0,,A. Horford misses 3-pt jump shot from 25 ft,6,5
16,1,9:26.0,Defensive rebound by D. Smith,,6,5
17,1,9:23.0,D. Smith misses 2-pt layup from 3 ft (block by K. Irving),,6,5
18,1,9:12.0,,Defensive rebound by A. Baynes,6,5
19,1,9:09.0,,A. Baynes makes 2-pt jump shot from 19 ft (assist by K. Irving),6,7
20,1,8:48.0,Personal foul by M. Smart (drawn by H. Barnes),,6,7
21,1,8:35.0,D. Smith misses 3-pt jump shot from 27 ft (block by A. Horford),,6,7
22,1,8:32.0,,Defensive rebound by J. Tatum,6,7
23,1,8:32.0,,Shooting foul by W. Matthews (drawn by J. Tatum),6,7
24,1,8:32.0,,J. Tatum makes free throw 1 of 2,6,8
25,1,8:32.0,,J. Tatum makes free throw 2 of 2,6,9
26,1,8:12.0,M. Kleber makes 2-pt hook shot from 3 ft (assist by W. Matthews),,8,9
27,1,8:12.0,Shooting foul by A. Baynes (drawn by M. Kleber),,8,9
28,1,8:12.0,M. Kleber makes free throw 1 of 1,,9,9
29,1,7:57.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by A. Horford),9,12
30,1,7:45.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,9,12
31,1,7:42.0,,Defensive rebound by A. Horford,9,12
32,1,7:34.0,,A. Baynes misses 2-pt layup from 3 ft (block by M. Kleber),9,12
33,1,7:33.0,,Offensive rebound by Team,9,12
34,1,7:33.0,,D. Theis enters the game for A. Baynes,9,12
35,1,7:22.0,,D. Theis makes 2-pt layup from 2 ft (assist by A. Horford),9,14
36,1,7:09.0,D. Smith misses 2-pt jump shot from 7 ft,,9,14
37,1,7:07.0,,Defensive rebound by D. Theis,9,14
38,1,6:59.0,,M. Smart misses 3-pt jump shot from 20 ft,9,14
39,1,6:57.0,Defensive rebound by Team,,9,14
40,1,6:57.0,Y. Ferrell enters the game for D. Nowitzki,,9,14
41,1,6:37.0,Shooting foul by A. Horford (drawn by D. Smith),,9,14
42,1,6:37.0,D. Smith makes free throw 1 of 2,,10,14
43,1,6:37.0,D. Smith makes free throw 2 of 2,,11,14
44,1,6:24.0,,Turnover by D. Theis (bad pass; steal by M. Kleber),11,14
45,1,6:21.0,Shooting foul by D. Theis (drawn by M. Kleber),,11,14
46,1,6:21.0,M. Kleber misses free throw 1 of 2,,11,14
47,1,6:21.0,Offensive rebound by Team,,11,14
48,1,6:21.0,,S. Ojeleye enters the game for D. Theis,11,14
49,1,6:21.0,M. Kleber makes free throw 2 of 2,,12,14
50,1,6:06.0,,K. Irving makes 2-pt layup from 1 ft,12,16
51,1,5:48.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,12,16
52,1,5:44.0,,Defensive rebound by J. Tatum,12,16
53,1,5:35.0,,K. Irving misses 2-pt hook shot from 13 ft,12,16
54,1,5:32.0,Defensive rebound by Y. Ferrell,,12,16
55,1,5:29.0,Y. Ferrell misses 2-pt layup from 2 ft (block by A. Horford),,12,16
56,1,5:29.0,Offensive rebound by H. Barnes,,12,16
57,1,5:22.0,H. Barnes makes 2-pt dunk from 5 ft,,14,16
58,1,5:19.0,,Turnover by M. Smart (bad pass),14,16
59,1,5:01.0,H. Barnes misses 2-pt jump shot from 9 ft,,14,16
60,1,4:57.0,,Defensive rebound by S. Ojeleye,14,16
61,1,4:49.0,,Turnover by M. Smart (lost ball; steal by D. Smith),14,16
62,1,4:42.0,Y. Ferrell makes 2-pt layup from 2 ft,,16,16
63,1,4:27.0,,M. Smart misses 2-pt layup from 4 ft,16,16
64,1,4:26.0,Defensive rebound by Y. Ferrell,,16,16
65,1,4:24.0,Shooting foul by K. Irving (drawn by D. Smith),,16,16
66,1,4:24.0,Technical foul by D. Smith,,16,16
67,1,4:24.0,,Technical foul by K. Irving,16,16
68,1,4:24.0,D. Smith misses free throw 1 of 2,,16,16
69,1,4:24.0,Offensive rebound by Team,,16,16
70,1,4:24.0,,T. Rozier enters the game for M. Smart,16,16
71,1,4:24.0,D. Smith makes free throw 2 of 2,,17,16
72,1,4:07.0,,Shooting foul by W. Matthews (drawn by J. Tatum),17,16
73,1,4:07.0,Technical foul by W. Matthews,,17,16
74,1,4:07.0,,J. Tatum makes free throw 1 of 2,17,17
75,1,4:07.0,,K. Irving makes technical free throw,17,18
76,1,4:07.0,,J. Tatum makes free throw 2 of 2,17,19
77,1,3:55.0,H. Barnes misses 2-pt jump shot from 21 ft,,17,19
78,1,3:50.0,,Defensive rebound by J. Tatum,17,19
79,1,3:44.0,,J. Tatum misses 2-pt jump shot from 9 ft,17,19
80,1,3:44.0,Defensive rebound by H. Barnes,,17,19
81,1,3:27.0,Shooting foul by T. Rozier (drawn by H. Barnes),,17,19
82,1,3:27.0,H. Barnes makes free throw 1 of 2,,18,19
83,1,3:27.0,,S. Larkin enters the game for K. Irving,18,19
84,1,3:27.0,J. Barea enters the game for D. Smith,,18,19
85,1,3:27.0,D. Powell enters the game for W. Matthews,,18,19
