,QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
0,1,11:45.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),0,2
1,1,11:25.0,M. Plumlee makes 2-pt dunk at rim (assist by J. Murray),,2,2
2,1,11:03.0,,A. Baynes misses 2-pt dunk at rim (block by M. Plumlee),2,2
3,1,11:01.0,Defensive rebound by M. Plumlee,,2,2
4,1,10:52.0,T. Lyles makes 2-pt dunk from 2 ft,,4,2
5,1,10:38.0,,Shooting foul by T. Lyles (drawn by K. Irving),4,2
6,1,10:38.0,,K. Irving makes free throw 1 of 2,4,3
7,1,10:38.0,,K. Irving makes free throw 2 of 2,4,4
8,1,10:25.0,G. Harris makes 2-pt jump shot from 17 ft (assist by J. Murray),,6,4
9,1,10:12.0,,Shooting foul by M. Plumlee (drawn by J. Brown),6,4
10,1,10:12.0,,J. Brown makes free throw 1 of 2,6,5
11,1,10:12.0,,J. Brown makes free throw 2 of 2,6,6
12,1,10:00.0,T. Lyles makes 3-pt jump shot from 27 ft (assist by G. Harris),,9,6
13,1,9:46.0,,M. Smart misses 3-pt jump shot from 24 ft,9,6
14,1,9:46.0,,Offensive rebound by A. Baynes,9,6
15,1,9:38.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),9,8
16,1,9:26.0,G. Harris makes 2-pt jump shot from 8 ft (assist by M. Plumlee),,11,8
17,1,9:15.0,,Turnover by K. Irving (bad pass; steal by J. Murray),11,8
18,1,9:11.0,G. Harris misses 2-pt layup from 3 ft (block by J. Tatum),,11,8
19,1,9:10.0,Offensive rebound by G. Harris,,11,8
20,1,8:58.0,G. Harris makes 3-pt jump shot from 25 ft (assist by W. Chandler),,14,8
21,1,8:58.0,,S. Ojeleye enters the game for J. Tatum,14,8
22,1,8:44.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),14,11
23,1,8:36.0,,Violation by M. Smart (kicked ball),14,11
