,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
0,1,11:39.0,,R. Bullock misses 2-pt layup from 3 ft,0,0
1,1,11:34.0,,Offensive rebound by A. Drummond,0,0
2,1,11:34.0,,A. Drummond makes 2-pt dunk at rim,0,2
3,1,11:23.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,0,2
4,1,11:17.0,,Defensive rebound by R. Bullock,0,2
5,1,11:01.0,,R. Jackson makes 2-pt jump shot from 5 ft,0,4
6,1,10:48.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,0,4
7,1,10:44.0,,Defensive rebound by A. Drummond,0,4
8,1,10:30.0,,R. Jackson misses 3-pt jump shot from 22 ft,0,4
9,1,10:27.0,Defensive rebound by K. Kuzma,,0,4
10,1,10:17.0,J. Randle makes 2-pt dunk from 1 ft (assist by K. Kuzma),,2,4
11,1,10:00.0,,R. Jackson misses 2-pt jump shot from 9 ft,2,4
12,1,9:58.0,Defensive rebound by K. Caldwell-Pope,,2,4
13,1,9:54.0,K. Kuzma misses 3-pt jump shot from 23 ft,,2,4
14,1,9:49.0,Offensive rebound by L. Ball,,2,4
15,1,9:49.0,Personal foul by R. Jackson (drawn by K. Kuzma),,2,4
16,1,9:42.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,2,4
17,1,9:40.0,,Defensive rebound by R. Jackson,2,4
18,1,9:35.0,,S. Johnson makes 2-pt jump shot from 18 ft,2,6
19,1,9:16.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by B. Lopez),,4,6
20,1,8:55.0,,A. Drummond misses 2-pt hook shot from 12 ft,4,6
21,1,8:52.0,,Offensive rebound by S. Johnson,4,6
22,1,8:50.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by S. Johnson),4,9
23,1,8:34.0,K. Kuzma makes 2-pt hook shot from 10 ft (assist by B. Lopez),,6,9
24,1,8:25.0,,R. Jackson makes 2-pt layup from 1 ft,6,11
25,1,8:07.0,Personal foul by S. Johnson (drawn by J. Randle),,6,11
26,1,8:05.0,B. Lopez misses 3-pt jump shot from 26 ft,,6,11
27,1,8:00.0,,Defensive rebound by B. Griffin,6,11
28,1,7:56.0,,A. Drummond misses 2-pt layup from 2 ft,6,11
29,1,7:56.0,,Offensive rebound by Team,6,11
30,1,7:52.0,,S. Johnson makes 2-pt jump shot from 13 ft,6,13
31,1,7:35.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by B. Lopez),,9,13
32,1,7:27.0,,A. Drummond misses 2-pt layup from 1 ft (block by B. Lopez),9,13
33,1,7:24.0,Defensive rebound by J. Randle,,9,13
34,1,7:20.0,Personal foul by R. Jackson (drawn by J. Randle),,9,13
35,1,7:20.0,LA Lakers full timeout,,9,13
36,1,7:20.0,,I. Smith enters the game for R. Jackson,9,13
37,1,7:13.0,B. Lopez makes 2-pt layup from 3 ft (assist by L. Ball),,11,13
38,1,6:55.0,,Offensive foul by B. Griffin (drawn by K. Kuzma),11,13
39,1,6:55.0,,Turnover by B. Griffin (offensive foul),11,13
40,1,6:42.0,J. Randle misses 2-pt jump shot from 17 ft,,11,13
41,1,6:40.0,Offensive rebound by J. Randle,,11,13
42,1,6:39.0,Offensive foul by J. Randle (drawn by B. Griffin),,11,13
43,1,6:39.0,Turnover by J. Randle (offensive foul),,11,13
44,1,6:23.0,,B. Griffin misses 2-pt jump shot from 18 ft,11,13
45,1,6:23.0,,Offensive rebound by Team,11,13
46,1,6:23.0,Loose ball foul by J. Randle (drawn by A. Drummond),,11,13
47,1,6:10.0,,B. Griffin makes 2-pt layup from 1 ft,11,15
48,1,5:52.0,J. Randle misses 2-pt jump shot from 15 ft,,11,15
49,1,5:51.0,,Defensive rebound by A. Drummond,11,15
50,1,5:44.0,,I. Smith misses 2-pt jump shot from 15 ft,11,15
51,1,5:41.0,Defensive rebound by K. Caldwell-Pope,,11,15
52,1,5:33.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by L. Ball),,14,15
53,1,5:19.0,,R. Bullock misses 2-pt jump shot from 13 ft,14,15
54,1,5:18.0,Defensive rebound by K. Kuzma,,14,15
55,1,5:08.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. Ball),,16,15
56,1,5:00.0,,Detroit full timeout,16,15
57,1,5:00.0,,A. Tolliver enters the game for A. Drummond,16,15
58,1,5:00.0,,J. Ennis enters the game for S. Johnson,16,15
59,1,5:00.0,I. Zubac enters the game for J. Randle,,16,15
60,1,5:00.0,T. Wear enters the game for B. Lopez,,16,15
61,1,4:39.0,,I. Smith misses 2-pt hook shot from 5 ft,16,15
62,1,4:37.0,Defensive rebound by I. Zubac,,16,15
63,1,4:32.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,16,15
64,1,4:28.0,,Defensive rebound by B. Griffin,16,15
65,1,4:24.0,,B. Griffin makes 2-pt layup from 4 ft,16,17
66,1,4:24.0,,Shooting foul by I. Zubac (drawn by B. Griffin),16,17
67,1,4:24.0,,B. Griffin misses free throw 1 of 1,16,17
68,1,4:24.0,Defensive rebound by T. Wear,,16,17
69,1,4:10.0,K. Kuzma misses 2-pt jump shot from 16 ft,,16,17
70,1,4:02.0,Offensive rebound by I. Zubac,,16,17
71,1,4:02.0,I. Zubac misses 2-pt layup at rim,,16,17
72,1,4:02.0,,Defensive rebound by A. Tolliver,16,17
73,1,3:57.0,,B. Griffin misses 3-pt jump shot from 26 ft,16,17
74,1,3:54.0,Defensive rebound by K. Kuzma,,16,17
75,1,3:48.0,Personal foul by B. Griffin (drawn by I. Zubac),,16,17
76,1,3:48.0,,A. Drummond enters the game for B. Griffin,16,17
77,1,3:48.0,T. Ennis enters the game for L. Ball,,16,17
78,1,3:41.0,I. Zubac misses 2-pt layup from 2 ft (block by R. Bullock),,16,17
79,1,3:38.0,,Defensive rebound by R. Bullock,16,17
80,1,3:24.0,,A. Drummond misses 2-pt layup from 4 ft (block by I. Zubac),16,17
81,1,3:22.0,Defensive rebound by I. Zubac,,16,17
82,1,3:18.0,I. Zubac makes 2-pt layup at rim (assist by T. Ennis),,18,17
83,1,3:03.0,,R. Bullock misses 2-pt layup from 4 ft,18,17
84,1,3:01.0,Defensive rebound by K. Caldwell-Pope,,18,17
85,1,2:56.0,K. Kuzma makes 2-pt layup from 6 ft (assist by K. Caldwell-Pope),,20,17
86,1,2:46.0,,Shooting foul by K. Kuzma (drawn by A. Tolliver),20,17
87,1,2:46.0,,A. Tolliver makes free throw 1 of 2,20,18
88,1,2:46.0,,A. Tolliver makes free throw 2 of 2,20,19
89,1,2:32.0,I. Zubac misses 2-pt hook shot from 7 ft,,20,19
90,1,2:30.0,,Defensive rebound by A. Drummond,20,19
91,1,2:20.0,,I. Smith makes 3-pt jump shot from 25 ft (assist by A. Tolliver),20,22
92,1,2:13.0,Shooting foul by I. Smith (drawn by I. Zubac),,20,22
93,1,2:13.0,I. Zubac misses free throw 1 of 2,,20,22
94,1,2:13.0,Offensive rebound by Team,,20,22
95,1,2:13.0,,L. Kennard enters the game for R. Bullock,20,22
96,1,2:13.0,L. Ball enters the game for K. Caldwell-Pope,,20,22
97,1,2:13.0,I. Zubac makes free throw 2 of 2,,21,22
98,1,1:57.0,,I. Smith makes 2-pt layup from 2 ft,21,24
99,1,1:44.0,L. Ball makes 2-pt jump shot from 9 ft (assist by I. Zubac),,23,24
100,1,1:30.0,,Turnover by A. Drummond (bad pass; steal by L. Ball),23,24
101,1,1:28.0,L. Ball makes 2-pt dunk at rim,,25,24
102,1,1:09.0,,A. Drummond makes 2-pt dunk from 1 ft,25,26
103,1,0:56.0,K. Kuzma makes 2-pt jump shot from 17 ft (assist by T. Ennis),,27,26
104,1,0:50.0,,A. Tolliver misses 3-pt jump shot from 26 ft,27,26
105,1,0:46.0,Defensive rebound by K. Kuzma,,27,26
106,1,0:42.0,K. Kuzma misses 3-pt jump shot from 25 ft,,27,26
107,1,0:40.0,Offensive rebound by T. Ennis,,27,26
108,1,0:40.0,Personal foul by I. Smith (drawn by I. Zubac),,27,26
109,1,0:40.0,I. Zubac makes free throw 1 of 2,,28,26
110,1,0:40.0,,E. Moreland enters the game for A. Drummond,28,26
111,1,0:40.0,K. Caldwell-Pope enters the game for K. Kuzma,,28,26
112,1,0:40.0,I. Zubac makes free throw 2 of 2,,29,26
113,1,0:29.0,,L. Kennard misses 3-pt jump shot from 25 ft,29,26
114,1,0:26.0,,Offensive rebound by E. Moreland,29,26
115,1,0:12.0,,Personal foul by T. Ennis (drawn by I. Smith),29,26
116,1,0:02.0,,I. Smith misses 2-pt jump shot from 15 ft,29,26
117,1,0:02.0,Defensive rebound by L. Ball,,29,26
118,2,11:46.0,C. Frye makes 2-pt layup from 1 ft (assist by L. Ball),,31,26
119,2,11:46.0,,Violation by E. Moreland (def goaltending),31,26
120,2,11:27.0,,R. Jackson misses 2-pt jump shot from 18 ft,31,26
121,2,11:24.0,,Offensive rebound by R. Jackson,31,26
122,2,11:21.0,,L. Kennard misses 3-pt jump shot from 25 ft,31,26
123,2,11:21.0,Defensive rebound by L. Ball,,31,26
124,2,11:17.0,T. Ennis makes 2-pt layup from 1 ft (assist by L. Ball),,33,26
125,2,11:06.0,,Detroit full timeout,33,26
126,2,10:59.0,,L. Kennard misses 3-pt jump shot from 22 ft,33,26
127,2,10:55.0,Defensive rebound by T. Wear,,33,26
128,2,10:43.0,T. Wear misses 3-pt jump shot from 25 ft,,33,26
129,2,10:39.0,,Defensive rebound by R. Jackson,33,26
130,2,10:31.0,,R. Jackson makes 2-pt jump shot from 6 ft,33,28
131,2,10:16.0,L. Ball makes 2-pt jump shot from 17 ft,,35,28
132,2,10:04.0,,R. Jackson makes 2-pt jump shot from 8 ft,35,30
133,2,9:45.0,Shooting foul by E. Moreland (drawn by T. Wear),,35,30
134,2,9:45.0,T. Wear makes free throw 1 of 2,,36,30
135,2,9:45.0,,S. Johnson enters the game for J. Ennis,36,30
136,2,9:45.0,T. Wear makes free throw 2 of 2,,37,30
137,2,9:23.0,,R. Jackson misses 3-pt jump shot from 25 ft,37,30
138,2,9:20.0,Defensive rebound by L. Ball,,37,30
139,2,9:15.0,T. Wear misses 3-pt jump shot from 21 ft,,37,30
140,2,9:12.0,,Defensive rebound by E. Moreland,37,30
141,2,9:05.0,,R. Jackson misses 2-pt jump shot from 9 ft,37,30
142,2,9:05.0,Defensive rebound by Team,,37,30
143,2,8:54.0,T. Ennis misses 2-pt jump shot from 18 ft,,37,30
144,2,8:53.0,,Defensive rebound by S. Johnson,37,30
145,2,8:47.0,,L. Kennard misses 3-pt jump shot from 25 ft,37,30
146,2,8:44.0,,Offensive rebound by E. Moreland,37,30
147,2,8:44.0,,Shooting foul by C. Frye (drawn by E. Moreland),37,30
