,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
0,1,11:37.0,J. Harden misses 3-pt jump shot from 28 ft,,0,0
1,1,11:34.0,,Defensive rebound by L. Nance,0,0
2,1,11:12.0,,L. Ball misses 3-pt jump shot from 25 ft,0,0
3,1,11:09.0,Defensive rebound by C. Capela,,0,0
4,1,10:52.0,J. Harden misses 3-pt jump shot from 27 ft,,0,0
5,1,10:47.0,Offensive rebound by C. Capela,,0,0
6,1,10:32.0,C. Paul makes 3-pt jump shot from 23 ft (assist by J. Harden),,3,0
7,1,10:14.0,,L. Nance misses 2-pt jump shot from 18 ft,3,0
8,1,10:10.0,,Offensive rebound by B. Lopez,3,0
9,1,10:09.0,,B. Lopez makes 2-pt layup from 1 ft,3,2
10,1,9:59.0,R. Anderson misses 2-pt jump shot from 19 ft,,3,2
11,1,9:57.0,,Defensive rebound by B. Ingram,3,2
12,1,9:52.0,,L. Nance misses 2-pt layup from 2 ft,3,2
13,1,9:52.0,,Offensive rebound by L. Nance,3,2
14,1,9:52.0,,L. Nance makes 2-pt layup from 2 ft,3,4
15,1,9:52.0,,Shooting foul by C. Capela (drawn by L. Nance),3,4
16,1,9:52.0,,L. Nance makes free throw 1 of 1,3,5
17,1,9:46.0,Personal foul by L. Ball (drawn by C. Paul),,3,5
18,1,9:37.0,C. Paul misses 2-pt layup from 1 ft,,3,5
19,1,9:35.0,Offensive rebound by C. Capela,,3,5
20,1,9:27.0,R. Anderson misses 3-pt jump shot from 25 ft,,3,5
21,1,9:24.0,,Defensive rebound by K. Caldwell-Pope,3,5
22,1,9:17.0,,B. Ingram misses 2-pt layup from 2 ft,3,5
23,1,9:14.0,Defensive rebound by C. Capela,,3,5
24,1,9:07.0,J. Harden misses 2-pt layup from 2 ft (block by B. Lopez),,3,5
25,1,9:03.0,,Defensive rebound by B. Lopez,3,5
26,1,8:52.0,,L. Nance makes 2-pt hook shot from 7 ft,3,7
27,1,8:37.0,T. Ariza makes 2-pt layup from 1 ft,,5,7
28,1,8:23.0,,B. Ingram misses 3-pt jump shot from 25 ft,5,7
29,1,8:21.0,,Offensive rebound by B. Lopez,5,7
30,1,8:21.0,,Shooting foul by C. Paul (drawn by B. Lopez),5,7
31,1,8:21.0,,B. Lopez makes free throw 1 of 2,5,8
32,1,8:21.0,,B. Lopez makes free throw 2 of 2,5,9
33,1,8:12.0,Turnover by J. Harden (out of bounds lost ball),,5,9
34,1,8:02.0,,Turnover by B. Lopez (turnover),5,9
35,1,8:02.0,,Loose ball foul by B. Lopez (drawn by C. Paul),5,9
36,1,7:48.0,Turnover by R. Anderson (bad pass; steal by K. Caldwell-Pope),,5,9
37,1,7:42.0,,B. Ingram makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),5,11
38,1,7:28.0,Personal foul by L. Nance (drawn by J. Harden),,5,11
39,1,7:28.0,E. Gordon enters the game for C. Paul,,5,11
40,1,7:27.0,Offensive foul by J. Harden (drawn by B. Ingram),,5,11
41,1,7:27.0,Turnover by J. Harden (offensive foul),,5,11
42,1,7:19.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,5,11
43,1,7:15.0,Defensive rebound by C. Capela,,5,11
44,1,7:07.0,C. Capela misses 2-pt layup at rim,,5,11
45,1,7:05.0,,Defensive rebound by L. Nance,5,11
46,1,7:02.0,,Turnover by L. Nance (lost ball; steal by J. Harden),5,11
47,1,6:58.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,8,11
48,1,6:49.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by B. Lopez),8,13
49,1,6:32.0,R. Anderson misses 3-pt jump shot from 28 ft,,8,13
50,1,6:29.0,,Defensive rebound by B. Ingram,8,13
51,1,6:23.0,,B. Ingram misses 2-pt jump shot from 19 ft,8,13
52,1,6:20.0,Defensive rebound by C. Capela,,8,13
53,1,6:08.0,Shooting foul by B. Lopez (drawn by E. Gordon),,8,13
54,1,6:08.0,,LA Lakers full timeout,8,13
55,1,6:08.0,P. Tucker enters the game for T. Ariza,,8,13
56,1,6:08.0,N. Hilário enters the game for C. Capela,,8,13
57,1,6:08.0,L. Mbah a Moute enters the game for R. Anderson,,8,13
58,1,6:08.0,E. Gordon makes free throw 1 of 2,,9,13
59,1,6:08.0,E. Gordon makes free throw 2 of 2,,10,13
60,1,5:54.0,,Shooting foul by P. Tucker (drawn by B. Lopez),10,13
61,1,5:54.0,,B. Lopez misses free throw 1 of 2,10,13
62,1,5:54.0,,Offensive rebound by Team,10,13
63,1,5:54.0,,B. Lopez makes free throw 2 of 2,10,14
64,1,5:41.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),,13,14
65,1,5:25.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by E. Gordon),13,14
66,1,5:22.0,,Offensive rebound by L. Nance,13,14
67,1,5:22.0,,L. Nance misses 2-pt layup at rim,13,14
68,1,5:22.0,,Offensive rebound by Team,13,14
69,1,5:20.0,,B. Ingram makes 2-pt jump shot from 17 ft (assist by L. Ball),13,16
70,1,5:09.0,E. Gordon misses 3-pt jump shot from 27 ft,,13,16
71,1,5:09.0,,Defensive rebound by B. Ingram,13,16
72,1,5:00.0,,B. Lopez misses 3-pt jump shot from 27 ft,13,16
73,1,5:00.0,,Offensive rebound by Team,13,16
74,1,5:00.0,Loose ball foul by P. Tucker (drawn by L. Nance),,13,16
75,1,5:00.0,,J. Randle enters the game for B. Lopez,13,16
76,1,4:47.0,,L. Ball misses 3-pt jump shot from 26 ft,13,16
77,1,4:41.0,,Offensive rebound by L. Nance,13,16
78,1,4:41.0,,L. Nance makes 2-pt layup at rim,13,18
79,1,4:31.0,J. Harden makes 2-pt dunk from 1 ft,,15,18
80,1,4:17.0,,J. Randle misses 2-pt hook shot from 5 ft,15,18
81,1,4:14.0,Defensive rebound by N. Hilário,,15,18
82,1,4:04.0,L. Mbah a Moute misses 2-pt layup from 1 ft,,15,18
83,1,4:02.0,,Defensive rebound by J. Randle,15,18
84,1,3:57.0,,Turnover by L. Ball (bad pass; steal by J. Harden),15,18
85,1,3:47.0,J. Harden makes 2-pt layup from 1 ft,,17,18
86,1,3:33.0,,B. Ingram misses 2-pt jump shot from 10 ft,17,18
87,1,3:29.0,Defensive rebound by P. Tucker,,17,18
88,1,3:22.0,E. Gordon makes 2-pt layup from 2 ft,,19,18
89,1,3:21.0,,LA Lakers full timeout,19,18
90,1,3:21.0,,K. Kuzma enters the game for L. Ball,19,18
91,1,3:21.0,,J. Clarkson enters the game for L. Nance,19,18
92,1,3:11.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by B. Ingram),19,21
93,1,2:54.0,E. Gordon misses 3-pt jump shot from 27 ft,,19,21
94,1,2:51.0,,Defensive rebound by J. Randle,19,21
95,1,2:37.0,,Turnover by J. Clarkson (bad pass),19,21
96,1,2:37.0,C. Paul enters the game for J. Harden,,19,21
97,1,2:20.0,N. Hilário makes 2-pt layup from 1 ft (assist by C. Paul),,21,21
98,1,2:00.0,,Shooting foul by C. Paul (drawn by B. Ingram),21,21
99,1,2:00.0,,B. Ingram makes free throw 1 of 2,21,22
100,1,2:00.0,,B. Ingram makes free throw 2 of 2,21,23
101,1,1:52.0,C. Paul misses 3-pt jump shot from 25 ft,,21,23
102,1,1:48.0,Offensive rebound by N. Hilário,,21,23
103,1,1:46.0,Turnover by N. Hilário (bad pass; steal by J. Randle),,21,23
104,1,1:40.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,21,23
105,1,1:37.0,Defensive rebound by N. Hilário,,21,23
106,1,1:31.0,E. Gordon makes 2-pt dunk from 2 ft (assist by C. Paul),,23,23
107,1,1:13.0,,J. Randle misses 2-pt layup at rim,23,23
108,1,1:11.0,Defensive rebound by P. Tucker,,23,23
109,1,0:55.0,Turnover by C. Paul (bad pass; steal by B. Ingram),,23,23
110,1,0:55.0,Offensive charge foul by B. Ingram (drawn by C. Paul),,23,23
111,1,0:55.0,,Turnover by B. Ingram (bad pass),23,23
112,1,0:39.0,E. Gordon makes 2-pt layup at rim,,25,23
113,1,0:38.0,,Personal foul by N. Hilário (drawn by J. Clarkson),25,23
114,1,0:38.0,Technical foul by Team,,25,23
115,1,0:38.0,C. Paul makes technical free throw,,26,23
116,1,0:38.0,,J. Clarkson makes free throw 1 of 2,26,24
117,1,0:38.0,,J. Clarkson makes free throw 2 of 2,26,25
118,1,0:26.0,Shooting foul by K. Kuzma (drawn by N. Hilário),,26,25
119,1,0:26.0,N. Hilário misses free throw 1 of 2,,26,25
120,1,0:26.0,Offensive rebound by Team,,26,25
121,1,0:26.0,N. Hilário makes free throw 2 of 2,,27,25
122,1,0:06.0,,J. Clarkson misses 2-pt jump shot from 16 ft,27,25
123,1,0:04.0,,Offensive rebound by Team,27,25
124,1,0:04.0,Loose ball foul by N. Hilário (drawn by J. Randle),,27,25
125,1,0:04.0,,J. Randle makes free throw 1 of 2,27,26
126,1,0:04.0,,J. Hart enters the game for K. Caldwell-Pope,27,26
127,1,0:04.0,,C. Brewer enters the game for B. Ingram,27,26
128,1,0:04.0,,J. Randle makes free throw 2 of 2,27,27
129,1,0:02.0,C. Paul misses 3-pt jump shot from 44 ft,,27,27
130,1,0:00.0,,Defensive rebound by J. Randle,27,27
131,2,11:49.0,,Turnover by J. Clarkson (bad pass; steal by C. Paul),27,27
132,2,11:47.0,Turnover by T. Ariza (lost ball; steal by C. Brewer),,27,27
133,2,11:41.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Hart),27,30
134,2,11:30.0,E. Gordon misses 3-pt jump shot from 27 ft,,27,30
135,2,11:25.0,,Defensive rebound by K. Kuzma,27,30
136,2,11:21.0,,K. Kuzma misses 2-pt layup from 1 ft,27,30
137,2,11:21.0,,Offensive rebound by Team,27,30
138,2,11:12.0,,Turnover by J. Hart (lost ball; steal by T. Ariza),27,30
139,2,11:03.0,E. Gordon makes 2-pt layup from 4 ft,,29,30
140,2,11:03.0,Shooting foul by C. Brewer (drawn by E. Gordon),,29,30
141,2,11:03.0,E. Gordon misses free throw 1 of 1,,29,30
142,2,11:01.0,,Defensive rebound by K. Kuzma,29,30
