,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHOENIX_ACTION,OKLAHOMA CITY_SCORE,PHOENIX_SCORE
0,1,11:43.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,3,0
1,1,11:20.0,,T. Ulis misses 2-pt jump shot from 21 ft,3,0
2,1,11:16.0,,Offensive rebound by T. Chandler,3,0
3,1,11:16.0,,T. Chandler makes 2-pt dunk at rim,3,2
4,1,11:01.0,S. Adams makes 2-pt hook shot from 4 ft (assist by R. Westbrook),,5,2
5,1,10:52.0,,Turnover by D. Booker (bad pass; steal by T. Ferguson),5,2
6,1,10:48.0,T. Ferguson misses 2-pt dunk from 1 ft,,5,2
7,1,10:47.0,Offensive rebound by R. Westbrook,,5,2
8,1,10:45.0,Turnover by R. Westbrook (lost ball; steal by T. Ulis),,5,2
9,1,10:39.0,,M. Chriss misses 3-pt jump shot from 25 ft,5,2
10,1,10:35.0,Defensive rebound by P. George,,5,2
11,1,10:34.0,Turnover by P. George (bad pass; steal by M. Chriss),,5,2
12,1,10:20.0,,D. Booker misses 2-pt jump shot from 15 ft,5,2
13,1,10:15.0,Defensive rebound by R. Westbrook,,5,2
14,1,10:09.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,7,2
15,1,9:47.0,,T. Warren makes 2-pt dunk at rim (assist by M. Chriss),7,4
16,1,9:44.0,Turnover by P. George (bad pass),,7,4
17,1,9:38.0,,T. Ulis misses 3-pt jump shot from 26 ft,7,4
18,1,9:35.0,Defensive rebound by R. Westbrook,,7,4
19,1,9:31.0,C. Anthony makes 2-pt jump shot from 12 ft,,9,4
20,1,9:18.0,,D. Booker misses 2-pt jump shot from 7 ft,9,4
21,1,9:17.0,,Offensive rebound by T. Chandler,9,4
22,1,9:17.0,,T. Chandler makes 2-pt dunk from 9 ft,9,6
23,1,9:08.0,Oklahoma City full timeout,,9,6
24,1,8:59.0,P. George makes 2-pt jump shot from 19 ft,,11,6
25,1,8:59.0,Shooting foul by T. Warren (drawn by P. George),,11,6
26,1,8:59.0,P. George makes free throw 1 of 1,,12,6
27,1,8:41.0,,T. Chandler makes 2-pt hook shot from 1 ft (assist by D. Booker),12,8
28,1,8:23.0,R. Westbrook makes 2-pt jump shot from 8 ft,,14,8
29,1,8:09.0,,D. Booker misses 3-pt jump shot from 23 ft,14,8
30,1,8:07.0,Defensive rebound by S. Adams,,14,8
31,1,7:58.0,Turnover by P. George (bad pass),,14,8
32,1,7:54.0,,Shooting foul by T. Ferguson (drawn by D. Booker),14,8
33,1,7:54.0,,D. Booker misses free throw 1 of 3,14,8
34,1,7:54.0,,Offensive rebound by Team,14,8
35,1,7:54.0,,D. Booker misses free throw 2 of 3,14,8
36,1,7:54.0,,Offensive rebound by Team,14,8
37,1,7:54.0,,J. Jackson enters the game for T. Ulis,14,8
38,1,7:54.0,,D. Booker makes free throw 3 of 3,14,9
39,1,7:41.0,C. Anthony misses 3-pt jump shot from 25 ft,,14,9
40,1,7:40.0,,Defensive rebound by Team,14,9
41,1,7:40.0,Loose ball foul by S. Adams (drawn by T. Chandler),,14,9
42,1,7:20.0,,T. Warren makes 2-pt jump shot from 10 ft (assist by M. Chriss),14,11
43,1,7:07.0,P. George misses 3-pt jump shot from 24 ft,,14,11
44,1,7:06.0,,Defensive rebound by J. Jackson,14,11
45,1,7:03.0,,Shooting foul by P. George (drawn by T. Warren),14,11
46,1,7:03.0,,T. Warren makes free throw 1 of 2,14,12
47,1,7:03.0,,T. Warren makes free throw 2 of 2,14,13
48,1,6:57.0,Turnover by R. Westbrook (bad pass),,14,13
49,1,6:38.0,,M. Chriss misses 3-pt jump shot from 25 ft,14,13
50,1,6:36.0,Defensive rebound by C. Anthony,,14,13
51,1,6:21.0,S. Adams makes 2-pt hook shot from 7 ft,,16,13
52,1,5:57.0,,D. Booker misses 2-pt jump shot from 20 ft,16,13
53,1,5:54.0,Defensive rebound by C. Anthony,,16,13
54,1,5:40.0,C. Anthony misses 2-pt jump shot from 21 ft,,16,13
55,1,5:37.0,,Defensive rebound by T. Chandler,16,13
56,1,5:33.0,,D. Booker makes 3-pt jump shot from 25 ft,16,16
57,1,5:16.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,18,16
58,1,5:05.0,,Turnover by D. Booker (bad pass; steal by C. Anthony),18,16
59,1,4:58.0,R. Westbrook makes 2-pt jump shot from 15 ft,,20,16
60,1,4:42.0,,D. Booker misses 2-pt jump shot from 16 ft (block by C. Anthony),20,16
61,1,4:40.0,Defensive rebound by P. George,,20,16
62,1,4:38.0,Personal foul by D. Booker (drawn by P. George),,20,16
63,1,4:38.0,P. George makes clear path free throw 2 of 2,,21,16
64,1,4:38.0,P. George makes clear path free throw 1 of 2,,22,16
65,1,4:38.0,,D. Bender enters the game for M. Chriss,22,16
66,1,4:38.0,,A. Len enters the game for T. Chandler,22,16
67,1,4:31.0,Personal foul by D. Booker (drawn by T. Ferguson),,22,16
68,1,4:31.0,,T. Daniels enters the game for D. Booker,22,16
69,1,4:31.0,,T. Ulis enters the game for T. Warren,22,16
70,1,4:20.0,C. Anthony misses 2-pt layup from 2 ft (block by D. Bender),,22,16
71,1,4:17.0,,Defensive rebound by D. Bender,22,16
72,1,4:14.0,,D. Bender misses 3-pt jump shot from 25 ft,22,16
73,1,4:07.0,,Offensive rebound by J. Jackson,22,16
74,1,4:07.0,,J. Jackson makes 2-pt dunk at rim,22,18
75,1,3:58.0,R. Westbrook misses 2-pt jump shot from 10 ft,,22,18
76,1,3:58.0,Offensive rebound by Team,,22,18
77,1,3:58.0,,Loose ball foul by A. Len (drawn by S. Adams),22,18
78,1,3:47.0,C. Anthony misses 2-pt jump shot from 19 ft,,22,18
79,1,3:43.0,,Defensive rebound by J. Jackson,22,18
80,1,3:36.0,,J. Jackson misses 2-pt layup at rim (block by S. Adams),22,18
