,QUARTER,TIME_REMAINING,TORONTO_ACTION,DENVER_ACTION,TORONTO_SCORE,DENVER_SCORE
0,1,11:43.0,D. DeRozan misses 2-pt jump shot from 13 ft,,0,0
1,1,11:43.0,,Defensive rebound by Team,0,0
2,1,11:43.0,,Personal foul by J. Valančiūnas (drawn by N. Jokić),0,0
3,1,11:32.0,,J. Murray makes 2-pt layup from 4 ft,0,2
4,1,11:19.0,S. Ibaka misses 3-pt jump shot from 25 ft,,0,2
5,1,11:18.0,,Defensive rebound by Team,0,2
6,1,10:59.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by J. Murray),0,5
7,1,10:47.0,N. Powell makes 2-pt dunk from 3 ft,,2,5
8,1,10:24.0,,P. Millsap makes 3-pt jump shot from 26 ft (assist by N. Jokić),2,8
9,1,10:13.0,S. Ibaka misses 3-pt jump shot from 26 ft,,2,8
10,1,10:10.0,,Defensive rebound by N. Jokić,2,8
11,1,10:04.0,,P. Millsap makes 2-pt jump shot from 9 ft,2,10
12,1,9:57.0,Toronto full timeout,,2,10
13,1,9:48.0,K. Lowry makes 2-pt layup from 2 ft,,4,10
14,1,9:37.0,,Shooting foul by S. Ibaka (drawn by P. Millsap),4,10
15,1,9:37.0,,P. Millsap makes free throw 1 of 3,4,11
16,1,9:37.0,,P. Millsap makes free throw 2 of 3,4,12
17,1,9:37.0,,P. Millsap makes free throw 3 of 3,4,13
18,1,9:16.0,Turnover by N. Powell (bad pass),,4,13
19,1,9:05.0,,P. Millsap makes 2-pt jump shot from 16 ft,4,15
20,1,8:52.0,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by K. Lowry),,6,15
21,1,8:41.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by N. Jokić),6,18
22,1,8:31.0,Personal foul by J. Murray (drawn by K. Lowry),,6,18
23,1,8:25.0,D. DeRozan makes 2-pt jump shot from 10 ft,,8,18
24,1,8:17.0,,Turnover by J. Murray (lost ball; steal by K. Lowry),8,18
25,1,8:14.0,K. Lowry makes 2-pt layup from 2 ft,,10,18
26,1,8:03.0,,G. Harris makes 2-pt jump shot from 19 ft (assist by N. Jokić),10,20
27,1,7:39.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by N. Powell),,12,20
28,1,7:15.0,,P. Millsap misses 2-pt layup from 7 ft,12,20
29,1,7:13.0,Defensive rebound by J. Valančiūnas,,12,20
30,1,7:07.0,D. DeRozan misses 2-pt jump shot from 17 ft,,12,20
31,1,7:04.0,,Defensive rebound by P. Millsap,12,20
32,1,6:48.0,,P. Millsap misses 2-pt jump shot from 13 ft,12,20
33,1,6:48.0,Defensive rebound by Team,,12,20
34,1,6:34.0,S. Ibaka misses 3-pt jump shot from 23 ft,,12,20
35,1,6:30.0,,Defensive rebound by N. Jokić,12,20
36,1,6:23.0,,J. Murray misses 3-pt jump shot from 26 ft,12,20
37,1,6:20.0,Defensive rebound by J. Valančiūnas,,12,20
38,1,6:17.0,,W. Barton enters the game for W. Chandler,12,20
39,1,6:17.0,,M. Plumlee enters the game for N. Jokić,12,20
40,1,6:17.0,L. Nogueira enters the game for S. Ibaka,,12,20
41,1,6:17.0,P. Siakam enters the game for J. Valančiūnas,,12,20
42,1,6:08.0,D. DeRozan misses 2-pt jump shot from 13 ft,,12,20
43,1,6:05.0,,Defensive rebound by M. Plumlee,12,20
44,1,5:59.0,,J. Murray makes 2-pt layup from 5 ft,12,22
45,1,5:53.0,K. Lowry misses 3-pt jump shot from 24 ft,,12,22
46,1,5:53.0,,Defensive rebound by W. Barton,12,22
47,1,5:44.0,,J. Murray misses 3-pt jump shot from 27 ft,12,22
48,1,5:40.0,,Offensive rebound by M. Plumlee,12,22
49,1,5:39.0,,J. Murray makes 2-pt layup from 3 ft (assist by M. Plumlee),12,24
50,1,5:25.0,P. Siakam misses 2-pt layup from 7 ft (block by G. Harris),,12,24
51,1,5:18.0,,Defensive rebound by M. Plumlee,12,24
52,1,5:16.0,,Turnover by J. Murray (bad pass; steal by P. Siakam),12,24
53,1,5:12.0,P. Siakam misses 2-pt layup from 2 ft,,12,24
54,1,5:11.0,Offensive rebound by K. Lowry,,12,24
55,1,5:11.0,,E. Mudiay enters the game for J. Murray,12,24
56,1,5:11.0,Personal foul by W. Barton (drawn by K. Lowry),,12,24
57,1,4:54.0,N. Powell misses 2-pt jump shot from 15 ft,,12,24
58,1,4:50.0,,Defensive rebound by W. Barton,12,24
59,1,4:45.0,,Personal foul by P. Siakam (drawn by P. Millsap),12,24
60,1,4:45.0,C. Miles enters the game for N. Powell,,12,24
61,1,4:38.0,,P. Millsap misses 2-pt layup from 8 ft (block by L. Nogueira),12,24
62,1,4:38.0,,Offensive rebound by Team,12,24
63,1,4:30.0,,M. Plumlee misses 2-pt jump shot from 17 ft,12,24
64,1,4:26.0,Defensive rebound by K. Lowry,,12,24
