,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
0,1,11:43.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,2,0
1,1,11:26.0,,K. Love misses 3-pt jump shot from 22 ft,2,0
2,1,11:22.0,Defensive rebound by R. Westbrook,,2,0
3,1,11:19.0,R. Westbrook misses 2-pt layup at rim,,2,0
4,1,11:18.0,Offensive rebound by S. Adams,,2,0
5,1,11:18.0,S. Adams makes 2-pt layup at rim,,4,0
6,1,11:05.0,,Turnover by J. Crowder (bad pass; steal by A. Roberson),4,0
7,1,11:02.0,Shooting foul by J. Smith (drawn by P. George),,4,0
8,1,11:02.0,P. George misses free throw 1 of 3,,4,0
9,1,11:02.0,Offensive rebound by Team,,4,0
10,1,11:02.0,P. George makes free throw 2 of 3,,5,0
11,1,11:02.0,P. George makes free throw 3 of 3,,6,0
12,1,10:46.0,,K. Love misses 3-pt jump shot from 22 ft,6,0
13,1,10:46.0,Defensive rebound by C. Anthony,,6,0
14,1,10:35.0,S. Adams makes 2-pt layup from 1 ft (assist by C. Anthony),,8,0
15,1,10:35.0,,Cleveland full timeout,8,0
16,1,10:19.0,,L. James misses 3-pt jump shot from 22 ft,8,0
17,1,10:17.0,Defensive rebound by P. George,,8,0
18,1,10:01.0,C. Anthony misses 2-pt jump shot from 18 ft,,8,0
19,1,9:59.0,,Defensive rebound by J. Crowder,8,0
20,1,9:43.0,,J. Smith misses 3-pt jump shot from 23 ft,8,0
21,1,9:41.0,Defensive rebound by A. Roberson,,8,0
22,1,9:36.0,Turnover by R. Westbrook (lost ball; steal by J. Crowder),,8,0
23,1,9:25.0,,I. Thomas misses 2-pt jump shot from 17 ft,8,0
24,1,9:25.0,,Offensive rebound by J. Crowder,8,0
25,1,9:25.0,,J. Crowder makes 2-pt layup at rim,8,2
26,1,9:04.0,P. George makes 2-pt jump shot from 9 ft (assist by S. Adams),,10,2
27,1,8:56.0,,J. Crowder makes 2-pt layup at rim (assist by I. Thomas),10,4
28,1,8:56.0,,Shooting foul by P. George (drawn by J. Crowder),10,4
29,1,8:56.0,,T. Thompson enters the game for K. Love,10,4
30,1,8:56.0,,J. Crowder makes free throw 1 of 1,10,5
31,1,8:44.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,13,5
32,1,8:32.0,,I. Thomas makes 3-pt jump shot from 23 ft,13,8
33,1,8:23.0,R. Westbrook misses 2-pt jump shot from 19 ft,,13,8
34,1,8:16.0,Offensive rebound by S. Adams,,13,8
35,1,8:16.0,S. Adams makes 2-pt layup at rim,,15,8
36,1,8:11.0,,Shooting foul by S. Adams (drawn by L. James),15,8
37,1,8:11.0,,L. James makes free throw 1 of 2,15,9
38,1,8:11.0,,L. James misses free throw 2 of 2,15,9
