,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,Personal foul by M. Williams (drawn by A. Davis),0,0
1,1,11:38.0,,E. Okafor misses 2-pt jump shot from 16 ft,0,0
2,1,11:34.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
3,1,11:29.0,M. Williams misses 3-pt jump shot from 25 ft,,0,0
4,1,11:26.0,,Defensive rebound by Team,0,0
5,1,11:17.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by R. Rondo),0,3
6,1,11:03.0,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),,2,3
7,1,10:54.0,,A. Davis misses 3-pt jump shot from 25 ft,2,3
8,1,10:49.0,Defensive rebound by M. Williams,,2,3
9,1,10:44.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,2,3
10,1,10:40.0,,Defensive rebound by E. Okafor,2,3
11,1,10:35.0,,R. Rondo makes 2-pt jump shot from 8 ft,2,5
12,1,10:21.0,M. Williams misses 3-pt jump shot from 26 ft,,2,5
13,1,10:18.0,,Defensive rebound by A. Davis,2,5
14,1,10:12.0,,A. Davis misses 2-pt jump shot from 3 ft,2,5
15,1,10:09.0,Defensive rebound by M. Williams,,2,5
16,1,10:04.0,M. Kidd-Gilchrist misses 2-pt jump shot from 10 ft,,2,5
17,1,10:01.0,,Defensive rebound by J. Holiday,2,5
18,1,9:50.0,,Shooting foul by M. Williams (drawn by A. Davis),2,5
19,1,9:50.0,,A. Davis makes free throw 1 of 2,2,6
20,1,9:50.0,,A. Davis makes free throw 2 of 2,2,7
21,1,9:33.0,D. Howard makes 2-pt hook shot from 4 ft (assist by N. Batum),,4,7
22,1,9:13.0,,Turnover by R. Rondo (traveling),4,7
23,1,8:58.0,Personal foul by E. Okafor (drawn by D. Howard),,4,7
24,1,8:48.0,K. Walker makes 3-pt jump shot from 25 ft (assist by D. Howard),,7,7
25,1,8:37.0,,A. Davis makes 2-pt layup from 2 ft (assist by R. Rondo),7,9
26,1,8:23.0,M. Williams makes 2-pt layup from 1 ft (assist by N. Batum),,9,9
27,1,8:15.0,,R. Rondo misses 2-pt jump shot from 4 ft (block by D. Howard),9,9
28,1,8:15.0,,Offensive rebound by Team,9,9
29,1,8:13.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Rondo),9,12
30,1,7:58.0,N. Batum misses 3-pt jump shot from 25 ft,,9,12
31,1,7:54.0,,Defensive rebound by A. Davis,9,12
32,1,7:42.0,,A. Davis makes 2-pt jump shot from 3 ft (assist by J. Holiday),9,14
33,1,7:18.0,M. Williams misses 2-pt dunk at rim,,9,14
34,1,7:13.0,Offensive rebound by M. Kidd-Gilchrist,,9,14
35,1,7:05.0,M. Williams misses 2-pt jump shot from 7 ft,,9,14
36,1,7:03.0,,Defensive rebound by E. Okafor,9,14
37,1,6:58.0,,E. Moore misses 2-pt jump shot from 18 ft,9,14
38,1,6:53.0,,Offensive rebound by A. Davis,9,14
39,1,6:53.0,,A. Davis makes 2-pt layup at rim,9,16
40,1,6:39.0,K. Walker makes 2-pt layup at rim,,11,16
41,1,6:39.0,Shooting foul by A. Davis (drawn by K. Walker),,11,16
42,1,6:39.0,,New Orleans full timeout,11,16
43,1,6:39.0,K. Walker makes free throw 1 of 1,,12,16
44,1,6:27.0,,E. Moore makes 2-pt layup from 1 ft (assist by R. Rondo),12,18
45,1,6:08.0,D. Howard makes 2-pt jump shot from 9 ft (assist by N. Batum),,14,18
46,1,5:58.0,,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),14,20
47,1,5:40.0,N. Batum misses 2-pt layup from 1 ft,,14,20
48,1,5:37.0,,Defensive rebound by J. Holiday,14,20
49,1,5:34.0,,E. Moore misses 3-pt jump shot from 23 ft,14,20
50,1,5:31.0,,Offensive rebound by R. Rondo,14,20
51,1,5:29.0,,J. Holiday makes 2-pt jump shot from 12 ft (assist by R. Rondo),14,22
52,1,5:13.0,D. Howard makes 2-pt layup from 1 ft,,16,22
53,1,5:13.0,Shooting foul by E. Okafor (drawn by D. Howard),,16,22
54,1,5:13.0,,N. Mirotić enters the game for A. Davis,16,22
