,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:39.0,D. DeRozan makes 3-pt jump shot from 25 ft (assist by K. Lowry),,3,0
1,1,11:24.0,,Turnover by L. Markkanen (traveling),3,0
2,1,11:07.0,O. Anunoby misses 3-pt jump shot from 26 ft,,3,0
3,1,11:02.0,,Defensive rebound by L. Markkanen,3,0
4,1,10:53.0,,Turnover by J. Holiday (lost ball; steal by D. DeRozan),3,0
5,1,10:37.0,O. Anunoby misses 3-pt jump shot from 24 ft,,3,0
6,1,10:34.0,,Defensive rebound by K. Dunn,3,0
7,1,10:29.0,,D. Valentine misses 3-pt jump shot from 24 ft,3,0
8,1,10:25.0,Defensive rebound by J. Valančiūnas,,3,0
9,1,10:15.0,J. Valančiūnas misses 2-pt layup from 2 ft,,3,0
10,1,10:13.0,,Defensive rebound by L. Markkanen,3,0
11,1,10:02.0,,R. Lopez misses 2-pt jump shot from 17 ft,3,0
12,1,10:00.0,Defensive rebound by K. Lowry,,3,0
13,1,9:56.0,Personal foul by K. Dunn (drawn by K. Lowry),,3,0
14,1,9:50.0,Turnover by K. Lowry (bad pass),,3,0
15,1,9:37.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by K. Dunn),3,2
16,1,9:24.0,Turnover by J. Valančiūnas (lost ball; steal by D. Valentine),,3,2
17,1,9:11.0,,L. Markkanen misses 3-pt jump shot from 25 ft,3,2
18,1,9:06.0,Defensive rebound by O. Anunoby,,3,2
19,1,8:58.0,S. Ibaka misses 2-pt jump shot from 18 ft,,3,2
20,1,8:54.0,,Defensive rebound by D. Valentine,3,2
21,1,8:45.0,,R. Lopez makes 2-pt jump shot from 8 ft (assist by J. Holiday),3,4
22,1,8:31.0,S. Ibaka makes 2-pt jump shot from 11 ft (assist by K. Lowry),,5,4
23,1,8:14.0,,R. Lopez misses 2-pt hook shot from 4 ft,5,4
24,1,8:12.0,Defensive rebound by O. Anunoby,,5,4
25,1,8:06.0,Turnover by K. Lowry (bad pass; steal by L. Markkanen),,5,4
26,1,8:00.0,,D. Valentine makes 2-pt layup from 1 ft (assist by L. Markkanen),5,6
27,1,7:50.0,D. DeRozan misses 3-pt jump shot from 25 ft,,5,6
28,1,7:48.0,,Defensive rebound by L. Markkanen,5,6
29,1,7:41.0,,R. Lopez makes 2-pt jump shot from 4 ft (assist by K. Dunn),5,8
30,1,7:31.0,Toronto full timeout,,5,8
31,1,7:22.0,K. Lowry makes 2-pt jump shot from 16 ft,,7,8
32,1,7:03.0,,L. Markkanen makes 2-pt hook shot from 5 ft (assist by R. Lopez),7,10
33,1,6:50.0,S. Ibaka makes 2-pt jump shot from 5 ft,,9,10
34,1,6:35.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by R. Lopez),9,12
35,1,6:17.0,D. DeRozan misses 2-pt jump shot from 10 ft,,9,12
36,1,6:15.0,,Defensive rebound by D. Valentine,9,12
37,1,6:11.0,,D. Valentine makes 3-pt jump shot from 26 ft,9,15
38,1,5:57.0,Turnover by K. Lowry (bad pass),,9,15
39,1,5:38.0,,R. Lopez misses 2-pt hook shot from 6 ft,9,15
40,1,5:36.0,Defensive rebound by J. Valančiūnas,,9,15
41,1,5:31.0,Offensive foul by J. Valančiūnas (drawn by K. Dunn),,9,15
