,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,Z. LaVine misses 2-pt jump shot from 17 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Šarić,0,0
2,1,11:24.0,,B. Simmons misses 2-pt dunk from 1 ft,0,0
3,1,11:21.0,Defensive rebound by R. Lopez,,0,0
4,1,11:14.0,J. Grant misses 2-pt jump shot from 12 ft,,0,0
5,1,11:11.0,,Defensive rebound by B. Simmons,0,0
6,1,11:01.0,,J. Embiid makes 2-pt jump shot from 19 ft (assist by B. Simmons),0,2
7,1,10:38.0,R. Lopez misses 2-pt hook shot from 1 ft (block by J. Embiid),,0,2
8,1,10:36.0,,Defensive rebound by R. Covington,0,2
9,1,10:27.0,,Turnover by B. Simmons (lost ball; steal by J. Grant),0,2
10,1,10:21.0,L. Markkanen misses 3-pt jump shot from 26 ft,,0,2
11,1,10:18.0,,Defensive rebound by D. Šarić,0,2
12,1,10:08.0,,D. Šarić misses 2-pt hook shot from 9 ft,0,2
13,1,10:05.0,Defensive rebound by J. Grant,,0,2
14,1,10:03.0,Turnover by Z. LaVine (lost ball; steal by D. Šarić),,0,2
15,1,9:59.0,,B. Simmons misses 2-pt layup from 1 ft,0,2
16,1,9:56.0,Defensive rebound by R. Lopez,,0,2
17,1,9:41.0,R. Lopez misses 2-pt jump shot from 8 ft,,0,2
18,1,9:39.0,,Defensive rebound by B. Simmons,0,2
19,1,9:31.0,,J. Embiid makes 2-pt layup from 6 ft (assist by D. Šarić),0,4
20,1,9:14.0,J. Holiday misses 2-pt jump shot from 11 ft,,0,4
21,1,9:12.0,,Defensive rebound by B. Simmons,0,4
22,1,9:06.0,,D. Šarić misses 3-pt jump shot from 25 ft,0,4
23,1,9:03.0,Defensive rebound by Z. LaVine,,0,4
24,1,8:56.0,Z. LaVine misses 3-pt jump shot from 26 ft,,0,4
25,1,8:56.0,,Defensive rebound by D. Šarić,0,4
26,1,8:44.0,,J. Embiid misses 3-pt jump shot from 26 ft,0,4
27,1,8:40.0,Defensive rebound by Z. LaVine,,0,4
28,1,8:24.0,L. Markkanen makes 2-pt layup from 2 ft,,2,4
29,1,8:24.0,Shooting foul by J. Embiid (drawn by L. Markkanen),,2,4
30,1,8:24.0,L. Markkanen makes free throw 1 of 1,,3,4
31,1,8:09.0,,J. Embiid misses 2-pt jump shot from 16 ft,3,4
32,1,8:06.0,Defensive rebound by Z. LaVine,,3,4
33,1,8:00.0,Z. LaVine misses 2-pt layup from 2 ft,,3,4
34,1,7:58.0,,Defensive rebound by J. Embiid,3,4
35,1,7:49.0,,B. Simmons makes 2-pt layup from 1 ft (assist by R. Covington),3,6
36,1,7:32.0,L. Markkanen makes 2-pt jump shot from 17 ft (assist by J. Grant),,5,6
37,1,7:19.0,,Shooting foul by J. Holiday (drawn by B. Simmons),5,6
38,1,7:19.0,,B. Simmons makes free throw 1 of 2,5,7
39,1,7:19.0,,J. Anderson enters the game for R. Covington,5,7
40,1,7:19.0,,B. Simmons makes free throw 2 of 2,5,8
41,1,7:10.0,L. Markkanen misses 2-pt layup from 7 ft,,5,8
42,1,7:07.0,,Defensive rebound by J. Embiid,5,8
