,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
0,1,11:36.0,C. Anthony misses 2-pt jump shot from 20 ft,,0,0
1,1,11:34.0,,Defensive rebound by R. Gobert,0,0
2,1,11:20.0,,D. Mitchell makes 3-pt jump shot from 22 ft (assist by R. Rubio),0,3
3,1,11:01.0,P. George misses 2-pt jump shot from 18 ft,,0,3
4,1,10:57.0,Offensive rebound by S. Adams,,0,3
5,1,10:47.0,R. Westbrook misses 2-pt jump shot from 7 ft,,0,3
6,1,10:45.0,,Defensive rebound by R. Gobert,0,3
7,1,10:36.0,,J. Ingles misses 3-pt jump shot from 22 ft,0,3
8,1,10:34.0,Defensive rebound by R. Westbrook,,0,3
9,1,10:28.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,2,3
10,1,10:14.0,,R. Rubio misses 3-pt jump shot from 24 ft,2,3
11,1,10:11.0,Defensive rebound by C. Anthony,,2,3
12,1,9:57.0,S. Adams makes 2-pt jump shot from 7 ft (assist by P. George),,4,3
13,1,9:39.0,,R. Gobert makes 2-pt layup from 1 ft (assist by R. Rubio),4,5
14,1,9:25.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,6,5
15,1,9:16.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),6,7
16,1,8:58.0,P. George misses 2-pt jump shot from 19 ft,,6,7
17,1,8:56.0,,Defensive rebound by J. Ingles,6,7
18,1,8:56.0,,Personal foul by P. George (drawn by J. Ingles),6,7
19,1,8:38.0,,D. Favors misses 2-pt layup from 3 ft,6,7
20,1,8:36.0,,Offensive rebound by D. Favors,6,7
21,1,8:33.0,,D. Favors makes 2-pt layup from 2 ft,6,9
22,1,8:20.0,R. Westbrook misses 2-pt jump shot from 13 ft,,6,9
23,1,8:16.0,,Defensive rebound by D. Favors,6,9
24,1,8:10.0,,D. Mitchell misses 2-pt layup from 3 ft,6,9
25,1,8:08.0,Defensive rebound by R. Westbrook,,6,9
26,1,8:00.0,R. Westbrook makes 2-pt jump shot from 16 ft,,8,9
27,1,7:38.0,,R. Gobert misses 2-pt layup from 1 ft,8,9
28,1,7:35.0,Defensive rebound by S. Adams,,8,9
29,1,7:17.0,P. George misses 2-pt jump shot from 15 ft,,8,9
30,1,7:14.0,,Defensive rebound by R. Rubio,8,9
31,1,7:06.0,,J. Ingles makes 2-pt layup from 1 ft,8,11
32,1,6:48.0,C. Anthony makes 2-pt layup from 4 ft,,10,11
33,1,6:40.0,,J. Ingles misses 3-pt jump shot from 25 ft,10,11
34,1,6:37.0,Defensive rebound by P. George,,10,11
35,1,6:30.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by P. George),,13,11
36,1,6:30.0,,Utah full timeout,13,11
37,1,6:30.0,,J. Crowder enters the game for J. Ingles,13,11
38,1,6:17.0,,Turnover by J. Crowder (bad pass),13,11
39,1,5:58.0,C. Anthony misses 2-pt layup from 7 ft,,13,11
40,1,5:57.0,Offensive rebound by Team,,13,11
41,1,5:57.0,,Loose ball foul by D. Favors (drawn by C. Anthony),13,11
42,1,5:57.0,,R. O'Neale enters the game for D. Favors,13,11
43,1,5:57.0,J. Grant enters the game for C. Brewer,,13,11
44,1,5:57.0,Á. Abrines enters the game for C. Anthony,,13,11
45,1,5:52.0,Á. Abrines misses 3-pt jump shot from 24 ft,,13,11
46,1,5:50.0,,Defensive rebound by R. Gobert,13,11
47,1,5:43.0,,R. O'Neale misses 3-pt jump shot from 23 ft,13,11
48,1,5:39.0,Defensive rebound by R. Westbrook,,13,11
49,1,5:31.0,P. George misses 2-pt jump shot from 18 ft,,13,11
50,1,5:29.0,,Defensive rebound by R. Gobert,13,11
51,1,5:17.0,,D. Mitchell misses 3-pt jump shot from 26 ft,13,11
52,1,5:14.0,Defensive rebound by S. Adams,,13,11
53,1,5:09.0,R. Westbrook misses 2-pt jump shot from 18 ft,,13,11
54,1,5:06.0,,Defensive rebound by R. Gobert,13,11
55,1,4:56.0,,J. Crowder misses 2-pt layup from 2 ft,13,11
56,1,4:54.0,Defensive rebound by S. Adams,,13,11
57,1,4:52.0,Personal foul by R. O'Neale (drawn by R. Westbrook),,13,11
58,1,4:52.0,,D. Exum enters the game for R. Rubio,13,11
59,1,4:45.0,P. George makes 2-pt jump shot from 19 ft,,15,11
60,1,4:25.0,,R. Gobert misses 2-pt layup from 2 ft,15,11
61,1,4:23.0,Defensive rebound by S. Adams,,15,11
62,1,4:12.0,Turnover by P. George (bad pass),,15,11
63,1,4:01.0,,Turnover by D. Exum (out of bounds lost ball),15,11
64,1,3:48.0,R. Westbrook makes 2-pt jump shot from 17 ft,,17,11
65,1,3:26.0,,J. Crowder misses 2-pt hook shot from 7 ft,17,11
66,1,3:24.0,Defensive rebound by R. Westbrook,,17,11
67,1,3:08.0,J. Grant makes 3-pt jump shot from 24 ft (assist by S. Adams),,20,11
68,1,3:06.0,,Utah full timeout,20,11
69,1,3:06.0,,J. Ingles enters the game for R. O'Neale,20,11
70,1,3:06.0,,D. Favors enters the game for R. Gobert,20,11
71,1,2:57.0,,Personal foul by Á. Abrines (drawn by J. Ingles),20,11
72,1,2:48.0,,Shooting foul by S. Adams (drawn by J. Ingles),20,11
73,1,2:48.0,,J. Ingles makes free throw 1 of 2,20,12
74,1,2:48.0,,J. Ingles misses free throw 2 of 2,20,12
75,1,2:46.0,Defensive rebound by Á. Abrines,,20,12
76,1,2:29.0,Á. Abrines misses 2-pt jump shot from 20 ft,,20,12
77,1,2:25.0,,Defensive rebound by D. Favors,20,12
78,1,2:07.0,,D. Favors makes 2-pt jump shot from 18 ft,20,14
79,1,1:48.0,R. Westbrook misses 3-pt jump shot from 24 ft,,20,14
80,1,1:46.0,Offensive rebound by Á. Abrines,,20,14
81,1,1:36.0,Turnover by P. George (bad pass),,20,14
82,1,1:36.0,,R. O'Neale enters the game for D. Exum,20,14
83,1,1:36.0,,A. Burks enters the game for D. Mitchell,20,14
84,1,1:36.0,J. Huestis enters the game for R. Westbrook,,20,14
85,1,1:36.0,C. Anthony enters the game for S. Adams,,20,14
