,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:34.0,,L. Aldridge makes 2-pt jump shot from 14 ft,0,2
1,1,11:14.0,E. Gordon misses 2-pt jump shot from 12 ft,,0,2
2,1,11:10.0,Offensive rebound by C. Capela,,0,2
3,1,11:06.0,C. Capela makes 2-pt dunk from 1 ft (assist by P. Tucker),,2,2
4,1,10:45.0,,D. Murray misses 2-pt jump shot from 9 ft,2,2
5,1,10:43.0,Defensive rebound by T. Ariza,,2,2
6,1,10:37.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),,4,2
7,1,10:20.0,,Turnover by D. Green (step out of bounds),4,2
8,1,10:02.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,6,2
9,1,9:44.0,,L. Aldridge misses 2-pt jump shot from 11 ft,6,2
10,1,9:42.0,Defensive rebound by J. Harden,,6,2
11,1,9:34.0,C. Capela misses 2-pt layup from 1 ft,,6,2
12,1,9:31.0,,Defensive rebound by D. Green,6,2
13,1,9:28.0,,D. Murray makes 2-pt layup at rim,6,4
14,1,9:16.0,T. Ariza misses 3-pt jump shot from 24 ft,,6,4
15,1,9:16.0,,Defensive rebound by D. Green,6,4
16,1,8:56.0,,L. Aldridge misses 2-pt layup at rim,6,4
17,1,8:54.0,Defensive rebound by C. Capela,,6,4
18,1,8:34.0,J. Harden misses 3-pt jump shot from 24 ft,,6,4
19,1,8:30.0,,Defensive rebound by K. Anderson,6,4
20,1,8:24.0,,D. Murray makes 2-pt layup at rim (assist by K. Anderson),6,6
21,1,8:12.0,C. Capela misses 2-pt layup at rim,,6,6
22,1,8:09.0,,Defensive rebound by L. Aldridge,6,6
23,1,8:07.0,,Turnover by L. Aldridge (lost ball; steal by T. Ariza),6,6
24,1,8:03.0,P. Tucker misses 3-pt jump shot from 26 ft,,6,6
25,1,8:01.0,,Defensive rebound by L. Aldridge,6,6
26,1,7:57.0,,D. Murray makes 2-pt layup at rim,6,8
27,1,7:38.0,Turnover by J. Harden (lost ball; steal by K. Anderson),,6,8
28,1,7:34.0,,D. Murray misses 3-pt jump shot from 22 ft,6,8
29,1,7:29.0,Defensive rebound by E. Gordon,,6,8
30,1,7:23.0,E. Gordon makes 2-pt layup from 1 ft,,8,8
31,1,7:00.0,,Personal foul by T. Ariza (drawn by L. Aldridge),8,8
32,1,7:00.0,,San Antonio full timeout,8,8
33,1,7:00.0,G. Green enters the game for E. Gordon,,8,8
34,1,6:50.0,,L. Aldridge misses 2-pt hook shot from 6 ft (block by C. Capela),8,8
35,1,6:46.0,Defensive rebound by T. Ariza,,8,8
36,1,6:41.0,T. Ariza misses 2-pt layup from 3 ft (block by K. Anderson),,8,8
37,1,6:38.0,,Defensive rebound by D. Murray,8,8
38,1,6:27.0,,D. Green misses 3-pt jump shot from 22 ft,8,8
39,1,6:23.0,Defensive rebound by G. Green,,8,8
40,1,6:12.0,J. Harden misses 2-pt layup from 3 ft (block by L. Aldridge),,8,8
41,1,6:12.0,,Defensive rebound by P. Mills,8,8
42,1,6:05.0,,D. Green misses 3-pt jump shot from 24 ft,8,8
43,1,6:01.0,Defensive rebound by C. Capela,,8,8
44,1,5:46.0,Shooting foul by D. Green (drawn by C. Capela),,8,8
45,1,5:46.0,C. Capela misses free throw 1 of 2,,8,8
46,1,5:46.0,Offensive rebound by Team,,8,8
47,1,5:46.0,,M. Ginóbili enters the game for D. Green,8,8
48,1,5:46.0,J. Johnson enters the game for T. Ariza,,8,8
49,1,5:46.0,L. Mbah a Moute enters the game for P. Tucker,,8,8
50,1,5:46.0,C. Capela makes free throw 2 of 2,,9,8
51,1,5:29.0,,Def 3 sec tech foul by J. Harden,9,8
52,1,5:29.0,,P. Mills makes technical free throw,9,9
53,1,5:29.0,,R. Gay enters the game for K. Anderson,9,9
54,1,5:29.0,R. Anderson enters the game for C. Capela,,9,9
55,1,5:15.0,,P. Mills makes 2-pt layup from 1 ft (assist by M. Ginóbili),9,11
56,1,5:05.0,G. Green makes 2-pt jump shot from 10 ft,,11,11
57,1,4:47.0,,D. Murray makes 2-pt layup at rim (assist by L. Aldridge),11,13
58,1,4:33.0,Shooting foul by R. Gay (drawn by J. Harden),,11,13
59,1,4:33.0,J. Harden makes free throw 1 of 2,,12,13
60,1,4:33.0,,T. Parker enters the game for D. Murray,12,13
61,1,4:33.0,J. Harden makes free throw 2 of 2,,13,13
62,1,4:08.0,,R. Gay makes 2-pt jump shot from 10 ft (assist by T. Parker),13,15
63,1,3:49.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,13,15
64,1,3:45.0,,Defensive rebound by L. Aldridge,13,15
65,1,3:34.0,,L. Aldridge misses 2-pt hook shot from 6 ft,13,15
66,1,3:31.0,,Offensive rebound by L. Aldridge,13,15
67,1,3:31.0,,Personal foul by L. Mbah a Moute (drawn by L. Aldridge),13,15
68,1,3:28.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),13,18
69,1,3:06.0,J. Harden makes 2-pt layup from 1 ft,,15,18
70,1,2:51.0,,P. Mills misses 3-pt jump shot from 25 ft,15,18
71,1,2:49.0,Defensive rebound by J. Johnson,,15,18
72,1,2:44.0,J. Harden makes 2-pt layup at rim,,17,18
73,1,2:27.0,,L. Aldridge misses 2-pt jump shot from 13 ft,17,18
74,1,2:25.0,Defensive rebound by G. Green,,17,18
75,1,2:01.0,J. Harden misses 3-pt jump shot from 26 ft,,17,18
76,1,1:59.0,,Defensive rebound by P. Mills,17,18
77,1,1:46.0,,T. Parker misses 2-pt layup from 2 ft,17,18
78,1,1:40.0,,Offensive rebound by L. Aldridge,17,18
79,1,1:40.0,,L. Aldridge makes 2-pt layup at rim,17,20
