,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
0,1,11:43.0,,T. Gibson makes 2-pt jump shot from 20 ft (assist by A. Wiggins),0,2
1,1,11:23.0,M. Williams makes 2-pt layup at rim (assist by K. Walker),,2,2
2,1,11:06.0,,Turnover by K. Towns (bad pass),2,2
3,1,10:54.0,D. Howard makes 2-pt dunk at rim (assist by K. Walker),,4,2
4,1,10:28.0,,J. Teague misses 2-pt jump shot from 18 ft,4,2
5,1,10:25.0,,Offensive rebound by J. Teague,4,2
6,1,10:09.0,,J. Teague misses 2-pt jump shot from 7 ft,4,2
7,1,10:07.0,Defensive rebound by D. Bacon,,4,2
8,1,9:57.0,K. Walker misses 2-pt jump shot from 15 ft,,4,2
9,1,9:54.0,,Defensive rebound by A. Wiggins,4,2
10,1,9:47.0,,K. Towns misses 3-pt jump shot from 24 ft,4,2
11,1,9:43.0,Defensive rebound by D. Howard,,4,2
12,1,9:29.0,Turnover by D. Howard (out of bounds lost ball),,4,2
13,1,9:10.0,,T. Gibson makes 2-pt jump shot from 10 ft (assist by J. Butler),4,4
14,1,8:52.0,Turnover by D. Howard (lost ball; steal by T. Gibson),,4,4
15,1,8:45.0,,A. Wiggins makes 2-pt jump shot from 19 ft,4,6
16,1,8:18.0,J. Lamb makes 2-pt jump shot from 11 ft,,6,6
17,1,8:05.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),6,8
18,1,7:50.0,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),,9,8
19,1,7:33.0,,A. Wiggins misses 2-pt jump shot from 14 ft,9,8
20,1,7:30.0,Defensive rebound by D. Howard,,9,8
21,1,7:23.0,K. Walker misses 3-pt jump shot from 24 ft,,9,8
22,1,7:20.0,,Defensive rebound by T. Gibson,9,8
23,1,7:14.0,,K. Towns makes 2-pt layup at rim (assist by J. Teague),9,10
24,1,6:55.0,J. Lamb makes 3-pt jump shot from 22 ft (assist by K. Walker),,12,10
25,1,6:43.0,,Shooting foul by D. Bacon (drawn by K. Towns),12,10
26,1,6:43.0,,Minnesota full timeout,12,10
27,1,6:43.0,,K. Towns makes free throw 1 of 2,12,11
28,1,6:43.0,,K. Towns makes free throw 2 of 2,12,12
29,1,6:31.0,M. Williams misses 3-pt jump shot from 24 ft,,12,12
30,1,6:27.0,,Defensive rebound by J. Butler,12,12
31,1,6:22.0,,J. Butler misses 2-pt jump shot from 19 ft,12,12
32,1,6:19.0,Defensive rebound by M. Williams,,12,12
33,1,6:07.0,D. Bacon makes 3-pt jump shot from 22 ft (assist by J. Lamb),,15,12
34,1,5:53.0,,J. Teague misses 2-pt jump shot from 6 ft,15,12
35,1,5:51.0,Defensive rebound by M. Williams,,15,12
36,1,5:35.0,Turnover by J. Lamb (traveling),,15,12
37,1,5:35.0,T. Graham enters the game for J. Lamb,,15,12
38,1,5:20.0,,Turnover by T. Gibson (traveling),15,12
39,1,5:10.0,T. Graham makes 2-pt jump shot from 8 ft (assist by K. Walker),,17,12
40,1,4:56.0,,Personal foul by T. Graham (drawn by A. Wiggins),17,12
41,1,4:56.0,F. Kaminsky enters the game for M. Williams,,17,12
42,1,4:45.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Teague),17,14
43,1,4:22.0,F. Kaminsky misses 2-pt jump shot from 8 ft,,17,14
44,1,4:19.0,,Defensive rebound by J. Butler,17,14
45,1,4:09.0,,K. Towns misses 2-pt layup from 1 ft,17,14
46,1,4:07.0,Defensive rebound by T. Graham,,17,14
47,1,3:58.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),,20,14
48,1,3:33.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),20,16
49,1,3:15.0,K. Walker misses 2-pt jump shot from 18 ft,,20,16
50,1,3:13.0,,Defensive rebound by T. Gibson,20,16
51,1,3:06.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),20,19
52,1,2:59.0,Charlotte full timeout,,20,19
53,1,2:59.0,,G. Dieng enters the game for K. Towns,20,19
54,1,2:59.0,C. Zeller enters the game for D. Howard,,20,19
55,1,2:50.0,K. Walker misses 3-pt jump shot from 26 ft,,20,19
56,1,2:47.0,,Defensive rebound by T. Gibson,20,19
57,1,2:38.0,,J. Butler makes 2-pt jump shot from 15 ft (assist by J. Teague),20,21
58,1,2:24.0,T. Graham makes 2-pt layup from 1 ft (assist by F. Kaminsky),,22,21
59,1,2:24.0,,Violation by G. Dieng (def goaltending),22,21
60,1,2:19.0,,Personal foul by D. Bacon (drawn by J. Butler),22,21
