,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,GOLDEN STATE_ACTION,CHARLOTTE_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,N. Batum makes 2-pt jump shot from 17 ft (assist by K. Walker),,2,0
1,1,11:31.0,,D. Green misses 3-pt jump shot from 25 ft,2,0
2,1,11:29.0,,Offensive rebound by Z. Pachulia,2,0
3,1,11:25.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),2,3
4,1,11:10.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by K. Walker),,4,3
5,1,10:51.0,,S. Livingston makes 2-pt jump shot from 11 ft,4,5
6,1,10:36.0,D. Howard misses 2-pt hook shot from 6 ft,,4,5
7,1,10:33.0,,Defensive rebound by K. Durant,4,5
8,1,10:30.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Durant),4,7
9,1,10:18.0,K. Walker misses 2-pt jump shot from 10 ft,,4,7
10,1,10:15.0,,Defensive rebound by D. Green,4,7
11,1,10:10.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),4,10
12,1,9:50.0,Shooting foul by S. Livingston (drawn by N. Batum),,4,10
13,1,9:50.0,N. Batum makes free throw 1 of 2,,5,10
14,1,9:50.0,N. Batum misses free throw 2 of 2,,5,10
15,1,9:48.0,,Defensive rebound by Z. Pachulia,5,10
16,1,9:42.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),5,12
17,1,9:23.0,N. Batum misses 2-pt jump shot from 14 ft,,5,12
18,1,9:17.0,,Defensive rebound by Z. Pachulia,5,12
19,1,9:14.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,12
20,1,9:10.0,Defensive rebound by N. Batum,,5,12
21,1,9:06.0,Turnover by N. Batum (bad pass),,5,12
22,1,8:55.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Livingston),5,14
23,1,8:41.0,K. Walker makes 3-pt jump shot from 25 ft,,8,14
24,1,8:30.0,,S. Livingston makes 2-pt jump shot from 12 ft,8,16
25,1,8:12.0,D. Howard makes 2-pt jump shot from 19 ft (assist by K. Walker),,10,16
