,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
0,1,11:45.0,,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),0,2
1,1,11:26.0,T. Daniels misses 3-pt jump shot from 26 ft,,0,2
2,1,11:23.0,Offensive rebound by M. Chriss,,0,2
3,1,11:20.0,D. Bender misses 3-pt jump shot from 26 ft,,0,2
4,1,11:15.0,,Defensive rebound by D. Augustin,0,2
5,1,11:14.0,,Personal foul by J. Jackson (drawn by A. Gordon),0,2
6,1,10:59.0,,D. Augustin makes 2-pt jump shot from 10 ft,0,4
7,1,10:43.0,J. Jackson misses 2-pt jump shot from 9 ft (block by A. Gordon),,0,4
8,1,10:41.0,,Defensive rebound by Team,0,4
9,1,10:25.0,,A. Gordon makes 2-pt layup at rim (assist by N. Vučević),0,6
10,1,10:10.0,,Violation by N. Vučević (kicked ball),0,6
11,1,10:03.0,T. Daniels misses 2-pt layup from 7 ft,,0,6
12,1,10:00.0,,Defensive rebound by N. Vučević,0,6
13,1,9:46.0,,W. Iwundu misses 3-pt jump shot from 25 ft,0,6
14,1,9:43.0,Defensive rebound by T. Daniels,,0,6
15,1,9:35.0,J. Jackson makes 2-pt layup from 6 ft,,2,6
16,1,9:23.0,,N. Vučević misses 2-pt hook shot from 8 ft,2,6
17,1,9:21.0,Defensive rebound by T. Daniels,,2,6
18,1,9:12.0,E. Payton misses 3-pt jump shot from 25 ft,,2,6
19,1,9:08.0,,Defensive rebound by A. Gordon,2,6
20,1,8:55.0,,N. Vučević misses 2-pt jump shot from 19 ft,2,6
21,1,8:51.0,Defensive rebound by D. Bender,,2,6
22,1,8:51.0,Turnover by D. Bender (bad pass),,2,6
23,1,8:35.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by W. Iwundu),2,8
24,1,8:20.0,E. Payton misses 2-pt jump shot from 7 ft,,2,8
25,1,8:18.0,,Defensive rebound by M. Hezonja,2,8
26,1,8:07.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by A. Gordon),2,10
27,1,8:07.0,Phoenix full timeout,,2,10
28,1,7:55.0,J. Jackson misses 2-pt jump shot from 16 ft,,2,10
29,1,7:53.0,,Defensive rebound by D. Augustin,2,10
30,1,7:53.0,,Personal foul by M. Chriss (drawn by D. Augustin),2,10
31,1,7:37.0,,A. Gordon makes 2-pt layup from 2 ft,2,12
32,1,7:13.0,J. Jackson makes 2-pt layup from 1 ft (assist by E. Payton),,4,12
33,1,7:05.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by D. Augustin),4,14
34,1,6:51.0,M. Chriss misses 3-pt jump shot from 24 ft,,4,14
35,1,6:48.0,,Defensive rebound by M. Hezonja,4,14
36,1,6:31.0,,N. Vučević misses 2-pt layup from 2 ft,4,14
37,1,6:31.0,Defensive rebound by Team,,4,14
38,1,6:22.0,T. Daniels makes 2-pt jump shot from 9 ft (assist by D. Bender),,6,14
39,1,6:04.0,,A. Gordon misses 3-pt jump shot from 25 ft,6,14
40,1,6:00.0,Defensive rebound by T. Daniels,,6,14
41,1,5:53.0,Shooting foul by W. Iwundu (drawn by T. Daniels),,6,14
42,1,5:53.0,T. Daniels makes free throw 1 of 2,,7,14
43,1,5:53.0,A. Len enters the game for M. Chriss,,7,14
44,1,5:53.0,T. Daniels makes free throw 2 of 2,,8,14
45,1,5:41.0,,N. Vučević misses 3-pt jump shot from 25 ft,8,14
46,1,5:38.0,Defensive rebound by E. Payton,,8,14
47,1,5:32.0,E. Payton makes 2-pt jump shot from 8 ft,,10,14
48,1,5:32.0,,Orlando full timeout,10,14
49,1,5:07.0,,W. Iwundu misses 3-pt jump shot from 23 ft,10,14
50,1,5:03.0,Defensive rebound by D. Bender,,10,14
51,1,4:55.0,A. Len makes 2-pt dunk at rim (assist by J. Jackson),,12,14
52,1,4:32.0,,R. Purvis enters the game for W. Iwundu,12,14
53,1,4:27.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by R. Purvis),12,17
54,1,4:11.0,T. Daniels misses 3-pt jump shot from 25 ft,,12,17
55,1,4:08.0,,Defensive rebound by M. Hezonja,12,17
56,1,4:03.0,,A. Gordon misses 3-pt jump shot from 25 ft,12,17
57,1,4:00.0,Defensive rebound by D. Bender,,12,17
58,1,3:54.0,Shooting foul by N. Vučević (drawn by E. Payton),,12,17
59,1,3:54.0,E. Payton misses free throw 1 of 2,,12,17
60,1,3:54.0,Offensive rebound by Team,,12,17
61,1,3:54.0,T. Ulis enters the game for T. Daniels,,12,17
62,1,3:54.0,E. Payton makes free throw 2 of 2,,13,17
63,1,3:36.0,,N. Vučević makes 2-pt layup from 4 ft (assist by D. Augustin),13,19
64,1,3:22.0,T. Ulis makes 2-pt jump shot from 19 ft (assist by A. Len),,15,19
65,1,3:01.0,,R. Purvis makes 3-pt jump shot from 23 ft (assist by D. Augustin),15,22
66,1,2:45.0,J. Jackson misses 2-pt layup from 4 ft,,15,22
67,1,2:40.0,Offensive rebound by A. Len,,15,22
68,1,2:40.0,A. Len misses 2-pt layup at rim,,15,22
69,1,2:39.0,,Defensive rebound by A. Gordon,15,22
70,1,2:33.0,,R. Purvis misses 3-pt jump shot from 25 ft,15,22
71,1,2:30.0,Defensive rebound by E. Payton,,15,22
72,1,2:22.0,J. Jackson misses 2-pt hook shot from 9 ft,,15,22
73,1,2:19.0,,Defensive rebound by N. Vučević,15,22
74,1,2:17.0,,A. Gordon makes 2-pt dunk at rim (assist by D. Augustin),15,24
