,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,Turnover by J. Teague (bad pass; steal by D. Gallinari),,0,0
1,1,11:22.0,,C. Williams misses 2-pt layup from 2 ft,0,0
2,1,11:18.0,Defensive rebound by K. Towns,,0,0
3,1,11:05.0,A. Wiggins makes 2-pt hook shot from 7 ft (assist by J. Butler),,2,0
4,1,10:48.0,,D. Gallinari misses 2-pt jump shot from 23 ft,2,0
5,1,10:44.0,Defensive rebound by T. Gibson,,2,0
6,1,10:37.0,Turnover by A. Wiggins (traveling),,2,0
7,1,10:21.0,,D. Gallinari misses 2-pt dunk from 1 ft (block by T. Gibson),2,0
8,1,10:16.0,Defensive rebound by T. Gibson,,2,0
9,1,10:07.0,J. Teague misses 3-pt jump shot from 32 ft,,2,0
10,1,10:06.0,Offensive rebound by Team,,2,0
11,1,9:50.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Butler),,4,0
12,1,9:29.0,,C. Williams makes 3-pt jump shot from 24 ft (assist by W. Johnson),4,3
13,1,9:17.0,A. Wiggins misses 2-pt jump shot from 18 ft,,4,3
14,1,9:14.0,,Defensive rebound by D. Gallinari,4,3
15,1,9:08.0,,A. Rivers misses 3-pt jump shot from 25 ft,4,3
16,1,9:05.0,Defensive rebound by T. Gibson,,4,3
17,1,8:56.0,K. Towns misses 2-pt jump shot from 14 ft,,4,3
18,1,8:52.0,,Defensive rebound by D. Jordan,4,3
19,1,8:44.0,,C. Williams misses 2-pt jump shot from 5 ft (block by K. Towns),4,3
20,1,8:41.0,Defensive rebound by J. Teague,,4,3
21,1,8:36.0,A. Wiggins misses 3-pt jump shot from 27 ft,,4,3
22,1,8:33.0,Offensive rebound by T. Gibson,,4,3
23,1,8:32.0,T. Gibson makes 2-pt layup from 1 ft,,6,3
24,1,8:15.0,,W. Johnson misses 2-pt jump shot from 6 ft (block by T. Gibson),6,3
25,1,8:12.0,Defensive rebound by T. Gibson,,6,3
26,1,8:02.0,Turnover by K. Towns (turnover),,6,3
27,1,7:45.0,,D. Jordan makes 2-pt hook shot from 6 ft,6,5
28,1,7:32.0,Turnover by K. Towns (lost ball; steal by A. Rivers),,6,5
29,1,7:28.0,,Turnover by D. Gallinari (lost ball; steal by K. Towns),6,5
30,1,7:23.0,J. Teague makes 3-pt jump shot from 22 ft (assist by A. Wiggins),,9,5
31,1,7:10.0,,Offensive foul by D. Jordan (drawn by K. Towns),9,5
32,1,7:10.0,,Turnover by D. Jordan (offensive foul),9,5
33,1,6:55.0,A. Wiggins makes 2-pt jump shot from 13 ft,,11,5
34,1,6:32.0,,A. Rivers makes 2-pt layup from 1 ft,11,7
35,1,6:19.0,Offensive foul by A. Wiggins (drawn by D. Jordan),,11,7
36,1,6:19.0,Turnover by A. Wiggins (offensive foul),,11,7
