,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
0,1,11:37.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),0,2
1,1,11:22.0,J. Henson makes 2-pt layup from 1 ft (assist by E. Bledsoe),,2,2
2,1,10:58.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),2,5
3,1,10:39.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by J. Henson),,5,5
4,1,10:18.0,,P. Millsap makes 2-pt jump shot from 22 ft,5,7
5,1,10:07.0,K. Middleton misses 2-pt jump shot from 8 ft (block by T. Craig),,5,7
6,1,10:07.0,,Defensive rebound by N. Jokić,5,7
7,1,10:07.0,,Personal foul by J. Henson (drawn by N. Jokić),5,7
8,1,9:59.0,,N. Jokić misses 2-pt jump shot from 4 ft,5,7
9,1,9:55.0,Defensive rebound by G. Antetokounmpo,,5,7
10,1,9:51.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,7,7
11,1,9:33.0,,J. Murray misses 3-pt jump shot from 22 ft,7,7
12,1,9:29.0,,Offensive rebound by P. Millsap,7,7
13,1,9:15.0,,N. Jokić misses 2-pt jump shot from 16 ft,7,7
14,1,9:13.0,Defensive rebound by G. Antetokounmpo,,7,7
15,1,9:03.0,J. Henson makes 2-pt jump shot from 7 ft (assist by G. Antetokounmpo),,9,7
16,1,8:49.0,,P. Millsap misses 3-pt jump shot from 24 ft,9,7
17,1,8:44.0,Defensive rebound by E. Bledsoe,,9,7
18,1,8:28.0,Shooting foul by J. Murray (drawn by J. Henson),,9,7
19,1,8:28.0,J. Henson makes free throw 1 of 2,,10,7
20,1,8:28.0,J. Henson makes free throw 2 of 2,,11,7
21,1,8:13.0,,N. Jokić makes 2-pt jump shot from 12 ft (assist by P. Millsap),11,9
22,1,7:59.0,Turnover by E. Bledsoe (bad pass),,11,9
23,1,7:46.0,,T. Craig makes 2-pt jump shot from 20 ft (assist by P. Millsap),11,11
24,1,7:34.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft,,11,11
25,1,7:31.0,,Defensive rebound by P. Millsap,11,11
26,1,7:29.0,,Turnover by T. Craig (step out of bounds),11,11
27,1,7:15.0,K. Middleton makes 2-pt jump shot from 16 ft,,13,11
28,1,6:53.0,,T. Craig misses 3-pt jump shot from 22 ft,13,11
29,1,6:50.0,Defensive rebound by J. Henson,,13,11
30,1,6:46.0,K. Middleton makes 2-pt jump shot from 3 ft (assist by J. Henson),,15,11
31,1,6:30.0,,N. Jokić makes 2-pt layup from 1 ft,15,13
32,1,6:17.0,J. Henson misses 2-pt jump shot from 21 ft,,15,13
33,1,6:15.0,,Defensive rebound by N. Jokić,15,13
34,1,6:09.0,,Turnover by N. Jokić (lost ball; steal by J. Henson),15,13
35,1,6:05.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,17,13
36,1,5:44.0,,T. Craig misses 3-pt jump shot from 22 ft,17,13
37,1,5:43.0,,Offensive rebound by P. Millsap,17,13
38,1,5:41.0,,P. Millsap misses 2-pt layup from 1 ft,17,13
39,1,5:38.0,Defensive rebound by K. Middleton,,17,13
40,1,5:34.0,T. Snell misses 3-pt jump shot from 22 ft,,17,13
41,1,5:30.0,,Defensive rebound by P. Millsap,17,13
42,1,5:26.0,,Shooting foul by T. Snell (drawn by W. Barton),17,13
43,1,5:26.0,,Denver full timeout,17,13
44,1,5:26.0,,D. Harris enters the game for N. Jokić,17,13
45,1,5:26.0,,M. Plumlee enters the game for J. Murray,17,13
46,1,5:26.0,J. Parker enters the game for G. Antetokounmpo,,17,13
47,1,5:26.0,,W. Barton makes free throw 1 of 2,17,14
48,1,5:26.0,,W. Barton misses free throw 2 of 2,17,14
49,1,5:21.0,Defensive rebound by K. Middleton,,17,14
50,1,5:09.0,E. Bledsoe misses 2-pt jump shot from 18 ft (block by T. Craig),,17,14
51,1,5:06.0,,Defensive rebound by T. Craig,17,14
52,1,5:00.0,J. Terry enters the game for T. Snell,,17,14
53,1,4:42.0,,P. Millsap misses 3-pt jump shot from 24 ft,17,14
54,1,4:40.0,,Offensive rebound by T. Craig,17,14
55,1,4:30.0,,Turnover by M. Plumlee (turnover),17,14
56,1,4:21.0,Personal foul by T. Craig (drawn by E. Bledsoe),,17,14
57,1,4:12.0,J. Parker makes 3-pt jump shot from 24 ft (assist by J. Henson),,20,14
58,1,3:51.0,,Personal foul by J. Henson (drawn by M. Plumlee),20,14
59,1,3:51.0,T. Zeller enters the game for J. Henson,,20,14
60,1,3:42.0,,Turnover by M. Plumlee (bad pass; steal by K. Middleton),20,14
61,1,3:38.0,K. Middleton misses 3-pt jump shot from 22 ft,,20,14
62,1,3:36.0,,Defensive rebound by M. Plumlee,20,14
63,1,3:17.0,,P. Millsap misses 2-pt jump shot from 6 ft,20,14
