,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHARLOTTE_ACTION,MINNESOTA_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft (assist by K. Walker),0,2
1,1,11:19.0,J. Teague misses 2-pt jump shot from 11 ft (block by D. Howard),,0,2
2,1,11:19.0,,Defensive rebound by D. Howard,0,2
3,1,11:19.0,,Turnover by D. Howard (bad pass; steal by T. Gibson),0,2
4,1,10:58.0,Turnover by A. Wiggins (lost ball; steal by N. Batum),,0,2
5,1,10:54.0,,K. Walker misses 2-pt layup from 1 ft,0,2
6,1,10:51.0,Defensive rebound by J. Butler,,0,2
7,1,10:49.0,J. Teague misses 3-pt jump shot from 24 ft,,0,2
8,1,10:49.0,,Defensive rebound by D. Howard,0,2
9,1,10:32.0,,M. Williams misses 3-pt jump shot from 23 ft,0,2
10,1,10:32.0,Defensive rebound by K. Towns,,0,2
11,1,10:20.0,Shooting foul by D. Howard (drawn by K. Towns),,0,2
12,1,10:20.0,K. Towns makes free throw 1 of 2,,1,2
13,1,10:20.0,K. Towns makes free throw 2 of 2,,2,2
14,1,10:14.0,,Personal foul by K. Towns (drawn by D. Howard),2,2
15,1,10:07.0,,Turnover by M. Kidd-Gilchrist (bad pass),2,2
16,1,9:51.0,A. Wiggins makes 2-pt jump shot from 17 ft,,4,2
17,1,9:36.0,,Shooting foul by J. Butler (drawn by M. Williams),4,2
18,1,9:36.0,,M. Williams makes free throw 1 of 2,4,3
19,1,9:36.0,,M. Williams makes free throw 2 of 2,4,4
20,1,9:25.0,J. Butler misses 3-pt jump shot from 26 ft,,4,4
21,1,9:21.0,,Defensive rebound by D. Howard,4,4
22,1,9:15.0,,Shooting foul by J. Teague (drawn by D. Howard),4,4
23,1,9:15.0,,D. Howard makes free throw 1 of 2,4,5
24,1,9:15.0,,D. Howard misses free throw 2 of 2,4,5
25,1,9:12.0,Defensive rebound by K. Towns,,4,5
26,1,8:58.0,A. Wiggins makes 2-pt jump shot from 16 ft,,6,5
27,1,8:46.0,,D. Howard makes 2-pt hook shot from 2 ft (assist by K. Walker),6,7
28,1,8:26.0,T. Gibson misses 2-pt jump shot from 11 ft,,6,7
29,1,8:23.0,,Defensive rebound by K. Walker,6,7
30,1,8:18.0,,K. Walker makes 3-pt jump shot from 26 ft,6,10
31,1,8:09.0,Turnover by K. Towns (bad pass),,6,10
32,1,7:53.0,,D. Howard makes 2-pt layup from 2 ft,6,12
33,1,7:47.0,Minnesota full timeout,,6,12
34,1,7:28.0,T. Gibson misses 2-pt jump shot from 7 ft (block by D. Howard),,6,12
35,1,7:24.0,Offensive rebound by J. Butler,,6,12
36,1,7:23.0,J. Butler misses 3-pt jump shot from 28 ft,,6,12
37,1,7:21.0,,Defensive rebound by M. Kidd-Gilchrist,6,12
38,1,7:13.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 2 ft,6,12
39,1,7:13.0,Defensive rebound by Team,,6,12
40,1,7:01.0,A. Wiggins misses 2-pt layup from 2 ft (block by D. Howard),,6,12
41,1,6:59.0,,Defensive rebound by M. Williams,6,12
42,1,6:58.0,,Turnover by K. Walker (bad pass),6,12
43,1,6:47.0,J. Teague makes 2-pt layup from 1 ft,,8,12
44,1,6:36.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,8,12
45,1,6:33.0,Defensive rebound by K. Towns,,8,12
46,1,6:22.0,Shooting foul by K. Walker (drawn by J. Teague),,8,12
47,1,6:22.0,J. Teague makes free throw 1 of 2,,9,12
48,1,6:22.0,J. Teague makes free throw 2 of 2,,10,12
49,1,6:03.0,,Turnover by D. Howard (turnover),10,12
50,1,5:51.0,A. Wiggins makes 2-pt jump shot at rim (assist by K. Towns),,12,12
51,1,5:35.0,,M. Williams misses 2-pt jump shot from 1 ft,12,12
52,1,5:34.0,,Offensive rebound by D. Howard,12,12
53,1,5:33.0,,D. Howard makes 2-pt dunk at rim,12,14
54,1,5:26.0,J. Teague misses 2-pt jump shot from 18 ft,,12,14
55,1,5:26.0,,Defensive rebound by D. Howard,12,14
56,1,5:13.0,,N. Batum misses 2-pt jump shot from 16 ft,12,14
57,1,5:13.0,Defensive rebound by K. Towns,,12,14
58,1,4:51.0,J. Butler makes 2-pt layup from 1 ft,,14,14
