,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:46.0,,W. Chandler misses 2-pt jump shot from 5 ft,0,0
1,1,11:43.0,Defensive rebound by A. Aminu,,0,0
2,1,11:38.0,D. Lillard misses 3-pt jump shot from 24 ft,,0,0
3,1,11:34.0,Offensive rebound by J. Nurkić,,0,0
4,1,11:32.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by J. Nurkić),,3,0
5,1,11:19.0,,W. Barton misses 2-pt layup from 2 ft,3,0
6,1,11:17.0,Defensive rebound by J. Nurkić,,3,0
7,1,11:13.0,C. McCollum misses 2-pt jump shot from 11 ft,,3,0
8,1,11:11.0,,Defensive rebound by N. Jokić,3,0
9,1,11:06.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),3,2
10,1,10:46.0,C. McCollum misses 2-pt layup from 2 ft (block by P. Millsap),,3,2
11,1,10:43.0,,Defensive rebound by J. Murray,3,2
12,1,10:41.0,,J. Murray makes 3-pt jump shot from 24 ft,3,5
13,1,10:23.0,E. Turner misses 3-pt jump shot from 22 ft,,3,5
14,1,10:21.0,,Defensive rebound by W. Barton,3,5
15,1,10:14.0,,W. Barton makes 2-pt jump shot from 14 ft (assist by N. Jokić),3,7
16,1,9:59.0,Offensive foul by J. Nurkić (drawn by W. Barton),,3,7
17,1,9:59.0,Turnover by J. Nurkić (offensive foul),,3,7
18,1,9:44.0,,Personal foul by A. Aminu (drawn by P. Millsap),3,7
19,1,9:35.0,,J. Murray makes 2-pt jump shot from 5 ft (assist by N. Jokić),3,9
20,1,9:21.0,E. Turner misses 3-pt jump shot from 22 ft,,3,9
21,1,9:18.0,,Defensive rebound by N. Jokić,3,9
22,1,9:14.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by N. Jokić),3,12
23,1,9:13.0,Portland full timeout,,3,12
24,1,9:01.0,D. Lillard makes 3-pt jump shot from 25 ft,,6,12
25,1,8:43.0,,N. Jokić misses 2-pt layup from 3 ft,6,12
26,1,8:41.0,,Offensive rebound by N. Jokić,6,12
27,1,8:37.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),6,14
28,1,8:22.0,Shooting foul by N. Jokić (drawn by D. Lillard),,6,14
29,1,8:22.0,D. Lillard makes free throw 1 of 2,,7,14
30,1,8:22.0,D. Lillard makes free throw 2 of 2,,8,14
31,1,8:08.0,,J. Murray makes 2-pt jump shot from 4 ft,8,16
32,1,7:53.0,E. Turner makes 2-pt jump shot from 9 ft,,10,16
33,1,7:37.0,,Turnover by J. Murray (lost ball; steal by J. Nurkić),10,16
34,1,7:32.0,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Aminu),,12,16
35,1,7:18.0,,W. Chandler misses 2-pt layup from 3 ft,12,16
36,1,7:14.0,Defensive rebound by J. Nurkić,,12,16
37,1,7:07.0,Turnover by A. Aminu (step out of bounds),,12,16
38,1,6:57.0,,N. Jokić misses 3-pt jump shot from 25 ft,12,16
39,1,6:54.0,Defensive rebound by D. Lillard,,12,16
40,1,6:45.0,A. Aminu misses 3-pt jump shot from 22 ft,,12,16
41,1,6:42.0,,Defensive rebound by W. Barton,12,16
42,1,6:30.0,,N. Jokić misses 3-pt jump shot from 25 ft,12,16
43,1,6:27.0,Defensive rebound by E. Turner,,12,16
44,1,6:16.0,D. Lillard misses 3-pt jump shot from 25 ft,,12,16
45,1,6:12.0,Offensive rebound by C. McCollum,,12,16
46,1,6:10.0,C. McCollum misses 2-pt jump shot from 12 ft,,12,16
47,1,6:07.0,Offensive rebound by J. Nurkić,,12,16
48,1,6:06.0,J. Nurkić misses 2-pt hook shot from 2 ft,,12,16
49,1,6:04.0,Offensive rebound by C. McCollum,,12,16
50,1,6:02.0,C. McCollum misses 2-pt layup from 2 ft (block by P. Millsap),,12,16
51,1,6:01.0,Offensive rebound by J. Nurkić,,12,16
52,1,5:55.0,J. Nurkić makes 2-pt hook shot from 4 ft,,14,16
53,1,5:55.0,,Denver full timeout,14,16
54,1,5:55.0,,M. Plumlee enters the game for N. Jokić,14,16
55,1,5:47.0,,W. Barton misses 2-pt jump shot from 23 ft,14,16
56,1,5:44.0,Defensive rebound by J. Nurkić,,14,16
57,1,5:35.0,J. Nurkić misses 2-pt hook shot from 2 ft,,14,16
58,1,5:34.0,Offensive rebound by J. Nurkić,,14,16
59,1,5:33.0,J. Nurkić makes 2-pt layup from 2 ft,,16,16
60,1,5:24.0,,W. Barton makes 2-pt layup from 2 ft,16,18
61,1,5:02.0,E. Turner misses 2-pt jump shot from 13 ft,,16,18
62,1,5:00.0,,Defensive rebound by M. Plumlee,16,18
63,1,4:49.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by P. Millsap),16,21
64,1,4:27.0,E. Turner misses 3-pt jump shot from 25 ft,,16,21
65,1,4:24.0,,Defensive rebound by W. Barton,16,21
66,1,4:19.0,,Shooting foul by C. McCollum (drawn by W. Barton),16,21
67,1,4:19.0,,W. Barton makes free throw 1 of 2,16,22
68,1,4:19.0,P. Connaughton enters the game for E. Turner,,16,22
69,1,4:19.0,Z. Collins enters the game for C. McCollum,,16,22
70,1,4:19.0,,W. Barton misses free throw 2 of 2,16,22
71,1,4:17.0,Defensive rebound by A. Aminu,,16,22
72,1,4:08.0,Turnover by D. Lillard (bad pass),,16,22
73,1,3:59.0,,M. Plumlee makes 2-pt hook shot from 4 ft,16,24
74,1,3:44.0,Turnover by D. Lillard (bad pass),,16,24
75,1,3:44.0,,G. Harris enters the game for W. Barton,16,24
76,1,3:44.0,E. Davis enters the game for J. Nurkić,,16,24
77,1,3:35.0,,P. Millsap misses 2-pt jump shot from 6 ft (block by A. Aminu),16,24
78,1,3:35.0,Defensive rebound by Team,,16,24
79,1,3:19.0,Turnover by P. Connaughton (lost ball; steal by M. Plumlee),,16,24
80,1,3:13.0,,J. Murray misses 2-pt jump shot from 19 ft,16,24
81,1,3:07.0,Defensive rebound by D. Lillard,,16,24
82,1,3:04.0,D. Lillard makes 2-pt layup from 2 ft,,18,24
83,1,2:47.0,,P. Millsap misses 3-pt jump shot from 24 ft,18,24
84,1,2:44.0,Defensive rebound by Z. Collins,,18,24
85,1,2:25.0,D. Lillard makes 2-pt jump shot from 9 ft,,20,24
86,1,2:12.0,,J. Murray misses 3-pt jump shot from 25 ft,20,24
87,1,2:12.0,,Offensive rebound by Team,20,24
88,1,2:12.0,Loose ball foul by E. Davis (drawn by M. Plumlee),,20,24
89,1,2:12.0,,T. Craig enters the game for P. Millsap,20,24
90,1,2:12.0,,N. Jokić enters the game for W. Chandler,20,24
91,1,2:12.0,,D. Harris enters the game for J. Murray,20,24
92,1,2:12.0,S. Napier enters the game for A. Aminu,,20,24
93,1,2:02.0,,G. Harris makes 2-pt jump shot from 16 ft (assist by N. Jokić),20,26
94,1,1:37.0,Z. Collins misses 3-pt jump shot from 24 ft,,20,26
95,1,1:32.0,,Defensive rebound by N. Jokić,20,26
96,1,1:21.0,,D. Harris misses 2-pt jump shot from 7 ft,20,26
97,1,1:19.0,Defensive rebound by Z. Collins,,20,26
98,1,1:13.0,S. Napier misses 2-pt jump shot from 17 ft,,20,26
99,1,1:10.0,,Defensive rebound by N. Jokić,20,26
100,1,0:55.0,,D. Harris misses 3-pt jump shot from 23 ft,20,26
101,1,0:52.0,Defensive rebound by E. Davis,,20,26
102,1,0:34.0,Z. Collins makes 3-pt jump shot from 24 ft (assist by D. Lillard),,23,26
103,1,0:15.0,,G. Harris misses 2-pt jump shot from 23 ft,23,26
104,1,0:12.0,,Offensive rebound by M. Plumlee,23,26
105,1,0:12.0,,N. Jokić makes 2-pt layup from 1 ft (assist by M. Plumlee),23,28
106,1,0:07.0,Personal take foul by T. Craig (drawn by D. Lillard),,23,28
107,1,0:07.0,C. McCollum enters the game for Z. Collins,,23,28
108,1,0:07.0,,W. Barton enters the game for N. Jokić,23,28
109,1,0:02.0,D. Lillard misses 3-pt jump shot from 30 ft,,23,28
110,1,0:02.0,,Defensive rebound by T. Craig,23,28
111,2,11:47.0,Turnover by P. Connaughton (lost ball; steal by G. Harris),,23,28
112,2,11:42.0,,G. Harris makes 2-pt layup at rim (assist by N. Jokić),23,30
113,2,11:15.0,S. Napier makes 2-pt jump shot from 7 ft,,25,30
114,2,11:03.0,,Personal foul by P. Connaughton (drawn by G. Harris),25,30
115,2,11:03.0,E. Turner enters the game for P. Connaughton,,25,30
116,2,10:54.0,,D. Harris misses 2-pt jump shot from 8 ft,25,30
117,2,10:53.0,Defensive rebound by E. Davis,,25,30
118,2,10:38.0,S. Napier misses 2-pt jump shot from 17 ft,,25,30
119,2,10:36.0,,Defensive rebound by T. Lyles,25,30
120,2,10:30.0,,Shooting foul by E. Davis (drawn by G. Harris),25,30
121,2,10:30.0,,G. Harris makes free throw 1 of 2,25,31
122,2,10:30.0,,G. Harris makes free throw 2 of 2,25,32
123,2,10:15.0,C. McCollum makes 2-pt jump shot from 7 ft,,27,32
124,2,10:01.0,,D. Harris misses 3-pt jump shot from 24 ft,27,32
125,2,9:58.0,Defensive rebound by E. Davis,,27,32
126,2,9:50.0,Shooting foul by N. Jokić (drawn by C. McCollum),,27,32
127,2,9:50.0,C. McCollum makes free throw 1 of 2,,28,32
128,2,9:50.0,C. McCollum makes free throw 2 of 2,,29,32
129,2,9:26.0,,N. Jokić misses 2-pt layup from 2 ft,29,32
130,2,9:24.0,Defensive rebound by E. Davis,,29,32
131,2,9:14.0,E. Davis misses 2-pt jump shot from 9 ft,,29,32
132,2,9:12.0,,Defensive rebound by G. Harris,29,32
133,2,9:11.0,,D. Harris misses 2-pt layup from 2 ft (block by E. Turner),29,32
134,2,9:11.0,,Offensive rebound by Team,29,32
135,2,8:55.0,,Personal foul by E. Davis (drawn by N. Jokić),29,32
136,2,8:55.0,J. Nurkić enters the game for E. Davis,,29,32
