,QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
0,1,11:42.0,T. Warren misses 2-pt jump shot from 14 ft,,0,0
1,1,11:38.0,Offensive rebound by A. Len,,0,0
2,1,11:33.0,D. Booker misses 2-pt jump shot from 9 ft,,0,0
3,1,11:31.0,,Defensive rebound by D. Favors,0,0
4,1,11:21.0,,R. Gobert makes 2-pt layup from 3 ft (assist by D. Favors),0,2
5,1,11:21.0,,Shooting foul by D. Bender (drawn by R. Gobert),0,2
6,1,11:21.0,,R. Gobert makes free throw 1 of 1,0,3
7,1,11:04.0,D. Booker makes 2-pt jump shot from 11 ft,,2,3
8,1,10:44.0,,Turnover by D. Mitchell (lost ball; steal by D. Bender),2,3
9,1,10:41.0,Shooting foul by R. Rubio (drawn by T. Warren),,2,3
10,1,10:41.0,T. Warren makes free throw 1 of 2,,3,3
11,1,10:41.0,T. Warren makes free throw 2 of 2,,4,3
12,1,10:28.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),4,6
13,1,10:10.0,A. Len misses 2-pt jump shot from 12 ft,,4,6
14,1,10:07.0,,Defensive rebound by D. Mitchell,4,6
15,1,10:02.0,,Shooting foul by A. Len (drawn by D. Mitchell),4,6
16,1,10:02.0,,D. Mitchell misses free throw 1 of 2,4,6
17,1,10:02.0,,Offensive rebound by Team,4,6
18,1,10:02.0,,D. Mitchell makes free throw 2 of 2,4,7
19,1,9:43.0,D. Booker misses 2-pt layup from 1 ft,,4,7
20,1,9:41.0,,Defensive rebound by J. Ingles,4,7
21,1,9:32.0,Violation by D. Booker (kicked ball),,4,7
22,1,9:23.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),4,9
23,1,9:02.0,T. Warren makes 2-pt jump shot from 7 ft,,6,9
24,1,8:49.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),6,11
25,1,8:39.0,E. Payton makes 2-pt dunk at rim,,8,11
26,1,8:25.0,Violation by D. Bender (kicked ball),,8,11
27,1,8:13.0,,R. Rubio misses 3-pt jump shot from 25 ft,8,11
28,1,8:10.0,Defensive rebound by D. Booker,,8,11
29,1,7:55.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),,10,11
30,1,7:29.0,,D. Mitchell misses 3-pt jump shot from 25 ft,10,11
31,1,7:25.0,Defensive rebound by D. Bender,,10,11
32,1,7:15.0,E. Payton misses 2-pt jump shot from 11 ft,,10,11
33,1,7:12.0,,Defensive rebound by R. Rubio,10,11
34,1,7:05.0,,R. Rubio makes 2-pt layup from 3 ft,10,13
35,1,7:01.0,Turnover by A. Len (bad pass; steal by R. Rubio),,10,13
36,1,6:47.0,,Turnover by D. Favors (bad pass; steal by T. Warren),10,13
37,1,6:47.0,Personal foul by J. Ingles (drawn by D. Booker),,10,13
38,1,6:47.0,,Utah full timeout,10,13
39,1,6:37.0,D. Booker makes 3-pt jump shot from 25 ft,,13,13
40,1,6:13.0,,D. Favors misses 3-pt jump shot from 23 ft,13,13
41,1,6:09.0,Defensive rebound by A. Len,,13,13
42,1,5:51.0,Turnover by D. Booker (bad pass; steal by D. Favors),,13,13
43,1,5:39.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),13,15
44,1,5:20.0,Turnover by A. Len (offensive goaltending),,13,15
45,1,5:19.0,,J. Crowder enters the game for D. Favors,13,15
46,1,5:19.0,M. Chriss enters the game for A. Len,,13,15
47,1,5:11.0,,Personal foul by T. Warren (drawn by J. Ingles),13,15
48,1,5:02.0,,J. Ingles misses 2-pt jump shot from 10 ft,13,15
49,1,4:59.0,Defensive rebound by T. Warren,,13,15
50,1,4:48.0,D. Bender misses 3-pt jump shot from 24 ft,,13,15
51,1,4:46.0,,Defensive rebound by J. Ingles,13,15
52,1,4:28.0,,R. Gobert misses 2-pt hook shot from 8 ft,13,15
53,1,4:26.0,Defensive rebound by D. Booker,,13,15
54,1,4:19.0,D. Booker misses 2-pt jump shot from 19 ft,,13,15
55,1,4:16.0,,Defensive rebound by R. Gobert,13,15
56,1,4:01.0,,J. Crowder misses 3-pt jump shot from 23 ft,13,15
57,1,3:57.0,,Offensive rebound by R. Rubio,13,15
58,1,3:55.0,,J. Crowder misses 3-pt jump shot from 25 ft,13,15
59,1,3:54.0,Defensive rebound by Team,,13,15
60,1,3:54.0,,Loose ball foul by R. Gobert (drawn by M. Chriss),13,15
61,1,3:54.0,,J. Jerebko enters the game for J. Ingles,13,15
62,1,3:54.0,J. Jackson enters the game for D. Booker,,13,15
63,1,3:43.0,Turnover by E. Payton (step out of bounds),,13,15
64,1,3:32.0,,R. Rubio misses 2-pt layup from 1 ft,13,15
65,1,3:31.0,,Offensive rebound by R. Gobert,13,15
66,1,3:31.0,,Shooting foul by M. Chriss (drawn by R. Gobert),13,15
67,1,3:31.0,,R. Gobert makes free throw 1 of 2,13,16
68,1,3:31.0,,R. O'Neale enters the game for R. Rubio,13,16
69,1,3:31.0,,R. Gobert makes free throw 2 of 2,13,17
70,1,3:21.0,J. Jackson makes 2-pt jump shot from 11 ft,,15,17
71,1,3:08.0,,J. Crowder misses 2-pt jump shot from 18 ft,15,17
72,1,3:03.0,Defensive rebound by J. Jackson,,15,17
73,1,2:58.0,J. Jackson misses 2-pt jump shot from 11 ft (block by R. O'Neale),,15,17
74,1,2:58.0,,Defensive rebound by J. Crowder,15,17
75,1,2:50.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by D. Mitchell),15,19
76,1,2:36.0,T. Warren misses 2-pt jump shot from 17 ft,,15,19
77,1,2:33.0,,Defensive rebound by R. Gobert,15,19
78,1,2:25.0,,D. Mitchell misses 2-pt jump shot from 4 ft,15,19
79,1,2:22.0,Defensive rebound by J. Jackson,,15,19
80,1,2:20.0,T. Warren misses 2-pt layup at rim,,15,19
81,1,2:18.0,,Defensive rebound by J. Crowder,15,19
82,1,2:11.0,,J. Jerebko misses 3-pt jump shot from 24 ft,15,19
83,1,2:08.0,Defensive rebound by J. Jackson,,15,19
84,1,1:53.0,J. Jackson makes 2-pt jump shot from 10 ft,,17,19
85,1,1:27.0,,D. Mitchell misses 3-pt jump shot from 26 ft,17,19
86,1,1:23.0,Defensive rebound by J. Jackson,,17,19
87,1,1:20.0,M. Chriss makes 2-pt dunk from 2 ft (assist by J. Jackson),,19,19
88,1,1:16.0,,Utah full timeout,19,19
89,1,1:16.0,,D. Favors enters the game for R. Gobert,19,19
90,1,1:16.0,,D. Exum enters the game for D. Mitchell,19,19
91,1,1:16.0,S. Harrison enters the game for E. Payton,,19,19
92,1,1:16.0,J. Dudley enters the game for T. Warren,,19,19
93,1,1:16.0,D. Booker enters the game for D. Bender,,19,19
94,1,1:04.0,,D. Favors misses 2-pt jump shot from 18 ft,19,19
95,1,1:02.0,Defensive rebound by Team,,19,19
96,1,0:51.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by S. Harrison),,22,19
97,1,0:38.0,,J. Jerebko misses 3-pt jump shot from 23 ft,22,19
98,1,0:35.0,Defensive rebound by M. Chriss,,22,19
99,1,0:23.0,Shooting foul by D. Favors (drawn by S. Harrison),,22,19
100,1,0:23.0,S. Harrison misses free throw 1 of 2,,22,19
101,1,0:23.0,Offensive rebound by Team,,22,19
102,1,0:23.0,S. Harrison makes free throw 2 of 2,,23,19
103,1,0:08.0,,Personal foul by S. Harrison (drawn by D. Exum),23,19
