,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
0,1,11:43.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,0,0
1,1,11:39.0,Defensive rebound by D. Jordan,,0,0
2,1,11:28.0,T. Harris misses 2-pt layup from 5 ft,,0,0
3,1,11:25.0,,Defensive rebound by J. Valančiūnas,0,0
4,1,11:18.0,,D. DeRozan misses 2-pt jump shot from 14 ft,0,0
5,1,11:07.0,,Offensive rebound by J. Valančiūnas,0,0
6,1,11:07.0,,J. Valančiūnas makes 2-pt layup at rim,0,2
7,1,11:00.0,A. Rivers misses 2-pt jump shot from 10 ft,,0,2
8,1,10:55.0,,Defensive rebound by D. DeRozan,0,2
9,1,10:44.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft,0,5
10,1,10:26.0,T. Harris makes 2-pt jump shot from 16 ft,,2,5
11,1,10:12.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft (assist by D. DeRozan),2,7
12,1,10:12.0,,Shooting foul by D. Jordan (drawn by J. Valančiūnas),2,7
13,1,10:12.0,,J. Valančiūnas makes free throw 1 of 1,2,8
14,1,10:01.0,W. Johnson misses 2-pt layup from 1 ft,,2,8
15,1,9:57.0,,Defensive rebound by J. Valančiūnas,2,8
16,1,9:52.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by K. Lowry),2,10
17,1,9:43.0,M. Teodosić makes 2-pt jump shot from 4 ft,,4,10
18,1,9:30.0,,O. Anunoby misses 2-pt jump shot from 4 ft (block by W. Johnson),4,10
19,1,9:26.0,,Offensive rebound by O. Anunoby,4,10
20,1,9:23.0,,J. Valančiūnas makes 2-pt jump shot from 7 ft,4,12
21,1,9:12.0,Turnover by M. Teodosić (lost ball; steal by J. Valančiūnas),,4,12
22,1,9:07.0,,D. DeRozan misses 2-pt layup from 5 ft (block by T. Harris),4,12
23,1,9:07.0,,Offensive rebound by Team,4,12
24,1,8:59.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by K. Lowry),4,14
25,1,8:58.0,LA Clippers full timeout,,4,14
26,1,8:47.0,D. Jordan misses 2-pt jump shot from 8 ft,,4,14
27,1,8:44.0,,Defensive rebound by S. Ibaka,4,14
28,1,8:27.0,,K. Lowry misses 2-pt layup from 5 ft,4,14
29,1,8:21.0,Defensive rebound by M. Teodosić,,4,14
30,1,8:19.0,T. Harris misses 2-pt jump shot from 8 ft,,4,14
31,1,8:16.0,,Defensive rebound by J. Valančiūnas,4,14
32,1,8:13.0,,K. Lowry makes 3-pt jump shot from 25 ft,4,17
33,1,7:58.0,M. Teodosić misses 3-pt jump shot from 24 ft,,4,17
34,1,7:57.0,Offensive rebound by Team,,4,17
35,1,7:57.0,,Loose ball foul by S. Ibaka (drawn by T. Harris),4,17
36,1,7:57.0,L. Williams enters the game for M. Teodosić,,4,17
37,1,7:57.0,S. Thornwell enters the game for W. Johnson,,4,17
38,1,7:49.0,T. Harris makes 3-pt jump shot from 24 ft (assist by A. Rivers),,7,17
39,1,7:41.0,,S. Ibaka misses 2-pt jump shot from 21 ft,7,17
40,1,7:38.0,Defensive rebound by D. Jordan,,7,17
41,1,7:24.0,T. Harris misses 2-pt jump shot from 10 ft,,7,17
42,1,7:20.0,,Defensive rebound by Team,7,17
43,1,7:01.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),7,20
44,1,6:48.0,L. Williams misses 2-pt jump shot from 9 ft,,7,20
45,1,6:46.0,,Defensive rebound by K. Lowry,7,20
46,1,6:39.0,,O. Anunoby makes 2-pt dunk at rim (assist by K. Lowry),7,22
47,1,6:26.0,T. Harris makes 2-pt jump shot from 15 ft (assist by D. Jordan),,9,22
48,1,6:15.0,,D. DeRozan makes 2-pt dunk at rim (assist by K. Lowry),9,24
49,1,5:58.0,L. Williams misses 2-pt layup from 3 ft,,9,24
50,1,5:55.0,,Defensive rebound by S. Ibaka,9,24
51,1,5:49.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by O. Anunoby),9,27
52,1,5:32.0,A. Rivers misses 3-pt jump shot from 27 ft,,9,27
53,1,5:31.0,Offensive rebound by Team,,9,27
54,1,5:31.0,,Loose ball foul by J. Valančiūnas (drawn by D. Jordan),9,27
55,1,5:31.0,M. Teodosić enters the game for A. Rivers,,9,27
56,1,5:31.0,M. Harrell enters the game for D. Jordan,,9,27
57,1,5:26.0,M. Teodosić makes 2-pt jump shot from 16 ft,,11,27
58,1,5:20.0,,Personal foul by M. Teodosić (drawn by K. Lowry),11,27
59,1,5:04.0,,O. Anunoby misses 3-pt jump shot from 23 ft,11,27
60,1,5:01.0,Defensive rebound by M. Teodosić,,11,27
61,1,4:52.0,Shooting foul by J. Valančiūnas (drawn by M. Teodosić),,11,27
62,1,4:52.0,M. Teodosić makes free throw 1 of 2,,12,27
63,1,4:52.0,,J. Poeltl enters the game for J. Valančiūnas,12,27
64,1,4:52.0,M. Teodosić makes free throw 2 of 2,,13,27
65,1,4:35.0,,O. Anunoby misses 2-pt layup from 1 ft,13,27
66,1,4:30.0,Defensive rebound by T. Harris,,13,27
