,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,Turnover by K. Caldwell-Pope (bad pass),,0,0
1,1,11:32.0,,K. Middleton misses 2-pt jump shot from 18 ft,0,0
2,1,11:29.0,Defensive rebound by L. Ball,,0,0
3,1,11:24.0,Personal foul by G. Antetokounmpo (drawn by B. Ingram),,0,0
4,1,11:10.0,B. Lopez misses 2-pt hook shot from 9 ft,,0,0
5,1,11:07.0,,Defensive rebound by K. Middleton,0,0
6,1,10:57.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by G. Antetokounmpo),0,2
7,1,10:49.0,L. Ball makes 3-pt jump shot from 26 ft,,3,2
8,1,10:31.0,,E. Bledsoe misses 2-pt layup from 8 ft (block by L. Ball),3,2
9,1,10:31.0,Defensive rebound by B. Ingram,,3,2
10,1,10:26.0,B. Lopez misses 2-pt jump shot from 8 ft,,3,2
11,1,10:26.0,,Defensive rebound by Team,3,2
12,1,10:26.0,Loose ball foul by B. Lopez (drawn by G. Antetokounmpo),,3,2
13,1,10:17.0,,Personal foul by B. Ingram (drawn by G. Antetokounmpo),3,2
14,1,10:08.0,,Turnover by J. Henson (lost ball; steal by L. Ball),3,2
15,1,10:02.0,B. Ingram misses 2-pt jump shot from 3 ft,,3,2
16,1,9:58.0,,Defensive rebound by E. Bledsoe,3,2
17,1,9:51.0,,J. Henson makes 2-pt hook shot from 5 ft,3,4
18,1,9:40.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,3,4
19,1,9:36.0,,Defensive rebound by J. Henson,3,4
20,1,9:33.0,,Shooting foul by K. Kuzma (drawn by G. Antetokounmpo),3,4
21,1,9:33.0,,G. Antetokounmpo makes free throw 1 of 2,3,5
22,1,9:33.0,,G. Antetokounmpo misses free throw 2 of 2,3,5
23,1,9:29.0,Defensive rebound by K. Kuzma,,3,5
24,1,9:26.0,B. Ingram makes 2-pt dunk at rim (assist by L. Ball),,5,5
25,1,9:14.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by B. Lopez),5,5
26,1,9:14.0,,Offensive rebound by Team,5,5
27,1,8:56.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,5,5
28,1,8:53.0,,Offensive rebound by T. Snell,5,5
29,1,8:50.0,,J. Henson makes 2-pt dunk from 2 ft (assist by K. Middleton),5,7
30,1,8:38.0,K. Kuzma misses 2-pt layup from 2 ft,,5,7
31,1,8:34.0,Offensive rebound by K. Kuzma,,5,7
32,1,8:34.0,K. Kuzma misses 2-pt layup from 1 ft,,5,7
33,1,8:33.0,Offensive rebound by K. Kuzma,,5,7
34,1,8:33.0,K. Kuzma misses 2-pt layup from 1 ft,,5,7
35,1,8:33.0,,Defensive rebound by J. Henson,5,7
36,1,8:21.0,,K. Middleton misses 2-pt jump shot from 4 ft,5,7
37,1,8:18.0,Defensive rebound by L. Ball,,5,7
38,1,8:18.0,K. Caldwell-Pope makes 2-pt layup at rim (assist by L. Ball),,7,7
39,1,8:06.0,,J. Henson misses 2-pt jump shot from 17 ft,7,7
40,1,8:03.0,Defensive rebound by L. Ball,,7,7
41,1,7:45.0,Turnover by B. Ingram (bad pass; steal by K. Middleton),,7,7
42,1,7:40.0,,G. Antetokounmpo misses 2-pt jump shot from 2 ft,7,7
43,1,7:36.0,Defensive rebound by K. Caldwell-Pope,,7,7
44,1,7:21.0,B. Lopez makes 2-pt layup from 10 ft (assist by L. Ball),,9,7
45,1,7:12.0,,Turnover by E. Bledsoe (bad pass; steal by L. Ball),9,7
46,1,7:04.0,Personal foul by T. Snell (drawn by L. Ball),,9,7
47,1,7:04.0,,M. Dellavedova enters the game for E. Bledsoe,9,7
48,1,6:57.0,Shooting foul by K. Middleton (drawn by B. Ingram),,9,7
49,1,6:57.0,,Milwaukee full timeout,9,7
50,1,6:57.0,B. Ingram misses free throw 1 of 2,,9,7
51,1,6:57.0,Offensive rebound by Team,,9,7
52,1,6:57.0,B. Ingram makes free throw 2 of 2,,10,7
53,1,6:43.0,,M. Dellavedova misses 3-pt jump shot from 23 ft,10,7
54,1,6:40.0,Defensive rebound by B. Ingram,,10,7
55,1,6:28.0,B. Ingram misses 2-pt jump shot from 15 ft,,10,7
56,1,6:25.0,,Defensive rebound by M. Dellavedova,10,7
57,1,6:10.0,,K. Middleton misses 2-pt jump shot from 14 ft,10,7
58,1,6:08.0,Defensive rebound by B. Ingram,,10,7
59,1,5:58.0,Personal foul by J. Henson (drawn by B. Lopez),,10,7
60,1,5:58.0,,T. Maker enters the game for T. Snell,10,7
61,1,5:58.0,,M. Brogdon enters the game for J. Henson,10,7
62,1,5:53.0,Turnover by B. Lopez (turnover),,10,7
63,1,5:34.0,,M. Dellavedova misses 2-pt layup from 1 ft,10,7
64,1,5:25.0,,Offensive rebound by M. Dellavedova,10,7
65,1,5:25.0,,M. Dellavedova makes 2-pt layup at rim,10,9
66,1,5:15.0,B. Lopez misses 2-pt layup from 1 ft,,10,9
67,1,5:12.0,,Defensive rebound by K. Middleton,10,9
68,1,5:03.0,,K. Middleton misses 2-pt layup from 4 ft,10,9
69,1,4:58.0,Defensive rebound by K. Caldwell-Pope,,10,9
70,1,4:50.0,L. Ball makes 3-pt jump shot from 26 ft (assist by B. Ingram),,13,9
71,1,4:38.0,,M. Brogdon misses 2-pt layup from 2 ft (block by B. Ingram),13,9
72,1,4:38.0,,Offensive rebound by Team,13,9
73,1,4:38.0,J. Randle enters the game for L. Ball,,13,9
74,1,4:38.0,J. Clarkson enters the game for B. Lopez,,13,9
75,1,4:35.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by K. Kuzma),13,9
76,1,4:29.0,,Offensive rebound by G. Antetokounmpo,13,9
77,1,4:27.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,13,11
78,1,4:19.0,J. Randle misses 2-pt hook shot from 7 ft,,13,11
79,1,4:17.0,,Defensive rebound by T. Maker,13,11
80,1,4:04.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,13,11
81,1,4:01.0,,Offensive rebound by T. Maker,13,11
82,1,3:54.0,,M. Dellavedova misses 2-pt jump shot from 13 ft,13,11
83,1,3:52.0,,Offensive rebound by M. Dellavedova,13,11
84,1,3:49.0,,M. Dellavedova misses 3-pt jump shot from 22 ft,13,11
85,1,3:46.0,Defensive rebound by B. Ingram,,13,11
86,1,3:38.0,B. Ingram misses 2-pt layup from 1 ft (block by T. Maker),,13,11
87,1,3:34.0,,Defensive rebound by M. Brogdon,13,11
88,1,3:32.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by M. Brogdon),13,14
89,1,3:31.0,LA Lakers full timeout,,13,14
90,1,3:31.0,C. Brewer enters the game for K. Kuzma,,13,14
91,1,3:14.0,Shooting foul by T. Maker (drawn by J. Randle),,13,14
92,1,3:14.0,J. Randle misses free throw 1 of 2,,13,14
93,1,3:14.0,Offensive rebound by Team,,13,14
94,1,3:14.0,J. Randle makes free throw 2 of 2,,14,14
95,1,2:53.0,,M. Brogdon makes 2-pt jump shot from 10 ft,14,16
96,1,2:41.0,J. Randle makes 2-pt dunk from 1 ft (assist by J. Clarkson),,16,16
97,1,2:33.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Dellavedova),16,18
98,1,2:22.0,B. Ingram misses 3-pt jump shot from 23 ft,,16,18
99,1,2:19.0,,Defensive rebound by G. Antetokounmpo,16,18
100,1,2:12.0,,G. Antetokounmpo makes 2-pt dunk at rim,16,20
101,1,2:09.0,LA Lakers full timeout,,16,20
102,1,2:09.0,,D. Liggins enters the game for K. Middleton,16,20
103,1,1:56.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,16,20
104,1,1:53.0,,Defensive rebound by T. Maker,16,20
105,1,1:31.0,,D. Liggins makes 2-pt jump shot from 19 ft (assist by M. Dellavedova),16,22
106,1,1:16.0,,Offensive charge foul by J. Randle (drawn by T. Maker),16,22
107,1,1:16.0,Turnover by J. Randle (offensive foul),,16,22
108,1,0:57.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,16,22
109,1,0:50.0,Defensive rebound by C. Brewer,,16,22
110,1,0:46.0,J. Clarkson misses 2-pt layup at rim,,16,22
