,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
0,1,11:45.0,M. Gortat misses 2-pt hook shot from 3 ft,,0,0
1,1,11:44.0,,Defensive rebound by M. Beasley,0,0
2,1,11:31.0,,M. Beasley misses 2-pt layup from 5 ft,0,0
3,1,11:30.0,Defensive rebound by M. Gortat,,0,0
4,1,11:24.0,M. Morris makes 2-pt jump shot from 11 ft (assist by T. Satoranský),,2,0
5,1,11:05.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by J. Jack),2,3
6,1,10:48.0,O. Porter misses 2-pt jump shot from 19 ft,,2,3
7,1,10:46.0,,Defensive rebound by T. Hardaway,2,3
8,1,10:39.0,,M. Beasley misses 2-pt layup from 3 ft (block by B. Beal),2,3
9,1,10:38.0,,Offensive rebound by Team,2,3
10,1,10:21.0,,C. Lee misses 2-pt jump shot from 10 ft,2,3
11,1,10:19.0,,Offensive rebound by E. Freedom,2,3
12,1,10:19.0,,E. Freedom misses 2-pt layup at rim,2,3
13,1,10:18.0,Defensive rebound by M. Gortat,,2,3
14,1,10:05.0,T. Satoranský misses 3-pt jump shot from 24 ft,,2,3
15,1,10:03.0,,Defensive rebound by M. Beasley,2,3
16,1,9:45.0,,M. Beasley makes 2-pt jump shot from 13 ft,2,5
17,1,9:28.0,B. Beal misses 3-pt jump shot from 26 ft,,2,5
18,1,9:26.0,,Defensive rebound by E. Freedom,2,5
19,1,9:16.0,,C. Lee makes 2-pt jump shot from 11 ft,2,7
20,1,9:02.0,M. Gortat misses 2-pt layup from 6 ft,,2,7
21,1,9:00.0,Offensive rebound by T. Satoranský,,2,7
22,1,8:57.0,T. Satoranský makes 2-pt hook shot from 4 ft,,4,7
23,1,8:34.0,,T. Hardaway misses 2-pt layup from 4 ft,4,7
24,1,8:32.0,,Offensive rebound by T. Hardaway,4,7
25,1,8:29.0,,T. Hardaway makes 2-pt jump shot from 14 ft,4,9
26,1,8:11.0,T. Satoranský makes 2-pt jump shot from 1 ft (assist by M. Gortat),,6,9
27,1,8:01.0,,Shooting foul by M. Morris (drawn by J. Jack),6,9
28,1,8:01.0,,J. Jack makes free throw 1 of 2,6,10
29,1,8:01.0,,J. Jack makes free throw 2 of 2,6,11
30,1,7:43.0,O. Porter makes 2-pt dunk at rim (assist by M. Gortat),,8,11
31,1,7:33.0,,Turnover by T. Hardaway (bad pass; steal by M. Gortat),8,11
32,1,7:29.0,O. Porter makes 2-pt layup at rim (assist by B. Beal),,10,11
33,1,7:14.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by M. Beasley),10,14
34,1,6:53.0,O. Porter misses 3-pt jump shot from 22 ft,,10,14
35,1,6:51.0,,Defensive rebound by E. Freedom,10,14
36,1,6:43.0,,E. Freedom makes 2-pt layup at rim (assist by J. Jack),10,16
37,1,6:32.0,O. Porter misses 2-pt jump shot from 17 ft,,10,16
38,1,6:30.0,,Defensive rebound by C. Lee,10,16
39,1,6:25.0,,C. Lee misses 3-pt jump shot from 25 ft,10,16
40,1,6:23.0,,Offensive rebound by E. Freedom,10,16
41,1,6:22.0,,E. Freedom makes 2-pt layup from 1 ft,10,18
42,1,6:22.0,Washington full timeout,,10,18
43,1,6:12.0,M. Gortat misses 2-pt dunk from 1 ft,,10,18
44,1,6:10.0,,Defensive rebound by M. Beasley,10,18
45,1,5:59.0,,Shooting foul by M. Morris (drawn by E. Freedom),10,18
46,1,5:59.0,K. Oubre enters the game for M. Morris,,10,18
47,1,5:59.0,,E. Freedom makes free throw 1 of 2,10,19
48,1,5:59.0,,E. Freedom makes free throw 2 of 2,10,20
49,1,5:40.0,B. Beal makes 3-pt jump shot from 24 ft,,13,20
50,1,5:34.0,,M. Beasley makes 2-pt dunk at rim (assist by C. Lee),13,22
51,1,5:23.0,O. Porter makes 2-pt jump shot from 20 ft (assist by T. Satoranský),,15,22
52,1,5:06.0,,E. Freedom makes 2-pt layup at rim (assist by T. Hardaway),15,24
53,1,4:47.0,T. Satoranský misses 3-pt jump shot from 24 ft,,15,24
54,1,4:45.0,,Defensive rebound by J. Jack,15,24
55,1,4:37.0,,E. Freedom makes 2-pt jump shot from 19 ft,15,26
56,1,4:20.0,O. Porter misses 3-pt jump shot from 26 ft,,15,26
57,1,4:18.0,,Defensive rebound by C. Lee,15,26
58,1,4:13.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by C. Lee),15,28
59,1,4:07.0,Washington full timeout,,15,28
60,1,4:07.0,,L. Thomas enters the game for M. Beasley,15,28
61,1,4:07.0,,E. Mudiay enters the game for J. Jack,15,28
62,1,4:07.0,I. Mahinmi enters the game for M. Gortat,,15,28
63,1,3:56.0,I. Mahinmi makes 2-pt dunk from 1 ft (assist by O. Porter),,17,28
64,1,3:34.0,,T. Hardaway makes 2-pt jump shot from 22 ft (assist by E. Mudiay),17,30
65,1,3:16.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by T. Satoranský),,19,30
66,1,3:06.0,,C. Lee misses 3-pt jump shot from 25 ft,19,30
67,1,3:04.0,Defensive rebound by I. Mahinmi,,19,30
68,1,3:00.0,Personal foul by C. Lee (drawn by K. Oubre),,19,30
69,1,3:00.0,,K. O'Quinn enters the game for E. Freedom,19,30
70,1,3:00.0,J. Meeks enters the game for O. Porter,,19,30
71,1,2:52.0,Shooting foul by K. O'Quinn (drawn by I. Mahinmi),,19,30
72,1,2:52.0,I. Mahinmi misses free throw 1 of 2,,19,30
73,1,2:52.0,Offensive rebound by Team,,19,30
74,1,2:52.0,I. Mahinmi makes free throw 2 of 2,,20,30
75,1,2:33.0,,Shooting foul by T. Satoranský (drawn by T. Hardaway),20,30
76,1,2:33.0,,F. Ntilikina enters the game for C. Lee,20,30
77,1,2:33.0,M. Scott enters the game for T. Satoranský,,20,30
78,1,2:33.0,,T. Hardaway makes free throw 1 of 3,20,31
79,1,2:33.0,,T. Hardaway makes free throw 2 of 3,20,32
80,1,2:33.0,,T. Hardaway makes free throw 3 of 3,20,33
81,1,2:20.0,Turnover by K. Oubre (lost ball; steal by E. Mudiay),,20,33
82,1,2:13.0,,T. Hardaway makes 2-pt jump shot from 11 ft,20,35
83,1,2:00.0,K. Oubre misses 3-pt jump shot from 24 ft,,20,35
84,1,1:59.0,Offensive rebound by Team,,20,35
85,1,1:57.0,Shooting foul by F. Ntilikina (drawn by J. Meeks),,20,35
86,1,1:57.0,J. Meeks makes free throw 1 of 2,,21,35
87,1,1:57.0,J. Meeks makes free throw 2 of 2,,22,35
88,1,1:48.0,,E. Mudiay makes 2-pt jump shot from 21 ft,22,37
89,1,1:33.0,B. Beal misses 2-pt layup from 2 ft,,22,37
90,1,1:31.0,Offensive rebound by I. Mahinmi,,22,37
91,1,1:31.0,I. Mahinmi misses 2-pt layup at rim,,22,37
92,1,1:30.0,Offensive rebound by I. Mahinmi,,22,37
93,1,1:30.0,I. Mahinmi makes 2-pt layup at rim,,24,37
94,1,1:16.0,,Turnover by F. Ntilikina (bad pass; steal by I. Mahinmi),24,37
95,1,1:05.0,Turnover by B. Beal (lost ball; steal by E. Mudiay),,24,37
96,1,1:01.0,,Turnover by E. Mudiay (turnover; steal by B. Beal),24,37
97,1,0:50.0,B. Beal misses 2-pt jump shot from 10 ft,,24,37
98,1,0:48.0,,Defensive rebound by T. Hardaway,24,37
99,1,0:36.0,,L. Thomas makes 2-pt hook shot from 2 ft,24,39
100,1,0:12.0,B. Beal makes 2-pt jump shot from 15 ft,,26,39
101,2,11:42.0,,F. Ntilikina makes 2-pt layup from 5 ft,26,41
102,2,11:23.0,Personal foul by E. Mudiay (drawn by M. Scott),,26,41
103,2,11:19.0,J. Meeks makes 2-pt jump shot from 18 ft (assist by O. Porter),,28,41
104,2,11:02.0,,K. O'Quinn misses 2-pt layup from 2 ft (block by I. Mahinmi),28,41
105,2,11:00.0,Defensive rebound by I. Mahinmi,,28,41
106,2,10:57.0,M. Scott misses 2-pt jump shot from 17 ft,,28,41
107,2,10:54.0,,Defensive rebound by E. Mudiay,28,41
108,2,10:48.0,,E. Mudiay makes 2-pt layup at rim,28,43
109,2,10:48.0,,Shooting foul by J. Meeks (drawn by E. Mudiay),28,43
110,2,10:48.0,,E. Mudiay misses free throw 1 of 1,28,43
111,2,10:46.0,Defensive rebound by I. Mahinmi,,28,43
112,2,10:26.0,M. Scott misses 2-pt jump shot from 7 ft,,28,43
113,2,10:24.0,,Defensive rebound by M. Beasley,28,43
114,2,10:13.0,,M. Beasley makes 2-pt jump shot from 22 ft (assist by F. Ntilikina),28,45
115,2,10:12.0,Washington full timeout,,28,45
116,2,9:56.0,Shooting foul by K. O'Quinn (drawn by I. Mahinmi),,28,45
117,2,9:56.0,I. Mahinmi makes free throw 1 of 2,,29,45
118,2,9:56.0,I. Mahinmi misses free throw 2 of 2,,29,45
119,2,9:54.0,,Defensive rebound by M. Beasley,29,45
120,2,9:42.0,,E. Mudiay misses 3-pt jump shot from 25 ft,29,45
121,2,9:40.0,Defensive rebound by M. Scott,,29,45
122,2,9:28.0,M. Scott makes 2-pt jump shot from 16 ft (assist by J. Meeks),,31,45
123,2,9:11.0,,Turnover by E. Mudiay (traveling),31,45
124,2,9:11.0,,C. Lee enters the game for F. Ntilikina,31,45
125,2,9:02.0,Shooting foul by C. Lee (drawn by J. Meeks),,31,45
126,2,9:02.0,J. Meeks makes free throw 1 of 2,,32,45
127,2,9:02.0,J. Meeks makes free throw 2 of 2,,33,45
128,2,8:45.0,,M. Beasley makes 2-pt jump shot from 8 ft,33,47
129,2,8:31.0,M. Scott misses 2-pt layup from 2 ft,,33,47
130,2,8:29.0,,Defensive rebound by M. Beasley,33,47
131,2,8:26.0,,C. Lee misses 3-pt jump shot from 24 ft,33,47
132,2,8:24.0,Defensive rebound by Team,,33,47
133,2,8:07.0,K. Oubre misses 2-pt jump shot from 21 ft,,33,47
134,2,8:05.0,,Defensive rebound by K. O'Quinn,33,47
135,2,7:58.0,,Turnover by E. Mudiay (bad pass; steal by J. Meeks),33,47
