,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,Turnover by Z. Randolph (lost ball; steal by R. Rondo),,0,0
1,1,11:39.0,Violation by D. Fox (kicked ball),,0,0
2,1,11:31.0,,D. Cunningham makes 2-pt jump shot from 16 ft (assist by J. Holiday),0,2
3,1,11:19.0,D. Fox makes 3-pt jump shot from 26 ft,,3,2
4,1,11:07.0,,J. Holiday makes 2-pt layup at rim (assist by E. Moore),3,4
5,1,11:00.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,3,4
6,1,11:00.0,Offensive rebound by K. Koufos,,3,4
7,1,10:56.0,Shooting foul by A. Davis (drawn by K. Koufos),,3,4
8,1,10:56.0,K. Koufos makes free throw 1 of 2,,4,4
9,1,10:56.0,K. Koufos makes free throw 2 of 2,,5,4
10,1,10:44.0,,Personal foul by B. Bogdanović (drawn by E. Moore),5,4
11,1,10:39.0,,J. Holiday misses 2-pt layup from 3 ft,5,4
12,1,10:36.0,Defensive rebound by Z. Randolph,,5,4
13,1,10:28.0,Turnover by D. Fox (lost ball; steal by A. Davis),,5,4
14,1,10:24.0,,R. Rondo makes 2-pt layup from 1 ft (assist by J. Holiday),5,6
15,1,10:08.0,J. Jackson misses 2-pt jump shot from 19 ft,,5,6
16,1,10:06.0,,Defensive rebound by A. Davis,5,6
17,1,9:47.0,,A. Davis misses 2-pt jump shot from 21 ft,5,6
18,1,9:44.0,Defensive rebound by Z. Randolph,,5,6
19,1,9:37.0,D. Fox misses 2-pt jump shot from 14 ft,,5,6
20,1,9:34.0,,Defensive rebound by A. Davis,5,6
21,1,9:30.0,,Personal foul by D. Fox (drawn by J. Holiday),5,6
22,1,9:27.0,,Turnover by A. Davis (bad pass; steal by D. Fox),5,6
23,1,9:12.0,K. Koufos makes 2-pt hook shot from 7 ft,,7,6
24,1,9:04.0,,J. Holiday makes 2-pt layup from 2 ft (assist by R. Rondo),7,8
25,1,8:53.0,Turnover by Z. Randolph (bad pass),,7,8
26,1,8:45.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. Cunningham),7,11
27,1,8:23.0,Z. Randolph misses 2-pt layup from 6 ft (block by J. Holiday),,7,11
28,1,8:23.0,Offensive rebound by Z. Randolph,,7,11
29,1,8:23.0,Turnover by Z. Randolph (step out of bounds),,7,11
30,1,8:10.0,,Personal foul by Z. Randolph (drawn by A. Davis),7,11
31,1,7:59.0,,R. Rondo misses 2-pt layup from 1 ft,7,11
32,1,7:57.0,Defensive rebound by K. Koufos,,7,11
33,1,7:53.0,D. Fox makes 2-pt layup from 1 ft,,9,11
34,1,7:46.0,,R. Rondo misses 2-pt layup from 1 ft,9,11
35,1,7:44.0,Defensive rebound by Z. Randolph,,9,11
36,1,7:34.0,D. Fox makes 2-pt layup from 2 ft (assist by B. Bogdanović),,11,11
37,1,7:27.0,,A. Davis makes 2-pt layup at rim (assist by J. Holiday),11,13
38,1,7:12.0,D. Fox misses 3-pt jump shot from 24 ft,,11,13
39,1,7:10.0,,Defensive rebound by A. Davis,11,13
40,1,7:01.0,,A. Davis misses 2-pt jump shot from 4 ft,11,13
41,1,6:59.0,Defensive rebound by B. Bogdanović,,11,13
42,1,6:54.0,B. Bogdanović misses 2-pt layup from 1 ft (block by A. Davis),,11,13
43,1,6:50.0,,Defensive rebound by R. Rondo,11,13
44,1,6:44.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by J. Holiday),11,15
45,1,6:27.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,11,15
46,1,6:23.0,,Defensive rebound by A. Davis,11,15
47,1,6:13.0,,Turnover by A. Davis (out of bounds lost ball),11,15
48,1,6:13.0,,New Orleans full timeout,11,15
49,1,6:13.0,,D. Miller enters the game for J. Holiday,11,15
50,1,5:59.0,K. Koufos misses 2-pt jump shot from 10 ft,,11,15
51,1,5:56.0,,Defensive rebound by E. Moore,11,15
52,1,5:45.0,,E. Moore misses 2-pt jump shot from 18 ft,11,15
53,1,5:42.0,Defensive rebound by Z. Randolph,,11,15
54,1,5:29.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,11,15
55,1,5:26.0,,Defensive rebound by D. Miller,11,15
56,1,5:17.0,,E. Moore makes 2-pt jump shot from 5 ft (assist by A. Davis),11,17
57,1,5:00.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,11,17
58,1,4:57.0,Offensive rebound by D. Fox,,11,17
59,1,4:57.0,D. Fox makes 2-pt dunk at rim,,13,17
60,1,4:48.0,,Shooting foul by D. Fox (drawn by E. Moore),13,17
61,1,4:48.0,,E. Moore makes free throw 1 of 2,13,18
62,1,4:48.0,B. Hield enters the game for D. Fox,,13,18
63,1,4:48.0,G. Temple enters the game for B. Bogdanović,,13,18
64,1,4:48.0,G. Hill enters the game for J. Jackson,,13,18
65,1,4:48.0,,E. Moore misses free throw 2 of 2,13,18
66,1,4:46.0,Defensive rebound by K. Koufos,,13,18
67,1,4:31.0,Z. Randolph makes 2-pt layup from 5 ft,,15,18
68,1,4:17.0,,A. Davis misses 2-pt hook shot from 7 ft,15,18
69,1,4:17.0,Defensive rebound by Team,,15,18
70,1,4:17.0,,Ö. Aşık enters the game for D. Cunningham,15,18
71,1,4:07.0,G. Temple misses 3-pt jump shot from 25 ft,,15,18
72,1,4:07.0,,Defensive rebound by A. Davis,15,18
73,1,3:53.0,,A. Davis misses 2-pt layup from 1 ft,15,18
74,1,3:53.0,Defensive rebound by Z. Randolph,,15,18
75,1,3:46.0,K. Koufos misses 2-pt jump shot from 8 ft,,15,18
76,1,3:46.0,Offensive rebound by K. Koufos,,15,18
77,1,3:38.0,K. Koufos makes 2-pt dunk at rim,,17,18
78,1,3:29.0,,E. Moore misses 3-pt jump shot from 25 ft,17,18
79,1,3:27.0,Defensive rebound by K. Koufos,,17,18
80,1,3:24.0,Away from play foul by Ö. Aşık (drawn by Z. Randolph),,17,18
81,1,3:24.0,G. Papagiannis enters the game for K. Koufos,,17,18
82,1,3:18.0,B. Hield makes 2-pt jump shot from 17 ft (assist by G. Papagiannis),,19,18
83,1,3:03.0,,Turnover by D. Miller (lost ball; steal by Z. Randolph),19,18
84,1,2:51.0,B. Hield misses 3-pt jump shot from 28 ft,,19,18
85,1,2:48.0,,Defensive rebound by A. Davis,19,18
86,1,2:38.0,,A. Davis makes 2-pt jump shot from 4 ft (assist by R. Rondo),19,20
87,1,2:33.0,Sacramento full timeout,,19,20
88,1,2:33.0,,I. Clark enters the game for R. Rondo,19,20
89,1,2:33.0,,J. Holiday enters the game for E. Moore,19,20
90,1,2:26.0,G. Hill makes 2-pt jump shot from 21 ft,,21,20
91,1,2:10.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by A. Davis),21,23
92,1,1:47.0,Z. Randolph misses 2-pt jump shot from 12 ft,,21,23
93,1,1:45.0,,Defensive rebound by Ö. Aşık,21,23
94,1,1:39.0,,Turnover by J. Holiday (out of bounds lost ball),21,23
95,1,1:20.0,Z. Randolph misses 2-pt hook shot from 8 ft,,21,23
96,1,1:19.0,,Defensive rebound by Team,21,23
97,1,1:19.0,V. Carter enters the game for Z. Randolph,,21,23
98,1,1:11.0,,Away from play foul by V. Carter (drawn by A. Davis),21,23
99,1,1:11.0,,A. Davis makes free throw 1 of 2,21,24
100,1,1:11.0,,A. Davis makes free throw 2 of 2,21,25
101,1,0:58.0,B. Hield makes 2-pt jump shot from 17 ft (assist by G. Papagiannis),,23,25
102,1,0:45.0,,Personal foul by V. Carter (drawn by A. Davis),23,25
103,1,0:45.0,,A. Davis makes free throw 1 of 2,23,26
104,1,0:45.0,,A. Davis makes free throw 2 of 2,23,27
105,1,0:23.0,B. Hield makes 2-pt layup from 3 ft,,25,27
106,1,0:02.0,,J. Holiday makes 2-pt jump shot from 22 ft,25,29
107,1,0:00.0,G. Temple misses 3-pt jump shot from 39 ft,,25,29
108,1,0:00.0,Offensive rebound by Team,,25,29
109,2,11:51.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Holiday),25,32
110,2,11:40.0,Personal foul by M. James (drawn by G. Hill),,25,32
111,2,11:31.0,G. Temple makes 2-pt jump shot from 13 ft (assist by G. Papagiannis),,27,32
112,2,11:19.0,,D. Miller misses 3-pt jump shot from 25 ft,27,32
113,2,11:16.0,Defensive rebound by V. Carter,,27,32
114,2,11:02.0,G. Papagiannis makes 2-pt jump shot from 16 ft (assist by G. Temple),,29,32
115,2,10:46.0,,M. James makes 2-pt jump shot from 10 ft,29,34
116,2,10:36.0,,Violation by Ö. Aşık (kicked ball),29,34
117,2,10:24.0,G. Temple makes 3-pt jump shot from 24 ft (assist by G. Papagiannis),,32,34
118,2,10:12.0,,J. Holiday misses 2-pt hook shot from 3 ft,32,34
119,2,10:10.0,Defensive rebound by V. Carter,,32,34
120,2,9:50.0,Turnover by V. Carter (out of bounds lost ball),,32,34
121,2,9:43.0,,M. James misses 2-pt jump shot from 7 ft (block by G. Papagiannis),32,34
122,2,9:42.0,,Offensive rebound by Ö. Aşık,32,34
123,2,9:42.0,,Shooting foul by G. Papagiannis (drawn by Ö. Aşık),32,34
124,2,9:42.0,,Ö. Aşık misses free throw 1 of 2,32,34
125,2,9:42.0,,Offensive rebound by Team,32,34
126,2,9:42.0,,Ö. Aşık misses free throw 2 of 2,32,34
127,2,9:34.0,Defensive rebound by G. Papagiannis,,32,34
128,2,9:27.0,Shooting block foul by Ö. Aşık (drawn by G. Hill),,32,34
129,2,9:27.0,G. Hill makes free throw 1 of 2,,33,34
130,2,9:27.0,G. Hill makes free throw 2 of 2,,34,34
131,2,9:18.0,,J. Holiday makes 2-pt layup from 1 ft,34,36
132,2,9:00.0,Personal foul by Ö. Aşık (drawn by G. Papagiannis),,34,36
133,2,9:00.0,,A. Davis enters the game for Ö. Aşık,34,36
134,2,8:57.0,G. Hill makes 2-pt jump shot from 21 ft,,36,36
135,2,8:57.0,Shooting foul by M. James (drawn by G. Hill),,36,36
136,2,8:57.0,K. Koufos enters the game for G. Papagiannis,,36,36
137,2,8:57.0,G. Hill makes free throw 1 of 1,,37,36
138,2,8:44.0,,M. James misses 2-pt jump shot from 12 ft,37,36
139,2,8:40.0,Defensive rebound by G. Temple,,37,36
140,2,8:26.0,G. Temple makes 3-pt jump shot from 26 ft,,40,36
141,2,8:10.0,,Turnover by A. Davis (traveling),40,36
142,2,8:10.0,,E. Moore enters the game for M. James,40,36
143,2,7:55.0,V. Carter makes 2-pt jump shot from 9 ft,,42,36
144,2,7:46.0,,I. Clark makes 2-pt layup from 2 ft (assist by J. Holiday),42,38
145,2,7:32.0,V. Carter misses 3-pt jump shot from 26 ft,,42,38
146,2,7:29.0,,Defensive rebound by A. Davis,42,38
147,2,7:16.0,,A. Davis misses 2-pt layup from 1 ft,42,38
148,2,7:13.0,Defensive rebound by K. Koufos,,42,38
149,2,7:11.0,B. Hield misses 3-pt jump shot from 23 ft,,42,38
150,2,7:08.0,,Defensive rebound by I. Clark,42,38
151,2,6:59.0,,I. Clark makes 2-pt jump shot from 23 ft,42,40
152,2,6:49.0,G. Temple misses 2-pt jump shot from 16 ft,,42,40
153,2,6:46.0,,Defensive rebound by I. Clark,42,40
154,2,6:35.0,,Turnover by E. Moore (bad pass; steal by K. Koufos),42,40
155,2,6:28.0,B. Hield misses 3-pt jump shot from 25 ft,,42,40
156,2,6:26.0,,Defensive rebound by I. Clark,42,40
