,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHARLOTTE_ACTION,LA LAKERS_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,D. Howard misses 2-pt hook shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by L. Nance,,0,0
2,1,11:21.0,Personal foul by D. Howard (drawn by B. Lopez),,0,0
3,1,11:17.0,Shooting foul by K. Walker (drawn by L. Ball),,0,0
4,1,11:17.0,L. Ball misses free throw 1 of 2,,0,0
5,1,11:17.0,Offensive rebound by Team,,0,0
6,1,11:17.0,L. Ball misses free throw 2 of 2,,0,0
7,1,11:14.0,,Defensive rebound by D. Howard,0,0
8,1,11:05.0,,K. Walker misses 2-pt jump shot from 15 ft,0,0
9,1,10:59.0,,Offensive rebound by D. Howard,0,0
10,1,10:59.0,,D. Howard makes 2-pt dunk at rim,0,2
11,1,10:55.0,B. Lopez misses 2-pt layup from 1 ft,,0,2
12,1,10:52.0,Offensive rebound by B. Ingram,,0,2
13,1,10:52.0,B. Ingram makes 2-pt dunk at rim,,2,2
14,1,10:42.0,,K. Walker makes 2-pt layup from 1 ft,2,4
15,1,10:35.0,L. Ball makes 2-pt layup from 1 ft,,4,4
16,1,10:18.0,,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by M. Williams),4,6
17,1,9:59.0,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),,7,6
18,1,9:40.0,,M. Williams makes 2-pt hook shot from 6 ft,7,8
19,1,9:24.0,K. Caldwell-Pope misses 2-pt layup from 6 ft,,7,8
20,1,9:22.0,,Defensive rebound by M. Kidd-Gilchrist,7,8
21,1,9:16.0,,D. Howard makes 2-pt dunk from 1 ft (assist by N. Batum),7,10
22,1,8:55.0,L. Nance makes 2-pt jump shot from 10 ft (assist by B. Lopez),,9,10
23,1,8:39.0,,N. Batum misses 3-pt jump shot from 23 ft,9,10
24,1,8:36.0,Defensive rebound by B. Ingram,,9,10
