,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,,Turnover by R. Covington (out of bounds lost ball),0,0
1,1,11:26.0,N. Vučević makes 2-pt jump shot from 14 ft (assist by E. Payton),,2,0
2,1,11:11.0,,Turnover by J. Embiid (lost ball; steal by A. Gordon),2,0
3,1,11:07.0,A. Gordon misses 2-pt layup from 1 ft,,2,0
4,1,11:03.0,,Defensive rebound by J. Embiid,2,0
5,1,10:57.0,,D. Šarić misses 2-pt jump shot from 12 ft,2,0
6,1,10:54.0,Defensive rebound by A. Gordon,,2,0
7,1,10:44.0,Shooting foul by J. Embiid (drawn by A. Gordon),,2,0
8,1,10:44.0,A. Gordon makes free throw 1 of 2,,3,0
9,1,10:44.0,A. Gordon makes free throw 2 of 2,,4,0
10,1,10:28.0,,J. Embiid misses 2-pt jump shot from 15 ft,4,0
11,1,10:26.0,Defensive rebound by N. Vučević,,4,0
12,1,10:18.0,A. Gordon misses 2-pt jump shot from 21 ft,,4,0
13,1,10:16.0,,Defensive rebound by R. Covington,4,0
14,1,10:12.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by T. McConnell),4,3
15,1,9:59.0,N. Vučević misses 2-pt hook shot from 7 ft,,4,3
16,1,9:57.0,,Defensive rebound by J. Embiid,4,3
17,1,9:38.0,,T. McConnell misses 2-pt jump shot from 11 ft,4,3
18,1,9:36.0,Defensive rebound by N. Vučević,,4,3
19,1,9:28.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Payton),,6,3
20,1,9:12.0,,J. Redick misses 2-pt jump shot from 20 ft,6,3
21,1,9:09.0,Defensive rebound by A. Gordon,,6,3
22,1,9:02.0,A. Gordon misses 2-pt jump shot from 3 ft,,6,3
23,1,9:01.0,,Defensive rebound by J. Embiid,6,3
24,1,8:45.0,,Turnover by J. Embiid (bad pass; steal by T. Ross),6,3
25,1,8:35.0,N. Vučević misses 3-pt jump shot from 25 ft,,6,3
26,1,8:30.0,,Defensive rebound by R. Covington,6,3
27,1,8:18.0,,J. Embiid misses 2-pt jump shot from 13 ft,6,3
28,1,8:15.0,,Offensive rebound by T. McConnell,6,3
29,1,8:13.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by T. McConnell),6,6
30,1,8:13.0,Orlando full timeout,,6,6
31,1,8:13.0,M. Speights enters the game for A. Gordon,,6,6
32,1,8:13.0,D. Augustin enters the game for E. Payton,,6,6
33,1,7:59.0,M. Speights makes 3-pt jump shot from 27 ft (assist by D. Augustin),,9,6
34,1,7:39.0,,Turnover by J. Embiid (bad pass; steal by T. Ross),9,6
35,1,7:37.0,Shooting foul by R. Covington (drawn by T. Ross),,9,6
36,1,7:37.0,T. Ross makes free throw 1 of 2,,10,6
37,1,7:37.0,,A. Johnson enters the game for J. Embiid,10,6
38,1,7:37.0,T. Ross makes free throw 2 of 2,,11,6
39,1,7:26.0,,D. Šarić misses 3-pt jump shot from 27 ft,11,6
40,1,7:24.0,Defensive rebound by N. Vučević,,11,6
41,1,7:13.0,Shooting foul by J. Redick (drawn by N. Vučević),,11,6
42,1,7:13.0,N. Vučević makes free throw 1 of 2,,12,6
43,1,7:13.0,,J. Bayless enters the game for J. Redick,12,6
44,1,7:13.0,N. Vučević makes free throw 2 of 2,,13,6
45,1,7:04.0,,T. McConnell misses 2-pt jump shot from 18 ft,13,6
46,1,7:02.0,Defensive rebound by Team,,13,6
47,1,6:43.0,M. Speights misses 3-pt jump shot from 26 ft,,13,6
48,1,6:40.0,,Defensive rebound by R. Covington,13,6
49,1,6:33.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),13,9
50,1,6:20.0,D. Augustin makes 3-pt jump shot from 26 ft,,16,9
51,1,6:06.0,,J. Bayless makes 2-pt layup from 1 ft (assist by A. Johnson),16,11
52,1,5:42.0,M. Speights makes 3-pt jump shot from 26 ft (assist by T. Ross),,19,11
53,1,5:25.0,,T. McConnell makes 2-pt layup at rim (assist by D. Šarić),19,13
54,1,5:15.0,D. Augustin misses 2-pt layup from 5 ft (block by T. McConnell),,19,13
55,1,5:11.0,,Defensive rebound by T. McConnell,19,13
56,1,5:09.0,,Turnover by D. Šarić (bad pass),19,13
57,1,5:09.0,,T. Luwawu-Cabarrot enters the game for D. Šarić,19,13
58,1,5:09.0,J. Simmons enters the game for E. Fournier,,19,13
59,1,4:58.0,N. Vučević misses 2-pt hook shot from 10 ft,,19,13
60,1,4:55.0,,Defensive rebound by J. Bayless,19,13
61,1,4:43.0,,A. Johnson makes 2-pt dunk from 1 ft (assist by T. McConnell),19,15
62,1,4:26.0,M. Speights makes 2-pt hook shot from 5 ft,,21,15
63,1,4:17.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),21,18
64,1,3:56.0,M. Speights misses 2-pt layup from 6 ft (block by A. Johnson),,21,18
65,1,3:53.0,,Defensive rebound by A. Johnson,21,18
66,1,3:51.0,,Shooting foul by D. Augustin (drawn by R. Covington),21,18
67,1,3:51.0,,R. Covington makes free throw 1 of 3,21,19
68,1,3:51.0,,R. Covington misses free throw 2 of 3,21,19
69,1,3:51.0,,Offensive rebound by Team,21,19
70,1,3:51.0,,J. Embiid enters the game for A. Johnson,21,19
71,1,3:51.0,,R. Covington makes free throw 3 of 3,21,20
72,1,3:38.0,T. Ross makes 2-pt dunk at rim (assist by N. Vučević),,23,20
73,1,3:37.0,,Philadelphia full timeout,23,20
74,1,3:37.0,,D. Šarić enters the game for T. McConnell,23,20
75,1,3:37.0,,J. Redick enters the game for R. Covington,23,20
76,1,3:37.0,A. Gordon enters the game for N. Vučević,,23,20
77,1,3:26.0,,J. Embiid misses 2-pt jump shot from 19 ft,23,20
78,1,3:23.0,,Offensive rebound by D. Šarić,23,20
79,1,3:21.0,,D. Šarić makes 2-pt layup from 1 ft,23,22
80,1,3:05.0,M. Speights misses 3-pt jump shot from 26 ft,,23,22
81,1,3:02.0,,Defensive rebound by D. Šarić,23,22
82,1,3:00.0,,Personal foul by M. Speights (drawn by J. Embiid),23,22
83,1,3:00.0,B. Biyombo enters the game for M. Speights,,23,22
