,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:41.0,T. Chandler misses 2-pt hook shot from 4 ft,,0,0
1,1,11:36.0,,Defensive rebound by W. Chandler,0,0
2,1,11:31.0,,Shooting foul by T. Ulis (drawn by J. Murray),0,0
3,1,11:31.0,,J. Murray makes free throw 1 of 2,0,1
4,1,11:31.0,,J. Murray makes free throw 2 of 2,0,2
5,1,11:16.0,Turnover by D. Booker (lost ball; steal by G. Harris),,0,2
6,1,11:12.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by W. Chandler),0,5
7,1,10:49.0,D. Bender misses 2-pt hook shot from 5 ft,,0,5
8,1,10:46.0,,Defensive rebound by G. Harris,0,5
9,1,10:44.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),0,8
10,1,10:26.0,T. Warren misses 2-pt jump shot from 4 ft,,0,8
11,1,10:24.0,,Defensive rebound by N. Jokić,0,8
12,1,10:15.0,,W. Chandler misses 3-pt jump shot from 24 ft,0,8
13,1,10:12.0,Defensive rebound by T. Chandler,,0,8
14,1,10:03.0,Turnover by D. Bender (bad pass; steal by G. Harris),,0,8
15,1,9:59.0,,G. Harris misses 2-pt layup from 2 ft (block by D. Booker),0,8
16,1,9:57.0,Defensive rebound by T. Ulis,,0,8
17,1,9:53.0,Personal foul by J. Murray (drawn by T. Ulis),,0,8
18,1,9:41.0,D. Booker makes 2-pt jump shot from 16 ft,,2,8
19,1,9:22.0,,N. Jokić misses 2-pt jump shot from 7 ft,2,8
20,1,9:19.0,Defensive rebound by T. Chandler,,2,8
21,1,9:15.0,T. Warren makes 2-pt layup from 3 ft (assist by T. Ulis),,4,8
22,1,8:53.0,,J. Murray misses 2-pt jump shot from 17 ft,4,8
23,1,8:50.0,,Offensive rebound by N. Jokić,4,8
24,1,8:45.0,,T. Lyles makes 2-pt hook shot from 6 ft,4,10
25,1,8:24.0,T. Warren makes 2-pt layup from 2 ft (assist by D. Bender),,6,10
26,1,7:57.0,,N. Jokić makes 2-pt hook shot from 11 ft (assist by W. Chandler),6,12
27,1,7:35.0,D. Booker makes 3-pt jump shot from 24 ft (assist by D. Bender),,9,12
28,1,7:23.0,,Offensive foul by W. Chandler (drawn by T. Ulis),9,12
29,1,7:23.0,,Turnover by W. Chandler (offensive foul),9,12
30,1,7:12.0,T. Ulis misses 3-pt jump shot from 24 ft,,9,12
31,1,7:08.0,,Defensive rebound by T. Lyles,9,12
32,1,7:01.0,,N. Jokić misses 3-pt jump shot from 24 ft,9,12
33,1,6:57.0,Defensive rebound by T. Warren,,9,12
34,1,6:54.0,T. Warren makes 2-pt layup from 1 ft,,11,12
35,1,6:54.0,,Denver full timeout,11,12
36,1,6:37.0,,T. Lyles makes 2-pt jump shot from 10 ft (assist by G. Harris),11,14
37,1,6:12.0,D. Bender makes 3-pt jump shot from 24 ft (assist by D. Booker),,14,14
38,1,5:50.0,,J. Murray makes 2-pt layup from 4 ft (assist by N. Jokić),14,16
39,1,5:26.0,T. Ulis misses 2-pt layup from 2 ft (block by J. Murray),,14,16
40,1,5:26.0,,Defensive rebound by Team,14,16
41,1,5:26.0,A. Len enters the game for T. Chandler,,14,16
42,1,5:17.0,,Personal foul by T. Warren (drawn by W. Chandler),14,16
43,1,5:03.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),14,19
44,1,4:53.0,D. Booker misses 2-pt layup from 3 ft (block by W. Chandler),,14,19
45,1,4:53.0,Offensive rebound by Team,,14,19
46,1,4:53.0,I. Canaan enters the game for T. Ulis,,14,19
47,1,4:47.0,T. Warren misses 2-pt jump shot from 13 ft,,14,19
48,1,4:44.0,,Defensive rebound by N. Jokić,14,19
49,1,4:38.0,,G. Harris misses 2-pt jump shot from 10 ft,14,19
50,1,4:35.0,,Offensive rebound by G. Harris,14,19
51,1,4:35.0,,Personal foul by I. Canaan (drawn by G. Harris),14,19
52,1,4:27.0,,T. Lyles misses 3-pt jump shot from 23 ft,14,19
53,1,4:23.0,Defensive rebound by T. Warren,,14,19
54,1,4:09.0,D. Booker misses 2-pt layup from 2 ft,,14,19
55,1,4:07.0,,Defensive rebound by N. Jokić,14,19
56,1,4:03.0,,G. Harris misses 3-pt jump shot from 24 ft,14,19
57,1,4:00.0,Defensive rebound by A. Len,,14,19
58,1,3:54.0,I. Canaan misses 3-pt jump shot from 25 ft,,14,19
59,1,3:50.0,,Defensive rebound by G. Harris,14,19
60,1,3:42.0,,T. Lyles makes 2-pt layup from 3 ft (assist by G. Harris),14,21
61,1,3:42.0,Phoenix full timeout,,14,21
62,1,3:42.0,,W. Barton enters the game for J. Murray,14,21
63,1,3:42.0,J. Dudley enters the game for D. Booker,,14,21
64,1,3:42.0,T. Daniels enters the game for D. Bender,,14,21
65,1,3:34.0,A. Len misses 2-pt layup from 3 ft,,14,21
