,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,Turnover by M. Teodosić (lost ball; steal by J. Terry),0,0
1,1,11:42.0,J. Terry makes 2-pt layup from 1 ft,,2,0
2,1,11:25.0,,D. Jordan misses 2-pt hook shot from 3 ft,2,0
3,1,11:22.0,Defensive rebound by J. Terry,,2,0
4,1,11:18.0,K. Middleton misses 3-pt jump shot from 25 ft,,2,0
5,1,11:13.0,,Defensive rebound by T. Harris,2,0
6,1,11:07.0,,T. Harris misses 2-pt layup from 1 ft (block by G. Antetokounmpo),2,0
7,1,11:07.0,,Offensive rebound by Team,2,0
8,1,11:01.0,,M. Teodosić makes 3-pt jump shot from 25 ft (assist by D. Jordan),2,3
9,1,10:44.0,Turnover by E. Bledsoe (bad pass; steal by W. Johnson),,2,3
10,1,10:36.0,,T. Harris makes 2-pt jump shot from 3 ft,2,5
11,1,10:22.0,Turnover by E. Bledsoe (bad pass; steal by T. Harris),,2,5
12,1,10:17.0,,M. Teodosić makes 3-pt jump shot from 25 ft (assist by T. Harris),2,8
13,1,10:02.0,G. Antetokounmpo makes 3-pt jump shot from 24 ft (assist by J. Henson),,5,8
14,1,9:48.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by M. Teodosić),5,11
15,1,9:33.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,8,11
16,1,9:06.0,,W. Johnson misses 2-pt layup from 1 ft,8,11
17,1,9:04.0,,Offensive rebound by D. Jordan,8,11
18,1,9:00.0,,D. Jordan makes 2-pt hook shot from 3 ft,8,13
19,1,8:49.0,G. Antetokounmpo makes 2-pt layup at rim,,10,13
20,1,8:39.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by M. Teodosić),10,16
21,1,8:22.0,K. Middleton misses 2-pt layup from 4 ft,,10,16
22,1,8:18.0,,Defensive rebound by D. Jordan,10,16
23,1,8:03.0,,T. Harris makes 2-pt layup from 1 ft,10,18
24,1,7:58.0,Milwaukee full timeout,,10,18
25,1,7:40.0,K. Middleton makes 2-pt jump shot from 21 ft,,12,18
26,1,7:15.0,,M. Teodosić makes 3-pt jump shot from 25 ft (assist by W. Johnson),12,21
27,1,6:54.0,J. Henson misses 2-pt hook shot from 8 ft,,12,21
28,1,6:51.0,,Defensive rebound by D. Jordan,12,21
29,1,6:46.0,,T. Harris misses 2-pt layup at rim (block by G. Antetokounmpo),12,21
30,1,6:43.0,Defensive rebound by J. Henson,,12,21
31,1,6:41.0,E. Bledsoe makes 2-pt layup at rim,,14,21
32,1,6:41.0,Shooting foul by W. Johnson (drawn by E. Bledsoe),,14,21
33,1,6:41.0,E. Bledsoe makes free throw 1 of 1,,15,21
34,1,6:27.0,,M. Teodosić makes 3-pt jump shot from 24 ft (assist by T. Harris),15,24
35,1,6:08.0,E. Bledsoe makes 2-pt jump shot from 21 ft (assist by G. Antetokounmpo),,17,24
36,1,5:51.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by T. Harris),17,27
37,1,5:37.0,J. Henson makes 2-pt dunk at rim (assist by K. Middleton),,19,27
38,1,5:23.0,,Turnover by A. Rivers (lost ball; steal by E. Bledsoe),19,27
39,1,5:17.0,K. Middleton makes 2-pt dunk at rim (assist by G. Antetokounmpo),,21,27
40,1,5:02.0,,T. Harris makes 2-pt hook shot from 6 ft,21,29
41,1,4:55.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Johnson),,21,29
42,1,4:37.0,,W. Johnson misses 3-pt jump shot from 23 ft,21,29
43,1,4:35.0,Defensive rebound by E. Bledsoe,,21,29
44,1,4:33.0,K. Middleton misses 2-pt layup from 1 ft (block by M. Teodosić),,21,29
45,1,4:29.0,,Defensive rebound by M. Teodosić,21,29
46,1,4:19.0,,M. Teodosić misses 3-pt jump shot from 24 ft,21,29
47,1,4:15.0,Defensive rebound by E. Bledsoe,,21,29
48,1,4:11.0,G. Antetokounmpo misses 2-pt hook shot from 10 ft,,21,29
49,1,4:07.0,,Defensive rebound by D. Jordan,21,29
50,1,4:04.0,,LA Clippers full timeout,21,29
51,1,4:04.0,,S. Thornwell enters the game for W. Johnson,21,29
52,1,4:04.0,,L. Williams enters the game for M. Teodosić,21,29
53,1,4:04.0,S. Muhammad enters the game for K. Middleton,,21,29
54,1,4:04.0,T. Snell enters the game for G. Antetokounmpo,,21,29
55,1,4:04.0,J. Parker enters the game for J. Terry,,21,29
