,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:45.0,,Turnover by A. Drummond (lost ball; steal by J. Smith),0,0
1,1,11:40.0,J. Smith misses 3-pt jump shot from 24 ft,,0,0
2,1,11:36.0,,Defensive rebound by S. Johnson,0,0
3,1,11:27.0,,Turnover by A. Drummond (bad pass; steal by L. James),0,0
4,1,11:22.0,L. James makes 2-pt layup from 2 ft,,2,0
5,1,11:22.0,Shooting foul by S. Johnson (drawn by L. James),,2,0
6,1,11:22.0,L. James makes free throw 1 of 1,,3,0
7,1,11:08.0,,T. Harris makes 3-pt jump shot from 28 ft (assist by A. Bradley),3,3
8,1,10:54.0,Turnover by J. Calderón (bad pass; steal by S. Johnson),,3,3
9,1,10:51.0,,Shooting foul by J. Calderón (drawn by S. Johnson),3,3
10,1,10:51.0,,S. Johnson misses free throw 1 of 2,3,3
11,1,10:51.0,,Offensive rebound by Team,3,3
12,1,10:51.0,,S. Johnson makes free throw 2 of 2,3,4
13,1,10:38.0,K. Love misses 2-pt jump shot from 19 ft,,3,4
14,1,10:36.0,,Defensive rebound by A. Drummond,3,4
15,1,10:28.0,,Turnover by T. Harris (bad pass),3,4
16,1,10:15.0,K. Love makes 2-pt hook shot from 4 ft (assist by J. Calderón),,5,4
17,1,9:57.0,,T. Harris misses 3-pt jump shot from 26 ft,5,4
18,1,9:54.0,Defensive rebound by K. Love,,5,4
19,1,9:49.0,L. James makes 2-pt jump shot from 18 ft,,7,4
20,1,9:30.0,,A. Bradley makes 2-pt jump shot from 22 ft (assist by A. Drummond),7,6
21,1,9:14.0,Turnover by K. Love (bad pass; steal by A. Drummond),,7,6
22,1,9:08.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by A. Bradley),7,9
23,1,8:51.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by L. James),,10,9
