,QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
0,1,11:43.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,3,0
1,1,11:27.0,,A. Wiggins misses 3-pt jump shot from 24 ft,3,0
2,1,11:26.0,,Offensive rebound by N. Bjelica,3,0
3,1,11:26.0,,N. Bjelica makes 2-pt layup at rim,3,2
4,1,11:26.0,,Shooting foul by J. Valančiūnas (drawn by N. Bjelica),3,2
5,1,11:26.0,,N. Bjelica makes free throw 1 of 1,3,3
6,1,11:14.0,Turnover by S. Ibaka (bad pass; steal by N. Bjelica),,3,3
7,1,11:09.0,,N. Bjelica misses 2-pt layup from 2 ft (block by D. DeRozan),3,3
8,1,11:04.0,Defensive rebound by O. Anunoby,,3,3
9,1,10:57.0,D. DeRozan misses 2-pt jump shot from 20 ft,,3,3
10,1,10:55.0,,Defensive rebound by J. Teague,3,3
11,1,10:42.0,,J. Teague misses 3-pt jump shot from 24 ft,3,3
12,1,10:37.0,Defensive rebound by J. Valančiūnas,,3,3
13,1,10:29.0,Turnover by D. DeRozan (lost ball; steal by N. Bjelica),,3,3
14,1,10:25.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by A. Wiggins),3,5
15,1,10:05.0,D. DeRozan makes 2-pt jump shot from 23 ft (assist by K. Lowry),,5,5
16,1,9:46.0,,A. Wiggins makes 2-pt jump shot from 21 ft,5,7
17,1,9:34.0,Turnover by J. Valančiūnas (turnover),,5,7
18,1,9:34.0,Loose ball foul by J. Valančiūnas (drawn by A. Wiggins),,5,7
19,1,9:34.0,L. Nogueira enters the game for J. Valančiūnas,,5,7
20,1,9:19.0,,T. Gibson misses 2-pt layup from 3 ft,5,7
21,1,9:17.0,Defensive rebound by L. Nogueira,,5,7
22,1,9:10.0,K. Lowry makes 2-pt layup at rim,,7,7
23,1,9:06.0,,Turnover by J. Teague (bad pass; steal by D. DeRozan),7,7
24,1,8:59.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by O. Anunoby),,10,7
25,1,8:38.0,,A. Wiggins makes 2-pt jump shot from 19 ft,10,9
26,1,8:13.0,O. Anunoby misses 3-pt jump shot from 25 ft,,10,9
27,1,8:10.0,,Defensive rebound by K. Towns,10,9
28,1,7:57.0,,T. Gibson makes 2-pt hook shot from 7 ft,10,11
29,1,7:41.0,D. DeRozan makes 2-pt jump shot from 18 ft (assist by K. Lowry),,12,11
30,1,7:19.0,,Turnover by J. Teague (bad pass),12,11
31,1,7:11.0,K. Lowry misses 3-pt jump shot from 28 ft,,12,11
32,1,7:08.0,,Defensive rebound by T. Gibson,12,11
33,1,7:02.0,,J. Teague misses 2-pt jump shot from 14 ft,12,11
34,1,7:00.0,,Offensive rebound by T. Gibson,12,11
35,1,7:00.0,,T. Gibson misses 2-pt layup at rim,12,11
36,1,6:58.0,Defensive rebound by D. DeRozan,,12,11
37,1,6:52.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by D. DeRozan),,14,11
38,1,6:38.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),14,13
