,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Gasol),,2,0
1,1,11:29.0,,J. Redick misses 3-pt jump shot from 27 ft,2,0
2,1,11:20.0,Defensive rebound by P. Gasol,,2,0
3,1,11:11.0,B. Forbes makes 2-pt jump shot from 19 ft,,4,0
4,1,10:51.0,,B. Simmons misses 2-pt layup from 7 ft,4,0
5,1,10:51.0,,Offensive rebound by D. Šarić,4,0
6,1,10:50.0,,D. Šarić misses 2-pt layup from 2 ft,4,0
7,1,10:50.0,,Offensive rebound by J. Embiid,4,0
8,1,10:45.0,,J. Embiid makes 2-pt layup from 14 ft,4,2
9,1,10:29.0,D. Murray misses 2-pt jump shot from 14 ft,,4,2
10,1,10:26.0,,Defensive rebound by R. Covington,4,2
11,1,10:17.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),4,5
12,1,10:09.0,Turnover by B. Forbes (bad pass; steal by B. Simmons),,4,5
13,1,9:58.0,,B. Simmons makes 2-pt layup from 4 ft,4,7
14,1,9:52.0,L. Aldridge misses 2-pt hook shot from 7 ft (block by B. Simmons),,4,7
15,1,9:52.0,Offensive rebound by Team,,4,7
16,1,9:52.0,,Loose ball foul by R. Covington (drawn by D. Murray),4,7
17,1,9:38.0,Turnover by Team (shot clock),,4,7
18,1,9:37.0,D. Murray misses 2-pt jump shot from 13 ft,,4,7
19,1,9:37.0,Offensive rebound by Team,,4,7
20,1,9:27.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),4,9
21,1,9:25.0,San Antonio full timeout,,4,9
22,1,9:10.0,D. Murray makes 2-pt layup at rim (assist by P. Gasol),,6,9
23,1,8:53.0,,J. Redick misses 2-pt jump shot from 18 ft,6,9
24,1,8:47.0,,Offensive rebound by B. Simmons,6,9
25,1,8:46.0,,J. Redick makes 2-pt jump shot from 14 ft,6,11
26,1,8:27.0,P. Gasol misses 2-pt jump shot from 21 ft,,6,11
27,1,8:21.0,,Defensive rebound by R. Covington,6,11
28,1,8:21.0,Offensive charge foul by B. Simmons (drawn by K. Anderson),,6,11
29,1,8:21.0,,Turnover by B. Simmons (offensive foul),6,11
30,1,8:07.0,L. Aldridge misses 2-pt layup from 4 ft (block by J. Embiid),,6,11
31,1,8:02.0,,Defensive rebound by J. Embiid,6,11
32,1,7:56.0,,Turnover by J. Embiid (bad pass),6,11
33,1,7:56.0,,T. McConnell enters the game for J. Redick,6,11
34,1,7:41.0,L. Aldridge misses 2-pt jump shot from 8 ft,,6,11
