,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
0,1,11:43.0,,S. Ibaka misses 3-pt jump shot from 25 ft,0,0
1,1,11:40.0,Defensive rebound by K. Towns,,0,0
2,1,11:19.0,K. Towns makes 2-pt hook shot from 7 ft,,2,0
3,1,11:14.0,,Turnover by S. Ibaka (bad pass; steal by J. Teague),2,0
4,1,11:08.0,J. Teague makes 2-pt layup from 3 ft,,4,0
5,1,10:49.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by K. Lowry),4,2
6,1,10:27.0,Personal foul by O. Anunoby (drawn by J. Teague),,4,2
7,1,10:21.0,Def 3 sec tech foul by J. Valančiūnas,,4,2
8,1,10:21.0,J. Butler misses technical free throw,,4,2
9,1,10:21.0,Offensive rebound by Team,,4,2
10,1,10:13.0,A. Wiggins misses 2-pt jump shot from 2 ft,,4,2
11,1,10:12.0,,Defensive rebound by Team,4,2
12,1,9:52.0,,S. Ibaka makes 2-pt jump shot from 13 ft (assist by O. Anunoby),4,4
13,1,9:36.0,A. Wiggins misses 2-pt jump shot from 13 ft,,4,4
14,1,9:32.0,,Defensive rebound by J. Valančiūnas,4,4
15,1,9:25.0,,J. Valančiūnas makes 2-pt layup from 3 ft (assist by D. DeRozan),4,6
16,1,9:14.0,J. Teague misses 2-pt jump shot from 9 ft,,4,6
17,1,9:12.0,,Defensive rebound by K. Lowry,4,6
18,1,9:06.0,,S. Ibaka misses 3-pt jump shot from 25 ft,4,6
19,1,9:03.0,Defensive rebound by T. Gibson,,4,6
20,1,8:41.0,T. Gibson makes 2-pt layup from 5 ft,,6,6
21,1,8:27.0,,D. DeRozan misses 2-pt layup from 2 ft,6,6
22,1,8:23.0,,Offensive rebound by D. DeRozan,6,6
23,1,8:19.0,,J. Valančiūnas misses 3-pt jump shot from 24 ft,6,6
24,1,8:16.0,Defensive rebound by A. Wiggins,,6,6
25,1,8:05.0,T. Gibson misses 2-pt jump shot from 16 ft,,6,6
26,1,8:03.0,,Defensive rebound by K. Lowry,6,6
27,1,7:58.0,,K. Lowry misses 2-pt jump shot from 9 ft,6,6
28,1,7:55.0,Defensive rebound by T. Gibson,,6,6
29,1,7:42.0,Turnover by T. Gibson (turnover),,6,6
30,1,7:22.0,,D. DeRozan misses 3-pt jump shot from 24 ft,6,6
31,1,7:18.0,Defensive rebound by K. Towns,,6,6
32,1,7:12.0,Shooting foul by O. Anunoby (drawn by J. Butler),,6,6
