,QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,A. Gordon misses 3-pt jump shot from 24 ft,,0,0
1,1,11:37.0,,Defensive rebound by Z. Pachulia,0,0
2,1,11:22.0,,K. Durant misses 2-pt jump shot from 14 ft,0,0
3,1,11:17.0,Defensive rebound by N. Vučević,,0,0
4,1,11:15.0,E. Payton misses 2-pt layup from 1 ft,,0,0
5,1,11:11.0,,Defensive rebound by Z. Pachulia,0,0
6,1,11:01.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Durant),0,3
7,1,10:47.0,E. Fournier misses 3-pt jump shot from 24 ft,,0,3
8,1,10:43.0,,Defensive rebound by D. Green,0,3
9,1,10:37.0,,Turnover by K. Durant (bad pass; steal by T. Ross),0,3
10,1,10:29.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),,3,3
11,1,10:12.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Livingston),3,6
12,1,10:05.0,E. Fournier makes 2-pt layup at rim (assist by E. Payton),,5,6
13,1,9:49.0,,D. Green misses 3-pt jump shot from 26 ft,5,6
14,1,9:45.0,Defensive rebound by A. Gordon,,5,6
15,1,9:36.0,T. Ross misses 3-pt jump shot from 24 ft,,5,6
16,1,9:33.0,Offensive rebound by A. Gordon,,5,6
17,1,9:33.0,Turnover by A. Gordon (offensive goaltending),,5,6
18,1,9:16.0,,S. Livingston makes 2-pt jump shot from 16 ft (assist by K. Durant),5,8
19,1,9:03.0,T. Ross makes 2-pt jump shot from 19 ft (assist by N. Vučević),,7,8
20,1,8:53.0,,Turnover by S. Livingston (bad pass; steal by T. Ross),7,8
21,1,8:50.0,Turnover by T. Ross (bad pass),,7,8
22,1,8:35.0,,S. Livingston misses 2-pt jump shot from 12 ft,7,8
23,1,8:31.0,Defensive rebound by A. Gordon,,7,8
24,1,8:29.0,A. Gordon makes 3-pt jump shot from 25 ft,,10,8
25,1,8:08.0,,Turnover by D. Green (bad pass; steal by A. Gordon),10,8
26,1,8:01.0,A. Gordon misses 2-pt jump shot from 16 ft,,10,8
