,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:34.0,E. Payton makes 2-pt layup at rim (assist by N. Vučević),,2,0
1,1,11:16.0,,Turnover by M. Turner (bad pass; steal by E. Payton),2,0
2,1,11:09.0,Turnover by E. Payton (bad pass; steal by T. Young),,2,0
3,1,11:05.0,,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by T. Young),2,3
4,1,10:53.0,E. Fournier makes 2-pt jump shot from 20 ft,,4,3
5,1,10:44.0,,T. Young misses 2-pt jump shot from 18 ft,4,3
6,1,10:42.0,Defensive rebound by N. Vučević,,4,3
7,1,10:27.0,N. Vučević misses 2-pt hook shot from 6 ft,,4,3
8,1,10:25.0,,Defensive rebound by B. Bogdanović,4,3
9,1,10:06.0,A. Gordon misses 3-pt jump shot from 27 ft,,4,3
10,1,10:03.0,,Defensive rebound by V. Oladipo,4,3
11,1,10:01.0,,Turnover by V. Oladipo (bad pass),4,3
12,1,9:50.0,Turnover by E. Payton (lost ball; steal by D. Collison),,4,3
13,1,9:48.0,,Turnover by V. Oladipo (bad pass),4,3
14,1,9:34.0,Turnover by J. Simmons (bad pass; steal by V. Oladipo),,4,3
15,1,9:29.0,,D. Collison misses 3-pt jump shot from 24 ft,4,3
16,1,9:27.0,Defensive rebound by N. Vučević,,4,3
17,1,9:13.0,Offensive foul by N. Vučević (drawn by M. Turner),,4,3
18,1,9:13.0,Turnover by N. Vučević (offensive foul),,4,3
19,1,8:57.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),4,6
20,1,8:44.0,E. Fournier misses 2-pt jump shot from 16 ft,,4,6
21,1,8:42.0,,Defensive rebound by B. Bogdanović,4,6
22,1,8:37.0,,M. Turner misses 3-pt jump shot from 26 ft,4,6
23,1,8:34.0,,Offensive rebound by D. Collison,4,6
24,1,8:26.0,,M. Turner misses 2-pt layup from 2 ft (block by N. Vučević),4,6
25,1,8:23.0,Defensive rebound by E. Payton,,4,6
26,1,8:19.0,A. Gordon makes 3-pt jump shot from 22 ft (assist by E. Fournier),,7,6
27,1,7:53.0,,T. Young misses 2-pt jump shot from 16 ft,7,6
28,1,7:51.0,Defensive rebound by N. Vučević,,7,6
29,1,7:42.0,J. Simmons misses 2-pt layup at rim,,7,6
30,1,7:39.0,,Defensive rebound by T. Young,7,6
31,1,7:33.0,,D. Collison misses 2-pt layup from 1 ft,7,6
32,1,7:31.0,Defensive rebound by N. Vučević,,7,6
33,1,7:23.0,E. Payton makes 3-pt jump shot from 23 ft (assist by E. Fournier),,10,6
34,1,7:01.0,,M. Turner makes 2-pt dunk from 2 ft (assist by T. Young),10,8
35,1,6:38.0,J. Simmons makes 3-pt jump shot from 28 ft (assist by E. Fournier),,13,8
36,1,6:21.0,,V. Oladipo makes 2-pt jump shot from 20 ft,13,10
37,1,6:11.0,N. Vučević misses 3-pt jump shot from 26 ft,,13,10
38,1,6:08.0,,Defensive rebound by B. Bogdanović,13,10
39,1,6:03.0,,Shooting foul by E. Payton (drawn by B. Bogdanović),13,10
40,1,6:03.0,,Indiana full timeout,13,10
41,1,6:03.0,,D. Sabonis enters the game for M. Turner,13,10
42,1,6:03.0,,B. Bogdanović makes free throw 1 of 2,13,11
43,1,6:03.0,,B. Bogdanović makes free throw 2 of 2,13,12
