,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,K. Towns misses 2-pt layup from 1 ft,0,0
1,1,11:42.0,Defensive rebound by J. Hart,,0,0
2,1,11:29.0,K. Kuzma misses 3-pt jump shot from 24 ft,,0,0
3,1,11:26.0,,Defensive rebound by K. Towns,0,0
4,1,11:13.0,,Shooting foul by B. Ingram (drawn by T. Gibson),0,0
5,1,11:13.0,,T. Gibson makes free throw 1 of 2,0,2
6,1,11:13.0,,T. Gibson makes free throw 2 of 2,0,2
7,1,10:57.0,B. Ingram misses 2-pt layup from 2 ft,,0,2
8,1,10:55.0,,Defensive rebound by K. Towns,0,2
9,1,10:45.0,,A. Wiggins makes 2-pt jump shot from 19 ft,0,4
10,1,10:36.0,,Offensive charge foul by J. Randle (drawn by K. Towns),0,4
11,1,10:36.0,Turnover by J. Randle (offensive foul),,0,4
12,1,10:22.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Butler),0,7
13,1,10:03.0,K. Kuzma misses 2-pt layup from 1 ft,,0,7
14,1,10:03.0,,Defensive rebound by A. Wiggins,0,7
15,1,9:58.0,,J. Butler makes 2-pt dunk at rim (assist by A. Wiggins),0,9
16,1,9:54.0,LA Lakers full timeout,,0,9
17,1,9:39.0,B. Ingram misses 2-pt jump shot from 21 ft,,0,9
18,1,9:36.0,,Defensive rebound by T. Gibson,0,9
19,1,9:25.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Butler),0,11
20,1,9:25.0,,Shooting foul by J. Hart (drawn by A. Wiggins),0,11
21,1,9:25.0,,A. Wiggins makes free throw 1 of 1,0,12
22,1,9:09.0,Turnover by B. Ingram (lost ball; steal by J. Butler),,0,12
23,1,9:03.0,,J. Butler misses 2-pt jump shot from 8 ft,0,12
24,1,9:03.0,,Offensive rebound by A. Wiggins,0,12
25,1,9:03.0,,Shooting foul by B. Ingram (drawn by A. Wiggins),0,12
26,1,9:03.0,,A. Wiggins makes free throw 1 of 2,0,13
27,1,9:03.0,,A. Wiggins makes free throw 2 of 2,0,14
28,1,8:51.0,Turnover by J. Randle (lost ball; steal by T. Jones),,0,14
29,1,8:30.0,,K. Towns misses 2-pt layup from 3 ft,0,14
30,1,8:27.0,,Offensive rebound by J. Butler,0,14
31,1,8:24.0,,T. Gibson misses 2-pt jump shot from 12 ft,0,14
32,1,8:24.0,,Offensive rebound by Team,0,14
33,1,8:24.0,C. Brewer enters the game for B. Ingram,,0,14
34,1,8:24.0,A. Caruso enters the game for K. Kuzma,,0,14
35,1,8:24.0,J. Clarkson enters the game for J. Randle,,0,14
36,1,8:24.0,L. Nance enters the game for J. Hart,,0,14
37,1,8:24.0,A. Bogut enters the game for T. Ennis,,0,14
38,1,8:14.0,,A. Wiggins makes 2-pt jump shot from 16 ft (assist by T. Jones),0,16
39,1,8:00.0,Personal foul by T. Jones (drawn by A. Caruso),,0,16
40,1,7:52.0,J. Clarkson misses 2-pt jump shot from 18 ft,,0,16
41,1,7:49.0,Offensive rebound by A. Bogut,,0,16
42,1,7:46.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by A. Bogut),,3,16
43,1,7:33.0,Offensive charge foul by K. Towns (drawn by L. Nance),,3,16
44,1,7:33.0,,Turnover by K. Towns (offensive foul),3,16
45,1,7:24.0,J. Clarkson misses 3-pt jump shot from 25 ft,,3,16
46,1,7:20.0,,Defensive rebound by A. Wiggins,3,16
47,1,7:11.0,,J. Butler makes 2-pt jump shot from 6 ft,3,18
48,1,6:51.0,J. Clarkson misses 2-pt jump shot from 6 ft,,3,18
49,1,6:49.0,,Defensive rebound by K. Towns,3,18
50,1,6:44.0,,A. Wiggins misses 3-pt jump shot from 24 ft,3,18
51,1,6:42.0,Defensive rebound by Team,,3,18
52,1,6:42.0,,Loose ball foul by J. Butler (drawn by C. Brewer),3,18
53,1,6:29.0,C. Brewer makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,6,18
54,1,6:06.0,,Turnover by J. Butler (bad pass),6,18
55,1,5:45.0,A. Caruso misses 2-pt layup at rim,,6,18
56,1,5:43.0,,Defensive rebound by K. Towns,6,18
57,1,5:40.0,,Shooting block foul by C. Brewer (drawn by T. Jones),6,18
58,1,5:40.0,,T. Jones makes free throw 1 of 2,6,19
59,1,5:40.0,,T. Jones makes free throw 2 of 2,6,20
60,1,5:29.0,Shooting foul by T. Jones (drawn by J. Clarkson),,6,20
61,1,5:29.0,J. Clarkson makes free throw 1 of 2,,7,20
62,1,5:29.0,J. Clarkson misses free throw 2 of 2,,7,20
63,1,5:27.0,,Defensive rebound by K. Towns,7,20
64,1,5:21.0,,Turnover by T. Jones (bad pass; steal by C. Brewer),7,20
65,1,5:17.0,C. Brewer makes 2-pt layup from 1 ft,,9,20
66,1,4:58.0,,T. Gibson makes 2-pt layup at rim (assist by A. Wiggins),9,22
67,1,4:48.0,Def 3 sec tech foul by K. Towns,,9,22
68,1,4:48.0,J. Clarkson misses technical free throw,,9,22
69,1,4:48.0,Offensive rebound by Team,,9,22
70,1,4:46.0,Turnover by C. Brewer (bad pass; steal by A. Wiggins),,9,22
71,1,4:32.0,,T. Jones misses 3-pt jump shot from 22 ft,9,22
72,1,4:30.0,Defensive rebound by Team,,9,22
73,1,4:30.0,,Loose ball foul by T. Gibson (drawn by L. Nance),9,22
74,1,4:30.0,,G. Dieng enters the game for K. Towns,9,22
75,1,4:08.0,Turnover by L. Nance (turnover),,9,22
76,1,4:08.0,,N. Bjelica enters the game for T. Gibson,9,22
77,1,3:57.0,,A. Wiggins misses 2-pt jump shot from 5 ft,9,22
78,1,3:54.0,,Offensive rebound by A. Wiggins,9,22
79,1,3:54.0,,Shooting foul by A. Caruso (drawn by G. Dieng),9,22
80,1,3:54.0,,G. Dieng misses free throw 1 of 2,9,22
81,1,3:54.0,,Offensive rebound by Team,9,22
82,1,3:54.0,,G. Dieng makes free throw 2 of 2,9,23
83,1,3:40.0,C. Brewer misses 3-pt jump shot from 23 ft,,9,23
84,1,3:38.0,Offensive rebound by Team,,9,23
85,1,3:38.0,,J. Crawford enters the game for J. Butler,9,23
86,1,3:36.0,J. Clarkson makes 2-pt jump shot from 16 ft (assist by C. Brewer),,11,23
87,1,3:14.0,,A. Wiggins misses 2-pt jump shot from 12 ft,11,23
88,1,3:11.0,Defensive rebound by L. Nance,,11,23
89,1,3:01.0,J. Clarkson misses 3-pt jump shot from 22 ft,,11,23
90,1,2:57.0,,Defensive rebound by N. Bjelica,11,23
91,1,2:50.0,,J. Crawford misses 2-pt jump shot from 17 ft,11,23
92,1,2:50.0,Defensive rebound by A. Caruso,,11,23
93,1,2:45.0,Personal foul by T. Jones (drawn by A. Caruso),,11,23
94,1,2:45.0,,Minnesota full timeout,11,23
95,1,2:45.0,,A. Brooks enters the game for T. Jones,11,23
96,1,2:45.0,A. Caruso misses free throw 1 of 2,,11,23
97,1,2:45.0,Offensive rebound by Team,,11,23
98,1,2:45.0,A. Caruso makes free throw 2 of 2,,12,23
99,1,2:36.0,,Turnover by A. Brooks (bad pass; steal by A. Caruso),12,23
100,1,2:20.0,L. Nance makes 2-pt hook shot from 8 ft,,14,23
101,1,1:55.0,,J. Crawford makes 2-pt jump shot from 10 ft,14,25
102,1,1:37.0,Turnover by A. Caruso (bad pass; steal by A. Wiggins),,14,25
103,1,1:25.0,,G. Dieng makes 2-pt layup from 1 ft (assist by J. Crawford),14,27
104,1,1:10.0,Turnover by L. Nance (bad pass),,14,27
105,1,0:55.0,,N. Bjelica makes 2-pt jump shot from 12 ft (assist by J. Crawford),14,29
106,1,0:47.0,J. Clarkson makes 2-pt layup from 1 ft,,16,29
107,1,0:35.0,,J. Crawford misses 2-pt jump shot from 18 ft,16,29
108,1,0:31.0,Defensive rebound by A. Bogut,,16,29
109,1,0:26.0,Shooting foul by A. Brooks (drawn by C. Brewer),,16,29
110,1,0:26.0,C. Brewer makes free throw 1 of 2,,17,29
111,1,0:26.0,C. Brewer makes free throw 2 of 2,,18,29
112,1,0:05.0,,J. Crawford misses 3-pt jump shot from 24 ft,18,29
113,1,0:01.0,Defensive rebound by A. Bogut,,18,29
114,1,0:00.0,Turnover by A. Bogut (bad pass; steal by J. Crawford),,18,29
115,1,0:00.0,,Personal foul by A. Caruso (drawn by J. Crawford),18,29
116,1,0:00.0,,J. Crawford makes free throw 1 of 2,18,30
117,1,0:00.0,,J. Crawford misses free throw 2 of 2,18,30
118,1,0:00.0,Defensive rebound by J. Randle,,18,30
119,1,0:00.0,K. Kuzma enters the game for C. Brewer,,18,30
120,1,0:00.0,J. Hart enters the game for A. Caruso,,18,30
121,1,0:00.0,T. Ennis enters the game for J. Clarkson,,18,30
122,1,0:00.0,J. Randle enters the game for L. Nance,,18,30
123,2,11:41.0,K. Kuzma misses 2-pt layup from 2 ft,,18,30
124,2,11:38.0,,Defensive rebound by G. Dieng,18,30
125,2,11:30.0,,K. Towns makes 2-pt layup from 3 ft (assist by N. Bjelica),18,32
126,2,11:11.0,J. Randle misses 2-pt jump shot from 14 ft,,18,32
127,2,11:11.0,,Defensive rebound by N. Bjelica,18,32
128,2,10:56.0,Offensive charge foul by K. Towns (drawn by J. Randle),,18,32
129,2,10:56.0,,Turnover by K. Towns (offensive foul),18,32
130,2,10:46.0,Turnover by J. Hart (bad pass),,18,32
131,2,10:28.0,,G. Dieng makes 2-pt layup from 1 ft (assist by J. Crawford),18,34
132,2,10:15.0,T. Ennis misses 3-pt jump shot from 25 ft,,18,34
133,2,10:13.0,,Defensive rebound by J. Crawford,18,34
134,2,10:10.0,,J. Crawford misses 2-pt jump shot from 20 ft,18,34
135,2,10:08.0,Defensive rebound by J. Randle,,18,34
136,2,10:03.0,T. Ennis misses 2-pt layup from 1 ft,,18,34
137,2,10:02.0,Offensive rebound by J. Randle,,18,34
138,2,10:00.0,J. Randle makes 2-pt layup from 2 ft,,20,34
139,2,9:40.0,,N. Bjelica makes 3-pt jump shot from 24 ft (assist by K. Towns),20,37
140,2,9:30.0,T. Ennis misses 3-pt jump shot from 23 ft,,20,37
141,2,9:28.0,,Defensive rebound by K. Towns,20,37
142,2,9:25.0,,Personal foul by J. Hart (drawn by J. Crawford),20,37
143,2,9:18.0,,K. Towns makes 2-pt layup at rim (assist by J. Crawford),20,39
144,2,9:04.0,Personal foul by N. Bjelica (drawn by J. Randle),,20,39
145,2,9:04.0,V. Blue enters the game for J. Hart,,20,39
146,2,8:59.0,B. Ingram makes 2-pt jump shot from 16 ft,,22,39
147,2,8:59.0,Shooting foul by K. Towns (drawn by B. Ingram),,22,39
148,2,8:59.0,,J. Butler enters the game for K. Towns,22,39
149,2,8:59.0,B. Ingram makes free throw 1 of 1,,23,39
150,2,8:35.0,,A. Brooks misses 3-pt jump shot from 22 ft,23,39
151,2,8:30.0,Defensive rebound by B. Ingram,,23,39
152,2,8:27.0,Turnover by K. Kuzma (traveling),,23,39
153,2,8:07.0,,J. Butler misses 2-pt jump shot from 19 ft,23,39
154,2,8:04.0,Defensive rebound by Team,,23,39
155,2,8:04.0,J. Hart enters the game for K. Kuzma,,23,39
156,2,7:49.0,J. Randle misses 2-pt hook shot from 5 ft,,23,39
157,2,7:48.0,Offensive rebound by J. Randle,,23,39
158,2,7:47.0,J. Randle misses 2-pt layup from 3 ft (block by G. Dieng),,23,39
159,2,7:45.0,Offensive rebound by T. Ennis,,23,39
160,2,7:43.0,B. Ingram misses 3-pt jump shot from 25 ft,,23,39
161,2,7:42.0,,Defensive rebound by N. Bjelica,23,39
162,2,7:35.0,,Turnover by J. Crawford (bad pass; steal by T. Ennis),23,39
163,2,7:33.0,Personal foul by J. Crawford (drawn by T. Ennis),,23,39
164,2,7:22.0,Shooting foul by N. Bjelica (drawn by B. Ingram),,23,39
165,2,7:22.0,B. Ingram makes free throw 1 of 2,,24,39
166,2,7:22.0,,T. Gibson enters the game for N. Bjelica,24,39
167,2,7:22.0,B. Ingram makes free throw 2 of 2,,25,39
168,2,7:03.0,,J. Crawford misses 2-pt jump shot from 17 ft,25,39
169,2,7:00.0,Defensive rebound by B. Ingram,,25,39
170,2,6:51.0,B. Ingram misses 3-pt jump shot from 23 ft,,25,39
171,2,6:47.0,,Defensive rebound by T. Gibson,25,39
172,2,6:33.0,,J. Butler misses 2-pt jump shot from 14 ft,25,39
173,2,6:30.0,Defensive rebound by J. Randle,,25,39
174,2,6:23.0,J. Hart misses 2-pt layup from 3 ft,,25,39
175,2,6:21.0,Offensive rebound by J. Randle,,25,39
176,2,6:21.0,J. Randle misses 2-pt layup at rim,,25,39
177,2,6:21.0,Offensive rebound by J. Randle,,25,39
178,2,6:21.0,Shooting foul by T. Gibson (drawn by J. Randle),,25,39
