,QUARTER,TIME_REMAINING,DETROIT_ACTION,DALLAS_ACTION,DETROIT_SCORE,DALLAS_SCORE
0,1,11:44.0,T. Harris misses 2-pt jump shot from 15 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Smith,0,0
2,1,11:25.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,0,0
3,1,11:23.0,Defensive rebound by A. Drummond,,0,0
4,1,11:06.0,A. Drummond misses 2-pt layup from 1 ft,,0,0
5,1,11:04.0,,Defensive rebound by D. Smith,0,0
6,1,11:02.0,,H. Barnes misses 2-pt jump shot from 19 ft,0,0
7,1,10:59.0,Defensive rebound by R. Jackson,,0,0
8,1,10:54.0,R. Jackson makes 2-pt jump shot from 21 ft,,2,0
9,1,10:34.0,,H. Barnes makes 2-pt layup at rim (assist by W. Matthews),2,2
10,1,10:20.0,R. Jackson makes 2-pt jump shot from 8 ft,,4,2
11,1,10:00.0,,D. Smith misses 3-pt jump shot from 25 ft,4,2
12,1,9:56.0,Defensive rebound by T. Harris,,4,2
13,1,9:47.0,T. Harris misses 2-pt jump shot from 10 ft,,4,2
14,1,9:43.0,Offensive rebound by A. Tolliver,,4,2
15,1,9:39.0,T. Harris misses 3-pt jump shot from 26 ft,,4,2
16,1,9:35.0,,Defensive rebound by D. Nowitzki,4,2
17,1,9:23.0,,H. Barnes makes 2-pt layup from 1 ft,4,4
18,1,9:07.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by T. Harris),,7,4
19,1,8:44.0,,H. Barnes misses 3-pt jump shot from 26 ft,7,4
20,1,8:44.0,Defensive rebound by A. Drummond,,7,4
21,1,8:36.0,T. Harris makes 2-pt layup from 1 ft (assist by R. Jackson),,9,4
22,1,8:21.0,,D. Smith misses 2-pt jump shot from 16 ft,9,4
23,1,8:18.0,Defensive rebound by A. Drummond,,9,4
24,1,8:14.0,Turnover by T. Harris (palming),,9,4
25,1,7:56.0,,W. Matthews misses 2-pt jump shot from 21 ft,9,4
26,1,7:52.0,Defensive rebound by A. Drummond,,9,4
27,1,7:48.0,,S. Mejri enters the game for D. Nowitzki,9,4
28,1,7:46.0,R. Bullock makes 2-pt jump shot from 15 ft (assist by R. Jackson),,11,4
29,1,7:44.0,,Dallas full timeout,11,4
30,1,7:29.0,,D. Smith makes 2-pt layup from 1 ft,11,6
31,1,7:14.0,T. Harris makes 2-pt jump shot from 12 ft (assist by R. Jackson),,13,6
32,1,7:02.0,,W. Matthews misses 3-pt jump shot from 26 ft,13,6
33,1,6:59.0,Defensive rebound by A. Drummond,,13,6
34,1,6:44.0,A. Drummond misses 2-pt jump shot from 5 ft (block by S. Mejri),,13,6
35,1,6:42.0,,Defensive rebound by D. Smith,13,6
36,1,6:24.0,,Turnover by H. Barnes (traveling),13,6
37,1,6:24.0,,Y. Ferrell enters the game for D. Smith,13,6
38,1,6:08.0,A. Drummond makes 2-pt layup from 3 ft (assist by A. Tolliver),,15,6
39,1,6:08.0,,Violation by S. Mejri (def goaltending),15,6
40,1,5:47.0,,Shooting foul by T. Harris (drawn by H. Barnes),15,6
41,1,5:47.0,,H. Barnes makes free throw 1 of 2,15,7
42,1,5:47.0,S. Johnson enters the game for A. Tolliver,,15,7
43,1,5:47.0,,H. Barnes makes free throw 2 of 2,15,8
44,1,5:36.0,R. Jackson misses 2-pt jump shot from 18 ft,,15,8
45,1,5:33.0,,Defensive rebound by M. Kleber,15,8
46,1,5:21.0,,Y. Ferrell misses 3-pt jump shot from 26 ft,15,8
47,1,5:17.0,Defensive rebound by R. Jackson,,15,8
48,1,5:12.0,T. Harris makes 2-pt jump shot from 14 ft (assist by R. Jackson),,17,8
49,1,4:44.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),17,11
50,1,4:24.0,R. Jackson misses 3-pt jump shot from 25 ft,,17,11
51,1,4:21.0,,Defensive rebound by S. Mejri,17,11
52,1,4:09.0,,Turnover by H. Barnes (bad pass; steal by T. Harris),17,11
53,1,4:02.0,T. Harris misses 3-pt jump shot from 24 ft,,17,11
54,1,4:00.0,,Defensive rebound by H. Barnes,17,11
55,1,3:40.0,,M. Kleber misses 2-pt dunk from 1 ft (block by A. Drummond),17,11
56,1,3:37.0,,Offensive rebound by M. Kleber,17,11
57,1,3:35.0,,W. Matthews misses 3-pt jump shot from 27 ft,17,11
58,1,3:35.0,,Offensive rebound by S. Mejri,17,11
59,1,3:34.0,,Shooting foul by A. Drummond (drawn by S. Mejri),17,11
60,1,3:34.0,,S. Mejri misses free throw 1 of 2,17,11
61,1,3:34.0,,Offensive rebound by Team,17,11
62,1,3:34.0,,D. Harris enters the game for W. Matthews,17,11
63,1,3:34.0,I. Smith enters the game for R. Jackson,,17,11
64,1,3:34.0,L. Kennard enters the game for R. Bullock,,17,11
65,1,3:34.0,,S. Mejri makes free throw 2 of 2,17,12
66,1,3:21.0,Shooting foul by S. Mejri (drawn by A. Drummond),,17,12
67,1,3:21.0,A. Drummond misses free throw 1 of 2,,17,12
68,1,3:21.0,Offensive rebound by Team,,17,12
69,1,3:21.0,A. Drummond makes free throw 2 of 2,,18,12
70,1,3:07.0,,M. Kleber makes 2-pt dunk at rim (assist by D. Harris),18,14
71,1,2:48.0,T. Harris makes 2-pt jump shot from 2 ft (assist by I. Smith),,20,14
72,1,2:22.0,,M. Kleber misses 2-pt jump shot from 2 ft,20,14
73,1,2:20.0,Defensive rebound by I. Smith,,20,14
74,1,2:16.0,S. Johnson makes 3-pt jump shot from 24 ft (assist by I. Smith),,23,14
75,1,1:55.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by D. Harris),23,16
76,1,1:47.0,Detroit full timeout,,23,16
77,1,1:47.0,,D. Nowitzki enters the game for H. Barnes,23,16
78,1,1:47.0,,J. Barea enters the game for M. Kleber,23,16
79,1,1:47.0,,D. Powell enters the game for S. Mejri,23,16
80,1,1:47.0,E. Moreland enters the game for A. Drummond,,23,16
81,1,1:37.0,I. Smith makes 2-pt jump shot from 16 ft,,25,16
82,1,1:21.0,,Personal block foul by S. Johnson (drawn by D. Harris),25,16
83,1,1:21.0,L. Galloway enters the game for S. Johnson,,25,16
84,1,1:12.0,,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),25,18
85,1,1:12.0,,Shooting foul by E. Moreland (drawn by D. Harris),25,18
86,1,1:12.0,,D. Harris makes free throw 1 of 1,25,19
87,1,0:54.0,T. Harris misses 3-pt jump shot from 23 ft,,25,19
88,1,0:51.0,,Defensive rebound by J. Barea,25,19
89,1,0:44.0,Offensive charge foul by D. Harris (drawn by E. Moreland),,25,19
90,1,0:44.0,,Turnover by D. Harris (offensive foul),25,19
91,1,0:35.0,Turnover by I. Smith (bad pass; steal by Y. Ferrell),,25,19
92,1,0:28.0,,D. Powell misses 2-pt layup from 2 ft,25,19
93,1,0:26.0,Defensive rebound by T. Harris,,25,19
94,1,0:21.0,T. Harris misses 2-pt jump shot from 9 ft,,25,19
95,1,0:17.0,,Defensive rebound by J. Barea,25,19
96,1,0:02.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Barea),25,22
97,2,11:46.0,,Personal block foul by E. Moreland (drawn by D. Powell),25,22
98,2,11:33.0,,D. Harris makes 2-pt layup from 2 ft,25,24
99,2,11:21.0,A. Tolliver makes 2-pt layup at rim (assist by I. Smith),,27,24
100,2,11:21.0,Shooting foul by D. Harris (drawn by A. Tolliver),,27,24
101,2,11:21.0,,K. Collinsworth enters the game for D. Harris,27,24
102,2,11:21.0,A. Tolliver makes free throw 1 of 1,,28,24
103,2,10:57.0,,J. Barea makes 2-pt hook shot from 3 ft,28,26
104,2,10:39.0,I. Smith misses 2-pt jump shot from 7 ft,,28,26
105,2,10:38.0,,Defensive rebound by Team,28,26
106,2,10:38.0,Loose ball foul by E. Moreland (drawn by D. Nowitzki),,28,26
107,2,10:26.0,,Y. Ferrell makes 3-pt jump shot from 27 ft (assist by D. Nowitzki),28,29
