,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,Shooting foul by S. Curry (drawn by J. Jack),,0,0
1,1,11:37.0,J. Jack makes free throw 1 of 2,,1,0
2,1,11:37.0,J. Jack makes free throw 2 of 2,,2,0
3,1,11:26.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,2,0
4,1,11:23.0,,Offensive rebound by K. Durant,2,0
5,1,11:19.0,,D. Green misses 3-pt jump shot from 26 ft,2,0
6,1,11:16.0,Defensive rebound by T. Hardaway,,2,0
7,1,11:12.0,Turnover by J. Jack (bad pass; steal by D. Green),,2,0
8,1,11:06.0,,S. Curry misses 2-pt layup from 2 ft,2,0
9,1,11:02.0,Defensive rebound by E. Freedom,,2,0
10,1,10:54.0,C. Lee makes 2-pt layup from 2 ft,,4,0
11,1,10:43.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Curry),4,2
12,1,10:23.0,Shooting foul by D. Green (drawn by M. Beasley),,4,2
13,1,10:23.0,M. Beasley makes free throw 1 of 2,,5,2
14,1,10:23.0,M. Beasley makes free throw 2 of 2,,6,2
15,1,10:09.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),6,5
16,1,9:52.0,C. Lee makes 2-pt jump shot from 16 ft (assist by E. Freedom),,8,5
17,1,9:44.0,,Turnover by K. Durant (step out of bounds),8,5
18,1,9:25.0,E. Freedom misses 2-pt hook shot from 4 ft,,8,5
19,1,9:23.0,,Defensive rebound by Z. Pachulia,8,5
20,1,9:12.0,,Turnover by S. Curry (bad pass),8,5
21,1,8:52.0,E. Freedom makes 2-pt dunk from 1 ft (assist by M. Beasley),,10,5
22,1,8:36.0,,S. Curry misses 3-pt jump shot from 25 ft,10,5
23,1,8:32.0,Defensive rebound by M. Beasley,,10,5
24,1,8:28.0,J. Jack makes 2-pt jump shot from 11 ft,,12,5
25,1,8:14.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Green),12,7
26,1,8:01.0,M. Beasley misses 2-pt jump shot from 9 ft,,12,7
27,1,7:57.0,,Defensive rebound by S. Curry,12,7
