,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:42.0,,New York full timeout,0,0
1,1,11:42.0,,I. Hicks enters the game for M. Beasley,0,0
2,1,11:40.0,,I. Hicks makes 2-pt layup from 1 ft (assist by F. Ntilikina),0,2
3,1,11:17.0,,Offensive charge foul by H. Whiteside (drawn by T. Hardaway),0,2
4,1,11:17.0,Turnover by H. Whiteside (offensive foul),,0,2
5,1,11:03.0,,I. Hicks misses 2-pt layup from 1 ft,0,2
6,1,10:59.0,,Offensive rebound by K. O'Quinn,0,2
7,1,10:59.0,,K. O'Quinn makes 2-pt layup at rim,0,4
8,1,10:47.0,J. Johnson makes 2-pt layup from 1 ft,,2,4
9,1,10:30.0,,K. O'Quinn misses 2-pt jump shot from 10 ft,2,4
10,1,10:28.0,Defensive rebound by J. Johnson,,2,4
11,1,10:23.0,J. Johnson misses 2-pt jump shot from 9 ft,,2,4
12,1,10:21.0,Offensive rebound by Team,,2,4
13,1,10:19.0,H. Whiteside misses 2-pt jump shot from 10 ft,,2,4
14,1,10:16.0,,Defensive rebound by K. O'Quinn,2,4
15,1,10:04.0,,K. O'Quinn misses 2-pt layup from 5 ft,2,4
16,1,10:02.0,,Offensive rebound by K. O'Quinn,2,4
17,1,10:00.0,,K. O'Quinn misses 2-pt jump shot from 5 ft,2,4
18,1,9:57.0,Defensive rebound by G. Dragić,,2,4
19,1,9:54.0,G. Dragić makes 2-pt layup from 1 ft,,4,4
20,1,9:42.0,,Shooting foul by J. Richardson (drawn by I. Hicks),4,4
21,1,9:42.0,,I. Hicks makes free throw 1 of 2,4,5
22,1,9:42.0,,I. Hicks makes free throw 2 of 2,4,6
23,1,9:32.0,T. Johnson makes 2-pt dunk at rim (assist by J. Johnson),,6,6
24,1,9:19.0,,T. Burke makes 2-pt layup at rim,6,8
25,1,9:06.0,H. Whiteside makes 2-pt jump shot from 4 ft (assist by G. Dragić),,8,8
26,1,8:55.0,,Offensive foul by K. O'Quinn (drawn by T. Johnson),8,8
27,1,8:55.0,,Turnover by K. O'Quinn (offensive foul),8,8
28,1,8:45.0,,Loose ball foul by I. Hicks (drawn by H. Whiteside),8,8
29,1,8:42.0,J. Richardson misses 2-pt layup from 1 ft,,8,8
30,1,8:42.0,Offensive rebound by Team,,8,8
31,1,8:36.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by J. Richardson),,10,8
32,1,8:24.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by T. Burke),10,10
33,1,8:08.0,J. Johnson misses 3-pt jump shot from 22 ft,,10,10
34,1,8:04.0,,Defensive rebound by I. Hicks,10,10
35,1,7:55.0,,I. Hicks makes 2-pt layup at rim (assist by T. Burke),10,12
36,1,7:36.0,Offensive foul by T. Johnson (drawn by T. Burke),,10,12
37,1,7:36.0,Turnover by T. Johnson (offensive foul),,10,12
38,1,7:20.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),10,15
39,1,7:12.0,Miami full timeout,,10,15
40,1,6:57.0,G. Dragić misses 2-pt layup from 5 ft (block by K. O'Quinn),,10,15
41,1,6:55.0,,Defensive rebound by T. Burke,10,15
42,1,6:51.0,,T. Burke makes 2-pt jump shot from 14 ft (assist by F. Ntilikina),10,17
43,1,6:30.0,Turnover by G. Dragić (bad pass; steal by T. Burke),,10,17
44,1,6:17.0,,Shooting foul by G. Dragić (drawn by I. Hicks),10,17
45,1,6:17.0,,D. Dotson enters the game for T. Hardaway,10,17
46,1,6:17.0,W. Ellington enters the game for J. Richardson,,10,17
47,1,6:17.0,,I. Hicks misses free throw 1 of 2,10,17
48,1,6:17.0,,Offensive rebound by Team,10,17
49,1,6:17.0,,I. Hicks makes free throw 2 of 2,10,18
50,1,6:04.0,H. Whiteside misses 2-pt jump shot from 5 ft,,10,18
51,1,6:02.0,,Defensive rebound by K. O'Quinn,10,18
