,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
0,1,11:50.0,,K. Anderson makes 2-pt layup from 1 ft,0,2
1,1,11:50.0,,Shooting foul by P. Zipser (drawn by K. Anderson),0,2
2,1,11:50.0,,K. Anderson makes free throw 1 of 1,0,3
3,1,11:35.0,R. Lopez makes 2-pt jump shot from 9 ft (assist by L. Markkanen),,2,3
4,1,11:14.0,,L. Aldridge misses 2-pt jump shot from 9 ft,2,3
5,1,11:09.0,,Offensive rebound by P. Gasol,2,3
6,1,11:09.0,,P. Gasol makes 2-pt layup at rim,2,5
7,1,11:00.0,Personal foul by K. Anderson (drawn by J. Holiday),,2,5
8,1,10:52.0,J. Grant makes 2-pt jump shot from 13 ft,,4,5
9,1,10:38.0,,L. Aldridge misses 2-pt layup from 6 ft (block by L. Markkanen),4,5
10,1,10:34.0,Defensive rebound by J. Holiday,,4,5
11,1,10:30.0,J. Holiday misses 2-pt jump shot from 10 ft,,4,5
12,1,10:27.0,,Defensive rebound by P. Mills,4,5
13,1,10:06.0,,P. Mills makes 3-pt jump shot from 24 ft,4,8
14,1,9:43.0,P. Zipser misses 2-pt layup from 2 ft,,4,8
15,1,9:41.0,,Defensive rebound by L. Aldridge,4,8
16,1,9:33.0,,Turnover by K. Anderson (bad pass; steal by P. Zipser),4,8
17,1,9:24.0,P. Zipser makes 2-pt jump shot from 9 ft,,6,8
18,1,9:04.0,,Personal foul by P. Zipser (drawn by B. Forbes),6,8
19,1,9:04.0,D. Valentine enters the game for P. Zipser,,6,8
20,1,8:53.0,,Shooting foul by L. Markkanen (drawn by P. Gasol),6,8
21,1,8:53.0,,P. Gasol makes free throw 1 of 2,6,9
22,1,8:53.0,,P. Gasol makes free throw 2 of 2,6,10
23,1,8:42.0,R. Lopez misses 2-pt jump shot from 6 ft,,6,10
24,1,8:40.0,,Defensive rebound by P. Gasol,6,10
25,1,8:31.0,,L. Aldridge misses 2-pt hook shot from 8 ft,6,10
26,1,8:29.0,Defensive rebound by J. Grant,,6,10
27,1,8:18.0,D. Valentine misses 3-pt jump shot from 24 ft,,6,10
28,1,8:15.0,,Defensive rebound by B. Forbes,6,10
29,1,8:10.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by P. Mills),6,13
30,1,7:58.0,Chicago full timeout,,6,13
31,1,7:40.0,Turnover by R. Lopez (lost ball; steal by K. Anderson),,6,13
32,1,7:25.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by L. Aldridge),6,16
33,1,7:17.0,Personal block foul by P. Mills (drawn by J. Grant),,6,16
34,1,7:09.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,16
35,1,7:05.0,,Defensive rebound by P. Gasol,6,16
36,1,6:53.0,,P. Gasol makes 2-pt jump shot from 11 ft,6,18
37,1,6:35.0,Turnover by L. Markkanen (bad pass; steal by P. Mills),,6,18
38,1,6:23.0,,P. Mills misses 2-pt jump shot from 18 ft,6,18
