,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,,R. Rondo misses 3-pt jump shot from 24 ft,0,0
1,1,11:33.0,Defensive rebound by A. Crabbe,,0,0
2,1,11:21.0,R. Hollis-Jefferson makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,3,0
3,1,10:53.0,,A. Davis makes 3-pt jump shot from 23 ft (assist by R. Rondo),3,3
4,1,10:33.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),,6,3
5,1,10:17.0,,D. Cousins makes 2-pt layup from 1 ft (assist by E. Moore),6,5
6,1,10:05.0,R. Hollis-Jefferson makes 2-pt jump shot from 14 ft,,8,5
7,1,9:53.0,,R. Rondo misses 2-pt layup from 1 ft,8,5
8,1,9:49.0,Defensive rebound by T. Zeller,,8,5
9,1,9:40.0,A. Crabbe misses 3-pt jump shot from 25 ft,,8,5
10,1,9:35.0,,Defensive rebound by R. Rondo,8,5
11,1,9:30.0,,A. Davis misses 2-pt layup from 1 ft (block by S. Dinwiddie),8,5
12,1,9:30.0,,Offensive rebound by A. Davis,8,5
13,1,9:30.0,,Shooting foul by T. Zeller (drawn by A. Davis),8,5
14,1,9:30.0,,A. Davis makes free throw 1 of 2,8,6
15,1,9:30.0,,A. Davis makes free throw 2 of 2,8,7
16,1,9:05.0,Turnover by Team (shot clock),,8,7
17,1,8:58.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,7
18,1,8:55.0,Defensive rebound by R. Hollis-Jefferson,,8,7
19,1,8:47.0,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,,8,7
20,1,8:43.0,,Defensive rebound by A. Davis,8,7
21,1,8:40.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),8,10
22,1,8:14.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,11,10
23,1,8:02.0,,D. Cousins makes 2-pt layup from 1 ft (assist by R. Rondo),11,12
24,1,7:38.0,T. Zeller misses 3-pt jump shot from 22 ft,,11,12
25,1,7:35.0,,Defensive rebound by R. Rondo,11,12
26,1,7:31.0,,R. Rondo misses 2-pt layup from 1 ft,11,12
27,1,7:28.0,Defensive rebound by T. Zeller,,11,12
28,1,7:19.0,Offensive foul by T. Zeller (drawn by D. Cousins),,11,12
29,1,7:19.0,Turnover by T. Zeller (offensive foul),,11,12
30,1,6:58.0,,A. Davis makes 3-pt jump shot from 24 ft (assist by D. Cousins),11,15
31,1,6:58.0,Brooklyn full timeout,,11,15
32,1,6:34.0,R. Hollis-Jefferson makes 2-pt jump shot from 14 ft,,13,15
33,1,6:05.0,,E. Moore makes 3-pt jump shot from 25 ft (assist by R. Rondo),13,18
34,1,5:44.0,D. Carroll misses 2-pt layup from 2 ft (block by A. Davis),,13,18
35,1,5:40.0,,Defensive rebound by R. Rondo,13,18
36,1,5:35.0,,D. Cousins makes 2-pt layup from 2 ft (assist by R. Rondo),13,20
37,1,5:12.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft,,13,20
38,1,5:12.0,Offensive rebound by R. Hollis-Jefferson,,13,20
39,1,5:04.0,A. Crabbe misses 2-pt jump shot from 9 ft,,13,20
40,1,5:04.0,,Defensive rebound by D. Cousins,13,20
41,1,5:00.0,J. Allen enters the game for D. Carroll,,13,20
42,1,5:00.0,J. Harris enters the game for T. Zeller,,13,20
43,1,5:00.0,N. Stauskas enters the game for A. Crabbe,,13,20
44,1,5:00.0,C. LeVert enters the game for S. Dinwiddie,,13,20
45,1,4:46.0,,J. Holiday misses 3-pt jump shot from 23 ft,13,20
46,1,4:43.0,Defensive rebound by C. LeVert,,13,20
47,1,4:37.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,13,20
48,1,4:35.0,,Defensive rebound by D. Cousins,13,20
49,1,4:29.0,,J. Holiday makes 2-pt jump shot from 13 ft (assist by R. Rondo),13,22
50,1,4:03.0,Turnover by Team (shot clock),,13,22
51,1,4:03.0,,D. Cunningham enters the game for R. Rondo,13,22
52,1,4:03.0,,D. Miller enters the game for A. Davis,13,22
53,1,4:03.0,Q. Acy enters the game for R. Hollis-Jefferson,,13,22
54,1,3:46.0,,D. Cousins misses 2-pt layup from 2 ft,13,22
55,1,3:43.0,Defensive rebound by J. Allen,,13,22
56,1,3:41.0,N. Stauskas misses 3-pt jump shot from 25 ft,,13,22
57,1,3:36.0,,Defensive rebound by D. Cousins,13,22
58,1,3:32.0,,Shooting block foul by J. Allen (drawn by D. Cousins),13,22
59,1,3:32.0,,D. Cousins makes free throw 1 of 2,13,23
60,1,3:32.0,,D. Cousins makes free throw 2 of 2,13,24
61,1,3:22.0,J. Harris misses 3-pt jump shot from 25 ft,,13,24
62,1,3:19.0,,Defensive rebound by D. Cunningham,13,24
63,1,3:06.0,,D. Cousins misses 2-pt jump shot from 8 ft,13,24
64,1,3:03.0,Defensive rebound by C. LeVert,,13,24
65,1,2:51.0,J. Allen misses 2-pt jump shot from 10 ft,,13,24
66,1,2:50.0,,Defensive rebound by D. Cunningham,13,24
67,1,2:43.0,,D. Cunningham makes 2-pt dunk at rim (assist by D. Cousins),13,26
68,1,2:28.0,C. LeVert makes 2-pt jump shot from 17 ft,,15,26
69,1,2:14.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by E. Moore),15,29
70,1,1:58.0,Turnover by C. LeVert (lost ball; steal by E. Moore),,15,29
71,1,1:53.0,,E. Moore makes 2-pt layup from 1 ft,15,31
72,1,1:31.0,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),,18,31
73,1,1:20.0,,D. Cousins misses 3-pt jump shot from 25 ft,18,31
74,1,1:17.0,Defensive rebound by J. Harris,,18,31
75,1,1:07.0,Personal foul by D. Cousins (drawn by N. Stauskas),,18,31
76,1,1:07.0,,New Orleans full timeout,18,31
77,1,1:07.0,,J. Nelson enters the game for D. Cousins,18,31
78,1,1:07.0,,A. Davis enters the game for J. Holiday,18,31
79,1,1:03.0,C. LeVert misses 3-pt jump shot from 25 ft,,18,31
80,1,0:56.0,,Defensive rebound by E. Moore,18,31
81,1,0:53.0,,A. Davis misses 2-pt layup from 1 ft,18,31
82,1,0:50.0,Defensive rebound by N. Stauskas,,18,31
83,1,0:31.0,J. Harris makes 2-pt layup from 1 ft,,20,31
84,1,0:15.0,,D. Miller misses 2-pt layup from 5 ft,20,31
85,1,0:13.0,Defensive rebound by J. Allen,,20,31
86,1,0:02.0,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),,23,31
87,2,11:48.0,Q. Acy misses 3-pt jump shot from 23 ft,,23,31
88,2,11:46.0,Offensive rebound by J. Harris,,23,31
89,2,11:41.0,J. Allen misses 2-pt jump shot from 11 ft,,23,31
90,2,11:37.0,,Defensive rebound by A. Davis,23,31
91,2,11:17.0,,I. Clark makes 3-pt jump shot from 24 ft (assist by A. Davis),23,34
92,2,10:59.0,J. Allen misses 2-pt layup from 9 ft,,23,34
93,2,10:57.0,,Defensive rebound by A. Davis,23,34
94,2,10:51.0,,A. Davis makes 2-pt layup from 1 ft,23,36
95,2,10:37.0,J. Harris makes 2-pt layup at rim,,25,36
96,2,10:24.0,,A. Davis makes 3-pt jump shot from 24 ft (assist by I. Clark),25,39
97,2,10:03.0,J. Allen misses 2-pt layup from 2 ft (block by A. Davis),,25,39
98,2,10:00.0,,Defensive rebound by I. Clark,25,39
99,2,9:57.0,,I. Clark misses 3-pt jump shot from 27 ft,25,39
100,2,9:51.0,Defensive rebound by A. Crabbe,,25,39
