,QUARTER,TIME_REMAINING,UTAH_ACTION,TORONTO_ACTION,UTAH_SCORE,TORONTO_SCORE
0,1,11:41.0,,Turnover by K. Lowry (lost ball; steal by D. Favors),0,0
1,1,11:37.0,Shooting foul by S. Ibaka (drawn by D. Favors),,0,0
2,1,11:37.0,D. Favors misses free throw 1 of 2,,0,0
3,1,11:37.0,Offensive rebound by Team,,0,0
4,1,11:37.0,D. Favors misses free throw 2 of 2,,0,0
5,1,11:36.0,,Defensive rebound by J. Valančiūnas,0,0
6,1,11:15.0,,S. Ibaka misses 2-pt jump shot from 13 ft,0,0
7,1,11:12.0,Defensive rebound by R. Gobert,,0,0
8,1,11:04.0,D. Mitchell makes 2-pt jump shot from 13 ft,,2,0
9,1,10:48.0,,K. Lowry makes 2-pt layup from 2 ft (assist by D. DeRozan),2,2
10,1,10:27.0,D. Mitchell makes 2-pt jump shot from 8 ft,,4,2
11,1,10:12.0,,D. DeRozan misses 2-pt jump shot from 13 ft,4,2
12,1,10:09.0,Defensive rebound by D. Favors,,4,2
13,1,10:05.0,R. Gobert makes 2-pt dunk at rim (assist by R. Rubio),,6,2
14,1,9:51.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by D. DeRozan),6,4
15,1,9:36.0,R. Gobert misses 2-pt layup from 3 ft (block by J. Valančiūnas),,6,4
16,1,9:36.0,Offensive rebound by Team,,6,4
17,1,9:30.0,D. Mitchell misses 2-pt jump shot from 18 ft,,6,4
18,1,9:27.0,,Defensive rebound by J. Valančiūnas,6,4
19,1,9:18.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by D. DeRozan),6,7
20,1,9:05.0,R. Rubio makes 2-pt jump shot from 10 ft,,8,7
21,1,8:51.0,,J. Valančiūnas misses 2-pt jump shot from 12 ft,8,7
22,1,8:48.0,Defensive rebound by D. Favors,,8,7
23,1,8:36.0,D. Mitchell misses 3-pt jump shot from 28 ft,,8,7
24,1,8:33.0,,Defensive rebound by S. Ibaka,8,7
25,1,8:26.0,,Turnover by D. DeRozan (bad pass; steal by J. Ingles),8,7
26,1,8:21.0,R. Rubio makes 2-pt layup from 1 ft,,10,7
27,1,7:59.0,,S. Ibaka misses 3-pt jump shot from 23 ft,10,7
28,1,7:57.0,Defensive rebound by R. Gobert,,10,7
29,1,7:46.0,R. Gobert misses 2-pt layup from 1 ft (block by J. Valančiūnas),,10,7
30,1,7:43.0,,Defensive rebound by J. Valančiūnas,10,7
31,1,7:40.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by K. Lowry),10,10
32,1,7:18.0,Turnover by R. Rubio (bad pass; steal by O. Anunoby),,10,10
33,1,7:12.0,,D. DeRozan makes 2-pt layup at rim,10,12
34,1,7:12.0,Utah full timeout,,10,12
35,1,7:12.0,J. Jerebko enters the game for R. Gobert,,10,12
36,1,7:00.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,13,12
37,1,6:43.0,,J. Valančiūnas misses 2-pt jump shot from 6 ft,13,12
38,1,6:40.0,Defensive rebound by J. Ingles,,13,12
39,1,6:34.0,D. Favors makes 2-pt jump shot from 11 ft (assist by J. Ingles),,15,12
40,1,6:19.0,,K. Lowry misses 3-pt jump shot from 26 ft,15,12
41,1,6:16.0,Defensive rebound by D. Favors,,15,12
42,1,5:55.0,Turnover by D. Mitchell (lost ball; steal by O. Anunoby),,15,12
43,1,5:49.0,,Turnover by O. Anunoby (bad pass; steal by R. Rubio),15,12
44,1,5:48.0,Personal foul by D. DeRozan (drawn by R. Rubio),,15,12
45,1,5:29.0,J. Ingles makes 3-pt jump shot from 26 ft,,18,12
46,1,5:06.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),18,14
47,1,4:46.0,D. Favors makes 2-pt dunk at rim (assist by J. Jerebko),,20,14
48,1,4:37.0,,Turnover by K. Lowry (bad pass; steal by D. Favors),20,14
49,1,4:33.0,J. Ingles makes 2-pt layup from 1 ft,,22,14
50,1,4:27.0,,Toronto full timeout,22,14
51,1,4:27.0,,C. Miles enters the game for O. Anunoby,22,14
52,1,4:27.0,,J. Poeltl enters the game for J. Valančiūnas,22,14
53,1,4:27.0,A. Burks enters the game for R. Rubio,,22,14
54,1,4:15.0,,J. Poeltl misses 2-pt layup from 1 ft (block by J. Jerebko),22,14
55,1,4:15.0,Defensive rebound by Team,,22,14
56,1,4:00.0,D. Favors misses 2-pt hook shot from 5 ft,,22,14
57,1,3:57.0,,Defensive rebound by S. Ibaka,22,14
58,1,3:40.0,,S. Ibaka misses 3-pt jump shot from 26 ft,22,14
59,1,3:39.0,Defensive rebound by D. Favors,,22,14
60,1,3:26.0,D. Favors misses 2-pt layup from 2 ft (block by J. Poeltl),,22,14
61,1,3:26.0,Offensive rebound by Team,,22,14
62,1,3:26.0,R. Gobert enters the game for D. Favors,,22,14
63,1,3:20.0,J. Ingles misses 3-pt jump shot from 26 ft,,22,14
64,1,3:17.0,,Defensive rebound by S. Ibaka,22,14
65,1,3:07.0,,K. Lowry misses 3-pt jump shot from 24 ft,22,14
66,1,3:04.0,Defensive rebound by J. Ingles,,22,14
67,1,2:55.0,J. Jerebko makes 2-pt layup from 2 ft (assist by R. Gobert),,24,14
68,1,2:39.0,,S. Ibaka makes 2-pt jump shot from 8 ft (assist by D. DeRozan),24,16
69,1,2:19.0,J. Ingles misses 2-pt layup from 2 ft,,24,16
70,1,2:17.0,,Defensive rebound by C. Miles,24,16
71,1,2:16.0,,Personal foul by J. Jerebko (drawn by C. Miles),24,16
72,1,2:16.0,,D. Wright enters the game for K. Lowry,24,16
73,1,2:16.0,,P. Siakam enters the game for S. Ibaka,24,16
74,1,2:16.0,R. O'Neale enters the game for J. Ingles,,24,16
75,1,2:16.0,R. Neto enters the game for D. Mitchell,,24,16
76,1,2:04.0,,J. Poeltl misses 2-pt jump shot from 9 ft,24,16
77,1,2:00.0,Defensive rebound by R. Gobert,,24,16
78,1,1:48.0,Personal foul by C. Miles (drawn by R. Gobert),,24,16
79,1,1:37.0,R. Neto misses 2-pt layup from 1 ft,,24,16
80,1,1:32.0,Offensive rebound by R. Gobert,,24,16
81,1,1:32.0,R. Gobert misses 2-pt layup at rim,,24,16
82,1,1:29.0,Offensive rebound by R. Gobert,,24,16
83,1,1:29.0,R. Gobert makes 2-pt dunk at rim,,26,16
84,1,1:12.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by P. Siakam),26,19
85,1,0:53.0,R. Gobert makes 2-pt hook shot from 2 ft (assist by J. Jerebko),,28,19
86,1,0:35.0,,D. DeRozan makes 2-pt jump shot from 10 ft,28,21
87,1,0:35.0,,Shooting foul by R. Neto (drawn by D. DeRozan),28,21
88,1,0:35.0,,D. DeRozan makes free throw 1 of 1,28,22
89,1,0:18.0,R. O'Neale misses 2-pt jump shot from 8 ft (block by C. Miles),,28,22
90,1,0:17.0,Offensive rebound by J. Jerebko,,28,22
91,1,0:17.0,J. Jerebko makes 2-pt jump shot from 9 ft,,30,22
92,1,0:04.0,,Personal foul by R. O'Neale (drawn by D. DeRozan),30,22
93,1,0:04.0,,D. DeRozan makes free throw 1 of 2,30,23
94,1,0:04.0,,D. DeRozan makes free throw 2 of 2,30,24
95,1,0:00.0,A. Burks misses 3-pt jump shot from 30 ft,,30,24
96,1,0:00.0,Offensive rebound by Team,,30,24
97,2,11:42.0,R. O'Neale misses 3-pt jump shot from 24 ft,,30,24
98,2,11:39.0,,Defensive rebound by D. Wright,30,24
99,2,11:30.0,,F. VanVleet misses 3-pt jump shot from 23 ft,30,24
100,2,11:27.0,Defensive rebound by R. Gobert,,30,24
101,2,11:09.0,A. Burks misses 2-pt layup from 4 ft (block by J. Poeltl),,30,24
102,2,11:05.0,Offensive rebound by R. Gobert,,30,24
103,2,11:05.0,R. Gobert makes 2-pt dunk at rim,,32,24
104,2,10:48.0,,D. Wright misses 2-pt layup from 1 ft,32,24
105,2,10:46.0,Defensive rebound by R. Gobert,,32,24
106,2,10:28.0,Turnover by R. Gobert (lost ball; steal by P. Siakam),,32,24
107,2,10:27.0,,Personal foul by J. Johnson (drawn by P. Siakam),32,24
108,2,10:14.0,,C. Miles misses 3-pt jump shot from 25 ft,32,24
109,2,10:12.0,Defensive rebound by J. Johnson,,32,24
110,2,10:04.0,Shooting foul by D. Wright (drawn by A. Burks),,32,24
111,2,10:04.0,A. Burks makes free throw 1 of 2,,33,24
112,2,10:04.0,A. Burks makes free throw 2 of 2,,34,24
113,2,9:46.0,,P. Siakam makes 2-pt hook shot from 6 ft,34,26
114,2,9:24.0,R. Neto misses 2-pt layup from 3 ft,,34,26
115,2,9:22.0,,Defensive rebound by J. Poeltl,34,26
116,2,9:16.0,,C. Miles makes 2-pt jump shot from 18 ft (assist by D. Wright),34,28
117,2,8:56.0,J. Johnson makes 2-pt jump shot from 20 ft (assist by R. Neto),,36,28
118,2,8:39.0,,C. Miles misses 3-pt jump shot from 23 ft,36,28
119,2,8:36.0,Defensive rebound by A. Burks,,36,28
120,2,8:32.0,A. Burks misses 2-pt layup from 2 ft (block by J. Poeltl),,36,28
121,2,8:32.0,Offensive rebound by Team,,36,28
122,2,8:32.0,R. Rubio enters the game for R. Neto,,36,28
123,2,8:20.0,Turnover by A. Burks (bad pass; steal by D. Wright),,36,28
124,2,8:16.0,,C. Miles makes 2-pt layup from 1 ft (assist by D. Wright),36,30
125,2,7:54.0,Shooting foul by P. Siakam (drawn by R. Rubio),,36,30
126,2,7:54.0,R. Rubio makes free throw 1 of 2,,37,30
127,2,7:54.0,,K. Lowry enters the game for C. Miles,37,30
128,2,7:54.0,D. Favors enters the game for A. Burks,,37,30
129,2,7:54.0,D. Mitchell enters the game for R. Gobert,,37,30
130,2,7:54.0,R. Rubio makes free throw 2 of 2,,38,30
131,2,7:41.0,,D. Wright misses 2-pt layup from 3 ft,38,30
132,2,7:40.0,,Offensive rebound by J. Poeltl,38,30
133,2,7:40.0,,J. Poeltl misses 2-pt layup at rim,38,30
134,2,7:40.0,Defensive rebound by Team,,38,30
135,2,7:18.0,Turnover by R. Rubio (traveling),,38,30
136,2,7:09.0,,K. Lowry misses 2-pt layup from 2 ft (block by D. Favors),38,30
137,2,7:06.0,Defensive rebound by R. Rubio,,38,30
138,2,7:04.0,R. O'Neale makes 2-pt dunk at rim (assist by R. Rubio),,40,30
139,2,7:03.0,,Toronto full timeout,40,30
140,2,7:03.0,,J. Valančiūnas enters the game for J. Poeltl,40,30
141,2,7:03.0,,D. DeRozan enters the game for D. Wright,40,30
142,2,6:49.0,,K. Lowry makes 2-pt layup from 1 ft (assist by J. Valančiūnas),40,32
143,2,6:27.0,J. Johnson misses 2-pt jump shot from 13 ft,,40,32
144,2,6:24.0,,Defensive rebound by J. Valančiūnas,40,32
145,2,6:14.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by F. VanVleet),40,34
146,2,6:01.0,R. Rubio misses 2-pt layup from 2 ft (block by J. Valančiūnas),,40,34
147,2,6:01.0,Offensive rebound by Team,,40,34
148,2,6:01.0,,S. Ibaka enters the game for P. Siakam,40,34
149,2,6:01.0,J. Ingles enters the game for R. O'Neale,,40,34
150,2,5:53.0,D. Mitchell makes 2-pt layup from 3 ft (assist by D. Favors),,42,34
151,2,5:39.0,,F. VanVleet misses 2-pt layup from 2 ft,42,34
152,2,5:39.0,,Offensive rebound by Team,42,34
153,2,5:35.0,,D. DeRozan misses 2-pt jump shot from 10 ft,42,34
154,2,5:31.0,,Offensive rebound by J. Valančiūnas,42,34
155,2,5:31.0,,J. Valančiūnas makes 2-pt layup at rim,42,36
156,2,5:15.0,Turnover by J. Ingles (bad pass; steal by D. DeRozan),,42,36
157,2,5:11.0,,Turnover by K. Lowry (out of bounds lost ball),42,36
158,2,4:57.0,D. Mitchell misses 2-pt jump shot from 18 ft,,42,36
159,2,4:53.0,,Defensive rebound by J. Valančiūnas,42,36
160,2,4:38.0,,J. Valančiūnas makes 2-pt jump shot from 4 ft (assist by D. DeRozan),42,38
161,2,4:12.0,Turnover by J. Ingles (traveling),,42,38
162,2,4:12.0,,O. Anunoby enters the game for F. VanVleet,42,38
163,2,4:12.0,R. Gobert enters the game for D. Favors,,42,38
164,2,4:03.0,,Shooting foul by J. Ingles (drawn by D. DeRozan),42,38
165,2,4:03.0,Technical foul by J. Ingles,,42,38
166,2,4:03.0,,D. DeRozan misses technical free throw,42,38
167,2,4:03.0,,Offensive rebound by Team,42,38
168,2,4:03.0,,D. DeRozan makes free throw 1 of 2,42,39
169,2,4:03.0,,D. DeRozan misses free throw 2 of 2,42,39
170,2,4:02.0,,Offensive rebound by J. Valančiūnas,42,39
171,2,4:02.0,,J. Valančiūnas makes 2-pt hook shot from 2 ft,42,41
172,2,4:02.0,Violation by R. Gobert (def goaltending),,42,41
173,2,3:48.0,R. Rubio makes 2-pt jump shot from 18 ft (assist by R. Gobert),,44,41
174,2,3:33.0,,Turnover by D. DeRozan (bad pass; steal by R. Rubio),44,41
175,2,3:28.0,J. Johnson misses 3-pt jump shot from 28 ft,,44,41
176,2,3:24.0,,Defensive rebound by S. Ibaka,44,41
177,2,3:18.0,,S. Ibaka misses 3-pt jump shot from 26 ft,44,41
178,2,3:15.0,Defensive rebound by R. Gobert,,44,41
179,2,3:10.0,R. Rubio misses 2-pt jump shot from 19 ft,,44,41
180,2,3:07.0,,Defensive rebound by J. Valančiūnas,44,41
181,2,2:59.0,,K. Lowry misses 2-pt jump shot from 15 ft,44,41
182,2,2:56.0,Defensive rebound by J. Ingles,,44,41
183,2,2:43.0,D. Mitchell misses 2-pt jump shot from 11 ft,,44,41
184,2,2:39.0,Offensive rebound by R. Gobert,,44,41
185,2,2:39.0,R. Gobert misses 2-pt layup at rim,,44,41
186,2,2:38.0,,Defensive rebound by S. Ibaka,44,41
187,2,2:31.0,,D. DeRozan misses 2-pt jump shot from 16 ft,44,41
188,2,2:28.0,Defensive rebound by R. Rubio,,44,41
189,2,2:23.0,Utah full timeout,,44,41
190,2,2:23.0,J. Jerebko enters the game for J. Johnson,,44,41
191,2,2:12.0,J. Jerebko misses 2-pt hook shot from 6 ft,,44,41
192,2,2:10.0,,Defensive rebound by J. Valančiūnas,44,41
193,2,2:02.0,,S. Ibaka misses 2-pt jump shot from 11 ft,44,41
194,2,2:00.0,,Offensive rebound by S. Ibaka,44,41
195,2,1:50.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by D. DeRozan),44,43
196,2,1:30.0,D. Mitchell misses 2-pt layup from 3 ft,,44,43
197,2,1:28.0,,Defensive rebound by D. DeRozan,44,43
198,2,1:22.0,,S. Ibaka misses 3-pt jump shot from 26 ft,44,43
199,2,1:19.0,Defensive rebound by R. Gobert,,44,43
200,2,1:05.0,Shooting foul by J. Valančiūnas (drawn by R. Gobert),,44,43
201,2,1:05.0,R. Gobert misses free throw 1 of 2,,44,43
202,2,1:05.0,Offensive rebound by Team,,44,43
203,2,1:05.0,R. Gobert makes free throw 2 of 2,,45,43
204,2,0:55.0,,D. DeRozan makes 2-pt layup from 5 ft,45,45
205,2,0:49.0,Offensive foul by R. Gobert (drawn by D. DeRozan),,45,45
206,2,0:49.0,Turnover by R. Gobert (offensive foul),,45,45
207,2,0:35.0,,D. DeRozan misses 2-pt jump shot from 23 ft,45,45
208,2,0:32.0,,Offensive rebound by O. Anunoby,45,45
209,2,0:32.0,,O. Anunoby makes 2-pt dunk at rim,45,47
210,2,0:24.0,J. Jerebko misses 2-pt layup from 6 ft,,45,47
211,2,0:22.0,,Defensive rebound by S. Ibaka,45,47
212,2,0:14.0,Technical foul by R. Gobert,,45,47
213,2,0:14.0,,D. DeRozan makes technical free throw,45,48
214,2,0:14.0,,C. Miles enters the game for O. Anunoby,45,48
215,2,0:09.0,,Personal take foul by J. Ingles (drawn by D. DeRozan),45,48
216,2,0:01.0,,D. DeRozan misses 2-pt jump shot from 14 ft,45,48
217,2,0:01.0,Defensive rebound by R. Rubio,,45,48
218,3,11:50.0,D. Mitchell misses 2-pt jump shot from 9 ft (block by O. Anunoby),,45,48
219,3,11:45.0,Offensive rebound by R. Gobert,,45,48
220,3,11:43.0,,Violation by K. Lowry (kicked ball),45,48
221,3,11:29.0,Turnover by R. Gobert (lost ball; steal by O. Anunoby),,45,48
222,3,11:25.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),45,50
223,3,11:01.0,R. Rubio misses 2-pt jump shot from 14 ft,,45,50
224,3,10:59.0,,Defensive rebound by J. Valančiūnas,45,50
225,3,10:52.0,,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by K. Lowry),45,53
226,3,10:32.0,R. Gobert misses 2-pt jump shot from 14 ft,,45,53
227,3,10:31.0,,Defensive rebound by S. Ibaka,45,53
228,3,10:23.0,,D. DeRozan misses 2-pt jump shot from 12 ft,45,53
229,3,10:19.0,,Offensive rebound by J. Valančiūnas,45,53
230,3,10:19.0,,J. Valančiūnas makes 2-pt layup at rim,45,55
231,3,10:19.0,Utah full timeout,,45,55
232,3,10:05.0,R. Gobert misses 2-pt jump shot from 19 ft,,45,55
233,3,10:04.0,,Defensive rebound by S. Ibaka,45,55
234,3,9:55.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),45,57
235,3,9:43.0,D. Mitchell makes 3-pt jump shot from 25 ft,,48,57
236,3,9:29.0,,Shooting foul by D. Favors (drawn by O. Anunoby),48,57
237,3,9:29.0,,O. Anunoby misses free throw 1 of 2,48,57
238,3,9:29.0,,Offensive rebound by Team,48,57
239,3,9:29.0,,O. Anunoby makes free throw 2 of 2,48,58
240,3,9:18.0,Shooting foul by J. Valančiūnas (drawn by R. Gobert),,48,58
241,3,9:18.0,R. Gobert makes free throw 1 of 2,,49,58
242,3,9:18.0,R. Gobert makes free throw 2 of 2,,50,58
243,3,8:56.0,,K. Lowry misses 2-pt jump shot from 13 ft (block by R. Gobert),50,58
244,3,8:54.0,Defensive rebound by R. Gobert,,50,58
245,3,8:48.0,R. Rubio misses 2-pt jump shot from 12 ft,,50,58
246,3,8:44.0,,Defensive rebound by K. Lowry,50,58
247,3,8:42.0,,K. Lowry misses 3-pt jump shot from 26 ft,50,58
248,3,8:42.0,,Offensive rebound by D. DeRozan,50,58
249,3,8:36.0,,S. Ibaka makes 2-pt layup at rim (assist by D. DeRozan),50,60
250,3,8:14.0,R. Gobert makes 2-pt layup from 3 ft (assist by R. Rubio),,52,60
251,3,8:14.0,Shooting foul by J. Valančiūnas (drawn by R. Gobert),,52,60
252,3,8:14.0,R. Gobert makes free throw 1 of 1,,53,60
253,3,7:54.0,,O. Anunoby misses 3-pt jump shot from 25 ft,53,60
254,3,7:51.0,Defensive rebound by R. Rubio,,53,60
255,3,7:43.0,R. Rubio misses 3-pt jump shot from 22 ft,,53,60
256,3,7:40.0,,Defensive rebound by S. Ibaka,53,60
257,3,7:35.0,,Offensive foul by S. Ibaka (drawn by J. Ingles),53,60
258,3,7:35.0,,Turnover by S. Ibaka (offensive foul),53,60
259,3,7:35.0,J. Jerebko enters the game for D. Favors,,53,60
260,3,7:24.0,D. Mitchell makes 2-pt jump shot from 19 ft,,55,60
261,3,7:01.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft (block by R. Gobert),55,60
262,3,6:58.0,Defensive rebound by D. Mitchell,,55,60
263,3,6:53.0,Personal foul by J. Valančiūnas (drawn by R. Gobert),,55,60
264,3,6:53.0,,J. Poeltl enters the game for J. Valančiūnas,55,60
265,3,6:43.0,J. Jerebko misses 3-pt jump shot from 25 ft,,55,60
266,3,6:41.0,,Defensive rebound by O. Anunoby,55,60
267,3,6:36.0,,Shooting foul by J. Ingles (drawn by S. Ibaka),55,60
268,3,6:36.0,,S. Ibaka misses free throw 1 of 2,55,60
269,3,6:36.0,,Offensive rebound by Team,55,60
270,3,6:36.0,,S. Ibaka makes free throw 2 of 2,55,61
271,3,6:23.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Gobert),,58,61
272,3,6:10.0,,Toronto full timeout,58,61
273,3,6:10.0,,F. VanVleet enters the game for O. Anunoby,58,61
274,3,6:06.0,,K. Lowry misses 3-pt jump shot from 25 ft,58,61
275,3,6:02.0,Defensive rebound by R. Rubio,,58,61
276,3,6:00.0,D. Mitchell makes 2-pt dunk at rim (assist by R. Rubio),,60,61
277,3,5:38.0,,D. DeRozan misses 2-pt jump shot from 4 ft,60,61
278,3,5:36.0,,Offensive rebound by J. Poeltl,60,61
279,3,5:36.0,,J. Poeltl misses 2-pt layup at rim,60,61
280,3,5:36.0,,Offensive rebound by J. Poeltl,60,61
