,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:40.0,D. Gallinari misses 2-pt layup from 2 ft,,0,0
1,1,11:37.0,,Defensive rebound by B. Ingram,0,0
2,1,11:18.0,,L. Nance misses 2-pt jump shot from 15 ft,0,0
3,1,11:15.0,Defensive rebound by D. Jordan,,0,0
4,1,11:09.0,B. Griffin misses 3-pt jump shot from 26 ft,,0,0
5,1,11:07.0,,Defensive rebound by B. Ingram,0,0
6,1,11:00.0,,B. Lopez misses 2-pt hook shot from 9 ft,0,0
7,1,10:50.0,,Offensive rebound by L. Nance,0,0
8,1,10:50.0,,L. Nance misses 2-pt layup at rim,0,0
9,1,10:49.0,Defensive rebound by D. Jordan,,0,0
10,1,10:47.0,P. Beverley misses 2-pt jump shot from 14 ft,,0,0
11,1,10:44.0,,Defensive rebound by L. Ball,0,0
12,1,10:39.0,,B. Ingram misses 2-pt jump shot from 9 ft,0,0
13,1,10:39.0,Defensive rebound by D. Gallinari,,0,0
14,1,10:28.0,D. Gallinari misses 2-pt layup from 1 ft,,0,0
15,1,10:27.0,Offensive rebound by D. Jordan,,0,0
16,1,10:27.0,D. Jordan misses 2-pt layup at rim,,0,0
17,1,10:27.0,Offensive rebound by D. Jordan,,0,0
18,1,10:27.0,Shooting foul by L. Ball (drawn by D. Jordan),,0,0
19,1,10:27.0,D. Jordan makes free throw 2 of 2,,1,0
20,1,10:27.0,D. Jordan makes free throw 1 of 2,,2,0
21,1,10:15.0,,B. Lopez misses 2-pt jump shot from 15 ft,2,0
22,1,10:07.0,,Offensive rebound by L. Nance,2,0
23,1,10:07.0,,L. Nance makes 2-pt dunk at rim,2,2
24,1,10:03.0,Turnover by M. Teodosić (bad pass; steal by L. Deng),,2,2
25,1,10:00.0,,L. Deng misses 2-pt layup from 4 ft,2,2
26,1,9:56.0,Defensive rebound by M. Teodosić,,2,2
27,1,9:42.0,B. Griffin makes 2-pt layup from 2 ft,,4,2
28,1,9:28.0,,Turnover by B. Ingram (lost ball; steal by D. Jordan),4,2
29,1,9:18.0,B. Griffin makes 2-pt dunk at rim,,6,2
30,1,9:13.0,,Shooting foul by M. Teodosić (drawn by B. Ingram),6,2
31,1,9:13.0,,B. Ingram makes free throw 1 of 1,6,3
32,1,9:13.0,,B. Ingram makes free throw 2 of 2,6,4
33,1,9:00.0,P. Beverley misses 2-pt layup from 2 ft,,6,4
34,1,8:58.0,,Defensive rebound by L. Nance,6,4
35,1,8:57.0,,Turnover by L. Deng (traveling),6,4
36,1,8:42.0,Turnover by B. Griffin (traveling),,6,4
37,1,8:19.0,,B. Ingram misses 2-pt layup from 1 ft,6,4
38,1,8:16.0,Defensive rebound by D. Jordan,,6,4
39,1,8:13.0,D. Gallinari makes 2-pt jump shot from 18 ft,,8,4
40,1,7:55.0,,L. Ball misses 2-pt jump shot from 9 ft,8,4
41,1,7:53.0,Defensive rebound by D. Jordan,,8,4
42,1,7:51.0,M. Teodosić makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,11,4
43,1,7:50.0,,LA Lakers full timeout,11,4
44,1,7:44.0,,Personal foul by P. Beverley (drawn by L. Ball),11,4
45,1,7:44.0,,Turnover by Team (turnover),11,4
46,1,7:23.0,P. Beverley misses 2-pt jump shot from 4 ft,,11,4
47,1,7:14.0,Offensive rebound by D. Jordan,,11,4
48,1,7:14.0,D. Jordan misses 2-pt layup at rim,,11,4
49,1,7:14.0,,Defensive rebound by B. Lopez,11,4
50,1,7:12.0,,B. Lopez misses 3-pt jump shot from 27 ft,11,4
51,1,7:12.0,Defensive rebound by B. Griffin,,11,4
52,1,7:00.0,B. Griffin makes 2-pt layup from 2 ft (assist by M. Teodosić),,13,4
53,1,6:50.0,,Shooting foul by D. Jordan (drawn by L. Ball),13,4
54,1,6:50.0,,L. Ball misses free throw 1 of 2,13,4
55,1,6:50.0,,Offensive rebound by Team,13,4
56,1,6:50.0,A. Rivers enters the game for P. Beverley,,13,4
57,1,6:50.0,,L. Ball misses free throw 2 of 2,13,4
58,1,6:48.0,Defensive rebound by D. Jordan,,13,4
59,1,6:40.0,B. Griffin misses 2-pt jump shot from 21 ft,,13,4
60,1,6:37.0,,Defensive rebound by L. Ball,13,4
61,1,6:37.0,,Personal foul by B. Griffin (drawn by B. Lopez),13,4
62,1,6:37.0,,B. Lopez makes free throw 1 of 2,13,5
63,1,6:37.0,,B. Lopez makes free throw 2 of 2,13,6
64,1,6:27.0,,B. Ingram misses 2-pt jump shot from 16 ft,13,6
65,1,6:24.0,Defensive rebound by D. Gallinari,,13,6
66,1,6:07.0,M. Teodosić misses 3-pt jump shot from 30 ft,,13,6
67,1,6:04.0,,Defensive rebound by L. Nance,13,6
68,1,5:53.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by B. Ingram),13,9
69,1,5:39.0,B. Griffin misses 2-pt jump shot from 11 ft (block by L. Ball),,13,9
70,1,5:38.0,Offensive rebound by Team,,13,9
71,1,5:38.0,,J. Clarkson enters the game for L. Deng,13,9
72,1,5:32.0,A. Rivers misses 2-pt jump shot from 11 ft,,13,9
73,1,5:28.0,,Defensive rebound by L. Ball,13,9
74,1,5:22.0,,B. Lopez misses 3-pt jump shot from 26 ft,13,9
75,1,5:20.0,Defensive rebound by D. Jordan,,13,9
76,1,5:09.0,Shooting foul by B. Lopez (drawn by D. Gallinari),,13,9
77,1,5:09.0,D. Gallinari makes free throw 1 of 2,,14,9
78,1,5:09.0,D. Gallinari makes free throw 2 of 2,,15,9
79,1,4:57.0,,J. Clarkson makes 2-pt jump shot from 16 ft,15,11
80,1,4:44.0,A. Rivers misses 3-pt jump shot from 25 ft,,15,11
81,1,4:42.0,,Defensive rebound by L. Nance,15,11
82,1,4:33.0,,J. Clarkson misses 2-pt jump shot from 3 ft (block by M. Teodosić),15,11
83,1,4:33.0,,Offensive rebound by Team,15,11
84,1,4:33.0,,A. Bogut enters the game for B. Lopez,15,11
85,1,4:33.0,L. Williams enters the game for M. Teodosić,,15,11
86,1,4:33.0,W. Reed enters the game for D. Jordan,,15,11
87,1,4:27.0,,L. Ball misses 3-pt jump shot from 25 ft,15,11
88,1,4:23.0,Defensive rebound by W. Reed,,15,11
89,1,4:05.0,B. Griffin misses 2-pt jump shot from 20 ft,,15,11
90,1,4:02.0,,Defensive rebound by A. Bogut,15,11
91,1,3:53.0,,J. Clarkson misses 2-pt hook shot from 7 ft,15,11
92,1,3:51.0,Defensive rebound by B. Griffin,,15,11
93,1,3:46.0,Turnover by B. Griffin (lost ball; steal by J. Clarkson),,15,11
94,1,3:42.0,,L. Nance makes 2-pt dunk from 2 ft (assist by J. Clarkson),15,13
95,1,3:29.0,L. Williams misses 2-pt jump shot from 18 ft,,15,13
96,1,3:26.0,,Defensive rebound by L. Ball,15,13
97,1,3:17.0,,L. Nance makes 2-pt layup at rim (assist by J. Clarkson),15,15
98,1,3:17.0,LA Clippers full timeout,,15,15
99,1,3:17.0,,K. Kuzma enters the game for L. Nance,15,15
100,1,3:17.0,,J. Randle enters the game for B. Ingram,15,15
101,1,3:08.0,W. Reed misses 2-pt jump shot from 3 ft (block by A. Bogut),,15,15
102,1,3:07.0,,Defensive rebound by J. Clarkson,15,15
103,1,3:03.0,,J. Clarkson misses 2-pt dunk at rim (block by D. Gallinari),15,15
104,1,3:02.0,,J. Randle makes 2-pt dunk from 1 ft,15,17
105,1,3:02.0,,Offensive rebound by J. Randle,15,17
106,1,2:55.0,L. Williams makes 3-pt jump shot from 24 ft,,18,17
107,1,2:39.0,,Turnover by A. Bogut (lost ball; steal by B. Griffin),18,17
108,1,2:33.0,Personal foul by A. Bogut (drawn by L. Williams),,18,17
109,1,2:33.0,W. Johnson enters the game for D. Gallinari,,18,17
110,1,2:20.0,A. Rivers misses 2-pt layup from 2 ft,,18,17
111,1,2:19.0,Offensive rebound by B. Griffin,,18,17
112,1,2:12.0,W. Reed misses 2-pt jump shot from 6 ft,,18,17
113,1,2:10.0,,Defensive rebound by L. Ball,18,17
114,1,2:06.0,,L. Ball misses 2-pt layup at rim,18,17
115,1,2:05.0,Defensive rebound by W. Johnson,,18,17
116,1,2:01.0,Shooting foul by A. Bogut (drawn by B. Griffin),,18,17
117,1,2:01.0,B. Griffin makes free throw 1 of 2,,19,17
118,1,2:01.0,,A. Caruso enters the game for L. Ball,19,17
119,1,2:01.0,B. Griffin makes free throw 2 of 2,,20,17
120,1,1:43.0,,J. Clarkson misses 2-pt jump shot from 20 ft,20,17
121,1,1:36.0,Defensive rebound by B. Griffin,,20,17
122,1,1:35.0,B. Griffin makes 2-pt dunk at rim,,22,17
123,1,1:24.0,,J. Randle misses 2-pt jump shot from 22 ft,22,17
124,1,1:20.0,,Offensive rebound by J. Randle,22,17
125,1,1:15.0,,K. Kuzma misses 2-pt jump shot from 18 ft,22,17
126,1,1:10.0,Defensive rebound by W. Reed,,22,17
127,1,0:57.0,B. Griffin makes 3-pt jump shot from 26 ft,,25,17
128,1,0:49.0,,J. Clarkson makes 2-pt jump shot from 16 ft (assist by A. Bogut),25,19
129,1,0:41.0,Turnover by W. Reed (bad pass; steal by A. Bogut),,25,19
130,1,0:40.0,,Turnover by A. Bogut (bad pass; steal by L. Williams),25,19
131,1,0:39.0,Turnover by L. Williams (bad pass; steal by K. Kuzma),,25,19
132,1,0:34.0,,Turnover by J. Clarkson (bad pass; steal by A. Rivers),25,19
133,1,0:25.0,W. Reed makes 2-pt dunk from 2 ft (assist by L. Williams),,27,19
134,1,0:02.0,,Turnover by J. Clarkson (bad pass),27,19
135,1,0:02.0,,C. Brewer enters the game for J. Randle,27,19
136,2,11:39.0,,J. Clarkson makes 2-pt layup from 2 ft,27,21
137,2,11:23.0,A. Rivers misses 2-pt jump shot from 3 ft,,27,21
138,2,11:23.0,Offensive rebound by Team,,27,21
139,2,11:17.0,L. Williams misses 3-pt jump shot from 23 ft,,27,21
140,2,11:14.0,,Defensive rebound by A. Bogut,27,21
141,2,11:10.0,,K. Kuzma misses 3-pt jump shot from 25 ft,27,21
142,2,11:07.0,Defensive rebound by W. Johnson,,27,21
143,2,10:59.0,Shooting foul by K. Kuzma (drawn by D. Gallinari),,27,21
144,2,10:59.0,D. Gallinari misses free throw 1 of 2,,27,21
145,2,10:59.0,Offensive rebound by Team,,27,21
146,2,10:59.0,P. Beverley enters the game for A. Rivers,,27,21
147,2,10:59.0,D. Jordan enters the game for W. Reed,,27,21
148,2,10:59.0,D. Gallinari makes free throw 2 of 2,,28,21
149,2,10:34.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by K. Kuzma),28,24
150,2,10:23.0,L. Williams misses 2-pt jump shot from 13 ft,,28,24
151,2,10:21.0,,Defensive rebound by C. Brewer,28,24
152,2,10:12.0,,Turnover by A. Caruso (bad pass),28,24
153,2,10:12.0,,J. Randle enters the game for C. Brewer,28,24
154,2,10:00.0,D. Gallinari misses 3-pt jump shot from 25 ft,,28,24
155,2,9:56.0,Offensive rebound by D. Jordan,,28,24
156,2,9:55.0,D. Jordan makes 2-pt hook shot from 2 ft,,30,24
157,2,9:36.0,,J. Clarkson misses 2-pt jump shot from 21 ft,30,24
158,2,9:34.0,Defensive rebound by L. Williams,,30,24
159,2,9:27.0,L. Williams makes 2-pt jump shot from 4 ft (assist by P. Beverley),,32,24
160,2,9:16.0,,J. Randle makes 2-pt layup from 1 ft,32,26
161,2,9:00.0,P. Beverley makes 2-pt hook shot from 4 ft,,34,26
162,2,8:55.0,,J. Clarkson misses 2-pt layup at rim (block by P. Beverley),34,26
163,2,8:51.0,Defensive rebound by D. Jordan,,34,26
164,2,8:46.0,W. Johnson makes 2-pt jump shot from 20 ft (assist by D. Jordan),,36,26
165,2,8:40.0,,LA Lakers full timeout,36,26
166,2,8:40.0,,B. Lopez enters the game for A. Caruso,36,26
167,2,8:40.0,,L. Ball enters the game for A. Bogut,36,26
168,2,8:36.0,Offensive charge foul by J. Randle (drawn by D. Gallinari),,36,26
169,2,8:36.0,,Turnover by J. Randle (offensive foul),36,26
170,2,8:20.0,D. Gallinari misses 2-pt jump shot from 15 ft,,36,26
171,2,8:14.0,,Defensive rebound by J. Randle,36,26
172,2,8:06.0,,J. Randle misses 3-pt jump shot from 26 ft,36,26
173,2,8:02.0,Defensive rebound by W. Johnson,,36,26
