,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
0,1,11:41.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Johnson),0,3
1,1,11:14.0,A. Crabbe makes 3-pt jump shot from 30 ft (assist by R. Hollis-Jefferson),,3,3
2,1,11:00.0,,T. Johnson makes 2-pt jump shot from 7 ft (assist by J. Johnson),3,5
3,1,10:47.0,D. Russell misses 3-pt jump shot from 25 ft,,3,5
4,1,10:44.0,,Defensive rebound by T. Johnson,3,5
5,1,10:37.0,,T. Johnson misses 2-pt layup from 1 ft (block by J. Allen),3,5
6,1,10:34.0,Defensive rebound by D. Russell,,3,5
7,1,10:32.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),,5,5
8,1,10:17.0,,J. Richardson misses 2-pt jump shot from 16 ft,5,5
9,1,10:15.0,Defensive rebound by J. Allen,,5,5
10,1,9:59.0,J. Allen misses 2-pt hook shot from 3 ft (block by H. Whiteside),,5,5
11,1,9:57.0,,Defensive rebound by G. Dragić,5,5
12,1,9:53.0,,H. Whiteside misses 2-pt layup from 2 ft (block by J. Allen),5,5
13,1,9:52.0,Defensive rebound by D. Carroll,,5,5
14,1,9:38.0,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),,7,5
15,1,9:23.0,,G. Dragić makes 3-pt jump shot from 24 ft,7,8
16,1,9:04.0,Shooting foul by J. Johnson (drawn by R. Hollis-Jefferson),,7,8
17,1,9:04.0,R. Hollis-Jefferson misses free throw 1 of 2,,7,8
18,1,9:04.0,Offensive rebound by Team,,7,8
19,1,9:04.0,R. Hollis-Jefferson misses free throw 2 of 2,,7,8
20,1,9:02.0,,Defensive rebound by J. Richardson,7,8
21,1,8:48.0,,J. Richardson misses 2-pt hook shot from 6 ft,7,8
22,1,8:47.0,,Offensive rebound by H. Whiteside,7,8
23,1,8:43.0,,H. Whiteside makes 2-pt hook shot from 2 ft,7,10
24,1,8:32.0,D. Carroll misses 3-pt jump shot from 24 ft,,7,10
25,1,8:31.0,,Defensive rebound by G. Dragić,7,10
26,1,8:22.0,,H. Whiteside misses 2-pt layup from 1 ft,7,10
27,1,8:21.0,Defensive rebound by D. Russell,,7,10
28,1,8:16.0,Turnover by D. Russell (bad pass; steal by J. Johnson),,7,10
29,1,7:57.0,,H. Whiteside misses 2-pt jump shot from 4 ft,7,10
30,1,7:56.0,Defensive rebound by R. Hollis-Jefferson,,7,10
31,1,7:50.0,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by D. Carroll),,9,10
32,1,7:31.0,,G. Dragić misses 2-pt jump shot from 12 ft,9,10
33,1,7:30.0,Defensive rebound by R. Hollis-Jefferson,,9,10
34,1,7:26.0,D. Russell misses 3-pt jump shot from 25 ft,,9,10
35,1,7:25.0,,Defensive rebound by G. Dragić,9,10
36,1,7:20.0,,Shooting foul by A. Crabbe (drawn by G. Dragić),9,10
37,1,7:20.0,,G. Dragić misses free throw 1 of 2,9,10
38,1,7:20.0,,Offensive rebound by Team,9,10
39,1,7:20.0,,K. Olynyk enters the game for H. Whiteside,9,10
40,1,7:20.0,,G. Dragić makes free throw 2 of 2,9,11
41,1,7:03.0,D. Russell misses 2-pt jump shot from 7 ft,,9,11
42,1,7:02.0,,Defensive rebound by G. Dragić,9,11
43,1,6:58.0,,Turnover by J. Johnson (bad pass),9,11
