,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DETROIT_ACTION,HOUSTON_SCORE,DETROIT_SCORE
0,1,11:40.0,Personal foul by R. Bullock (drawn by E. Gordon),,0,0
1,1,11:30.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by R. Anderson),,3,0
2,1,11:10.0,,R. Bullock makes 2-pt layup from 3 ft,3,2
3,1,10:48.0,C. Capela makes 2-pt hook shot from 7 ft (assist by E. Gordon),,5,2
4,1,10:29.0,,A. Bradley misses 3-pt jump shot from 25 ft,5,2
5,1,10:27.0,Defensive rebound by C. Capela,,5,2
6,1,10:20.0,R. Anderson misses 3-pt jump shot from 25 ft,,5,2
7,1,10:16.0,Offensive rebound by C. Capela,,5,2
8,1,10:08.0,E. Gordon misses 3-pt jump shot from 26 ft,,5,2
9,1,10:04.0,,Defensive rebound by T. Harris,5,2
10,1,9:57.0,,T. Harris makes 2-pt layup from 1 ft,5,4
11,1,9:49.0,T. Ariza misses 2-pt layup from 1 ft,,5,4
12,1,9:47.0,,Defensive rebound by T. Harris,5,4
13,1,9:29.0,,R. Bullock makes 3-pt jump shot from 28 ft (assist by E. Moreland),5,7
14,1,9:08.0,R. Anderson makes 2-pt jump shot from 17 ft (assist by C. Paul),,7,7
15,1,8:52.0,,T. Harris misses 2-pt jump shot from 17 ft,7,7
16,1,8:49.0,Defensive rebound by C. Paul,,7,7
17,1,8:36.0,C. Capela misses 2-pt hook shot from 3 ft,,7,7
18,1,8:36.0,Offensive rebound by Team,,7,7
19,1,8:30.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by C. Paul),,10,7
20,1,8:12.0,,I. Smith makes 2-pt jump shot from 6 ft (assist by T. Harris),10,9
21,1,7:59.0,C. Capela makes 2-pt layup at rim (assist by C. Paul),,12,9
22,1,7:41.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by I. Smith),12,12
23,1,7:20.0,Turnover by C. Capela (bad pass; steal by T. Harris),,12,12
24,1,7:15.0,,T. Harris misses 2-pt layup from 2 ft,12,12
25,1,7:10.0,,Offensive rebound by R. Bullock,12,12
26,1,7:10.0,,R. Bullock makes 2-pt layup at rim,12,14
27,1,7:02.0,R. Anderson misses 3-pt jump shot from 25 ft,,12,14
28,1,6:59.0,Offensive rebound by C. Capela,,12,14
29,1,6:53.0,C. Paul makes 3-pt jump shot from 25 ft (assist by E. Gordon),,15,14
30,1,6:30.0,,T. Harris makes 3-pt jump shot from 27 ft,15,17
31,1,6:30.0,Houston full timeout,,15,17
32,1,6:30.0,G. Green enters the game for E. Gordon,,15,17
33,1,6:20.0,T. Ariza misses 3-pt jump shot from 26 ft,,15,17
34,1,6:17.0,,Defensive rebound by T. Harris,15,17
35,1,6:14.0,,Personal foul by C. Capela (drawn by I. Smith),15,17
36,1,6:14.0,P. Tucker enters the game for R. Anderson,,15,17
37,1,6:03.0,,A. Bradley misses 2-pt jump shot from 19 ft,15,17
38,1,5:59.0,Defensive rebound by P. Tucker,,15,17
39,1,5:55.0,Shooting foul by I. Smith (drawn by T. Ariza),,15,17
40,1,5:55.0,T. Ariza makes free throw 1 of 3,,16,17
41,1,5:55.0,T. Ariza makes free throw 2 of 3,,17,17
42,1,5:55.0,T. Ariza makes free throw 3 of 3,,18,17
