,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHOENIX_ACTION,GOLDEN STATE_SCORE,PHOENIX_SCORE
0,1,11:45.0,Personal foul by T. Daniels (drawn by K. Thompson),,0,0
1,1,11:38.0,Personal foul by T. Daniels (drawn by D. Green),,0,0
2,1,11:36.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,0
3,1,11:33.0,,Defensive rebound by D. Bender,0,0
4,1,11:19.0,,Shooting foul by Z. Pachulia (drawn by A. Len),0,0
5,1,11:19.0,,A. Len makes free throw 1 of 2,0,1
6,1,11:19.0,,A. Len makes free throw 2 of 2,0,2
7,1,11:09.0,Z. Pachulia makes 2-pt jump shot from 8 ft (assist by D. Green),,2,2
8,1,10:56.0,,T. Daniels makes 3-pt jump shot from 27 ft (assist by T. Ulis),2,5
9,1,10:37.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by Q. Cook),,5,5
10,1,10:27.0,,T. Ulis misses 2-pt jump shot from 9 ft,5,5
11,1,10:22.0,,Offensive rebound by A. Len,5,5
12,1,10:22.0,,A. Len makes 2-pt layup at rim,5,7
13,1,10:19.0,Q. Cook makes 3-pt jump shot from 27 ft (assist by D. Green),,8,7
14,1,9:58.0,,D. House makes 2-pt layup from 2 ft,8,9
15,1,9:48.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),,10,9
16,1,9:26.0,,D. Bender misses 3-pt jump shot from 29 ft,10,9
17,1,9:24.0,Defensive rebound by Team,,10,9
18,1,9:20.0,K. Durant misses 3-pt jump shot from 24 ft,,10,9
19,1,9:17.0,,Defensive rebound by T. Daniels,10,9
20,1,9:11.0,,T. Ulis misses 3-pt jump shot from 24 ft,10,9
21,1,9:09.0,Defensive rebound by Z. Pachulia,,10,9
22,1,9:01.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),,12,9
23,1,8:38.0,,A. Len misses 2-pt jump shot from 14 ft (block by Z. Pachulia),12,9
24,1,8:37.0,,Offensive rebound by Team,12,9
25,1,8:35.0,,D. House misses 3-pt jump shot from 25 ft,12,9
26,1,8:31.0,Defensive rebound by K. Thompson,,12,9
27,1,8:22.0,K. Thompson makes 2-pt jump shot from 13 ft,,14,9
28,1,8:13.0,,A. Len misses 2-pt layup from 2 ft,14,9
29,1,8:08.0,,Offensive rebound by A. Len,14,9
30,1,8:08.0,,A. Len misses 2-pt layup at rim,14,9
31,1,8:08.0,Defensive rebound by D. Green,,14,9
32,1,8:06.0,Turnover by D. Green (bad pass),,14,9
33,1,7:58.0,,T. Daniels misses 3-pt jump shot from 27 ft,14,9
34,1,7:55.0,Defensive rebound by Z. Pachulia,,14,9
35,1,7:52.0,Turnover by D. Green (bad pass; steal by T. Daniels),,14,9
36,1,7:46.0,,T. Daniels misses 2-pt layup at rim,14,9
37,1,7:43.0,,Offensive rebound by D. House,14,9
38,1,7:43.0,,D. House makes 2-pt layup from 3 ft,14,11
39,1,7:29.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),,16,11
40,1,7:13.0,,D. Bender makes 2-pt dunk at rim (assist by T. Ulis),16,13
41,1,6:55.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,19,13
42,1,6:47.0,,Phoenix full timeout,19,13
43,1,6:37.0,,T. Daniels misses 3-pt jump shot from 23 ft,19,13
44,1,6:33.0,Defensive rebound by K. Durant,,19,13
45,1,6:28.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),,21,13
46,1,6:14.0,,Shooting foul by Q. Cook (drawn by T. Ulis),21,13
47,1,6:14.0,,T. Ulis makes free throw 1 of 2,21,14
48,1,6:14.0,,A. Peters enters the game for T. Daniels,21,14
49,1,6:14.0,,T. Ulis makes free throw 2 of 2,21,15
50,1,5:59.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by Q. Cook),,24,15
51,1,5:46.0,,D. Bender makes 3-pt jump shot from 26 ft (assist by T. Ulis),24,18
52,1,5:29.0,D. Green misses 3-pt jump shot from 25 ft,,24,18
53,1,5:25.0,,Defensive rebound by A. Len,24,18
54,1,5:18.0,,T. Ulis misses 2-pt jump shot from 17 ft,24,18
55,1,5:16.0,Defensive rebound by K. Durant,,24,18
56,1,5:12.0,K. Thompson misses 3-pt jump shot from 29 ft,,24,18
57,1,5:08.0,,Defensive rebound by D. House,24,18
58,1,4:46.0,,T. Ulis misses 2-pt layup from 6 ft,24,18
59,1,4:44.0,,Offensive rebound by T. Ulis,24,18
60,1,4:42.0,,T. Ulis misses 2-pt jump shot from 11 ft,24,18
61,1,4:42.0,,Offensive rebound by A. Len,24,18
62,1,4:38.0,,A. Len misses 2-pt layup at rim,24,18
63,1,4:38.0,Defensive rebound by Q. Cook,,24,18
64,1,4:36.0,Turnover by D. Green (bad pass),,24,18
65,1,4:36.0,J. McGee enters the game for Z. Pachulia,,24,18
66,1,4:21.0,,D. Bender makes 2-pt layup from 1 ft,24,20
67,1,4:10.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,27,20
68,1,3:42.0,,A. Len makes 2-pt jump shot from 6 ft (assist by T. Ulis),27,22
69,1,3:31.0,K. Durant misses 2-pt jump shot from 13 ft,,27,22
70,1,3:25.0,Offensive rebound by J. McGee,,27,22
71,1,3:25.0,J. McGee misses 2-pt layup at rim,,27,22
72,1,3:24.0,,Defensive rebound by A. Len,27,22
73,1,3:16.0,,T. Ulis misses 2-pt jump shot from 10 ft,27,22
74,1,3:16.0,Defensive rebound by Q. Cook,,27,22
75,1,3:08.0,Q. Cook makes 2-pt layup from 1 ft,,29,22
76,1,2:50.0,,A. Len misses 2-pt layup from 3 ft,29,22
77,1,2:49.0,Defensive rebound by J. McGee,,29,22
78,1,2:44.0,Q. Cook misses 3-pt jump shot from 25 ft,,29,22
79,1,2:40.0,,Defensive rebound by D. House,29,22
80,1,2:29.0,,D. House misses 3-pt jump shot from 25 ft,29,22
81,1,2:25.0,Defensive rebound by D. Green,,29,22
82,1,2:22.0,Golden State full timeout,,29,22
83,1,2:22.0,,J. Dudley enters the game for A. Len,29,22
84,1,2:22.0,,S. Harrison enters the game for A. Peters,29,22
85,1,2:22.0,S. Livingston enters the game for Q. Cook,,29,22
86,1,2:22.0,K. Looney enters the game for D. Green,,29,22
87,1,2:14.0,K. Looney makes 2-pt dunk at rim (assist by J. McGee),,31,22
88,1,1:49.0,,S. Harrison misses 3-pt jump shot from 32 ft (block by K. Looney),31,22
89,1,1:49.0,,Offensive rebound by Team,31,22
90,1,1:49.0,,Turnover by Team (shot clock),31,22
91,1,1:29.0,Turnover by K. Thompson (bad pass),,31,22
92,1,1:19.0,,D. House makes 2-pt layup from 2 ft (assist by T. Ulis),31,24
93,1,1:19.0,,Shooting foul by S. Livingston (drawn by D. House),31,24
94,1,1:19.0,,D. House makes free throw 1 of 1,31,25
95,1,1:06.0,S. Livingston misses 2-pt jump shot from 10 ft,,31,25
96,1,1:03.0,,Defensive rebound by D. Bender,31,25
97,1,0:59.0,,Personal block foul by K. Looney (drawn by J. Dudley),31,25
98,1,0:59.0,,J. Dudley makes free throw 1 of 2,31,26
99,1,0:59.0,,J. Dudley makes free throw 2 of 2,31,27
100,1,0:39.0,K. Durant misses 3-pt jump shot from 25 ft,,31,27
101,1,0:35.0,Offensive rebound by K. Looney,,31,27
102,1,0:27.0,K. Looney misses 2-pt layup from 1 ft,,31,27
103,1,0:25.0,Offensive rebound by J. McGee,,31,27
104,1,0:25.0,J. McGee makes 2-pt dunk from 1 ft,,33,27
105,1,0:05.0,,T. Ulis makes 2-pt jump shot from 15 ft,33,29
106,1,0:00.0,Turnover by K. Durant (bad pass),,33,29
107,1,0:00.0,,Turnover by J. Dudley (bad pass; steal by J. McGee),33,29
108,2,11:36.0,,J. Dudley misses 2-pt jump shot from 14 ft,33,29
109,2,11:32.0,Defensive rebound by Q. Cook,,33,29
110,2,11:14.0,D. Green makes 3-pt jump shot from 27 ft (assist by S. Livingston),,36,29
111,2,10:57.0,,D. Reed misses 3-pt jump shot from 27 ft,36,29
112,2,10:55.0,Defensive rebound by D. Green,,36,29
113,2,10:49.0,D. Green misses 3-pt jump shot from 26 ft,,36,29
114,2,10:45.0,,Defensive rebound by D. Bender,36,29
115,2,10:36.0,,D. Reed misses 2-pt layup at rim,36,29
116,2,10:36.0,Defensive rebound by D. West,,36,29
117,2,10:21.0,D. Green makes 2-pt jump shot from 14 ft,,38,29
118,2,10:11.0,,S. Harrison makes 2-pt layup from 1 ft,38,31
119,2,10:02.0,S. Livingston makes 2-pt jump shot from 16 ft,,40,31
120,2,10:02.0,Shooting foul by D. Bender (drawn by S. Livingston),,40,31
121,2,10:02.0,,A. Peters enters the game for D. Bender,40,31
122,2,10:02.0,S. Livingston makes free throw 1 of 1,,41,31
123,2,9:56.0,,J. Dudley misses 3-pt jump shot from 25 ft,41,31
124,2,9:53.0,Defensive rebound by S. Livingston,,41,31
125,2,9:48.0,Shooting foul by A. Peters (drawn by D. Green),,41,31
