,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
0,1,11:41.0,,R. Jackson makes 3-pt jump shot from 29 ft (assist by A. Drummond),0,3
1,1,11:18.0,W. Cauley-Stein misses 2-pt layup from 4 ft,,0,3
2,1,11:16.0,,Defensive rebound by A. Drummond,0,3
3,1,11:13.0,,A. Bradley misses 3-pt jump shot from 27 ft,0,3
4,1,11:09.0,Defensive rebound by B. Bogdanović,,0,3
5,1,10:51.0,Turnover by Z. Randolph (lost ball; steal by R. Jackson),,0,3
6,1,10:46.0,,A. Bradley makes 2-pt layup from 4 ft (assist by R. Jackson),0,5
7,1,10:29.0,Turnover by G. Temple (lost ball; steal by R. Jackson),,0,5
8,1,10:22.0,,A. Drummond makes 2-pt layup from 1 ft (assist by A. Bradley),0,7
9,1,10:16.0,Sacramento full timeout,,0,7
10,1,10:10.0,Turnover by D. Fox (bad pass; steal by A. Drummond),,0,7
11,1,10:04.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by R. Jackson),0,10
12,1,9:47.0,Z. Randolph makes 2-pt jump shot from 16 ft (assist by W. Cauley-Stein),,2,10
13,1,9:24.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by A. Bradley),2,12
14,1,9:18.0,D. Fox makes 2-pt jump shot from 4 ft,,4,12
15,1,9:18.0,Shooting foul by A. Bradley (drawn by D. Fox),,4,12
16,1,9:18.0,D. Fox makes free throw 1 of 1,,5,12
17,1,8:57.0,,Shooting foul by W. Cauley-Stein (drawn by A. Drummond),5,12
18,1,8:57.0,,A. Drummond misses free throw 1 of 2,5,12
19,1,8:57.0,,Offensive rebound by Team,5,12
20,1,8:57.0,,A. Drummond misses free throw 2 of 2,5,12
21,1,8:54.0,Defensive rebound by Z. Randolph,,5,12
22,1,8:46.0,Z. Randolph makes 2-pt layup from 2 ft (assist by D. Fox),,7,12
23,1,8:46.0,Shooting foul by T. Harris (drawn by Z. Randolph),,7,12
24,1,8:46.0,Z. Randolph makes free throw 1 of 1,,8,12
25,1,8:22.0,,S. Johnson makes 3-pt jump shot from 27 ft (assist by T. Harris),8,15
26,1,8:06.0,W. Cauley-Stein misses 2-pt hook shot from 3 ft,,8,15
27,1,8:04.0,,Defensive rebound by T. Harris,8,15
